Energy,Counts,CountErr,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
9,91,9.539392,2.0130642,3158.0066,0.21102647,LnL70,1.8020378,2.2240907,LnL70,0.7,0.7,LnL,false,false,false,false
9.2,78,8.8317609,1.7254836,3158.0066,0.19537255,LnL70,1.5301111,1.9208562,LnL70,0.7,0.7,LnL,false,false,false,false
9.4,79,8.8881944,1.7476052,3158.0066,0.19662095,LnL70,1.5509843,1.9442262,LnL70,0.7,0.7,LnL,false,false,false,false
9.6,62,7.8740079,1.3715383,3158.0066,0.17418553,LnL70,1.1973527,1.5457238,LnL70,0.7,0.7,LnL,false,false,false,false
9.8,55,7.4161985,1.2166872,3158.0066,0.16405807,LnL70,1.0526291,1.3807452,LnL70,0.7,0.7,LnL,false,false,false,false
10,61,7.8102497,1.3494167,3158.0066,0.1727751,LnL70,1.1766416,1.5221918,LnL70,0.7,0.7,LnL,false,false,false,false
10.2,43,6.5574385,0.95122815,3158.0066,0.14506093,LnL70,0.80616722,1.0962891,LnL70,0.7,0.7,LnL,false,false,false,false
10.4,37,6.0827625,0.81849864,3158.0066,0.13456035,LnL70,0.6839383,0.95305899,LnL70,0.7,0.7,LnL,false,false,false,false
10.6,36,6,0.79637706,3158.0066,0.13272951,LnL70,0.66364755,0.92910657,LnL70,0.7,0.7,LnL,false,false,false,false
10.8,29,5.3851648,0.64152596,3158.0066,0.11912838,LnL70,0.52239758,0.76065435,LnL70,0.7,0.7,LnL,false,false,false,false
11,22,4.6904158,0.48667487,3158.0066,0.10375943,LnL70,0.38291544,0.5904343,LnL70,0.7,0.7,LnL,false,false,false,false
11.2,19,4.3588989,0.42031011,3158.0066,0.096425753,LnL70,0.32388436,0.51673587,LnL70,0.7,0.7,LnL,false,false,false,false
11.4,26,5.0990195,0.57516121,3158.0066,0.11279839,LnL70,0.46236282,0.6879596,LnL70,0.7,0.7,LnL,false,false,false,false
11.6,17,4.1231056,0.37606694,3158.0066,0.091209632,LnL70,0.28485731,0.46727658,LnL70,0.7,0.7,LnL,false,false,false,false
11.8,12,3.4641016,0.26545902,3158.0066,0.076631418,LnL70,0.1888276,0.34209044,LnL70,0.7,0.7,LnL,false,false,false,false
0.2,4128,64.249514,91.317903,3158.0066,1.4213011,LnL70+L,89.896602,92.739204,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
0.4,2425,49.244289,53.644844,3158.0066,1.0893617,LnL70+L,52.555482,54.734205,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
0.6,1643,40.533936,36.345764,3158.0066,0.89667492,LnL70+L,35.449089,37.242439,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
0.8,1013,31.827661,22.409166,3158.0066,0.70407831,LnL70+L,21.705087,23.113244,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
1,618,24.859606,13.67114,3158.0066,0.54993388,LnL70+L,13.121206,14.221073,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
1.2,354,18.814888,7.8310411,3158.0066,0.41621514,LnL70+L,7.4148259,8.2472562,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
1.4,223,14.933185,4.9331135,3158.0066,0.33034571,LnL70+L,4.6027677,5.2634592,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
1.6,156,12.489996,3.4509673,3158.0066,0.27629851,LnL70+L,3.1746688,3.7272658,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
1.8,122,11.045361,2.6988334,3158.0066,0.24434089,LnL70+L,2.4544925,2.9431743,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
2,88,9.3808315,1.9466995,3158.0066,0.20751886,LnL70+L,1.7391806,2.1542183,LnL70+L,0.59008106,0.7,LnL,true,true,false,true
