Energy,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
9.2,0.86274181,3158.0066,0.13814925,MLP@85,0.72459256,1.0008911,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
9.4,0.95122815,3158.0066,0.14506093,MLP@85,0.80616722,1.0962891,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
9.6,0.77425547,3158.0066,0.13087306,MLP@85,0.64338241,0.90512854,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
9.8,0.68576913,3158.0066,0.12316777,MLP@85,0.56260136,0.80893691,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10,0.39818853,3158.0066,0.093853937,MLP@85,0.30433459,0.49204247,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10.2,0.30970219,3158.0066,0.082771392,MLP@85,0.2269308,0.39247358,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10.4,0.13272951,3158.0066,0.054186596,MLP@85,0.078542914,0.18691611,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10.6,0.17697268,3158.0066,0.062569291,MLP@85,0.11440339,0.23954197,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
10.8,0.11060792,3158.0066,0.049465368,MLP@85,0.061142557,0.16007329,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11,0.13272951,3158.0066,0.054186596,MLP@85,0.078542914,0.18691611,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11.2,0.11060792,3158.0066,0.049465368,MLP@85,0.061142557,0.16007329,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11.4,0.08848634,3158.0066,0.04424317,MLP@85,0.04424317,0.13272951,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11.6,0.04424317,3158.0066,0.031284646,MLP@85,0.012958524,0.075527815,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
11.8,0.08848634,3158.0066,0.04424317,MLP@85,0.04424317,0.13272951,MLP@85,0.62070829,0.86465951,MLP,true,true,true,true
0.2,32.341757,3158.0066,0.84584333,MLP@90,31.495914,33.187601,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
0.4,11.989899,3158.0066,0.51501026,MLP@90,11.474889,12.504909,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
0.6,7.3222446,3158.0066,0.40246696,MLP@90,6.9197777,7.7247116,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
0.8,3.893399,3158.0066,0.29347599,MLP@90,3.599923,4.1868749,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1,3.0970219,3158.0066,0.26174612,MLP@90,2.8352758,3.358768,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1.2,1.7476052,3158.0066,0.19662095,MLP@90,1.5509843,1.9442262,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1.4,1.4600246,3158.0066,0.17971661,MLP@90,1.280308,1.6397412,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1.6,1.437903,3158.0066,0.17834992,MLP@90,1.2595531,1.6162529,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
1.8,1.1060792,3158.0066,0.15642323,MLP@90,0.94965602,1.2625025,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2,1.2388088,3158.0066,0.16554278,MLP@90,1.073266,1.4043515,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2.2,1.0397145,3158.0066,0.15165795,MLP@90,0.88805655,1.1913724,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2.4,0.86274181,3158.0066,0.13814925,MLP@90,0.72459256,1.0008911,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2.6,1.1945656,3158.0066,0.16255979,MLP@90,1.0320058,1.3571254,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
2.8,1.3494167,3158.0066,0.1727751,MLP@90,1.1766416,1.5221918,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3,1.9466995,3158.0066,0.20751886,MLP@90,1.7391806,2.1542183,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3.2,1.7918484,3158.0066,0.19909426,MLP@90,1.5927541,1.9909426,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3.4,1.7697268,3158.0066,0.19786147,MLP@90,1.5718653,1.9675883,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3.6,1.3494167,3158.0066,0.1727751,MLP@90,1.1766416,1.5221918,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
3.8,0.8848634,3158.0066,0.13990919,MLP@90,0.74495421,1.0247726,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4,0.37606694,3158.0066,0.091209632,MLP@90,0.28485731,0.46727658,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4.2,0.48667487,3158.0066,0.10375943,MLP@90,0.38291544,0.5904343,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4.4,0.19909426,3158.0066,0.066364755,MLP@90,0.13272951,0.26545902,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4.6,0.19909426,3158.0066,0.066364755,MLP@90,0.13272951,0.26545902,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
4.8,0.59728279,3158.0066,0.11494713,MLP@90,0.48233567,0.71222992,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5,0.30970219,3158.0066,0.082771392,MLP@90,0.2269308,0.39247358,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5.2,0.55303962,3158.0066,0.11060792,MLP@90,0.4424317,0.66364755,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5.4,0.59728279,3158.0066,0.11494713,MLP@90,0.48233567,0.71222992,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5.6,0.53091804,3158.0066,0.10837319,MLP@90,0.42254485,0.63929123,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
5.8,0.33182377,3158.0066,0.08567653,MLP@90,0.24614724,0.41750031,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6,0.30970219,3158.0066,0.082771392,MLP@90,0.2269308,0.39247358,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6.2,0.55303962,3158.0066,0.11060792,MLP@90,0.4424317,0.66364755,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6.4,0.4424317,3158.0066,0.098930736,MLP@90,0.34350096,0.54136244,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6.6,0.35394536,3158.0066,0.08848634,MLP@90,0.26545902,0.4424317,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
6.8,0.26545902,3158.0066,0.076631418,MLP@90,0.1888276,0.34209044,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7,0.8848634,3158.0066,0.13990919,MLP@90,0.74495421,1.0247726,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7.2,0.59728279,3158.0066,0.11494713,MLP@90,0.48233567,0.71222992,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7.4,0.66364755,3158.0066,0.12116491,MLP@90,0.54248264,0.78481246,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7.6,0.59728279,3158.0066,0.11494713,MLP@90,0.48233567,0.71222992,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
7.8,0.86274181,3158.0066,0.13814925,MLP@90,0.72459256,1.0008911,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8,0.75213389,3158.0066,0.1289899,MLP@90,0.62314399,0.88112379,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8.2,0.86274181,3158.0066,0.13814925,MLP@90,0.72459256,1.0008911,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8.4,0.97334974,3158.0066,0.14673799,MLP@90,0.82661175,1.1200877,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8.6,1.2830519,3158.0066,0.16847297,MLP@90,1.114579,1.4515249,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
8.8,1.4157814,3158.0066,0.17697268,MLP@90,1.2388088,1.5927541,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9,1.4821462,3158.0066,0.18107298,MLP@90,1.3010732,1.6632192,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9.2,1.0397145,3158.0066,0.15165795,MLP@90,0.88805655,1.1913724,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9.4,1.0618361,3158.0066,0.15326284,MLP@90,0.90857324,1.2150989,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9.6,0.86274181,3158.0066,0.13814925,MLP@90,0.72459256,1.0008911,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
9.8,0.7300123,3158.0066,0.12707883,MLP@90,0.60293347,0.85709114,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10,0.48667487,3158.0066,0.10375943,MLP@90,0.38291544,0.5904343,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10.2,0.46455328,3158.0066,0.10137384,MLP@90,0.36317945,0.56592712,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10.4,0.24333743,3158.0066,0.073368997,MLP@90,0.16996844,0.31670643,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10.6,0.2875806,3158.0066,0.079760509,MLP@90,0.2078201,0.36734111,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
10.8,0.11060792,3158.0066,0.049465368,MLP@90,0.061142557,0.16007329,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
11,0.15485109,3158.0066,0.058528212,MLP@90,0.096322882,0.21337931,MLP@90,0.65466931,0.91196791,MLP,true,true,true,true
