Energy,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
8,0.70789072,3158.0066,0.12513858,All vetoes,0.58275214,0.8330293,All vetoes,0.57429153,0.8,LnL,true,true,true,true
8.2,0.8848634,3158.0066,0.13990919,All vetoes,0.74495421,1.0247726,All vetoes,0.57429153,0.8,LnL,true,true,true,true
8.4,0.86274181,3158.0066,0.13814925,All vetoes,0.72459256,1.0008911,All vetoes,0.57429153,0.8,LnL,true,true,true,true
8.6,1.1060792,3158.0066,0.15642323,All vetoes,0.94965602,1.2625025,All vetoes,0.57429153,0.8,LnL,true,true,true,true
8.8,1.1945656,3158.0066,0.16255979,All vetoes,1.0320058,1.3571254,All vetoes,0.57429153,0.8,LnL,true,true,true,true
9,1.4157814,3158.0066,0.17697268,All vetoes,1.2388088,1.5927541,All vetoes,0.57429153,0.8,LnL,true,true,true,true
9.2,1.1282008,3158.0066,0.15797972,All vetoes,0.97022112,1.2861806,All vetoes,0.57429153,0.8,LnL,true,true,true,true
9.4,1.1945656,3158.0066,0.16255979,All vetoes,1.0320058,1.3571254,All vetoes,0.57429153,0.8,LnL,true,true,true,true
9.6,0.92910657,3158.0066,0.14336426,All vetoes,0.78574231,1.0724708,All vetoes,0.57429153,0.8,LnL,true,true,true,true
9.8,0.79637706,3158.0066,0.13272951,All vetoes,0.66364755,0.92910657,All vetoes,0.57429153,0.8,LnL,true,true,true,true
10,0.61940438,3158.0066,0.11705642,All vetoes,0.50234795,0.7364608,All vetoes,0.57429153,0.8,LnL,true,true,true,true
10.2,0.59728279,3158.0066,0.11494713,All vetoes,0.48233567,0.71222992,All vetoes,0.57429153,0.8,LnL,true,true,true,true
10.4,0.4424317,3158.0066,0.098930736,All vetoes,0.34350096,0.54136244,All vetoes,0.57429153,0.8,LnL,true,true,true,true
10.6,0.4424317,3158.0066,0.098930736,All vetoes,0.34350096,0.54136244,All vetoes,0.57429153,0.8,LnL,true,true,true,true
10.8,0.22121585,3158.0066,0.069954594,All vetoes,0.15126126,0.29117044,All vetoes,0.57429153,0.8,LnL,true,true,true,true
11,0.2875806,3158.0066,0.079760509,All vetoes,0.2078201,0.36734111,All vetoes,0.57429153,0.8,LnL,true,true,true,true
11.2,0.15485109,3158.0066,0.058528212,All vetoes,0.096322882,0.21337931,All vetoes,0.57429153,0.8,LnL,true,true,true,true
11.4,0.15485109,3158.0066,0.058528212,All vetoes,0.096322882,0.21337931,All vetoes,0.57429153,0.8,LnL,true,true,true,true
11.6,0.08848634,3158.0066,0.04424317,All vetoes,0.04424317,0.13272951,All vetoes,0.57429153,0.8,LnL,true,true,true,true
11.8,0.15485109,3158.0066,0.058528212,All vetoes,0.096322882,0.21337931,All vetoes,0.57429153,0.8,LnL,true,true,true,true
0,260.26045,3158.0066,2.3994528,FADC,257.86099,262.6599,FADC,0.784,0.8,LnL,true,true,false,false
0.2,502.82363,3158.0066,3.3351545,FADC,499.48847,506.15878,FADC,0.784,0.8,LnL,true,true,false,false
0.4,328.08523,3158.0066,2.694024,FADC,325.3912,330.77925,FADC,0.784,0.8,LnL,true,true,false,false
0.6,220.35311,3158.0066,2.2078406,FADC,218.14527,222.56095,FADC,0.784,0.8,LnL,true,true,false,false
0.8,144.76365,3158.0066,1.7895255,FADC,142.97413,146.55318,FADC,0.784,0.8,LnL,true,true,false,false
1,92.202766,3158.0066,1.4281706,FADC,90.774596,93.630937,FADC,0.784,0.8,LnL,true,true,false,false
1.2,55.525178,3158.0066,1.1082892,FADC,54.416889,56.633468,FADC,0.784,0.8,LnL,true,true,false,false
1.4,33.691174,3158.0066,0.86330885,FADC,32.827865,34.554483,FADC,0.784,0.8,LnL,true,true,false,false
1.6,23.537366,3158.0066,0.72158427,FADC,22.815782,24.258951,FADC,0.784,0.8,LnL,true,true,false,false
1.8,16.193,3158.0066,0.59851051,FADC,15.59449,16.791511,FADC,0.784,0.8,LnL,true,true,false,false
2,11.72444,3158.0066,0.50927713,FADC,11.215163,12.233717,FADC,0.784,0.8,LnL,true,true,false,false
2.2,7.1895151,3158.0066,0.39880254,FADC,6.7907126,7.5883177,FADC,0.784,0.8,LnL,true,true,false,false
2.4,5.2649372,3158.0066,0.34127519,FADC,4.923662,5.6062124,FADC,0.784,0.8,LnL,true,true,false,false
2.6,4.3137091,3158.0066,0.30891112,FADC,4.0047979,4.6226202,FADC,0.784,0.8,LnL,true,true,false,false
2.8,3.2961162,3158.0066,0.27002836,FADC,3.0260878,3.5661445,FADC,0.784,0.8,LnL,true,true,false,false
3,3.5836968,3158.0066,0.28156181,FADC,3.302135,3.8652586,FADC,0.784,0.8,LnL,true,true,false,false
3.2,3.0527787,3158.0066,0.25986978,FADC,2.7929089,3.3126485,FADC,0.784,0.8,LnL,true,true,false,false
3.4,3.0306571,3158.0066,0.25892651,FADC,2.7717306,3.2895837,FADC,0.784,0.8,LnL,true,true,false,false
