Type,Loss,Epoch
data,0.21803751,0
data,0.029852657,1000
data,0.026276017,2000
data,0.025391684,3000
data,0.02506554,4000
data,0.02534116,5000
data,0.024659122,6000
data,0.024427196,7000
data,0.024338016,8000
data,0.024297041,9000
data,0.024138658,10000
data,0.024069334,11000
data,0.023952585,12000
data,0.024039946,13000
data,0.024090565,14000
data,0.023998466,15000
data,0.024003282,16000
data,0.023790611,17000
data,0.023772998,18000
data,0.023669954,19000
data,0.023816262,20000
data,0.024151342,21000
data,0.023584946,22000
data,0.023881884,23000
data,0.023573888,24000
data,0.023494435,25000
data,0.023847298,25000
data,0.023598333,26000
data,0.023579465,27000
data,0.023601153,28000
data,0.023507787,29000
data,0.023416424,30000
data,0.023414374,31000
data,0.023432722,32000
data,0.023484344,33000
data,0.023334414,34000
data,0.023336474,35000
data,0.023338088,36000
data,0.023290162,37000
data,0.023318634,38000
data,0.023467963,39000
data,0.02327301,40000
data,0.023274744,41000
data,0.023188682,42000
data,0.023247314,43000
data,0.023401106,44000
data,0.02343498,45000
data,0.023232178,46000
data,0.023519434,47000
data,0.023244709,48000
data,0.023318467,49000
data,0.023247592,50000
data,0.023375359,51000
data,0.023128216,52000
data,0.023191102,53000
data,0.023163924,54000
data,0.023099065,55000
data,0.023231617,56000
data,0.023067201,57000
data,0.023164089,58000
data,0.023156687,59000
data,0.023261661,60000
data,0.023148983,61000
data,0.023284518,62000
data,0.023924274,63000
data,0.023114489,64000
data,0.023166433,65000
data,0.023122291,66000
data,0.023072938,67000
data,0.023107663,68000
data,0.023251044,69000
data,0.023067776,70000
data,0.023122955,71000
data,0.023239339,72000
data,0.023129595,73000
data,0.023146132,74000
data,0.023129036,75000
data,0.023115144,76000
data,0.02295685,77000
data,0.022955545,78000
data,0.023040736,79000
data,0.023237444,80000
data,0.023066531,81000
data,0.023062334,82000
testData,0.16453056,0
testData,0.029874414,1000
testData,0.026697961,2000
testData,0.025901691,3000
testData,0.025610492,4000
testData,0.026248057,5000
testData,0.025121926,6000
testData,0.025118683,7000
testData,0.025154281,8000
testData,0.025226513,9000
testData,0.025182654,10000
testData,0.025016532,11000
testData,0.025112354,12000
testData,0.025173847,13000
testData,0.025037071,14000
testData,0.025072161,15000
testData,0.025413376,16000
testData,0.024981045,17000
testData,0.02507623,18000
testData,0.025276676,19000
testData,0.025040087,20000
testData,0.025748889,21000
testData,0.025033415,22000
testData,0.025384809,23000
testData,0.024958452,24000
testData,0.025252875,25000
testData,0.02494703,25000
testData,0.025177803,26000
testData,0.025127444,27000
testData,0.024963712,28000
testData,0.025062907,29000
testData,0.025188788,30000
testData,0.02504907,31000
testData,0.024995319,32000
testData,0.025045626,33000
testData,0.02511624,34000
testData,0.025025922,35000
testData,0.025157782,36000
testData,0.025231023,37000
testData,0.025062166,38000
testData,0.02501622,39000
testData,0.024983306,40000
testData,0.025101077,41000
testData,0.025076358,42000
testData,0.024992368,43000
testData,0.025161981,44000
testData,0.02512488,45000
testData,0.025170434,46000
testData,0.024970605,47000
testData,0.025094006,48000
testData,0.025064957,49000
testData,0.025331019,50000
testData,0.025038802,51000
testData,0.025060473,52000
testData,0.025775344,53000
testData,0.024945429,54000
testData,0.02494462,55000
testData,0.025046066,56000
testData,0.0249289,57000
testData,0.024940999,58000
testData,0.024938556,59000
testData,0.025048708,60000
testData,0.02504716,61000
testData,0.025168251,62000
testData,0.02609454,63000
testData,0.024987623,64000
testData,0.024939588,65000
testData,0.0250631,66000
testData,0.024950896,67000
testData,0.02503352,68000
testData,0.024958073,69000
testData,0.02496711,70000
testData,0.024996263,71000
testData,0.025058142,72000
testData,0.02507731,73000
testData,0.025128967,74000
testData,0.024952705,75000
testData,0.025015791,76000
testData,0.02499409,77000
testData,0.024942958,78000
testData,0.025062918,79000
testData,0.025069229,80000
testData,0.024992193,81000
testData,0.024926876,82000
