backRej,cutVals,sigEff
1,5.41027125e-26,0
0.25013292,0.001001001,0.00025175731
0.23850861,0.002002002,0.00029571493
0.23053319,0.003003003,0.00037963403
0.22412852,0.004004004,0.0004435724
0.21857874,0.005005005,0.0005274915
0.21366491,0.006006006,0.0006034183
0.20894221,0.007007007,0.00067934511
0.20481723,0.008008008,0.00073529118
0.20093898,0.009009009,0.00080322569
0.19754378,0.01001001,0.00084718332
0.19400957,0.011011011,0.00091112168
0.19083678,0.012012012,0.0009630716
0.18769178,0.013013013,0.0010190177
0.18472402,0.014014014,0.0010789599
0.18187789,0.015015015,0.0011468944
0.17918466,0.016016016,0.0012028405
0.17670342,0.017017017,0.0012667788
0.17433338,0.018018018,0.0013666825
0.17205717,0.019019019,0.0014466055
0.16984699,0.02002002,0.0014905631
0.16773064,0.021021021,0.0015584976
0.16572201,0.022022022,0.001622436
0.16358133,0.023023023,0.0016983628
0.16157966,0.024024024,0.0017503127
0.15972741,0.025025025,0.0018102549
0.15776396,0.026026026,0.0018582087
0.15603335,0.027027027,0.0019301393
0.15440699,0.028028028,0.0019900816
0.15274935,0.029029029,0.0020460276
0.15124462,0.03003003,0.002109966
0.14974684,0.031031031,0.0021739044
0.14822473,0.032032032,0.0022418389
0.14674085,0.033033033,0.0023457387
0.14534732,0.034034034,0.0024256617
0.14384259,0.035035035,0.0024896
0.14250119,0.036036036,0.0025735191
0.14119802,0.037037037,0.0026334613
0.13993307,0.038038038,0.002677419
0.13872372,0.039039039,0.0027093881
0.13750743,0.04004004,0.0027653342
0.13637454,0.041041041,0.0028372649
0.13520689,0.042042042,0.0028972071
0.13401145,0.043043043,0.0029331724
0.13282295,0.044044044,0.0030051031
0.13172134,0.045045045,0.0030650453
0.13074482,0.046046046,0.0031569567
0.12975094,0.047047047,0.0032208951
0.12871882,0.048048048,0.0032888296
0.12766933,0.049049049,0.0033407795
0.1267102,0.05005005,0.0033887333
0.12575106,0.051051051,0.0034606639
0.1247815,0.052052052,0.0035325946
0.12386059,0.053053053,0.0035925368
0.12301961,0.054054054,0.0036364944
0.12226551,0.055055055,0.0037284058
0.12139325,0.056056056,0.0038043326
0.12059049,0.057057057,0.0038442941
0.11982597,0.058058058,0.003896244
0.11902321,0.059059059,0.0039681747
0.11831081,0.06006006,0.0040281169
0.11746635,0.061061061,0.0041080398
0.11671572,0.062062062,0.0041959551
0.115979,0.063063063,0.0042558973
0.11527354,0.064064064,0.0043238318
0.11464802,0.065065065,0.0043677895
0.11386264,0.066066066,0.0044477124
0.11314329,0.067067067,0.0045076546
0.11240309,0.068068068,0.0045556084
0.11181579,0.069069069,0.0045955699
0.11116594,0.07007007,0.0046675005
0.11058907,0.071071071,0.0047234466
0.11001915,0.072072072,0.004787385
0.1094666,0.073073073,0.0048593156
0.10883065,0.074074074,0.004923254
0.10823988,0.075075075,0.0049592193
0.10765258,0.076076076,0.0049951846
0.10712436,0.077077077,0.0050671153
0.10650579,0.078078078,0.0051190652
0.10507404,0.079079079,0.0052869034
0.10453887,0.08008008,0.0053708225
0.10396895,0.081081081,0.0054347609
0.10343725,0.082082082,0.0054867108
0.10293336,0.083083083,0.0055306684
0.10240514,0.084084084,0.0055906107
0.10192904,0.085085085,0.0056785259
