Normalization,peak,μ/μ_max,Timestamp,Type
(μ/T) / max,0.24666694,0.95693641,1.52174052e+09,fePixel
(μ/T) / max,0.90887264,0.9303151,1.52174052e+09,feCharge
(μ/T) / max,0.00017464137,0.49684293,1.52174052e+09,feFadc
(μ/T) / max,0.23823691,0.92582606,1.52191504e+09,fePixel
(μ/T) / max,0.87064368,0.89272089,1.52191504e+09,feCharge
(μ/T) / max,0.00017054247,0.48601844,1.52191504e+09,feFadc
(μ/T) / max,0.23872592,0.92936063,1.52209364e+09,fePixel
(μ/T) / max,0.86192796,0.88534099,1.52209364e+09,feCharge
(μ/T) / max,0.00016748526,0.47814667,1.52209364e+09,feFadc
(μ/T) / max,0.22942172,0.89600523,1.52241954e+09,fePixel
(μ/T) / max,0.81813551,0.84305549,1.52241954e+09,feCharge
(μ/T) / max,0.00015761849,0.45142231,1.52241954e+09,feFadc
(μ/T) / max,0.22935453,0.90491294,1.52346265e+09,fePixel
(μ/T) / max,0.82965513,0.86367824,1.52346265e+09,feCharge
(μ/T) / max,0.00015923786,0.46072911,1.52346265e+09,feFadc
μ,0.2216076,0.8399042,1.51015845e+09,fePixel
μ,0.7695083,0.7695083,1.51015845e+09,feCharge
μ,0.00032878257,0.91380542,1.51015845e+09,feFadc
μ,0.20886848,0.79162226,1.51049701e+09,fePixel
μ,0.69096879,0.69096879,1.51049701e+09,feCharge
μ,0.00030599352,0.85046642,1.51049701e+09,feFadc
μ,0.2335347,0.88510851,1.51094633e+09,fePixel
μ,0.8324794,0.8324794,1.51094633e+09,feCharge
μ,0.00035979495,1,1.51094633e+09,feFadc
μ,0.22234647,0.84270456,1.51143374e+09,fePixel
μ,0.77534388,0.77534388,1.51143374e+09,feCharge
μ,0.00034692138,0.96421971,1.51143374e+09,feFadc
μ,0.22857685,0.86631801,1.51198675e+09,fePixel
μ,0.80603841,0.80603841,1.51198675e+09,feCharge
μ,0.0002458267,0.68324111,1.51198675e+09,feFadc
μ,0.23219368,0.88002599,1.51239478e+09,fePixel
μ,0.82696799,0.82696799,1.51239478e+09,feCharge
μ,0.00025203151,0.70048652,1.51239478e+09,feFadc
μ,0.23192591,0.87901111,1.51247284e+09,fePixel
μ,0.82481715,0.82481715,1.51247284e+09,feCharge
μ,0.00025043703,0.6960549,1.51247284e+09,feFadc
μ,0.22298913,0.84514027,1.51311234e+09,fePixel
μ,0.76970429,0.76970429,1.51311234e+09,feCharge
μ,0.00022899814,0.63646848,1.51311234e+09,feFadc
μ,0.22573913,0.85556289,1.51320061e+09,fePixel
μ,0.78893361,0.78893361,1.51320061e+09,feCharge
μ,0.00023834838,0.66245618,1.51320061e+09,feFadc
μ,0.21775437,0.82530025,1.5132711e+09,fePixel
μ,0.74360392,0.74360392,1.5132711e+09,feCharge
μ,0.00022696542,0.6308188,1.5132711e+09,feFadc
μ,0.21183655,0.80287142,1.51336576e+09,fePixel
