eventDuration,fadcReadout,szint1,szint2,runNumber
1.6828625,1,7,4095,240
0.92892378,1,39,4095,240
0.0720838,1,11,8,240
1.8172455,1,23,21,240
0.3695308,1,15,12,240
1.06127,1,26,4095,240
0.0741339,1,30,4095,240
0.72155273,1,50,4095,240
2.0891256,1,20,4095,240
0,1,8,4095,240
1.7371739,1,19,4095,240
1.8707211,1,57,4095,240
0.71540185,1,26,4095,240
0.47002895,1,53,4095,240
1.1114475,1,46,4095,240
0.65263295,1,30,4095,240
0.30322735,1,26,4095,240
0.70373257,1,53,49,240
1.3525998,1,20,18,240
1.2414608,1,54,51,240
0.015994125,1,51,4095,240
0.30927573,1,15,11,240
1.4038288,1,44,40,240
1.6693651,1,49,46,240
1.6685488,1,28,26,240
0.75279295,1,12,4095,240
2.005393,1,34,4095,240
1.381163,1,19,17,240
0.13054425,1,38,4095,240
1.4269165,1,35,33,240
0,1,42,0,240
1.061884,1,53,4095,240
1.0994963,1,23,4095,240
1.9282922,1,32,4095,240
1.1949245,1,23,22,240
2.2275345,1,38,4095,240
0.7287291,1,17,4095,240
0.24584975,1,48,4095,240
2.2565031,1,17,14,240
0,1,13,4095,240
0.88221918,1,42,4095,240
0,1,39,4095,240
0.062726975,1,19,4095,240
0.5373232,1,14,4095,240
1.9203167,1,27,4095,240
0.20764333,1,39,37,240
0,1,29,4095,240
0,1,16,4095,240
1.3104382,1,43,4095,240
0.66019295,1,19,4095,240
0.28591292,1,29,4095,240
1.0335104,1,25,23,240
1.8715456,1,60,57,240
2.1602145,1,15,12,240
1.5754463,1,20,18,240
0.91476612,1,30,28,240
0,1,51,4095,240
1.7289808,1,21,4095,240
0.1129038,1,63,4095,240
1.7741006,1,28,26,240
1.7999227,1,18,14,240
1.2850107,1,57,54,240
2.0711845,1,32,30,240
1.4464417,1,15,12,242
0.22659385,1,34,4095,242
0.45110022,1,17,4095,242
0.91781353,1,12,4095,242
0.76787878,1,49,46,242
2.0315026,1,11,4095,242
1.0597931,1,49,4095,242
0.90089565,1,20,17,242
0.86557962,1,29,4095,242
1.4046136,1,18,4095,242
1.4399653,1,38,4095,242
0,1,35,4095,242
0.52357645,1,20,4095,242
1.9046542,1,22,4095,242
1.0042518,1,23,4095,242
0,1,39,4095,242
0.64073558,1,45,42,242
1.2498996,1,57,4095,242
0.36546992,1,35,33,242
1.805284,1,38,4095,242
0.3503401,1,19,17,242
0.11086365,1,24,4095,242
0.10047937,1,36,4095,242
0.3521399,1,14,4095,242
1.1041153,1,42,40,242
0.32252253,1,12,4095,242
2.1171407,1,21,19,242
2.0750443,1,23,4095,242
0.18054048,1,38,4095,242
0.54077188,1,33,31,242
0,1,41,4095,242
1.9496977,1,15,12,242
1.8668631,1,30,4095,242
0,1,60,4095,242
0.75026335,1,18,4095,242
0.9526295,1,10,4095,242
0.1521261,1,20,4095,242
0.1946023,1,28,4095,242
0,1,53,4095,242
0,1,15,4095,242
1.1756068,1,23,4095,242
1.6085034,1,53,50,242
0.97842345,1,53,50,242
1.8360253,1,26,24,242
0,1,26,4095,242
0.553255,1,11,4095,242
0.43034405,1,20,18,242
1.9654717,1,13,4095,242
1.3225626,1,12,4095,242
1.4066735,1,15,4095,242
0.2526056,1,62,4095,242
1.1353671,1,21,4095,242
1.8513329,1,38,4095,242
1.7305031,1,41,4095,242
1.0353332,1,11,4095,242
0.94677137,1,31,29,242
0.11233598,1,15,4095,242
1.1324669,1,24,4095,242
1.4645971,1,70,4095,242
0,1,58,4095,242
1.7201629,1,32,30,242
1.0904994,1,13,4095,242
0.6670746,1,48,4095,242
1.5e-07,1,25,4095,242
1.9042431,1,55,4095,242
1.6334778,1,39,36,242
1.7081693,1,18,4095,242
0.38258865,1,47,44,244
0.51033203,1,40,39,244
1.2650637,1,11,4095,244
0.046511075,1,42,4095,244
0.55483512,1,56,4095,244
0,1,58,4095,244
2.0672363,1,15,12,244
1.1771708,1,32,4095,244
2.1798327,1,32,4095,244
1.1393636,1,36,34,244
1.1922116,1,12,4095,244
0.97783015,1,15,4095,244
1.8080836,1,21,4095,244
0.094743775,1,25,23,244
2.0852357,1,25,23,244
0,1,55,4095,244
0.2020247,1,27,4095,244
0.098873975,1,34,32,244
0.022010325,1,22,20,244
1.789835,1,42,4095,244
0.86255753,1,14,4095,244
1.6610068,1,41,4095,244
1.1209626,1,39,4095,244
2.2541445,1,32,4095,244
0,1,19,4095,244
0,1,56,4095,244
1.6701166,1,26,4095,244
0.549883,1,22,4095,244
0.070743825,1,11,8,244
2.1917344,1,25,22,244
1.9427236,1,29,4095,244
0.97390285,1,13,4095,244
1.5598296,1,51,47,244
1.715712,1,26,4095,244
0.2877441,1,16,13,244
1.2093874,1,25,4095,244
2.0052012,1,31,4095,244
1.0055129,1,27,25,244
1.98306,1,44,4095,244
1.0154942,1,30,4095,244
1.3915445,1,31,4095,244
1.3023948,1,30,4095,244
1.4272625,1,19,4095,244
1.3807485,1,34,4095,244
2.0298599,1,25,4095,244
0,1,25,4095,244
0.055542175,1,40,4095,244
1.4404674,1,12,4095,244
2.0798279,1,18,4095,244
0.0576543,1,30,28,244
2.1018722,1,44,4095,244
2.2490565,1,41,39,244
1.22577,1,17,4095,244
0,1,48,4095,244
0.88820728,1,60,4095,244
2.018792,1,43,4095,246
0.05167705,1,50,4095,246
0.26220993,1,28,4095,246
0.95010035,1,63,4095,246
0.37362017,1,45,4095,246
1.6898229,1,19,16,246
0.15739535,1,26,4095,246
2.1122973,1,15,4095,246
0.5786304,1,33,31,246
2.0162116,1,20,4095,246
0.09071975,1,15,4095,246
1.4027479,1,23,4095,246
0.003068425,1,14,4095,246
