Bins,Energy,Dset
-0.0049999999,0.277,C-EPIC-0.6kV
0.98500001,0.277,C-EPIC-0.6kV
-0.0049999999,0.525,Cu-EPIC-0.9kV
0.98500001,0.525,Cu-EPIC-0.9kV
-0.0049999999,0.93,Cu-EPIC-2kV
0.98500001,0.93,Cu-EPIC-2kV
-0.0049999999,1.49,Al-Al-4kV
0.98500001,1.49,Al-Al-4kV
-0.0049999999,2.98,Ag-Ag-6kV
0.98500001,2.98,Ag-Ag-6kV
-0.0049999999,4.51,Ti-Ti-9kV
0.98500001,4.51,Ti-Ti-9kV
-0.0049999999,5.89,Mn-Cr-12kV
0.98500001,5.89,Mn-Cr-12kV
-0.0049999999,8.04,Cu-Ni-15kV
0.98500001,8.04,Cu-Ni-15kV
