Bins,Energy,Dset
0.97000003,0.277,C-EPIC-0.6kV
9.9099998,0.277,C-EPIC-0.6kV
0.97000003,0.525,Cu-EPIC-0.9kV
9.9099998,0.525,Cu-EPIC-0.9kV
0.97000003,0.93,Cu-EPIC-2kV
9.9099998,0.93,Cu-EPIC-2kV
0.97000003,1.49,Al-Al-4kV
9.9099998,1.49,Al-Al-4kV
0.97000003,2.98,Ag-Ag-6kV
9.9099998,2.98,Ag-Ag-6kV
0.97000003,4.51,Ti-Ti-9kV
9.9099998,4.51,Ti-Ti-9kV
0.97000003,5.89,Mn-Cr-12kV
9.9099998,5.89,Mn-Cr-12kV
0.97000003,8.04,Cu-Ni-15kV
9.9099998,8.04,Cu-Ni-15kV
