Bins,Hist,Dset,Energy,Variable,yMin,yMax,runType
0.55500001,8.5984523e-05,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.56500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.57500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.58500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.59500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.60500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.61500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.62500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.63500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.64500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.65500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.66500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.67500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.68500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.69500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.70500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.71500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.72500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.73500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.74500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.75500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.76500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.77500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.78500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.79500001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
-0.0049999999,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.0050000003,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.015,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.025000001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
0.035000001,0,Al-Al-4kV,1.49,fractionInTransverseRms,1.2,2.1,CDL
