fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.06741573,4.1218929,7.4170721,1509506963,2.8651809,2.3460286,1.1889189,6.1542602,15.645594,1.8670908,4.0169702,95.041994,2.482999,4.9103301,1.3563557,0.0879765,18.20877,7.8132829,3.5725593,0.0057322073,7.9558525,background,30/10/2017
0.07826087,4.3385805,8.5773688,1509512424,2.9053415,2.2989952,1.2912056,4.7947692,15.81804,2.2480555,6.6530427,61.641812,1.958358,4.7316479,1.5836838,0.091305119,17.678809,5.9743579,3.4016573,0.0054645772,5.8444763,background,30/10/2017
0.073486259,4.1338594,7.4207096,1509517881,2.9651651,2.2179064,1.2675478,5.5292848,15.768797,1.8473969,4.0478045,85.345584,2.6363542,4.8475087,1.3756252,0.091983794,18.05683,10.270617,3.5981506,0.0061297573,7.0639678,background,30/10/2017
0.076338768,4.2115993,6.5105045,1509523333,2.8639135,1.924089,1.0785728,7.22216,15.678348,1.7257901,2.8563894,65.458663,2.2456942,4.7155027,0.94348616,0.097336822,17.858746,8.9313135,3.6879311,0.0058787191,5.1757059,background,30/10/2017
0.066666667,4.187672,7.0825381,1509528776,2.8603555,1.9948048,1.8701535,4.7311054,16.211955,1.7595462,3.5703321,65.026873,1.7365383,4.8318949,5.5673784,0.087797164,17.942542,4.9977686,3.4332097,0.0056808045,6.1129347,background,30/10/2017
0.077193933,4.1655198,3.9670745,1509534206,3.272294,1.6809292,0.95868736,6.2447094,16.196141,1.6894381,3.6567855,53.147473,1.3024035,4.7830492,0.41661712,0.092134809,18.170656,2.0328628,3.7976749,0.0055523853,5.2749754,background,30/10/2017
0.074813433,4.1907273,2.9324102,1509539616,3.1684693,1.4572156,1.2912067,5.3342871,15.761215,1.6282952,3.0324875,65.872464,1.6274524,4.8397179,1.5241028,0.092842273,18.192002,4.452948,3.7053517,0.0055623604,5.7536386,background,30/10/2017
0.072290323,4.3472382,0.82442827,1509544990,2.9450317,1.0205141,1.1813604,6.6015049,16.017486,1.9728508,5.2551862,62.92395,1.4875858,4.746443,1.3253019,0.090264139,18.204947,3.3115826,3.7445184,0.0057937974,4.3103564,background,30/10/2017
0.074471034,4.2060194,8.5654148,1509550409,2.8774259,2.1248998,1.6809017,6.4105867,16.040322,1.9982931,5.4275278,61.552775,1.7627286,4.6655457,4.9743859,0.095259373,17.757238,5.5404958,3.5510119,0.0062209004,5.2823326,background,30/10/2017
0.075268817,4.281132,4.3312023,1509555846,2.7887319,1.7914097,0.82724881,5.2481868,16.116528,1.6127374,2.894158,52.674171,1.6239592,4.8088249,0.17158674,0.087926523,18.024241,3.8715119,3.4660244,0.0042614146,4.98175,background,30/10/2017
0.080322581,4.1759379,10.492371,1509561249,2.720739,2.7520438,1.3325552,4.6194098,16.090399,2.0941142,5.3766161,98.440297,2.6832113,4.977446,2.0380803,0.093072636,18.850447,10.220546,3.3027837,0.0053401721,8.3136742,background,30/10/2017
0.069444444,4.182237,4.6206095,1509566653,2.8562994,1.7084258,1.3653623,5.0598903,15.75723,1.9352434,4.7116645,57.886949,1.6076425,4.741082,2.0661772,0.087221363,17.679824,3.9850414,3.465424,0.0051969386,5.2735098,background,30/10/2017
0.08,4.2139912,19.421942,1509572054,2.9238134,3.5322347,1.2912545,6.1241453,16.522942,2.2174138,6.539127,114.46982,3.3713897,5.0583447,2.0746844,0.094786973,18.863936,18.0085,3.6422194,0.0060646089,10.928649,background,30/10/2017
0.077777778,4.1685364,7.3636165,1509577449,3.0197975,2.1323827,1.160178,5.9104921,15.698935,2.1666853,6.1349742,65.845906,2.1164511,4.6808262,0.98109516,0.095530824,17.716806,6.6111581,3.6648054,0.0054502614,5.6479296,background,30/10/2017
0.071428571,4.205572,11.690558,1509582865,2.7910396,2.686567,1.3782796,5.2496126,15.788208,1.5907332,2.465939,78.823709,2.2347165,4.7990264,1.8319733,0.093982881,18.05436,8.4217699,3.4424023,0.0067631105,7.2607833,background,30/10/2017
0.066666667,4.4536347,7.5266569,1509588278,2.7550032,2.161285,1.8515987,5.2625607,17.152358,2.1585593,6.0062018,66.307364,2.7408492,5.0035784,5.2670719,0.083176975,18.675259,14.429266,3.3781897,0.0054250301,5.5998166,background,30/10/2017
0.06504495,4.3881226,4.7868446,1509593822,2.8488409,1.7741328,1.3077237,6.9158774,16.43638,2.2595877,6.8175542,58.669258,1.5793203,4.9225415,1.4111009,0.086208077,18.223579,3.636016,3.6491963,0.0056486092,5.7561678,background,30/10/2017
0.066666667,4.2740011,16.95231,1509599385,2.8828106,3.1329295,1.3476244,6.0615998,16.427965,2.0597665,5.1602623,92.052113,3.3689068,4.9702213,1.7701339,0.087130034,18.911713,20.469201,3.5429811,0.005552612,7.3984912,background,30/10/2017
0.060100334,4.3600974,6.6257145,1509604787,2.8294063,2.1213297,1.9976496,5.8976174,16.045797,2.5192013,10.207111,70.942079,1.6689132,4.9761182,6.50132,0.085676293,18.339792,3.7053511,3.4860442,0.006511309,7.3811731,background,30/10/2017
0.086206897,4.3050332,14.162469,1509610170,3.0038322,2.7965631,1.1404228,5.8370171,16.046387,1.9849949,4.6217333,62.358077,3.0060727,4.6868282,1.6897486,0.091582333,17.608623,17.853456,3.6405312,0.0049803917,5.6652519,background,30/10/2017
0.069767442,4.0953906,28.629993,1509615572,2.9858308,3.8245426,1.3092014,5.0695652,15.683008,1.8700248,4.1647487,81.76523,3.6389502,4.7519366,1.6027246,0.089659199,17.696564,24.75472,3.550815,0.0053494966,7.3265079,background,30/10/2017
0.068493151,4.4741622,8.7431571,1509620969,2.8052052,2.3361993,1.7093376,4.4239408,16.016444,2.0877783,6.1930345,66.855654,2.446039,4.8233336,4.6494287,0.087092463,17.982223,8.7723042,3.3533082,0.0055372305,5.7240674,background,30/10/2017
0.071856287,4.1985514,9.913565,1509626410,2.6910604,2.512441,1.0775084,5.5929137,15.996996,1.7801405,3.2712586,90.854525,3.0161608,4.9932744,0.7913187,0.088732062,18.381205,15.67566,3.4237982,0.0051625345,8.117641,background,30/10/2017
