Run number,Date,Temp / °,Notes,Timestamp,(/ (idx Temp / °) (max (col Temp / °))),prevVals_GGPLOTNIM_INTERNAL
240,<2018-10-22 Mon 06:38>,48.27,Begin of Run 3 period,1540190280,0.96869356,0
242,<2018-10-23 Tue 06:38>,48.61,"",1540276680,0.97551676,0
244,<2018-10-24 Wed 06:45>,48.7,"",1540363500,0.9773229,0
246,<2018-10-25 Thu 06:47>,49.83,"",1540450020,1,0
248,<2018-10-26 Fri 06:47>,49.37,"",1540536420,0.99076861,0
250,<2018-10-27 Sat 06:46>,47.55,"",1540622760,0.95424443,0
252,<2018-10-28 Sun 05:40>,47.16,"",1540705200,0.94641782,0
254,<2018-10-29 Mon 05:55>,45.77,"",1540792500,0.91852298,0
256,<2018-10-30 Tue 05:33>,45.56,"",1540877580,0.91430865,0
258,<2018-11-01 Thu 05:50>,46.15,"",1541051400,0.92614891,0
261,<2018-11-02 Fri 06:10>,46.65,"",1541139000,0.93618302,0
261,<2018-11-03 Sat 05:53>,47.02,"",1541224380,0.94360827,0
261,<2018-11-04 Sun 06:14>,47.97,"",1541312040,0.96267309,0
263,<2018-11-05 Mon 06:14>,47.94,"",1541398440,0.96207104,0
265,<2018-11-06 Tue 05:53>,47.27,"",1541483580,0.94862533,0
268,<2018-11-09 Fri 06:00>,47.66,"",1541743200,0.95645194,0
270,<2018-11-10 Sat 06:04>,48.39,"",1541829840,0.97110175,0
270,<2018-11-11 Sun 06:11>,48.43,"",1541916660,0.97190448,0
272,<2018-11-12 Mon 06:10>,48.69,"",1542003000,0.97712222,0
272,<2018-11-13 Tue 06:04>,48.59,"",1542089040,0.97511539,0
272,<2018-11-14 Wed 06:10>,48.96,"",1542175800,0.98254064,0
274,<2018-11-15 Thu 06:10>,48.57,"",1542262200,0.97471403,0
274,<2018-11-16 Fri 06:07>,48.6,"",1542348420,0.97531607,0
274,<2018-11-17 Sat 06:03>,47.98,"",1542434580,0.96287377,0
276,<2018-11-18 Sun 06:05>,47.7,"",1542521100,0.95725467,0
276,<2018-11-19 Mon 06:10>,47.36,"",1542607800,0.95043147,0
278,<2018-11-24 Sat 06:22>,46.6,"",1543040520,0.93517961,0
279,<2018-11-25 Sun 06:29>,46.74,"",1543127340,0.93798916,0
279,<2018-11-26 Mon 06:26>,46.67,"",1543213560,0.93658439,0
281,<2018-11-27 Tue 06:20>,46.57,"",1543299600,0.93457756,0
283,<2018-11-29 Thu 06:22>,46.31,"",1543472520,0.92935982,0
283,<2018-11-30 Fri 06:26>,46.76,"",1543559160,0.93839053,0
283,<2018-12-01 Sat 06:29>,46.83,"",1543645740,0.9397953,0
285,<2018-12-02 Sun 06:26>,46.75,"",1543731960,0.93818985,0
285,<2018-12-03 Mon 06:28>,46.62,"",1543818480,0.93558098,0
287,<2018-12-05 Wed 06:28>,47.1,"",1543991280,0.94521373,0
289,<2018-12-06 Thu 06:29>,47.44,"",1544077740,0.95203693,0
291,<2018-12-07 Fri 06:31>,46.23,"",1544164260,0.92775436,0
291,<2018-12-08 Sat 06:35>,46.13,"",1544250900,0.92574754,0
293,<2018-12-09 Sun 06:32>,46.02,"",1544337120,0.92354004,0
293,<2018-12-10 Mon 06:32>,45.78,"",1544423520,0.91872366,0
295,<2018-12-11 Tue 06:33>,45.41,"",1544509980,0.91129841,0
297,<2018-12-12 Wed 06:37>,44.38,"",1544596620,0.89062814,0
297,<2018-12-13 Thu 06:35>,44.5,"",1544682900,0.89303632,0
298,<2018-12-14 Fri 06:40>,44.74,"",1544769600,0.8978527,0
299,<2018-12-15 Sat 06:43>,44.5,"",1544856180,0.89303632,0
301,<2018-12-16 Sun 06:41>,44.44,"",1544942460,0.89183223,0
301,<2018-12-17 Mon 06:26>,45.03,"",1545027960,0.90367249,0
303,<2018-12-18 Tue 06:52>,44.69,"",1545115920,0.89684929,0
