idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
5,90,25,1540153607,1540159007,90,1298,1575,11521,13804,0,6.09782752e+06,3010.0125,3162.5353,2747.3305,2.378285,1.8221302,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.80452554,0
6,90,25,1540159007,1540164415,90.133333,1576,1831,13805,16089,0,5.33751535e+06,3018.1927,3166.2879,2768.0422,2.4194196,2.7900312,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.81059072,0
7,90,25,1540164415,1540169828,90.216667,1832,2064,16093,18372,0,5.07084692e+06,3032.6818,3187.1835,2767.3425,2.3404185,1.8550041,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.81038584,0
8,90,25,1540169828,1540175233,90.083333,2065,2311,18395,20680,0,5.21917358e+06,3006.4012,3150.0081,2752.1858,2.4787517,2.1909162,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.80594737,0
9,90,25,1540175233,1540180636,90.05,2312,2546,20691,22973,0,5.11948496e+06,3014.4599,3170.7096,2760.7219,2.3361131,1.9350329,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.80844706,0
10,90,25,1540180636,1540186048,90.2,2547,2778,22979,25266,0,5.28667246e+06,3023.198,3173.8477,2757.2413,2.3879979,1.8994403,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.8074278,0
11,90,25,1540186048,1540191451,90.05,2779,3041,25279,27570,0,5.90835566e+06,3015.1563,3165.3658,2757.7889,2.3989307,2.2522307,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.80758817,0
12,90,25,1540191451,1540196885,90.566667,3042,3296,27575,29862,0,6.01640432e+06,3058.5404,3216.4155,2788.878,2.2873206,2.2158394,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.81669227,0
13,90,25,1540196885,1540202299,90.233333,3297,3544,29883,32152,0,5.48377371e+06,3092.821,3243.7676,2838.9651,2.3329372,2.4039271,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.83135971,0
14,90,25,1540202299,1540207718,90.316667,3545,3803,32187,34484,0,5.65853719e+06,3046.2414,3181.8804,2779.8725,2.5388139,1.9754588,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.81405509,0
15,90,25,1540207718,1540213122,90.066667,3804,4063,34493,36787,0,5.42919064e+06,3053.3361,3199.3483,2798.4894,2.4148254,2.3581994,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.81950685,0
16,90,25,1540213122,1540217718,76.6,4064,4283,36802,38752,0,5.0362208e+06,3074.8393,3218.6694,2796.3722,2.4222674,2.1507692,1,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.81888686,0
0,90,25,1540126508,1540131955,90.783333,0,249,26,2315,0,6.44955563e+06,3237.9839,3359.1015,2953.0537,2.6656972,2.2560891,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.86476932,0
1,90,25,1540131955,1540137372,90.283333,250,488,2335,4617,0,5.77261737e+06,3182.3892,3306.3092,2920.0611,2.674853,1.6853682,2,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.8551078,0
