μ,Timestamp,$μ/μ_{\text{max}}$,Type,RunPeriod
852.43468,1.51888791e+09,0.86463333,feCharge,"2018-02-15"
853.76136,1.51897758e+09,0.86597899,feCharge,"2018-02-15"
917.12718,1.5190611e+09,0.9302516,feCharge,"2018-02-15"
917.3399,1.5191482e+09,0.93046736,feCharge,"2018-02-15"
942.16281,1.51923634e+09,0.95564549,feCharge,"2018-02-15"
954.5305,1.51932023e+09,0.96819017,feCharge,"2018-02-15"
960.06236,1.5194077e+09,0.97380119,feCharge,"2018-02-15"
934.57221,1.5196348e+09,0.94794627,feCharge,"2018-02-15"
920.05625,1.51989997e+09,0.93322258,feCharge,"2018-02-15"
879.92954,1.52019462e+09,0.89252164,feCharge,"2018-02-15"
837.15032,1.52036374e+09,0.84913024,feCharge,"2018-02-15"
847.70538,1.52044736e+09,0.85983635,feCharge,"2018-02-15"
820.50758,1.52096012e+09,0.83224934,feCharge,"2018-02-15"
832.47125,1.52106131e+09,0.84438421,feCharge,"2018-02-15"
829.19397,1.52113676e+09,0.84106003,feCharge,"2018-02-15"
815.02697,1.52121772e+09,0.82669029,feCharge,"2018-02-15"
799.70998,1.52132016e+09,0.81115411,feCharge,"2018-02-15"
893.16051,1.52174052e+09,0.90594195,feCharge,"2018-02-15"
857.06773,1.52191504e+09,0.86933267,feCharge,"2018-02-15"
849.98256,1.52209364e+09,0.86214611,feCharge,"2018-02-15"
809.38584,1.52241954e+09,0.82096844,feCharge,"2018-02-15"
829.18497,1.52346265e+09,0.8410509,feCharge,"2018-02-15"
