idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,gainNorm,prevVals_GGPLOTNIM_INTERNAL
7,90,25,1518934474,1518939876,90.033333,1823,2099,16049,18325,0,5.09268352e+06,3844.6685,4301.6504,4283.9834,4.5088556,6.1072616,1,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.88969137,0
8,90,25,1518939876,1518945304,90.466667,2100,2390,18326,20602,0,5.08310946e+06,3864.1908,4289.2002,4247.3825,4.7964897,6.634286,1,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.88209016,0
9,90,25,1518945304,1518950719,90.25,2391,2666,20626,22894,0,4.7327245e+06,3836.1714,4257.8296,4240.5705,4.896751,5.4127697,1,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.88067546,0
10,90,25,1518950719,1518956128,90.15,2667,2947,22904,25176,0,4.58842711e+06,3860.9158,4283.7719,4262.32,4.8271664,6.3124171,1,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.88519235,0
11,90,25,1518956128,1518961587,90.983333,2948,3219,25181,27456,0,4.50679415e+06,3873.9181,4251.624,4221.7361,5.3276643,5.9755252,1,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.87676395,0
12,90,25,1518961587,1518966990,90.05,3220,3459,27481,29757,0,3.70326173e+06,3885.6473,4255.8751,4244.8743,5.3935863,5.2777622,1,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.88156926,0
13,90,25,1518966990,1518972393,90.05,3460,3712,29765,32041,0,4.3056461e+06,3824.2024,4249.7106,4239.0096,4.8817455,5.681839,1,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.88035129,0
14,90,25,1518972393,1518973931,25.633333,3713,3794,32045,32696,0,1.27484153e+06,3840.5221,4246.4278,4227.8983,5.0664039,2.0868129,1,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.87804371,0
0,90,25,1518896497,1518901931,90.566667,0,272,1,2288,0,6.3101133e+06,3738.6624,4098.1361,3969.172,3.9981503,4.6349043,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.8243118,0
1,90,25,1518901931,1518907345,90.233333,273,517,2305,4576,0,5.8641353e+06,3760.7133,4119.4887,4012.0816,3.9689887,4.8491442,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.8332232,0
2,90,25,1518907345,1518912761,90.266667,518,768,4585,6848,0,5.71631877e+06,3777.6614,4131.6075,3987.8483,3.9886905,4.3093888,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.82819048,0
3,90,25,1518912761,1518918182,90.35,769,998,6863,9132,0,5.04563405e+06,3789.5699,4121.9272,4015.9543,4.1886794,3.9679666,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.83402748,0
4,90,25,1518918182,1518923597,90.25,999,1252,9160,11432,0,5.74497542e+06,3768.0072,4102.6676,3980.9997,4.2015178,3.8973107,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.82676816,0
5,90,25,1518923597,1518929013,90.266667,1253,1495,11445,13725,0,5.60789581e+06,3816.0527,4154.2163,4039.9802,4.0839223,4.946923,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.83901716,0
6,90,25,1518929013,1518934446,90.55,1496,1757,13733,16022,0,6.15587069e+06,3801.7907,4148.5114,4035.3413,4.020997,5.7643328,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.83805375,0
7,90,25,1518934446,1518939859,90.216667,1758,2050,16037,18309,0,7.29086043e+06,3749.8799,4070.9253,3957.4,4.3835621,5.6465265,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.82186701,0
8,90,25,1518939859,1518945265,90.1,2051,2300,18319,20595,0,6.18293474e+06,3730.1572,4118.3303,4009.7825,3.7443329,4.8278688,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.83274574,0
9,90,25,1518945265,1518950685,90.333333,2301,2583,20610,22871,0,6.09812391e+06,3762.5777,4093.1887,3994.9932,4.2544805,4.6973636,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.82967432,0
10,90,25,1518950685,1518956113,90.466667,2584,2829,22889,25144,0,6.03793951e+06,3803.3622,4128.3457,4011.0136,4.2438338,4.8507752,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.83300141,0
11,90,25,1518956113,1518961538,90.416667,2830,3067,25175,27432,0,5.22693047e+06,3788.5058,4106.6281,4007.8702,4.3458208,4.4310428,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.83234859,0
12,90,25,1518961538,1518967005,91.116667,3068,3325,27461,29739,0,5.95732553e+06,3777.2321,4090.9539,3980.381,4.4165108,4.5404729,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.82663968,0
13,90,25,1518967005,1518973919,115.23333,3326,3651,29772,32691,0,7.24683244e+06,3809.9245,4123.1963,4006.1482,4.361968,5.9039584,2,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.83199098,0
0,90,25,1518896533,1518901942,90.15,0,280,16,2305,0,8.9971902e+06,3640.7324,3735.2103,3499.9106,2.9029613,3.2073143,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.72685629,0
1,90,25,1518901942,1518907385,90.716667,281,529,2310,4582,0,7.39574012e+06,3620.9351,3710.2948,3472.0135,3.0018025,1.972809,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.72106266,0
2,90,25,1518907385,1518912796,90.183333,530,797,4602,6870,0,8.40397057e+06,3678.5832,3765.6593,3515.3373,2.9947122,2.333898,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.73006009,0
3,90,25,1518912796,1518918198,90.033333,798,1057,6878,9164,0,7.97817116e+06,3680.1141,3774.0551,3528.8801,2.8816318,2.2280497,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.73287264,0
4,90,25,1518918198,1518923645,90.783333,1058,1334,9167,11445,0,8.33611298e+06,3687.2101,3777.9186,3521.1554,2.9277625,2.6080206,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.73126839,0
5,90,25,1518923645,1518929084,90.65,1335,1597,11465,13726,0,8.41412958e+06,3704.7329,3802.7882,3544.7551,2.8010813,2.783201,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.73616954,0
6,90,25,1518929084,1518934525,90.683333,1598,1868,13762,16045,0,8.02521525e+06,3638.6181,3742.088,3504.6006,2.7699283,1.6824165,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.7278303,0
7,90,25,1518934525,1518939934,90.15,1869,2143,16070,18337,0,8.33311296e+06,3661.3996,3759.0008,3518.1918,2.8393061,2.9651278,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.7306529,0
8,90,25,1518939934,1518945339,90.083333,2144,2422,18352,20635,0,8.5570936e+06,3657.3698,3753.3915,3493.8805,2.8663556,2.3894875,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.72560398,0
9,90,25,1518945339,1518950777,90.633333,2423,2709,20641,22912,0,8.46305386e+06,3581.1808,3687.3696,3459.0446,2.7734557,2.3699929,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.71836929,0
10,90,25,1518950777,1518956195,90.3,2710,2947,22928,25201,0,7.71334193e+06,3687.8516,3782.8713,3530.1165,2.8591552,2.2809251,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.73312941,0
11,90,25,1518956195,1518961619,90.4,2948,3205,25209,27455,0,7.92658729e+06,3636.1914,3741.1732,3517.2567,2.7502989,2.2391547,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.73045869,0
12,90,25,1518961619,1518967019,90,3206,3488,27494,29769,0,8.63357714e+06,3652.0375,3741.6367,3495.4494,2.9730961,2.4869744,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.7259298,0
13,90,25,1518967019,1518972426,90.116667,3489,3754,29778,32050,0,8.34452009e+06,3663.8594,3752.5592,3498.6304,2.9788399,2.3606826,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.72659042,0
14,90,25,1518972426,1518973936,25.166667,3755,3833,32059,32698,0,2.52059147e+06,3710.974,3813.7512,3576.6023,2.7286643,1.0304217,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.74278352,0
0,90,25,1518896494,1518901922,90.466667,0,270,0,2286,0,8.60658554e+06,3489.9605,3590.6912,3288.6866,2.8775682,1.9721573,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.6829896,0
1,90,25,1518901922,1518907330,90.133333,271,532,2301,4548,0,7.91719393e+06,3508.3424,3609.7825,3318.2351,2.8522299,2.0163501,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68912619,0
2,90,25,1518907330,1518912758,90.466667,533,814,4579,6848,0,9.1162831e+06,3455.4264,3573.7952,3314.5459,2.6578345,2.4289335,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68836002,0
3,90,25,1518912758,1518918165,90.116667,815,1101,6862,9145,0,9.02306576e+06,3456.3734,3568.8838,3280.8351,2.7345838,2.0309043,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68135902,0
4,90,25,1518918165,1518923569,90.066667,1102,1384,9153,11428,0,8.38307025e+06,3482.7882,3582.4746,3289.1593,2.8993578,2.2470853,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68308777,0
5,90,25,1518923569,1518928972,90.05,1385,1647,11432,13711,0,8.09756626e+06,3502.5814,3616.4039,3325.9525,2.6823878,1.7234348,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.69072894,0
6,90,25,1518928972,1518934385,90.216667,1648,1903,13715,16002,0,7.97969366e+06,3479.7562,3592.2646,3301.5843,2.7168731,2.0602699,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68566819,0
7,90,25,1518934385,1518939801,90.266667,1904,2150,16010,18260,0,7.54535371e+06,3463.3576,3584.5367,3314.407,2.6164324,2.3698636,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68833118,0
8,90,25,1518939801,1518945287,91.433333,2151,2422,18295,20577,0,7.76016093e+06,3448.2045,3558.235,3264.2882,2.77511,1.5285452,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.67792259,0
9,90,25,1518945287,1518950789,91.7,2423,2686,20619,22888,0,7.82686447e+06,3442.5565,3544.8112,3257.1232,2.893013,1.9120941,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.67643457,0
10,90,25,1518950789,1518956206,90.283333,2687,2929,22933,25206,0,7.13248993e+06,3457.4765,3562.1524,3279.3654,2.8446188,1.9042389,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68105378,0
11,90,25,1518956206,1518961611,90.083333,2930,3196,25215,27481,0,7.78789474e+06,3441.9178,3559.6853,3286.0114,2.6756639,2.2880302,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68243403,0
12,90,25,1518961611,1518967019,90.133333,3197,3460,27491,29766,0,8.20358933e+06,3492.2245,3600.7827,3300.6582,2.7616869,1.5265164,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68547585,0
13,90,25,1518967019,1518973919,115,3461,3759,29778,32691,0,9.54595819e+06,3466.6833,3570.758,3281.2278,2.846106,2.4574062,4,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.68144057,0
0,90,25,1518896497,1518901905,90.133333,0,265,1,2290,0,7.61887152e+06,3921.6752,4347.945,4309.3962,3.3306801,3.3272122,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.89496906,0
1,90,25,1518901905,1518907357,90.866667,266,507,2294,4563,0,5.72985728e+06,4131.1202,4377.4135,4342.9937,4.8026772,5.0126009,5,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.90194655,0
