idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod
23,90,25,1509509910,1509515317,90.116667,5655,5877,52337,54543,0,4.99425373e+06,2923.1058,3057.5881,2850.5392,2.6099658,1.6963849,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
24,90,25,1509515317,1509520748,90.516667,5878,6125,54573,56813,0,5.50935358e+06,2894.4678,3011.434,2816.5978,2.8758106,2.0333944,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
25,90,25,1509520748,1509526168,90.333333,6126,6373,56827,59053,0,5.52178198e+06,2961.5856,3092.1646,2872.465,2.6246247,1.6619798,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
26,90,25,1509526168,1509531583,90.25,6374,6613,59063,61290,0,5.39668813e+06,2951.6619,3079.8714,2881.8103,2.6640259,2.0749313,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
27,90,25,1509531583,1509537008,90.416667,6614,6872,61302,63525,0,5.23743502e+06,2922.7255,3051.3492,2843.8374,2.6853155,1.6052851,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
28,90,25,1509537008,1509542419,90.183333,6873,7110,63536,65779,0,5.33405994e+06,2899.7197,3032.7486,2829.257,2.6497251,1.7582823,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
29,90,25,1509542419,1509547880,91.016667,7111,7381,65787,68009,0,6.09517674e+06,2934.5512,3060.614,2839.3899,2.7081833,1.6863358,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
30,90,25,1509547880,1509553283,90.05,7382,7645,68043,70277,0,5.48697825e+06,2930.3944,3026.1353,2801.178,3.1858832,2.3896144,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
31,90,25,1509553283,1509558692,90.15,7646,7917,70283,72521,0,5.50150011e+06,2859.9983,2989.0346,2792.8003,2.7402104,1.8828502,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
32,90,25,1509558692,1509564108,90.266667,7918,8157,72526,74713,0,5.06585436e+06,2844.4189,2971.8433,2766.656,2.7777928,1.2606715,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
33,90,25,1509564108,1509569529,90.35,8158,8394,74772,77001,0,5.4746507e+06,2846.2192,2985.5643,2795.1028,2.6204341,1.9425094,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
34,90,25,1509569529,1509574943,90.233333,8395,8656,77011,79261,0,5.66897224e+06,2871.3746,3009.6593,2822.3244,2.6100302,2.2750431,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
35,90,25,1509574943,1509580398,90.916667,8657,8919,79272,81507,0,5.97331269e+06,2822.7532,2961.6299,2774.9847,2.6487234,1.879588,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
36,90,25,1509580398,1509585869,91.183333,8920,9166,81537,83765,0,5.26211974e+06,2812.4639,2939.7604,2754.3196,2.8126163,1.8572491,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
37,90,25,1509585869,1509591278,90.15,9167,9391,83799,86007,0,4.59168665e+06,2810.6462,2950.117,2773.1394,2.6530345,1.6943657,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
38,90,25,1509591278,1509596627,89.15,9392,9620,86019,88241,0,4.77309725e+06,2870.1943,2984.7035,2773.7674,2.9385295,2.7794247,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
0,90,25,1509385189,1509390627,90.633333,0,244,8,2231,0,4.45679522e+06,4036.4817,4351.2523,4294.2851,5.7643478,5.2116568,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
1,90,25,1509390627,1509396032,90.083333,245,495,2258,4482,0,4.65822728e+06,4048.3377,4371.1109,4297.0687,5.6180003,5.6188604,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
2,90,25,1509396032,1509401434,90.033333,496,732,4497,6708,0,4.47755549e+06,4060.9241,4405.3798,4346.8622,5.2950949,5.2620622,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
3,90,25,1509401434,1509406846,90.2,733,974,6719,8952,0,4.31909167e+06,4024.5115,4353.8171,4279.5073,5.5870293,4.5534815,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
4,90,25,1509406846,1509412310,91.066667,975,1207,8964,11178,0,4.65428228e+06,4038.8651,4382.9074,4304.2624,5.3526424,5.1010431,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
5,90,25,1509412310,1509417723,90.216667,1208,1465,11215,13425,0,4.89742961e+06,4025.2538,4408.3789,4367.6215,4.9085286,6.1973532,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
6,90,25,1509417723,1509423158,90.583333,1466,1718,13439,15679,0,4.80265393e+06,4029.7224,4395.2708,4325.4379,5.1041826,5.6192508,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
7,90,25,1509423158,1509428566,90.133333,1719,1950,15697,17921,0,4.59531641e+06,4040.1081,4396.852,4368.2447,5.1882401,6.0523117,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
8,90,25,1509428566,1509433982,90.266667,1951,2206,17936,20471,0,4.2465786e+06,4071.7615,4380.404,4312.6444,5.7619453,4.4322806,1,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
