idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
5,90,25,1510186929,1510192388,90.983333,1267,1509,11166,13382,0,4.03554529e+06,3852.1118,4248.3126,4200.1409,5.1534557,4.4216722,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84697297,0
6,90,25,1510192388,1510197830,90.7,1510,1752,13410,15631,0,4.18026158e+06,3863.961,4300.8495,4275.3595,4.6712581,4.6334499,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.86214106,0
7,90,25,1510197830,1510203235,90.083333,1753,1979,15657,17880,0,4.05222574e+06,3891.8954,4292.5638,4285.6959,5.0053716,5.398893,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.86422543,0
8,90,25,1510203235,1510208637,90.033333,1980,2228,17889,20115,0,4.18806048e+06,3878.2536,4263.3591,4226.5448,5.2240181,5.1745138,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.8522974,0
9,90,25,1510208637,1510214041,90.066667,2229,2484,20122,22348,0,4.20946543e+06,3880.9992,4263.4382,4211.0993,5.2502094,4.4377901,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84918276,0
10,90,25,1510214041,1510219441,90,2485,2740,22353,24576,0,4.004466e+06,3867.6878,4234.4113,4192.2578,5.4869426,5.6117193,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84538331,0
11,90,25,1510219441,1510224860,90.316667,2741,3009,24577,26770,0,4.38663285e+06,3885.3771,4281.1625,4225.9534,5.0777604,4.681012,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.85217815,0
12,90,25,1510224860,1510230296,90.6,3010,3247,26818,29031,0,4.05250012e+06,3874.5237,4269.8782,4227.3757,5.1088958,4.6162526,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.85246497,0
13,90,25,1510230296,1510235697,90.016667,3248,3480,29052,31270,0,3.40605816e+06,3867.8077,4230.5963,4207.6866,5.539442,3.8615537,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.84849458,0
14,90,25,1510235697,1510241108,90.183333,3481,3713,31272,33477,0,4.07114419e+06,3891.2993,4309.3682,4252.5317,4.8117117,4.0417234,1,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.85753775,0
