centerX,centerY,hits,eccentricity,skewnessLongitudinal,skewnessTransverse,kurtosisLongitudinal,kurtosisTransverse,length,width,rmsLongitudinal,rmsTransverse,lengthDivRmsTrans,rotationAngle,energyFromCharge,fractionInTransverseRms,totalCharge,gasGain,eventNumber,Type,Target,σT,runNumber,DataType,isFake?,File,pred
6.3446429,5.0226786,112,1.0968376,-0.18480281,-0.43654997,-0.40003453,-0.25010332,4.9615909,4.2571206,0.97264711,0.88677401,5.5951018,1.5917529,3.4995732,0.33035714,4.34230072e+05,3.4777785,751,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.69143742
8.6922297,5.1861036,111,1.2463297,0.17196923,-0.0060806074,-0.066423094,-0.24832334,4.7508088,3.3500125,0.86366776,0.69296892,6.8557314,0.95154606,2.9313826,0.34234234,3.63728483e+05,3.4777785,784,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.9081167
8.6711842,5.6210965,114,1.1182012,-0.1965255,0.61905885,0.32841635,0.027207647,4.8467191,3.9156941,0.92658981,0.8286432,5.8489819,0.89957797,3.2415414,0.39473684,4.0221326e+05,3.4777785,789,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.83176303
7.8319495,3.9572248,109,1.1121786,0.18261765,0.14634289,-0.39521315,0.8952292,4.2801345,5.4017176,0.93833413,0.84369015,5.0731118,2.4305907,3.0337191,0.42201835,3.76426491e+05,3.4777785,846,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.98747766
6.3372479,11.299727,119,1.0481977,-0.11392254,0.28618597,-0.71459701,-0.048682283,4.7118967,5.2380037,1.039979,0.99215926,4.7491334,1.7854671,3.0344152,0.32773109,3.76512862e+05,3.4777785,885,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.9902643
10.367026,6.823319,116,1.3287897,-0.1013081,-0.040548513,-0.10617412,0.21813316,5.0130466,3.9518653,0.9549013,0.71862484,6.9758883,2.8895108,3.2386678,0.32758621,4.01856696e+05,3.4777785,1002,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.94924027
3.4004703,9.2081436,101,1.2328949,-0.11059318,-0.50533918,-0.70858544,-0.093401698,1.6252253,1.5435488,0.38529848,0.31251527,5.2004669,0.69681876,2.9338175,0.32673267,3.64030613e+05,3.4777785,1149,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.70579386
8.6416579,3.8045526,95,1.0203593,0.1403491,-0.11131172,-0.54555277,-0.35888746,5.0098473,5.0416889,1.077945,1.0564366,4.7422128,2.1182353,2.6454338,0.33684211,3.28247714e+05,3.4777785,1160,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.98973125
9.9996311,3.7566803,122,1.089508,0.23182978,0.16549134,-0.076056897,0.33025013,5.1170444,5.343616,1.0134133,0.93015677,5.5012709,0.40635654,3.083351,0.39344262,3.82584853e+05,3.4777785,1178,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.98590392
4.2925,8.0247727,121,1.2696822,0.17548109,-0.18711205,-0.53020025,0.29942296,4.3750101,4.3474754,0.97647697,0.76907194,5.6886877,1.9031013,3.3353775,0.31404959,4.13856525e+05,3.4777785,1245,signal,Ag-Ag-6kV,0.63860275,120,both,false,/home/basti/CastData/data/CalibrationRuns2017_Reco.h5,0.94359112
