centerX,centerY,hits,eccentricity,skewnessLongitudinal,skewnessTransverse,kurtosisLongitudinal,kurtosisTransverse,length,width,rmsLongitudinal,rmsTransverse,lengthDivRmsTrans,rotationAngle,energyFromCharge,fractionInTransverseRms,totalCharge,gasGain,eventNumber,Type,Target,σT,runNumber,DataType,isFake?,File,pred
7.4039167,6.567,120,1.1377364,0.12776073,-0.37361977,-0.43192151,0.091215864,4.6996271,4.4240732,0.9057316,0.79608213,5.903445,2.9367018,2.0139369,0.23333333,3.10811595e+05,2.6602214,1300,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.95742267
7.3498333,9.6121667,120,1.1273656,-0.28594455,-0.26778509,0.22728558,1.1428495,5.3634195,5.8052773,1.0025051,0.88924577,6.0314253,0.72795087,2.3399386,0.4,3.0793133e+05,2.6602214,1303,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.98509014
5.6585902,10.353853,133,1.1020075,0.1774946,0.070503689,-0.34050353,-0.38359501,4.8949273,4.8356123,1.105471,1.0031429,4.8795912,1.9048248,2.4532429,0.32330827,3.35085147e+05,2.6602214,1314,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.98102015
7.6224187,6.4647358,123,1.0987238,-0.071662979,-0.15264979,-0.45722282,0.031647844,3.0799853,3.575153,0.69560968,0.63310694,4.8648736,1.5738901,2.030481,0.34146341,3.16065605e+05,2.6602214,1396,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.9452464
11.1295,5.7515,110,1.1844534,0.20615696,0.26292408,-0.29518699,0.28850652,2.2272742,2.3864785,0.48305076,0.4078259,5.4613358,0.5083517,2.4614392,0.34545455,2.75064306e+05,2.6602214,1399,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.89213759
9.5432333,3.9867667,75,1.1970357,0.062014961,-0.031284282,-0.5264391,-0.70634575,1.8092524,1.4571789,0.42107801,0.3517673,5.1433218,0.69836913,2.2602385,0.25333333,2.04428819e+05,2.6602214,1419,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.85933489
9.2958871,5.5585484,124,1.06301,-0.46549052,-0.42746796,-0.025812581,0.04509075,4.4696254,4.5607049,0.94745694,0.89129633,5.0147468,2.9072316,2.8966865,0.41129032,3.27791444e+05,2.6602214,1582,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.95977497
8.9576667,6.6476667,120,1.2840771,-0.15527079,-0.68958049,-0.5234461,1.5792751,4.5301771,5.1309968,1.060405,0.82581096,5.4857313,1.907025,2.8313128,0.39166667,2.98950127e+05,2.6602214,1589,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.97972888
8.8025463,7.0135185,108,1.2718356,0.31571878,0.22541664,-0.56415843,-0.42893637,5.1629439,3.9352705,1.1153445,0.87695648,5.8873434,0.04268474,2.1826501,0.25,2.45626756e+05,2.6602214,1590,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.96096283
6.422203,4.6246287,101,1.3941685,-0.36743484,0.17619291,-0.2313091,-0.35726474,4.7062937,3.2071964,0.93616392,0.67148548,7.0087795,0.53987903,2.7633571,0.26732673,2.71566204e+05,2.6602214,1651,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.81512254
5.9210556,11.074556,90,1.0851959,0.096857861,-0.14084501,-0.36555519,-0.33806294,3.5881107,3.3521699,0.75721709,0.69776996,5.1422545,2.407325,2.6750655,0.34444444,2.28489256e+05,2.6602214,1664,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.98363262
8.0641,5.11214,125,1.0973552,-0.60948115,-0.34153918,0.88278477,-0.2056284,4.4021531,3.2544692,0.7680785,0.69993609,6.2893644,2.8968607,2.7954893,0.424,3.6819341e+05,2.6602214,1790,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.85164875
9.6828448,9.9739655,116,1.2538903,0.35812248,-0.2100412,0.87115512,0.26126608,5.1008719,3.9953116,0.92450337,0.73730804,6.9182372,0.37160193,2.6238391,0.37931034,2.90709289e+05,2.6602214,1866,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.91468787
7.1721602,10.74182,103,1.1451758,-0.15228782,0.18632085,-0.59046772,-0.020483588,4.4401197,4.6868602,1.0234026,0.89366418,4.9684432,2.0020587,2.8083327,0.36893204,2.81217994e+05,2.6602214,1875,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.99196601
4.3038636,5.8188636,121,1.0936836,-0.14967337,-0.14173344,0.15081969,-0.18759978,5.1408459,4.6337698,0.98515038,0.90076357,5.7072089,1.3698688,3.0388837,0.39669421,3.03648198e+05,2.6602214,1910,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.98754895
8.8182477,10.363388,107,1.0896903,-0.32333096,-0.083839565,0.15753814,0.1144689,5.838995,5.4522899,1.0956384,1.0054585,5.8072956,1.212578,2.6969825,0.3364486,2.65538248e+05,2.6602214,1955,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.97808152
3.8240138,5.2413991,109,1.2810752,0.12975347,0.12449515,-0.37279888,0.37370419,3.5099422,3.5459791,0.75080053,0.58607063,5.9889406,3.0285515,2.3577187,0.27522936,3.23891431e+05,2.6602214,1956,signal,Ag-Ag-6kV,0.64425148,329,both,false,/home/basti/CastData/data/CDL_2019/CDL_2019_Reco.h5,0.99036622
