Median energy [keV],Density,RunPeriod,Interval
2,0.029501113,21/10/2018,30
2.002002,0.031604606,21/10/2018,30
2.004004,0.03385817,21/10/2018,30
2.006006,0.036255184,21/10/2018,30
2.008008,0.038788063,21/10/2018,30
2.01001,0.041448211,21/10/2018,30
2.012012,0.044225979,21/10/2018,30
2.014014,0.047110633,21/10/2018,30
2.016016,0.050090341,21/10/2018,30
2.018018,0.05315218,21/10/2018,30
2.02002,0.056282147,21/10/2018,30
2.022022,0.059465205,21/10/2018,30
2.024024,0.062685334,21/10/2018,30
2.026026,0.065925611,21/10/2018,30
2.028028,0.069168302,21/10/2018,30
2.03003,0.072394978,21/10/2018,30
2.032032,0.075586648,21/10/2018,30
2.034034,0.078723902,21/10/2018,30
2.036036,0.081787079,21/10/2018,30
2.038038,0.084756438,21/10/2018,30
2.04004,0.087612347,21/10/2018,30
2.042042,0.090335473,21/10/2018,30
2.044044,0.092906983,21/10/2018,30
2.046046,0.095308741,21/10/2018,30
2.048048,0.097523506,21/10/2018,30
2.0500501,0.10084724,21/10/2018,30
2.0520521,0.10285182,21/10/2018,30
2.0540541,0.10465434,21/10/2018,30
2.0560561,0.10624628,21/10/2018,30
2.0580581,0.1076211,21/10/2018,30
2.0600601,0.10877441,21/10/2018,30
2.0620621,0.10970398,21/10/2018,30
2.0640641,0.11040991,21/10/2018,30
2.0660661,0.11089456,21/10/2018,30
2.0680681,0.11116267,21/10/2018,30
2.0700701,0.11122121,21/10/2018,30
2.0720721,0.11107944,21/10/2018,30
2.0740741,0.11074874,21/10/2018,30
2.0760761,0.11024252,21/10/2018,30
2.0780781,0.11079539,21/10/2018,30
2.0800801,0.11018348,21/10/2018,30
2.0820821,0.10947462,21/10/2018,30
2.0840841,0.10869168,21/10/2018,30
2.0860861,0.10785882,21/10/2018,30
2.0880881,0.10700115,21/10/2018,30
2.0900901,0.10614448,21/10/2018,30
2.0920921,0.10531502,21/10/2018,30
2.0940941,0.10453907,21/10/2018,30
2.0960961,0.10384271,21/10/2018,30
2.0980981,0.1032515,21/10/2018,30
2.1001001,0.10405858,21/10/2018,30
2.1021021,0.10395548,21/10/2018,30
2.1041041,0.10405665,21/10/2018,30
2.1061061,0.10438575,21/10/2018,30
2.1081081,0.10496474,21/10/2018,30
2.1101101,0.10581361,21/10/2018,30
2.1121121,0.10695015,21/10/2018,30
2.1141141,0.10838976,21/10/2018,30
2.1161161,0.11014529,21/10/2018,30
2.1181181,0.11222686,21/10/2018,30
2.1201201,0.11464178,21/10/2018,30
2.1221221,0.11739441,21/10/2018,30
2.1241241,0.12048609,21/10/2018,30
2.1261261,0.12391514,21/10/2018,30
2.1281281,0.12767684,21/10/2018,30
2.1301301,0.13176338,21/10/2018,30
2.1321321,0.13616399,21/10/2018,30
2.1341341,0.14086496,21/10/2018,30
2.1361361,0.14584971,21/10/2018,30
2.1381381,0.15109897,21/10/2018,30
2.1401401,0.15659084,21/10/2018,30
2.1421421,0.16230103,21/10/2018,30
2.1441441,0.16820295,21/10/2018,30
2.1461461,0.17426797,21/10/2018,30
2.1481481,0.181673,21/10/2018,30
2.1501502,0.18816724,21/10/2018,30
2.1521522,0.19475611,21/10/2018,30
2.1541542,0.20140809,21/10/2018,30
2.1561562,0.20809101,21/10/2018,30
2.1581582,0.21477231,21/10/2018,30
2.1601602,0.22141925,21/10/2018,30
2.1621622,0.22799923,21/10/2018,30
2.1641642,0.23448002,21/10/2018,30
2.1661662,0.24082999,21/10/2018,30
2.1681682,0.24701837,21/10/2018,30
2.1701702,0.25301547,21/10/2018,30
2.1721722,0.2587929,21/10/2018,30
2.1741742,0.26432376,21/10/2018,30
