Median energy [keV],Density,RunPeriod,Interval
2.3043043,0.72039444,30/10/2017,30
2.3063063,0.74470936,30/10/2017,30
2.3083083,0.7690175,30/10/2017,30
2.3103103,0.79570399,30/10/2017,30
2.3123123,0.82500384,30/10/2017,30
2.3143143,0.85457043,30/10/2017,30
2.3163163,0.8853314,30/10/2017,30
2.3183183,0.91745866,30/10/2017,30
2.3203203,0.95380419,30/10/2017,30
2.3223223,0.98918904,30/10/2017,30
2.3243243,1.0271767,30/10/2017,30
2.3263263,1.0642811,30/10/2017,30
2.3283283,1.1026304,30/10/2017,30
2.3303303,1.1448019,30/10/2017,30
2.3323323,1.1872805,30/10/2017,30
2.3343343,1.2310574,30/10/2017,30
2.3363363,1.2749676,30/10/2017,30
2.3383383,1.3214016,30/10/2017,30
2.3403403,1.367752,30/10/2017,30
2.3423423,1.4151507,30/10/2017,30
2.3443443,1.4635323,30/10/2017,30
2.3463463,1.5141618,30/10/2017,30
2.3483483,1.5659034,30/10/2017,30
2.3503504,1.6172525,30/10/2017,30
2.3523524,1.6693294,30/10/2017,30
2.3543544,1.7247056,30/10/2017,30
2.3563564,1.7824001,30/10/2017,30
2.3583584,1.8385386,30/10/2017,30
2.3603604,1.8953885,30/10/2017,30
2.3623624,1.9557292,30/10/2017,30
2.3643644,2.0142832,30/10/2017,30
2.3663664,2.0721981,30/10/2017,30
2.3683684,2.1331405,30/10/2017,30
2.3703704,2.1921317,30/10/2017,30
2.3723724,2.2541847,30/10/2017,30
2.3743744,2.3140942,30/10/2017,30
2.3763764,2.3793295,30/10/2017,30
2.3783784,2.4430599,30/10/2017,30
2.3803804,2.5060668,30/10/2017,30
2.3823824,2.5708219,30/10/2017,30
2.3843844,2.6359309,30/10/2017,30
2.3863864,2.7042771,30/10/2017,30
2.3883884,2.7712213,30/10/2017,30
2.3903904,2.8361878,30/10/2017,30
2.3923924,2.9054225,30/10/2017,30
2.3943944,2.9728837,30/10/2017,30
2.3963964,3.0421743,30/10/2017,30
2.3983984,3.1122531,30/10/2017,30
2.4004004,3.1870611,30/10/2017,30
2.4024024,3.2569771,30/10/2017,30
2.4044044,3.3275137,30/10/2017,30
2.4064064,3.403846,30/10/2017,30
2.4084084,3.477725,30/10/2017,30
2.4104104,3.5538791,30/10/2017,30
2.4124124,3.6286969,30/10/2017,30
2.4144144,3.7057772,30/10/2017,30
2.4164164,3.7876991,30/10/2017,30
2.4184184,3.8687961,30/10/2017,30
2.4204204,3.9499988,30/10/2017,30
2.4224224,4.0312799,30/10/2017,30
2.4244244,4.1200604,30/10/2017,30
2.4264264,4.20597,30/10/2017,30
2.4284284,4.2946334,30/10/2017,30
2.4304304,4.3838042,30/10/2017,30
2.4324324,4.4756397,30/10/2017,30
2.4344344,4.5731569,30/10/2017,30
2.4364364,4.6693345,30/10/2017,30
2.4384384,4.7765009,30/10/2017,30
2.4404404,4.8819685,30/10/2017,30
2.4424424,4.9874428,30/10/2017,30
2.4444444,5.0981894,30/10/2017,30
2.4464464,5.2103549,30/10/2017,30
