timestamp,RunPeriod,Interval,Median energy [keV]
1.5101e+09,30/10/2017,90,2.9616
1.5101e+09,30/10/2017,90,2.835
1.5101e+09,30/10/2017,90,2.8465
1.5101e+09,30/10/2017,90,2.8106
1.5101e+09,30/10/2017,90,2.587
1.5101e+09,30/10/2017,90,2.7253
1.5101e+09,30/10/2017,90,2.774
1.5101e+09,30/10/2017,90,2.8038
1.5101e+09,30/10/2017,90,2.725
1.5101e+09,30/10/2017,90,2.9395
1.5101e+09,30/10/2017,90,2.8389
1.5101e+09,30/10/2017,90,2.8278
1.5101e+09,30/10/2017,90,2.8308
1.5101e+09,30/10/2017,90,2.9438
1.5101e+09,30/10/2017,90,2.8875
1.5101e+09,30/10/2017,90,2.6986
1.5101e+09,30/10/2017,90,2.9779
1.5102e+09,30/10/2017,90,2.8172
1.5102e+09,30/10/2017,90,2.856
1.5102e+09,30/10/2017,90,2.8664
1.5102e+09,30/10/2017,90,2.9698
1.5102e+09,30/10/2017,90,3.0586
1.5102e+09,30/10/2017,90,2.9653
1.5102e+09,30/10/2017,90,3.0494
1.5102e+09,30/10/2017,90,2.8078
1.5102e+09,30/10/2017,90,3.0306
1.5102e+09,30/10/2017,90,2.9082
1.5102e+09,30/10/2017,90,2.9525
1.5102e+09,30/10/2017,90,2.8707
1.5102e+09,30/10/2017,90,2.8388
1.5102e+09,30/10/2017,90,2.7586
1.5102e+09,30/10/2017,90,2.8421
1.5102e+09,30/10/2017,90,2.8172
1.5102e+09,30/10/2017,90,2.8803
1.5102e+09,30/10/2017,90,2.6126
1.5103e+09,30/10/2017,90,2.8026
1.5103e+09,30/10/2017,90,2.6616
1.5103e+09,30/10/2017,90,2.716
1.5103e+09,30/10/2017,90,2.9598
1.5103e+09,30/10/2017,90,2.8052
1.5103e+09,30/10/2017,90,2.7968
1.5103e+09,30/10/2017,90,2.8516
1.5103e+09,30/10/2017,90,2.7219
1.5103e+09,30/10/2017,90,2.7309
1.5103e+09,30/10/2017,90,2.6466
1.5103e+09,30/10/2017,90,2.8739
1.5103e+09,30/10/2017,90,2.6859
1.5103e+09,30/10/2017,90,2.6798
1.5103e+09,30/10/2017,90,2.4996
1.5103e+09,30/10/2017,90,2.7829
1.5103e+09,30/10/2017,90,2.7738
1.5103e+09,30/10/2017,90,2.6114
1.5103e+09,30/10/2017,90,2.7812
1.5103e+09,30/10/2017,90,2.7517
1.5104e+09,30/10/2017,90,2.765
1.5104e+09,30/10/2017,90,2.5231
1.5104e+09,30/10/2017,90,2.8331
1.5104e+09,30/10/2017,90,2.8046
1.5104e+09,30/10/2017,90,2.8692
1.5104e+09,30/10/2017,90,2.6794
1.5104e+09,30/10/2017,90,2.8686
1.5104e+09,30/10/2017,90,2.5838
1.5104e+09,30/10/2017,90,2.768
1.5104e+09,30/10/2017,90,2.754
1.5104e+09,30/10/2017,90,2.7313
1.5104e+09,30/10/2017,90,2.8007
1.5104e+09,30/10/2017,90,2.6859
1.5104e+09,30/10/2017,90,2.8497
1.5104e+09,30/10/2017,90,2.8855
1.5104e+09,30/10/2017,90,3
1.5104e+09,30/10/2017,90,2.6692
