timestamp,RunPeriod,Interval,Median energy [keV]
1.5103e+09,30/10/2017,120,2.8092
1.5103e+09,30/10/2017,120,2.779
1.5103e+09,30/10/2017,120,2.6136
1.5103e+09,30/10/2017,120,2.9119
1.5103e+09,30/10/2017,120,2.6705
1.5103e+09,30/10/2017,120,2.4983
1.5103e+09,30/10/2017,120,2.7977
1.5103e+09,30/10/2017,120,2.7452
1.5103e+09,30/10/2017,120,2.6148
1.5104e+09,30/10/2017,120,2.823
1.5104e+09,30/10/2017,120,2.6762
1.5104e+09,30/10/2017,120,2.3228
1.5104e+09,30/10/2017,120,2.767
1.5104e+09,30/10/2017,120,2.8136
1.5104e+09,30/10/2017,120,2.7981
1.5104e+09,30/10/2017,120,2.7319
1.5104e+09,30/10/2017,120,2.6524
1.5104e+09,30/10/2017,120,2.7517
1.5104e+09,30/10/2017,120,2.692
1.5104e+09,30/10/2017,120,2.732
1.5104e+09,30/10/2017,120,2.8411
1.5104e+09,30/10/2017,120,2.9059
1.5104e+09,30/10/2017,120,2.8398
1.5104e+09,30/10/2017,120,2.73
1.5105e+09,30/10/2017,120,2.641
1.5105e+09,30/10/2017,120,2.7486
1.5105e+09,30/10/2017,120,2.7453
1.5105e+09,30/10/2017,120,2.6886
1.5105e+09,30/10/2017,120,2.672
1.5105e+09,30/10/2017,120,2.7039
1.5105e+09,30/10/2017,120,2.8404
1.5105e+09,30/10/2017,120,2.6575
1.5105e+09,30/10/2017,120,2.8789
1.5105e+09,30/10/2017,120,2.8115
1.5106e+09,30/10/2017,120,2.7242
1.5106e+09,30/10/2017,120,2.9258
1.5106e+09,30/10/2017,120,2.8704
1.5106e+09,30/10/2017,120,3.0246
1.5106e+09,30/10/2017,120,2.8019
1.5106e+09,30/10/2017,120,2.6628
1.5106e+09,30/10/2017,120,3.0952
1.5106e+09,30/10/2017,120,3.0434
1.5106e+09,30/10/2017,120,2.9252
1.5106e+09,30/10/2017,120,2.8246
1.5106e+09,30/10/2017,120,2.801
1.5106e+09,30/10/2017,120,2.7858
1.5106e+09,30/10/2017,120,2.8938
1.5106e+09,30/10/2017,120,2.9983
1.5107e+09,30/10/2017,120,2.7787
1.5107e+09,30/10/2017,120,2.8265
1.5107e+09,30/10/2017,120,3.0646
1.5107e+09,30/10/2017,120,2.7862
1.5107e+09,30/10/2017,120,2.9539
1.5107e+09,30/10/2017,120,3.0501
1.5107e+09,30/10/2017,120,2.8562
1.5107e+09,30/10/2017,120,2.6749
1.5107e+09,30/10/2017,120,2.8966
1.5107e+09,30/10/2017,120,2.9733
1.5107e+09,30/10/2017,120,2.8033
1.5107e+09,30/10/2017,120,2.8187
1.5107e+09,30/10/2017,120,3.1476
1.5107e+09,30/10/2017,120,2.6772
1.5107e+09,30/10/2017,120,2.9678
1.5108e+09,30/10/2017,120,2.9338
1.5108e+09,30/10/2017,120,3.1134
1.5108e+09,30/10/2017,120,2.9296
1.5108e+09,30/10/2017,120,2.8192
1.5108e+09,30/10/2017,120,2.9155
1.5108e+09,30/10/2017,120,2.8244
1.5108e+09,30/10/2017,120,2.9682
1.5108e+09,30/10/2017,120,2.9162
1.5108e+09,30/10/2017,120,2.9252
1.5108e+09,30/10/2017,120,2.9065
1.5108e+09,30/10/2017,120,3.0069
1.5108e+09,30/10/2017,120,3.0374
1.5108e+09,30/10/2017,120,2.8359
1.5108e+09,30/10/2017,120,3.0333
1.5109e+09,30/10/2017,120,2.861
1.5109e+09,30/10/2017,120,2.7889
1.5109e+09,30/10/2017,120,2.772
1.5109e+09,30/10/2017,120,2.9366
1.5109e+09,30/10/2017,120,2.8912
1.5109e+09,30/10/2017,120,2.7468
1.5109e+09,30/10/2017,120,2.7266
