skewnessLongitudinal,run
1.3410296,335
0.17167082,335
-0.33146042,335
0.11714746,335
-0.56320532,335
-0.27228333,335
-0.29769952,335
-0.21008564,335
0.76335477,335
0.75303878,335
-0.4695008,335
-0.0088687884,335
-0.81103343,335
0.47740858,335
0.37759285,335
-0.10042151,335
-0.34316396,335
0.053727956,335
0.16418127,335
0.15172083,335
0.091178981,335
-0.30645488,335
-1.1411345,335
-1.0081645,335
-0.038305431,335
0.080658281,335
0.034410771,335
0.12514718,335
-0.36713981,335
-0.47821615,335
0.22286424,335
0.066384883,335
0.028919511,335
-0.088241397,335
0.47752317,335
0.16893117,335
0.1109253,335
0.16841432,335
0.02226664,335
0.28223929,335
-0.25400934,335
0.46882137,335
0.041505155,335
0.08497215,335
-0.073932352,335
0.40407812,335
0.53920755,335
0.6659456,335
0.22797457,335
0.14004811,335
-0.14433024,335
0.84690082,335
-0.43699104,335
-0.30441363,335
-0.20179635,335
0.042660345,335
-0.15107593,335
-0.48203586,335
-0.31155898,335
0.19640606,335
0.19172587,335
0.65300636,335
-0.32224817,335
-0.26392573,335
-0.26634107,335
0.061578767,335
-1.0163149,335
-0.62075688,335
0.18480296,335
-0.25387348,335
0.79106058,335
-0.053174007,335
0.64698396,335
-0.010195414,335
-0.51077575,335
0.039750964,335
0.17093483,335
0.089789309,335
0.25120776,335
0.094536738,335
-0.49389598,335
-0.35547425,335
0.12866537,335
-0.76488999,335
-0.55505293,335
-0.17315639,335
-0.072192954,335
0.033046229,335
0.065496938,335
-0.33507362,335
-0.45100146,335
-0.27531775,335
0.43650749,335
-0.25299829,335
0.3268591,335
-0.44155643,335
-0.5781139,335
0.053416843,335
0.32705007,335
0.74533722,335
-0.081420229,335
0.59415463,335
-0.75064761,335
-0.3626555,335
-0.52856309,335
-0.61817973,335
0.040930967,335
-0.37237492,335
-0.054682797,335
0.43365476,335
-0.060472455,335
0.071722328,335
-0.37762146,335
-0.68458199,335
0.22745539,335
-0.59366473,335
-0.14251972,335
-1.0597847,335
-0.024921248,335
-0.011714977,335
0.183098,335
0.52334888,335
-0.45958728,335
0.92253615,335
-0.06416253,335
0.20670503,335
-0.19451817,335
0.18316428,335
0.18293645,335
-0.056475127,335
0.20355042,335
0.17219429,335
0.87990948,335
-0.075256071,335
-0.62487726,335
-0.060729571,335
-0.014420664,335
-0.19196653,335
0.44947895,335
0.24815524,335
0.53660202,335
0.49612001,335
-0.29702684,335
0.21518374,335
-0.73375566,335
-0.11097962,335
-0.61677268,335
-0.16947267,335
-0.2088523,335
-0.21276895,335
0.41943708,335
-0.27901497,335
0.023786003,335
-0.27016981,335
0.31179236,335
0.84503437,335
0.10228826,335
-2.4407969,335
-0.25874404,335
-0.37389586,335
-0.31350233,335
0.36484442,335
0.029598121,335
-0.0074713654,335
0.4979682,335
-0.33454028,335
-0.39578643,335
0.65937705,335
0.64324133,335
0.29195798,335
0.32673477,335
0.14455024,335
-0.29735576,335
-0.060326612,335
0.023231696,335
0.0020617469,335
-0.50333819,335
0.3677675,335
-0.15569453,335
-0.28236169,335
0.47050266,335
1.2342818,335
-0.28257984,335
0.2242954,335
-0.11198545,335
-0.4602298,335
0.22951361,335
