rotationAngle,run
1.6514489,342
1.2301324,342
2.6756382,342
0.90765699,342
1.1186816,342
0.89189467,342
0.26605713,342
0.54658965,342
1.0208094,342
1.3604531,342
2.8463561,342
0.21321455,342
1.7383735,342
2.5911995,342
1.3776981,342
2.7571366,342
0.14096133,342
1.3614538,342
0.85872564,342
0.51214433,342
1.8058621,342
0.1250415,342
1.9653216,342
1.2225168,342
0.07726024,342
3.030184,342
0.37540798,342
2.2007498,342
0.22005414,342
1.8904864,342
1.7272263,342
2.4861716,342
0.24307577,342
3.1383352,342
2.9156475,342
2.2208546,342
1.5783617,342
1.4549017,342
2.038693,342
1.6544595,342
1.1431853,342
1.0612479,342
0.27102459,342
0.38286779,342
2.1927775,342
2.2977048,342
0.3491431,342
2.7730203,342
0.24296695,342
1.9696096,342
0.49994929,342
2.7703598,342
2.6971495,342
1.5825847,342
1.6226655,342
0.912728,342
0.88413374,342
0.34606909,342
1.2415104,342
2.899678,342
2.3567858,342
1.6657217,342
2.2714002,342
1.5417745,342
2.8820141,342
1.5976665,342
2.21417,342
1.6184843,342
0.011520824,342
0.61399024,342
1.1381484,342
2.5986759,342
0.03159709,342
1.4030613,342
1.0038959,342
2.3164304,342
3.0236378,342
0.48176936,342
0.19831266,342
0.39781015,342
0.59417817,342
0.67696512,342
1.5972157,342
0.78647695,342
1.843272,342
2.3258342,342
0.56794065,342
0.15721611,342
2.9154905,342
1.2588699,342
2.7926135,342
2.7696757,342
2.9889018,342
0.40646023,342
0.046739553,342
2.0330149,342
2.6664079,342
0.23315419,342
2.4351704,342
1.3816365,342
0.094173342,342
2.2468109,342
1.6437295,342
2.2234673,342
1.4715791,342
1.7736853,342
1.0874639,342
2.970489,342
2.2205575,342
1.110039,342
1.1246811,342
0.38374867,342
1.9301982,342
3.0433916,342
0.70275528,342
1.7840897,342
0.0021363585,342
0.3692785,342
2.6028006,342
1.8395434,342
1.1594839,342
2.5777939,342
1.9260029,342
2.8090579,342
0.81177422,342
1.8432054,342
0.66814134,342
2.0549156,342
1.1811411,342
1.7660998,342
2.1906365,342
1.7525936,342
0.95568181,342
2.9700777,342
2.4102685,342
2.5803719,342
1.9805958,342
2.654744,342
2.5316325,342
2.7852511,342
1.3516553,342
0.91096936,342
2.3539599,342
0.66062935,342
0.41787695,342
0.85832612,342
2.0925398,342
1.3939378,342
0.87026651,342
2.4187638,342
2.4091186,342
2.3378557,342
2.1374879,342
2.5445261,342
2.6327608,342
2.8205669,342
0.90675127,342
2.8234331,342
0.50549329,342
1.6398255,342
1.472993,342
1.2648224,342
2.1732144,342
1.623558,342
2.0755724,342
2.7158715,342
0.14780073,342
2.7413785,342
1.3181276,342
0.020343751,342
2.8697707,342
1.6797607,342
0.68523325,342
0.72775177,342
2.1772048,342
0.39153352,342
0.7452842,342
0.71162266,342
1.3036886,342
0.78459765,342
3.0220217,342
2.6330818,342
0.93396314,342
1.0805721,342
1.8661633,342
1.5608405,342
2.5393187,342
2.603173,342
1.7446783,342
0.11192983,342
0.12287949,342
0.40083169,342
2.1382524,342
1.3600523,342
0.89074948,342
2.8755055,342
1.9651343,342
1.7942117,342
0.81125523,342
1.7570775,342
1.6026197,342
2.1441345,342
1.9461744,342
0.41606334,342
0.68629538,342
2.4545089,342
0.79622609,342
2.8671323,342
2.7590674,342
1.1692782,342
0.24469833,342
0.05758014,342
2.5589757,342
1.4671816,342
2.5651829,342
3.0359393,342
1.5727217,342
0.33307037,342
2.8827447,342
0.63826978,342
0.6059604,342
2.6549228,342
1.4324589,342
0.92916097,342
1.9597918,342
0.17753591,342
2.2347489,342
0.53975155,342
0.97116499,342
2.0347801,342
0.82504561,342
2.3100398,342
1.6275757,342
1.4047503,342
2.943296,342
0.11939761,342
0.026861923,342
1.2686564,342
2.268325,342
2.5410961,342
0.12115575,342
2.5020522,342
1.0751256,342
1.1092752,342
1.559369,342
1.4510331,342
1.3220335,342
2.2724788,342
1.3533126,342
2.8401175,342
2.3359039,342
1.1684795,342
0.62948821,342
1.7413703,342
0.85141615,342
1.9880192,342
1.1045328,342
0.95467601,342
1.6164079,342
1.1999379,342
1.9061972,342
2.4416935,342
1.2119206,342
1.5254259,342
0.49249911,342
1.394985,342
2.8262662,342
0.80868797,342
1.5179684,342
0.019677058,342
1.7052008,342
1.8709135,342
2.2650629,342
0.45385046,342
2.9243704,342
2.9101109,342
0.30121293,342
0.21819436,342
0.5249006,342
1.183106,342
1.2733672,342
0.23579343,342
2.9749033,342
1.8564805,342
1.1180894,342
0.82212384,342
1.9771651,342
1.0717357,342
1.3218171,342
3.1407565,342
1.471495,342
0.56061448,342
1.7341813,342
2.3759188,342
2.7648253,342
0.29439696,342
0.75066948,342
1.1709342,342
2.9696162,342
0.53242406,342
2.6692644,342
2.1176564,342
1.0863588,342
0.38231104,342
0.68970501,342
3.1002132,342
0.066758996,342
2.9310948,342
1.151392,342
0.86336067,342
2.0125348,342
2.4348832,342
1.4740926,342
1.5787449,342
0.090102206,342
1.5791203,342
0.42470263,342
0.037754881,342
2.2236283,342
0.281494,342
1.7409535,342
1.848377,342
1.5671104,342
0.13439975,342
0.62225992,342
0.42692803,342
1.4690793,342
3.0911143,342
0.61410196,342
0.58070886,342
2.1834607,342
1.4363225,342
0.41571003,342
2.6301124,342
3.0664427,342
2.6650834,342
2.0286778,342
1.7677163,342
0.88144528,342
2.2492336,342
2.810976,342
0.42758379,342
2.4170771,342
1.2547043,342
2.3553959,342
0.98401845,342
2.211277,342
1.9699811,342
2.1294021,342
0.128032,342
0.098464199,342
3.0774795,342
0.73029119,342
2.4561263,342
2.3288796,342
2.6191247,342
2.5952041,342
2.0740685,342
2.1925194,342
1.563535,342
2.3820426,342
2.1131556,342
0.29374908,342
2.2574433,342
2.7708867,342
1.0142547,342
0.30003573,342
0.43287976,342
1.9262073,342
2.3412055,342
0.68016334,342
1.6347803,342
2.4607325,342
1.2555684,342
0.12288021,342
1.3672095,342
2.0967454,342
0.92917425,342
1.3779704,342
0.60853603,342
2.0892811,342
2.7218653,342
2.7193078,342
2.1886798,342
1.8248079,342
2.4617516,342
0.53325482,342
0.77292906,342
2.7014045,342
2.1246106,342
1.2564131,342
1.530621,342
1.5066765,342
3.0625242,342
0.39651263,342
0.85382769,342
0.71496234,342
2.4483524,342
2.2197403,342
0.76486378,342
1.2476964,342
1.0551291,342
0.71003031,342
0.50051836,342
3.012886,342
0.4525496,342
0.6198638,342
2.3187582,342
1.7185759,342
0.91572035,342
1.5798138,342
1.9879857,342
0.68132231,342
3.0489881,342
0.92229543,342
2.2695487,342
2.7102724,342
0.9489267,342
0.57381296,342
2.2789003,342
2.6041099,342
0.25017055,342
2.7155085,342
2.5139262,342
0.63387671,342
1.4729509,342
3.135444,342
2.3883548,342
0.40628364,342
0.20380726,342
0.66796974,342
3.0550923,342
2.8357599,342
2.5488473,342
1.5840833,342
2.1419457,342
3.0280217,342
0.884205,342
2.2867445,342
0.10022297,342
2.8460056,342
0.99464012,342
2.4920378,342
0.72739506,342
0.073260628,342
0.78718786,342
1.5918207,342
2.6640134,342
0.16448385,342
0.83787139,342
0.5467431,342
2.6494219,342
0.52903456,342
0.64686654,342
0.57684452,342
1.0330125,342
1.3452315,342
1.8712396,342
1.5916379,342
2.5904001,342
1.2233759,342
2.6921389,342
0.11961393,342
0.17095832,342
2.3450006,342
0.087423473,342
0.78084004,342
1.7595916,342
2.2446348,342
0.48119866,342
2.1701756,342
2.8326945,342
1.211893,342
0.77644224,342
2.9329523,342
2.1584187,342
1.6219992,342
2.6954064,342
1.0748145,342
0.84767072,342
2.0022448,342
2.5424394,342
2.3345153,342
0.4935774,342
2.7513098,342
2.3273667,342
0.93438523,342
0.24960407,342
0.77572102,342
2.9313807,342
0.45473235,342
0.51231124,342
1.2325153,342
0.15989445,342
0.71999923,342
0.46717903,342
1.5242399,342
1.1361691,342
1.5184567,342
2.5871261,342
2.9245238,342
0.024951095,342
2.6974662,342
2.5152568,342
2.6506744,342
2.9973776,342
1.1894423,342
2.2055049,342
3.0155102,342
2.4839713,342
1.9006187,342
1.8282959,342
0.42017424,342
2.3378448,342
2.4804938,342
1.8257514,342
1.5590118,342
1.5114371,342
1.1704006,342
1.2250088,342
0.31765949,342
2.0707373,342
2.0924317,342
2.3010121,342
1.980642,342
0.3554081,342
2.5583129,342
1.6212865,342
0.8539943,342
0.64671035,342
2.089034,342
0.96172106,342
0.28539941,342
1.9161504,342
1.5032649,342
2.7000193,342
2.3747275,342
0.65512969,342
2.1606148,342
0.42338651,342
3.1282515,342
1.3374897,342
1.0357487,342
2.6104143,342
0.74707563,342
2.5022859,342
0.49814492,342
1.0005919,342
1.5997038,342
0.22257613,342
1.5801177,342
0.38278609,342
1.5370374,342
0.31820587,342
2.216525,342
2.7159163,342
0.93114381,342
1.9209319,342
0.4003665,342
2.9675691,342
2.615784,342
0.35229752,342
