skewnessLongitudinal,run
0.15197063,332
0.059976158,332
-0.43368741,332
0.021893038,332
0.35831772,332
0.058600926,332
-0.25264427,332
-0.00024836299,332
-0.32443829,332
0.50242877,332
-0.23369,332
0.16853375,332
-0.35649568,332
0.03779865,332
0.222269,332
-0.033287747,332
0.25510961,332
-0.52910873,332
0.013948111,332
-0.17997415,332
-0.18766491,332
0.089088675,332
0.067137209,332
-0.20788268,332
-0.38631656,332
0.056867173,332
0.10057673,332
-0.6674617,332
-0.34812076,332
-0.09868328,332
0.21373661,332
-0.095504052,332
0.11940322,332
0.32083338,332
-0.058469664,332
0.14925023,332
-0.37296975,332
0.095100848,332
0.1439738,332
-0.30521192,332
0.45062578,332
0.41414408,332
0.35551079,332
0.27929973,332
0.4407667,332
0.22914572,332
-0.40739086,332
0.097964846,332
-0.42314253,332
0.11164634,332
-0.033181378,332
0.20488707,332
0.73873664,332
-0.063743811,332
-0.90834728,332
0.21489493,332
0.26346806,332
0.22514363,332
-0.081373641,332
-0.18118937,332
-0.06583421,332
0.41616052,332
0.93814011,332
0.64485911,332
0.64217544,332
-0.11494664,332
0.29392698,332
-0.23846885,332
-0.52377063,332
0.059105711,332
0.075959096,332
0.05261533,332
0.35312925,332
0.36279853,332
0.083553348,332
-0.2023798,332
-1.1082568,332
-0.16853904,332
0.46153124,332
0.060926163,332
-0.4822804,332
0.34260794,332
0.15653206,332
-0.28686633,332
-0.042931775,332
0.052290489,332
-0.45817503,332
1.2316818,332
0.62920605,332
0.29483524,332
-0.50361675,332
-0.094376071,332
0.60472645,332
0.35848507,332
0.45510606,332
0.24934135,332
0.45408072,332
0.034997193,332
0.032176175,332
0.59767651,332
0.35621649,332
-0.19022554,332
0.12811362,332
-0.62135399,332
0.45238364,332
-0.33721921,332
0.31315858,332
-0.61756977,332
0.30627877,332
0.052424931,332
-0.025864396,332
0.040005317,332
0.027374476,332
0.21315923,332
0.050476646,332
-0.096363666,332
0.5366971,332
0.15326327,332
0.1297708,332
0.11749539,332
0.46200716,332
-0.24294195,332
-0.30673095,332
0.020712813,332
-0.14241621,332
0.18300289,332
-0.14728193,332
0.36102987,332
0.5396494,332
0.026802521,332
0.014895514,332
-0.13213295,332
-0.061783321,332
-0.34589801,332
-0.2771644,332
0.022522489,332
-0.16535729,332
0.24688109,332
-0.43788738,332
0.17542264,332
0.5718424,332
0.46886935,332
-0.23034434,332
0.35602121,332
0.047017764,332
-0.19222677,332
0.40652675,332
0.22794506,332
0.13087765,332
-0.32828494,332
0.27733708,332
-0.67828726,332
0.15477312,332
-0.14805418,332
0.25427996,332
0.34749271,332
-0.33361031,332
0.069776269,332
-0.17130835,332
-0.15343837,332
-0.23429359,332
0.022941301,332
0.43662906,332
0.42465842,332
-0.44619265,332
-0.87016351,332
0.18117237,332
0.03482181,332
0.085217986,332
-0.20964463,332
-0.017616127,332
-0.28064105,332
-0.43330018,332
0.8529505,332
-0.06921637,332
-0.00096819387,332
-0.1766947,332
0.22800103,332
0.18454226,332
-0.35838683,332
0.45648964,332
0.41556063,332
-0.41323073,332
0.23942081,332
0.073564213,332
-0.43680536,332
0.017516004,332
-0.21604485,332
-0.33552181,332
0.074588336,332
0.61629751,332
-1.2110847,332
-0.08211794,332
-0.50328194,332
0.18132695,332
-0.098200014,332
0.27864464,332
0.094251225,332
0.2781777,332
-0.95564199,332
-0.17442773,332
0.10389845,332
-0.020600526,332
-0.20398323,332
-0.13133831,332
-0.30437214,332
-0.22261657,332
0.051948924,332
-0.044315224,332
0.070685166,332
-0.7149439,332
-0.13038982,332
-0.25471227,332
-0.2369535,332
-0.98861872,332
-0.18877005,332
0.27933784,332
0.011368114,332
-0.53287003,332
-0.18501018,332
-0.37718503,332
0.21837032,332
-0.1173318,332
0.13504087,332
-0.0081771394,332
0.14372774,332
-0.11099464,332
-0.39938539,332
-0.00070234385,332
0.22325861,332
-0.093217353,332
-0.1082926,332
-0.13935546,332
0.43961696,332
0.019281196,332
-0.24460728,332
0.14674442,332
-0.60495572,332
-0.38621156,332
0.88332167,332
0.2075946,332
-0.23788117,332
0.37203115,332
0.47897604,332
0.05432506,332
-0.075367646,332
0.024247421,332
0.32835126,332
-0.2605349,332
-0.029009616,332
0.1028946,332
-0.030732268,332
-0.17713542,332
0.084681841,332
-0.085281741,332
-0.19983955,332
-0.26510481,332
-0.23010169,332
0.19663197,332
0.6671571,332
0.37108923,332
-0.28765703,332
0.44058382,332
-0.63924504,332
-0.069677073,332
0.13086488,332
0.75418002,332
0.064293467,332
0.0021275984,332
0.5927796,332
0.17466762,332
0.13098383,332
0.31740831,332
0.1743554,332
-0.57712851,332
-0.024051523,332
0.027821737,332
0.054545259,332
0.52314466,332
0.072167116,332
0.87822967,332
0.077868454,332
-0.18978607,332
0.25219599,332
-0.1524977,332
0.030982021,332
0.20497555,332
0.11743252,332
-0.46916575,332
-0.055247556,332
0.28766568,332
-0.037659529,332
0.32784285,332
-0.17582356,332
0.54488648,332
0.7135845,332
-0.43296191,332
-0.76110646,332
-0.16321575,332
-0.21959863,332
0.097434448,332
0.10241611,332
-0.2837979,332
0.64430258,332
-0.69352922,332
0.33856063,332
-0.18958005,332
0.078952709,332
0.30173336,332
0.46280479,332
0.32814801,332
0.046651299,332
0.33094561,332
-0.13022861,332
-0.20326044,332
-0.25600891,332
0.092279134,332
0.87176426,332
0.040197122,332
0.20442884,332
-0.29215307,332
-0.34339086,332
0.26220427,332
-0.16114473,332
-0.42306728,332
0.37536136,332
-0.027119322,332
0.16256679,332
-0.51798679,332
-0.52261742,332
0.083779361,332
0.074214916,332
0.14880832,332
0.098999445,332
0.29485751,332
-0.14452958,332
0.033948881,332
-0.25282051,332
-0.50770863,332
0.031826515,332
0.084171826,332
0.14752366,332
0.43826745,332
-0.20327255,332
0.064437358,332
-0.31722716,332
-0.084184562,332
-0.53819621,332
0.22788712,332
-0.35186793,332
0.063445891,332
0.0186374,332
-0.88090617,332
0.0093721361,332
0.56870132,332
0.4424673,332
-0.18680983,332
0.59959981,332
0.20521544,332
0.19591458,332
-0.13403359,332
-0.3272509,332
-0.35163891,332
0.001096399,332
0.94233584,332
0.64954678,332
-0.077652453,332
-0.34569229,332
0.027147667,332
-1.0727004,332
-0.002001754,332
-0.1423381,332
0.17680406,332
0.49439512,332
0.29294627,332
-0.029934191,332
0.47609574,332
-0.040155236,332
-0.11917602,332
0.3089234,332
-0.017232622,332
0.68681843,332
0.2810585,332
0.58375932,332
-0.59356888,332
-0.20581533,332
-0.17576973,332
0.029973809,332
-0.40895469,332
-0.17771505,332
-0.038129656,332
0.57663122,332
0.13771832,332
0.0055507134,332
-0.31914807,332
0.84275051,332
0.69294114,332
-0.1584751,332
-0.28063916,332
0.36576743,332
0.30875477,332
-0.19538964,332
-0.81187301,332
0.49169762,332
0.19138416,332
0.0091913475,332
0.088671909,332
-0.038133911,332
0.3085648,332
0.20017105,332
-0.1702116,332
0.12356613,332
0.048427903,332
0.0034740599,332
-0.19068538,332
0.37376286,332
0.30175937,332
-0.4088532,332
0.10980171,332
0.39034753,332
-0.054260468,332
-0.19469427,332
0.35093658,332
0.076637988,332
0.35687276,332
0.39494239,332
-0.28145863,332
0.87297123,332
-0.12473023,332
0.38358559,332
0.20872705,332
-0.37965451,332
0.052692482,332
0.22545478,332
0.5923218,332
0.30249463,332
0.37026851,332
-0.2468655,332
0.45514371,332
0.076013764,332
-0.15410523,332
-0.19283264,332
-0.18605316,332
0.27861061,332
-0.3436409,332
-0.33269709,332
0.069098073,332
-0.36426907,332
-0.17677454,332
0.61765745,332
-0.13559345,332
0.076371753,332
-0.30563896,332
0.84162083,332
-0.28864,332
0.4033061,332
0.176216,332
0.46961826,332
0.28406726,332
-0.44728629,332
0.76940959,332
-0.30406766,332
-0.3326303,332
0.10847652,332
-0.20441822,332
-0.10375156,332
-0.18327089,332
0.014502727,332
0.048569204,332
-0.39435257,332
0.22140371,332
0.09471387,332
0.30847533,332
0.19944185,332
-0.6869878,332
-0.44336906,332
0.31198572,332
-0.47621658,332
-0.073953919,332
0.05396869,332
-0.23398751,332
-0.31423814,332
-0.61284647,332
-0.041859159,332
-0.11202751,332
0.61062379,332
0.16310893,332
-0.46777579,332
-0.33899407,332
0.46015439,332
0.23258341,332
0.40620578,332
-0.1325884,332
0.11251051,332
0.11765688,332
-0.13072529,332
0.22793268,332
0.44388437,332
0.19162598,332
0.73305149,332
-0.50365823,332
-0.38543281,332
-0.16493852,332
0.23105538,332
0.54071313,332
-0.1854516,332
0.24342641,332
-0.4361265,332
0.18130938,332
0.032595244,332
-0.17032871,332
-0.12541463,332
-0.53494723,332
0.12727096,332
-0.63678082,332
0.0477771,332
1.0183608,332
-0.45707172,332
-0.58535201,332
0.46181677,332
0.1879037,332
-0.18524674,332
0.4231821,332
0.040713688,332
0.20339311,332
0.35211018,332
0.091040005,332
-0.025676049,332
-0.17303009,332
0.23776866,332
0.1876609,332
0.12514468,332
0.41684144,332
-0.0022953083,332
-0.41869977,332
0.49080931,332
0.040916907,332
-0.089899129,332
-0.081471714,332
0.24274884,332
-0.38391075,332
