centerY,run
8.156956,315
6.9939484,315
7.6732399,315
10.777597,315
5.950194,315
10.031581,315
7.1758617,315
9.4395968,315
8.3958111,315
6.0107826,315
3.483975,315
4.4426483,315
7.6063053,315
5.0182077,315
9.1552273,315
10.31473,315
9.0119378,315
3.7593085,315
10.964511,315
6.3898374,315
8.2675661,315
10.268434,315
5.6578202,315
7.4764266,315
4.8960622,315
4.6020192,315
10.516295,315
7.7099569,315
10.112231,315
6.0333599,315
6.1019444,315
4.1755916,315
6.9297901,315
11.186685,315
3.8032635,315
7.4742317,315
6.1233333,315
3.4012389,315
5.6771447,315
5.300075,315
10.721523,315
7.0199479,315
4.988125,315
5.3534836,315
7.9939881,315
3.4459802,315
10.683026,315
9.5927857,315
9.2059834,315
10.137281,315
4.9230046,315
10.712432,315
2.6257302,315
3.6487069,315
3.4721739,315
7.0195153,315
4.0146233,315
8.5091034,315
6.8770699,315
6.3150654,315
8.3304289,315
4.287792,315
2.6850773,315
10.380025,315
9.0065426,315
9.9425,315
4.570406,315
10.327181,315
3.5414595,315
7.0689602,315
7.5768151,315
5.237375,315
5.4576276,315
10.85651,315
5.2870765,315
9.0084677,315
9.7813222,315
5.5401923,315
8.558,315
5.633375,315
5.2321739,315
5.0426316,315
10.38061,315
3.8076549,315
5.7787931,315
9.7947326,315
8.2905108,315
10.456754,315
3.3883607,315
10.718202,315
4.1010799,315
8.6225472,315
7.995503,315
7.7163664,315
9.8450914,315
3.477407,315
3.4740802,315
7.777064,315
8.734673,315
10.73333,315
9.2569611,315
4.1023446,315
9.6761739,315
5.5598849,315
7.5881356,315
3.5425,315
10.631344,315
5.3405932,315
7.964673,315
6.5700786,315
8.4540116,315
3.2317689,315
8.6195051,315
6.9578216,315
7.365875,315
10.583882,315
7.9619588,315
9.8642982,315
9.0883383,315
5.8312088,315
9.6567814,315
3.810094,315
7.14725,315
5.8261141,315
6.4765489,315
5.9447072,315
8.2098724,315
9.8764787,315
4.8028862,315
8.0580023,315
5.3754412,315
3.6488386,315
7.0370343,315
10.501839,315
3.4835684,315
4.1733718,315
8.5332109,315
8.230283,315
6.9702637,315
11.112549,315
10.5125,315
6.4067601,315
3.8238095,315
2.9547222,315
8.7866087,315
9.3817778,315
5.234,315
8.252633,315
8.8889525,315
7.1199792,315
3.4986111,315
3.8505574,315
9.8026003,315
9.3301802,315
10.981538,315
9.000475,315
5.1569222,315
5.6558333,315
6.1288189,315
7.4566667,315
3.2333293,315
5.5403178,315
7.6186905,315
8.4869727,315
10.951585,315
3.9313108,315
5.7009615,315
5.531583,315
5.8545697,315
3.1801415,315
8.2401786,315
6.2334494,315
5.1479772,315
6.3496739,315
8.3863866,315
3.8852,315
9.094717,315
8.9315394,315
8.9543306,315
6.5146429,315
2.8858942,315
5.7858613,315
4.5166969,315
11.065312,315
5.754375,315
4.7962354,315
7.8900556,315
6.5603604,315
3.2191739,315
4.1103484,315
8.8921084,315
10.205239,315
9.8567462,315
5.4886433,315
9.279071,315
3.8557126,315
7.7130449,315
5.5305078,315
8.2733908,315
8.9813211,315
3.848347,315
10.952024,315
8.722455,315
8.5965873,315
9.41225,315
5.7174016,315
8.2158408,315
7.0922287,315
10.016982,315
8.25,315
5.5247802,315
4.3302123,315
4.4408333,315
10.424944,315
8.8485991,315
2.9566977,315
5.6867925,315
10.218953,315
4.2521063,315
6.0204948,315
9.5856937,315
8.0916265,315
7.7156646,315
8.0412967,315
8.4765596,315
7.7465453,315
3.8119783,315
9.7485667,315
5.386425,315
3.2283036,315
7.71475,315
5.5861111,315
4.480649,315
6.3298319,315
9.9362212,315
6.8417609,315
9.6880385,315
10.386519,315
5.6339604,315
3.2903095,315
5.8985955,315
4.182739,315
6.0503802,315
7.0932447,315
10.6235,315
7.4127643,315
10.685337,315
8.3135698,315
8.9274724,315
3.9299809,315
4.6787379,315
5.521006,315
6.4927174,315
7.1162065,315
6.895178,315
9.7497849,315
6.2210973,315
5.8025,315
5.183908,315
8.0473594,315
4.7581197,315
8.3220103,315
3.0275,315
11.083487,315
10.096574,315
5.2467857,315
6.3753988,315
3.3805702,315
7.3329348,315
8.9846893,315
8.5149788,315
7.7435731,315
5.7525254,315
8.8639953,315
4.8523927,315
8.251701,315
4.7594731,315
6.9085,315
9.6086789,315
8.0453776,315
8.9779324,315
7.6505,315
10.941071,315
9.4645951,315
4.8823451,315
7.3278612,315
6.1939506,315
7.5339,315
3.9709673,315
5.6312367,315
8.0723895,315
9.33526,315
9.3630412,315
3.3538488,315
6.036525,315
10.406379,315
4.8051971,315
6.6562731,315
6.9127697,315
7.3335684,315
6.9018096,315
9.3243232,315
5.237581,315
9.1584483,315
3.9899505,315
4.1009685,315
4.4223031,315
6.0907759,315
6.6937558,315
9.3298029,315
5.7772059,315
7.0715741,315
8.4229694,315
7.1444458,315
9.3167381,315
6.7260417,315
8.1969186,315
4.8914219,315
10.834733,315
4.6634149,315
9.1000556,315
10.220758,315
5.9244872,315
8.4688585,315
5.7682485,315
5.48922,315
3.7645136,315
8.50975,315
9.7223077,315
7.5117969,315
6.0891488,315
5.6941418,315
11.1962,315
7.3738333,315
3.0041667,315
10.893267,315
5.79087,315
8.0361842,315
6.6050217,315
7.6494355,315
6.0251714,315
10.30425,315
9.7471512,315
8.1044969,315
10.947331,315
8.4719469,315
4.3747917,315
5.2104775,315
9.0864269,315
5.7277,315
4.9662054,315
5.9550369,315
3.4470652,315
10.610319,315
7.4343876,315
7.9540217,315
7.1036337,315
9.3143639,315
5.1538235,315
4.2639286,315
9.8118648,315
5.448587,315
6.0909146,315
5.0793359,315
8.7418158,315
3.407261,315
5.9141176,315
7.0036905,315
8.0222222,315
6.6299906,315
7.0693599,315
5.8442033,315
6.1568784,315
7.9021781,315
9.6266176,315
4.412478,315
9.1566698,315
10.920751,315
5.842021,315
7.9272959,315
4.7590789,315
3.1703571,315
8.8348482,315
6.6583466,315
7.0357394,315
4.5925,315
9.7632301,315
5.3718902,315
6.7600893,315
10.144908,315
6.6766071,315
6.7077195,315
6.5356799,315
8.0444917,315
4.7244507,315
9.2672194,315
4.1918141,315
3.685,315
10.0969,315
4.9178493,315
4.48143,315
6.9254545,315
6.3959294,315
9.7163393,315
6.154266,315
5.850808,315
4.7432759,315
8.9834152,315
7.8659322,315
5.1882907,315
6.2003414,315
5.2636009,315
9.5659462,315
8.848125,315
10.973417,315
7.9258929,315
5.1305095,315
10.633593,315
5.3815909,315
9.4882639,315
3.1228925,315
6.1577294,315
4.415496,315
3.4674302,315
8.2394626,315
5.9339027,315
6.6214916,315
4.7376717,315
6.6593287,315
5.3600896,315
4.0247581,315
3.5194522,315
5.8115777,315
9.7881419,315
6.5175,315
6.902735,315
5.1380532,315
4.3196318,315
8.9365435,315
9.7881197,315
7.2566696,315
6.956917,315
3.5686927,315
5.563726,315
4.4435805,315
7.5193462,315
4.0862402,315
7.7975526,315
4.6209244,315
8.820625,315
3.3203261,315
4.6521561,315
10.073427,315
10.673759,315
6.0006897,315
4.7315476,315
4.3187332,315
4.5190848,315
3.6084901,315
7.7709762,315
5.1410741,315
4.6420902,315
7.7634524,315
7.6205687,315
5.8749167,315
7.9408178,315
4.8459267,315
10.427283,315
8.3031127,315
6.228935,315
6.5136881,315
5.8132755,315
3.2473008,315
10.3455,315
10.666506,315
3.0539537,315
5.635217,315
3.1555435,315
5.4584856,315
7.8473641,315
5.6691372,315
9.0005488,315
7.4693235,315
10.009637,315
5.6074745,315
5.3499882,315
10.367051,315
10.273611,315
4.1544643,315
9.4271341,315
6.1242633,315
5.5321951,315
4.9643277,315
9.2662845,315
7.6934688,315
6.8251271,315
4.5647885,315
7.9435586,315
5.5227064,315
6.9507653,315
9.4940708,315
10.467131,315
5.4433405,315
9.5817857,315
9.2304009,315
6.2840668,315
4.9540957,315
5.8815811,315
8.2555542,315
5.3053697,315
5.9493421,315
8.8564958,315
9.9470327,315
9.6180848,315
7.4390698,315
9.0128543,315
5.1783696,315
9.8362234,315
4.9846255,315
5.5250336,315
4.6015026,315
5.413375,315
8.6047191,315
11.215707,315
8.7190714,315
9.5230157,315
7.2342277,315
5.9359667,315
7.2341871,315
5.6270789,315
5.9272368,315
10.698021,315
5.0667073,315
8.9598333,315
8.7184244,315
10.102976,315
5.6990476,315
7.6951718,315
7.7388905,315
7.2021462,315
4.5784511,315
7.7641667,315
7.0311792,315
10.708762,315
6.2045127,315
6.8036392,315
9.4465854,315
4.3347857,315
5.8713117,315
7.541055,315
7.6636111,315
9.0276389,315
10.191314,315
9.5928782,315
3.9839286,315
7.2165851,315
7.6536111,315
