centerX,run
5.7605,332
3.8952119,332
6.6790625,332
5.2618396,332
4.6897321,332
4.3260345,332
5.6479762,332
6.3843421,332
9.5473352,332
8.6905189,332
9.6888208,332
7.1668284,332
9.0270876,332
10.08352,332
11.005073,332
6.2197414,332
10.334036,332
4.0403516,332
9.5066102,332
6.5869737,332
6.7418137,332
7.7127679,332
4.5760965,332
4.101087,332
6.1586017,332
5.3105556,332
3.6565517,332
3.4645175,332
7.0094444,332
6.7453571,332
8.5006132,332
3.542,332
8.2028571,332
4.4159568,332
6.5534615,332
8.7008036,332
8.6972794,332
5.2874038,332
9.2308333,332
4.6438333,332
8.8359615,332
5.7159158,332
5.6693421,332
7.0380357,332
6.5305,332
7.153587,332
10.676548,332
6.5541667,332
7.9242308,332
8.9747881,332
5.3956897,332
2.8141667,332
9.7159615,332
10.285,332
8.5693367,332
7.902418,332
6.6275,332
7.3993644,332
3.7787245,332
4.9729167,332
6.9083929,332
7.2631429,332
5.8025,332
9.9544149,332
10.930878,332
2.839375,332
8.9261207,332
9.3295,332
6.8427857,332
8.77,332
3.9261538,332
5.0351613,332
5.9419366,332
3.8510577,332
10.167143,332
5.8270536,332
3.801875,332
6.165,332
4.015,332
8.7755,332
8.4458,332
4.0937838,332
3.4249797,332
4.8792857,332
4.3007203,332
9.4589,332
7.2110593,332
2.9305,332
9.0893657,332
7.9761391,332
3.1382353,332
6.2315,332
4.5289655,332
10.522417,332
8.8567553,332
8.3597277,332
9.2597807,332
10.483289,332
8.2180102,332
4.6213095,332
5.9377459,332
4.0435377,332
9.2485,332
8.3752184,332
8.4293376,332
6.5042241,332
5.1544167,332
3.2237264,332
4.3142164,332
7.527089,332
10.289773,332
4.0435377,332
8.2841379,332
4.8181122,332
8.5856897,332
9.2093868,332
8.4368103,332
6.7766667,332
5.6755769,332
9.8061036,332
11.22476,332
4.7860577,332
10.8625,332
7.6007609,332
9.6052344,332
3.0197115,332
9.0351724,332
5.1598148,332
4.8248276,332
9.64425,332
8.8965345,332
4.4311667,332
9.1477419,332
8.0990774,332
10.330212,332
7.9194608,332
8.5537222,332
6.7233065,332
7.3673387,332
10.842296,332
4.3744298,332
3.9557031,332
7.075049,332
9.9784259,332
9.1855,332
7.3235345,332
7.7819608,332
9.3951415,332
5.4518162,332
9.0628093,332
4.0368103,332
10.336127,332
10.91625,332
6.1658929,332
3.427582,332
7.4400806,332
8.0388393,332
3.4256776,332
8.5667241,332
5.9525,332
4.3816667,332
10.053937,332
3.6774138,332
10.319764,332
9.3545833,332
6.2449265,332
3.6256,332
4.0315,332
5.9294231,332
10.932326,332
7.1698762,332
9.44075,332
9.7745,332
8.394375,332
3.7525,332
9.1836017,332
3.7795,332
10.844731,332
4.4662037,332
6.6982143,332
8.2576639,332
2.8226786,332
8.5139035,332
5.4192742,332
8.0575,332
10.038359,332
7.15,332
7.7704688,332
6.3525,332
7.1585556,332
10.469643,332
10.722011,332
9.1845339,332
7.3784184,332
9.323491,332
7.2666,332
5.2983333,332
4.8475862,332
7.3517574,332
10.528135,332
8.4821,332
7.7807114,332
4.1433333,332
3.2475943,332
3.8972241,332
7.1829098,332
9.1736207,332
3.5610088,332
3.6025,332
4.3406159,332
6.7802778,332
10.714815,332
4.62286,332
10.950893,332
4.6457258,332
9.388114,332
8.6198469,332
9.5668443,332
9.9811585,332
3.1845,332
8.0041176,332
4.7868333,332
10.185431,332
5.5189062,332
3.4818548,332
10.211094,332
4.149881,332
8.7405645,332
8.6251415,332
4.3157258,332
11.151643,332
11.371694,332
9.787381,332
7.8156122,332
5.5894841,332
5.5398874,332
6.3711154,332
9.6622581,332
11.0121,332
5.8188281,332
4.6885169,332
8.8362302,332
7.1141981,332
11.245858,332
8.94025,332
7.957302,332
6.4798684,332
7.7799615,332
7.0485345,332
6.4828704,332
9.401413,332
7.3760593,332
4.1600862,332
4.2263034,332
9.3179918,332
4.7558077,332
8.6588333,332
5.5313596,332
3.730264,332
9.7583333,332
7.5750439,332
3.7430556,332
10.780437,332
10.414516,332
4.5503333,332
9.3979124,332
10.787639,332
7.3269167,332
8.8358898,332
4.0134434,332
10.074858,332
4.5467632,332
4.6285,332
7.9052679,332
4.9180102,332
4.8987931,332
8.9687931,332
10.922241,332
5.1761567,332
2.6308333,332
8.9022656,332
3.1527419,332
9.344693,332
4.4903571,332
2.7372321,332
3.5984259,332
7.9297581,332
4.2550424,332
7.1588559,332
4.1711441,332
10.164196,332
4.4325417,332
10.975446,332
6.5249038,332
3.7330085,332
3.6714831,332
5.7437069,332
10.3975,332
5.3264655,332
5.5339167,332
4.338125,332
4.6946429,332
8.9853261,332
8.1015,332
7.9485577,332
4.7833824,332
6.265,332
7.5931731,332
4.77125,332
8.6696296,332
6.4677381,332
7.0808065,332
3.2513462,332
4.3053814,332
3.7535,332
7.3897283,332
3.7210938,332
5.9913679,332
8.0025,332
3.1405,332
8.9189796,332
9.1264516,332
10.24375,332
7.3035,332
3.3825,332
4.7245,332
4.4947222,332
11.031132,332
7.2627339,332
11.418289,332
7.5373571,332
7.2022248,332
5.4791,332
6.9632895,332
8.8032627,332
6.7206452,332
4.0292593,332
7.3194355,332
6.9081897,332
7.2305357,332
4.9430224,332
8.4228571,332
2.8421491,332
9.9162696,332
4.1344828,332
7.3958333,332
3.3199138,332
4.0583333,332
11.124956,332
3.3355791,332
6.9583871,332
9.4343033,332
5.1434649,332
7.2681481,332
4.9735714,332
5.2705657,332
5.9125,332
7.1005,332
9.7243812,332
4.7253302,332
8.2433621,332
6.6032627,332
7.9236321,332
8.1028968,332
3.7043519,332
4.3828774,332
7.0182895,332
9.9871809,332
3.6066667,332
8.8285377,332
7.0555833,332
5.0821528,332
8.0595561,332
3.8744444,332
8.4046875,332
9.1656683,332
8.8315,332
8.8334231,332
4.1224537,332
11.048654,332
6.6482547,332
7.821934,332
9.5333333,332
7.5216935,332
4.8343103,332
3.2486321,332
8.591,332
10.940305,332
2.9189286,332
6.0600833,332
5.2836321,332
9.6466071,332
6.5765104,332
4.8583333,332
8.1074074,332
5.3825,332
7.828178,332
8.811934,332
3.7273413,332
7.1967982,332
4.1721429,332
5.9304808,332
6.7375,332
5.6019118,332
3.3346296,332
8.2871759,332
11.030735,332
8.1832143,332
10.479303,332
8.7238115,332
5.3282547,332
7.2856034,332
3.0881757,332
8.4758607,332
5.0511441,332
7.7439035,332
4.0966791,332
2.7368,332
8.1858333,332
7.322783,332
2.9189286,332
10.547581,332
3.2936538,332
9.5876282,332
5.1483929,332
10.030236,332
9.1995588,332
8.2411339,332
9.6055,332
9.1013776,332
7.4877,332
3.9594608,332
4.2477679,332
3.6784,332
9.8901,332
6.2827679,332
8.3751866,332
11.049712,332
4.5346053,332
8.1705,332
6.7583621,332
10.734467,332
6.1013333,332
8.6672826,332
4.5136321,332
8.1797222,332
8.7454661,332
10.846458,332
3.8316667,332
7.6611207,332
9.4705147,332
10.342546,332
9.0335169,332
