hits,run
193,315
252,315
223,315
206,315
232,315
223,315
235,315
217,315
225,315
230,315
200,315
236,315
226,315
431,315
242,315
222,315
249,315
235,315
179,315
246,315
227,315
166,315
203,315
177,315
233,315
260,315
224,315
232,315
223,315
157,315
234,315
262,315
131,315
227,315
203,315
205,315
234,315
226,315
197,315
200,315
348,315
192,315
176,315
244,315
168,315
227,315
228,315
70,315
211,315
183,315
218,315
221,315
291,315
319,315
184,315
196,315
219,315
237,315
186,315
191,315
239,315
274,315
194,315
202,315
235,315
220,315
234,315
251,315
173,315
226,315
73,315
240,315
196,315
101,315
307,315
186,315
225,315
91,315
210,315
240,315
230,315
76,315
172,315
226,315
232,315
215,315
186,315
228,315
244,315
178,315
169,315
212,315
338,315
247,315
301,315
215,315
212,315
172,315
237,315
241,315
167,315
193,315
230,315
304,315
236,315
99,315
212,315
236,315
237,315
159,315
172,315
212,315
197,315
171,315
240,315
152,315
194,315
114,315
334,315
364,315
334,315
133,315
180,315
184,315
184,315
333,315
196,315
235,315
246,315
219,315
238,315
254,315
204,315
174,315
234,315
195,315
211,315
212,315
237,315
205,315
242,315
223,315
168,315
360,315
230,315
90,315
220,315
188,315
358,315
240,315
99,315
296,315
299,315
222,315
213,315
200,315
225,315
132,315
254,315
330,315
205,315
236,315
231,315
256,315
213,315
185,315
117,315
229,315
244,315
212,315
224,315
316,315
241,315
253,315
247,315
100,315
106,315
203,315
366,315
77,315
137,315
238,315
193,315
224,315
104,315
257,315
180,315
222,315
230,315
244,315
332,315
241,315
199,315
293,315
366,315
207,315
156,315
256,315
174,315
246,315
183,315
231,315
222,315
252,315
220,315
254,315
223,315
258,315
386,315
228,315
182,315
212,315
132,315
225,315
232,315
430,315
106,315
234,315
254,315
192,315
191,315
166,315
237,315
241,315
218,315
309,315
115,315
75,315
200,315
168,315
220,315
198,315
208,315
461,315
391,315
230,315
130,315
214,315
404,315
210,315
178,315
251,315
217,315
188,315
110,315
227,315
104,315
215,315
181,315
262,315
206,315
415,315
253,315
201,315
323,315
186,315
221,315
226,315
174,315
320,315
355,315
194,315
242,315
223,315
216,315
231,315
257,315
114,315
207,315
169,315
236,315
219,315
197,315
214,315
233,315
194,315
223,315
165,315
246,315
245,315
185,315
185,315
224,315
389,315
226,315
263,315
162,315
200,315
336,315
281,315
181,315
250,315
194,315
215,315
200,315
232,315
241,315
216,315
241,315
234,315
239,315
181,315
247,315
116,315
202,315
222,315
254,315
58,315
215,315
241,315
187,315
243,315
245,315
203,315
105,315
240,315
172,315
269,315
206,315
235,315
225,315
244,315
234,315
265,315
167,315
125,315
221,315
220,315
208,315
256,315
373,315
335,315
223,315
330,315
231,315
202,315
227,315
209,315
230,315
217,315
350,315
40,315
172,315
323,315
236,315
226,315
456,315
178,315
219,315
250,315
112,315
203,315
115,315
188,315
249,315
253,315
172,315
169,315
204,315
231,315
244,315
207,315
82,315
128,315
190,315
251,315
102,315
231,315
198,315
265,315
207,315
182,315
