skewnessTransverse,run
-0.13455808,332
0.30075221,332
0.011890556,332
-0.043412079,332
0.41713942,332
0.32656769,332
0.61094602,332
-0.64936338,332
-0.10030344,332
0.15540408,332
0.58825769,332
-0.41677908,332
-0.060877038,332
-0.34873209,332
0.37354672,332
-0.40116754,332
0.076025359,332
-0.36385212,332
-0.2302497,332
0.00059459982,332
0.18349521,332
-0.4897218,332
-0.0050050182,332
-0.25188796,332
-0.50237621,332
0.39579015,332
0.3772809,332
-0.1324057,332
0.071147824,332
0.35289004,332
-0.24911849,332
-0.11615604,332
-0.29510784,332
0.050532987,332
0.32601853,332
-0.70206638,332
-0.26077159,332
0.1118422,332
-0.69229441,332
0.41831702,332
-0.047608023,332
-0.24447451,332
-0.74644443,332
0.3476286,332
-0.1041443,332
0.35905356,332
0.42264646,332
-0.19130646,332
-0.48189902,332
0.078197774,332
-0.060142654,332
0.053332075,332
-0.35355925,332
0.51289217,332
-0.62487468,332
-0.28648536,332
0.00070745799,332
0.014165479,332
0.087385739,332
-0.027540381,332
-0.51764432,332
0.21389606,332
0.32447836,332
0.1532711,332
0.38234957,332
0.22905471,332
-0.25669461,332
0.20241078,332
-0.035828109,332
0.170714,332
-0.54885302,332
-0.38281525,332
-0.30193983,332
0.15299198,332
-0.69489319,332
-0.18037595,332
-0.34044137,332
-0.086760965,332
0.042122694,332
0.17074337,332
-0.082074191,332
0.087437757,332
-0.5925233,332
-0.39917795,332
-0.20020125,332
0.2153334,332
0.8556496,332
-0.37380207,332
0.28360353,332
0.012678669,332
0.50196851,332
0.18887121,332
0.047809607,332
0.023851993,332
0.19967709,332
-0.021769306,332
-0.20856136,332
0.56455894,332
0.59552465,332
0.020808379,332
0.16638535,332
-0.011454025,332
0.016536331,332
-0.28932696,332
-0.38745996,332
-0.36900379,332
0.30466186,332
-0.52866152,332
0.2118538,332
-0.14688541,332
-0.118093,332
0.43621189,332
-0.55938729,332
-0.52709151,332
0.13173582,332
0.91836315,332
0.285656,332
-0.17311851,332
0.39928392,332
0.24107119,332
0.19224107,332
0.044551695,332
-0.33443289,332
-0.92470358,332
0.45441449,332
0.27930114,332
-0.22221919,332
0.069341053,332
-0.21225782,332
-0.20329429,332
-0.52052693,332
-0.15577142,332
-0.03713574,332
0.018004839,332
-0.25395119,332
0.10761112,332
0.21379358,332
-0.73907248,332
0.2417862,332
0.17187608,332
-0.10779726,332
0.085052835,332
0.13235842,332
-0.19364936,332
0.051834977,332
-0.37741679,332
-0.56986467,332
-0.3076379,332
-0.075386842,332
-0.11186685,332
0.077579716,332
-0.9481913,332
-0.14203087,332
0.16259644,332
0.08242185,332
0.092571025,332
-0.021430561,332
0.53915126,332
-0.54924687,332
-0.051698603,332
-0.28589291,332
0.049756175,332
0.11628318,332
-0.33040728,332
-0.1984781,332
0.098663491,332
-0.095416058,332
-0.49517729,332
-0.020962482,332
-0.44481094,332
-0.1057288,332
0.28330635,332
0.3769227,332
0.16468355,332
0.11687697,332
0.32607528,332
-0.49413344,332
-0.038651499,332
0.069273128,332
0.18443693,332
-0.14543851,332
-0.15467918,332
0.28894701,332
-0.59000345,332
-0.080657193,332
-0.41695596,332
0.41522427,332
0.8377701,332
-0.54125751,332
-0.14323447,332
-0.18032249,332
0.028729857,332
0.56214887,332
0.74216788,332
0.39161944,332
0.027240665,332
0.49155767,332
0.21593787,332
0.55487005,332
-0.76553208,332
-0.12264811,332
-0.2606214,332
0.080786242,332
0.0070605185,332
-0.10912981,332
-0.10932061,332
-0.0426843,332
0.36745356,332
-0.3907081,332
0.20093754,332
0.02956245,332
0.081858143,332
-0.12237116,332
0.12556293,332
-0.72065099,332
-0.47506511,332
-0.0025142438,332
-0.17680504,332
0.5340364,332
0.38724623,332
-0.097141192,332
-0.31935774,332
-0.53270854,332
-0.12556849,332
-0.35947272,332
0.14629611,332
0.32380507,332
-0.026447695,332
0.45273047,332
-0.094988121,332
0.17748111,332
-0.066818905,332
0.093301469,332
-0.22212698,332
-0.038048682,332
0.24031842,332
0.21618745,332
-0.14750617,332
0.0047562502,332
0.33476807,332
0.34168683,332
0.32422692,332
-0.43784175,332
0.01404005,332
-0.48174578,332
0.2745046,332
-0.044255852,332
-0.27299323,332
0.32860175,332
-0.14637297,332
0.3750073,332
0.33805944,332
-0.53524023,332
-0.10484159,332
-0.28360443,332
0.65898064,332
0.17204697,332
0.54330914,332
0.15839011,332
-0.12168417,332
-0.12371584,332
0.44429293,332
-0.38834503,332
-0.25570147,332
-0.14319205,332
0.2137929,332
-0.18157577,332
0.10651109,332
-0.45427527,332
-0.078065169,332
-0.014789128,332
-0.05021642,332
0.24262229,332
0.16638192,332
-0.13881442,332
0.23800764,332
-0.20113038,332
-0.42579103,332
0.1082828,332
-0.32544261,332
-0.45990819,332
-0.36815577,332
0.26150384,332
0.046073324,332
-0.2116112,332
-0.19811513,332
-0.0983261,332
0.44331376,332
0.41805377,332
0.066665058,332
0.0055552029,332
0.24597354,332
-0.95755501,332
0.032304436,332
-0.048078119,332
-0.020260934,332
-0.28940374,332
0.049050875,332
-0.14640268,332
-0.02568921,332
0.060588257,332
0.40678036,332
-0.10598703,332
-0.123277,332
-0.11360239,332
-0.055066282,332
0.52500699,332
0.32178798,332
0.045732489,332
-0.045402704,332
0.30769875,332
0.19767288,332
0.28753798,332
-0.022231783,332
-0.53637425,332
0.24031588,332
-0.18736465,332
0.18855949,332
0.061360601,332
0.16486715,332
0.1570415,332
0.17529685,332
0.031535928,332
0.52508264,332
0.18865329,332
-0.36150048,332
0.39689768,332
-0.052851908,332
0.1209321,332
-0.42250312,332
-0.3180161,332
-0.26391983,332
-0.10866074,332
0.096068832,332
0.00099260077,332
-0.13093238,332
0.11401667,332
-0.083690906,332
0.048487172,332
0.17489656,332
0.055376524,332
-0.35971991,332
-0.031510196,332
-0.020088739,332
0.099452979,332
0.39830388,332
-0.5998523,332
0.4069751,332
-0.14486702,332
-0.088589551,332
-0.36822623,332
0.2873517,332
0.41891591,332
-0.34095102,332
0.36302292,332
-0.04678634,332
-0.11780691,332
0.30161548,332
-0.028526989,332
0.054506891,332
0.075659111,332
0.13991909,332
0.16748997,332
0.23474509,332
0.24869629,332
0.28122785,332
0.54658662,332
-0.00039166801,332
-0.014775131,332
0.019815485,332
0.4556862,332
-0.55150233,332
0.18477571,332
-0.12409363,332
0.069954271,332
-0.14604167,332
0.30688159,332
-0.055581297,332
0.029275145,332
0.29886558,332
-0.26395211,332
0.015716476,332
-0.1509899,332
-0.52832731,332
0.066635931,332
0.14545124,332
0.22801054,332
-0.0080094557,332
-0.096854938,332
0.010005664,332
0.35621561,332
0.11978895,332
0.81939917,332
0.17797104,332
0.38529514,332
-0.058949305,332
-0.91108077,332
-0.016574084,332
-0.30564843,332
-0.2286923,332
0.15852112,332
-0.29805324,332
0.3620686,332
-0.08690259,332
-0.41358203,332
-0.17797825,332
-0.47087436,332
0.066366397,332
0.16933629,332
0.32810708,332
-0.28917909,332
0.74360899,332
-0.32149362,332
-0.27593528,332
-0.35906938,332
-0.15248241,332
0.56864829,332
0.44543607,332
-0.25013768,332
-0.32244951,332
-0.60331162,332
0.078448658,332
0.5488003,332
0.45638626,332
0.36246006,332
0.32310829,332
0.043741057,332
0.1359142,332
-0.62457465,332
-0.3680432,332
-0.18117642,332
0.024752741,332
-0.096115733,332
0.68207346,332
-0.67258608,332
-0.25614797,332
-0.20366861,332
-0.12248715,332
-0.11998728,332
-0.21141047,332
0.19136025,332
0.22689175,332
-0.21871909,332
-0.17122674,332
0.38385225,332
-0.051820467,332
-0.0033496184,332
0.042696012,332
0.092818332,332
0.05300538,332
0.024195962,332
-0.84782273,332
-0.50080505,332
-0.33207628,332
0.36886692,332
-0.32985981,332
-0.63510228,332
-0.01729669,332
0.28042384,332
0.35344975,332
-0.57640539,332
0.032458416,332
-0.046470864,332
0.22845468,332
1.0842166,332
0.40767669,332
0.30605342,332
0.4022585,332
0.29144656,332
-0.34707118,332
-0.020645701,332
-0.33814445,332
-0.39714197,332
0.11943293,332
0.008211739,332
0.047898018,332
0.24542868,332
-0.29922453,332
0.24063136,332
0.16758899,332
-0.16832265,332
0.032254992,332
-0.20580225,332
0.06152287,332
0.32552427,332
-0.36055183,332
0.5021968,332
-0.036319296,332
0.051173368,332
-0.34141865,332
0.15851334,332
0.061458046,332
-0.8713519,332
0.25448708,332
0.10904195,332
0.16406748,332
-0.27979968,332
-0.35078809,332
-0.062275632,332
-0.23575208,332
-0.21332953,332
0.42450393,332
0.12494153,332
0.26089738,332
-0.14175323,332
0.30976482,332
0.021665911,332
0.12413656,332
0.032695597,332
-0.035190359,332
0.34243318,332
0.58192009,332
-0.22984715,332
-0.050001341,332
-0.098876635,332
0.066148198,332
-0.70508424,332
0.47789652,332
-0.18117423,332
0.14904943,332
-0.038963307,332
-0.22585216,332
-0.25529929,332
-0.092217166,332
-0.038821291,332
-0.34632791,332
0.3928369,332
0.46247189,332
-0.41085455,332
0.00082029454,332
0.29504062,332
0.013665307,332
0.31806595,332
0.19776845,332
-0.19947582,332
0.27112785,332
-0.3116468,332
-0.048077449,332
0.93821096,332
0.76386243,332
-0.53862928,332
0.30213342,332
-0.29507677,332
0.10892749,332
-0.16706513,332
0.16832464,332
0.083509311,332
-0.054409731,332
0.26601935,332
-0.36278014,332
0.4459746,332
0.22092365,332
0.1400017,332
0.44703681,332
0.27428309,332
0.10113934,332
0.70740804,332
-0.32934346,332
-0.18329893,332
0.091394919,332
-0.086497251,332
-0.17576141,332
0.0081807448,332
-0.091965749,332
0.42425032,332
-0.005847719,332
-0.076037745,332
-0.32344752,332
0.11380606,332
-0.47002749,332
-0.24622035,332
0.24707564,332
0.014605162,332
0.21962204,332
0.47644172,332
0.43578066,332
-0.1406003,332
-0.15248068,332
0.51147243,332
-0.13025397,332
0.36342116,332
-0.22859821,332
0.29630866,332
-0.17379679,332
-0.103156,332
0.39896815,332
-0.070113334,332
-0.7079143,332
0.010035394,332
-0.47611361,332
-0.075359065,332
0.31874215,332
0.062841287,332
-0.46596198,332
-0.063590645,332
-0.020965306,332
-0.25912096,332
-0.54722607,332
0.06813456,332
-0.091783394,332
0.54410362,332
0.22263517,332
-0.073886487,332
0.11401931,332
0.35316499,332
0.2828181,332
0.39275688,332
0.2710487,332
0.090165457,332
0.015541618,332
-0.15809825,332
0.13169215,332
0.72577574,332
