Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,1.93965135e+05,270,332,charge,Al-Al-4kV,1.943884
Cut,3.97102923e+05,273,332,charge,Al-Al-4kV,3.9796946
Cut,1.45081113e+05,275,332,charge,Al-Al-4kV,1.453977
Cut,1.49243929e+05,278,332,charge,Al-Al-4kV,1.495696
Cut,1.26515547e+05,279,332,charge,Al-Al-4kV,1.2679162
Cut,1.64653283e+05,280,332,charge,Al-Al-4kV,1.6501258
Cut,1.31043226e+05,281,332,charge,Al-Al-4kV,1.3132918
Cut,2.39036015e+05,284,332,charge,Al-Al-4kV,2.3955763
Cut,1.30348149e+05,286,332,charge,Al-Al-4kV,1.3063259
Cut,1.54205175e+05,289,332,charge,Al-Al-4kV,1.5454167
Cut,1.38010339e+05,292,332,charge,Al-Al-4kV,1.383115
Cut,1.58661994e+05,300,332,charge,Al-Al-4kV,1.5900822
Cut,1.54042268e+05,301,332,charge,Al-Al-4kV,1.5437841
Cut,1.48606896e+05,305,332,charge,Al-Al-4kV,1.4893118
Cut,2.41703796e+05,308,332,charge,Al-Al-4kV,2.4223123
Cut,2.88616974e+05,311,332,charge,Al-Al-4kV,2.8924678
Cut,1.37578088e+05,313,332,charge,Al-Al-4kV,1.378783
Cut,1.55068218e+05,315,332,charge,Al-Al-4kV,1.554066
Cut,1.51410393e+05,321,332,charge,Al-Al-4kV,1.5174079
Cut,1.89752279e+05,322,332,charge,Al-Al-4kV,1.9016635
Cut,1.92401105e+05,324,332,charge,Al-Al-4kV,1.9282095
Cut,3.01443291e+05,325,332,charge,Al-Al-4kV,3.0210108
Cut,1.39041909e+05,325,332,charge,Al-Al-4kV,1.3934532
Cut,1.53862662e+05,327,332,charge,Al-Al-4kV,1.5419841
Cut,1.34811155e+05,327,332,charge,Al-Al-4kV,1.3510533
Cut,1.46892738e+05,329,332,charge,Al-Al-4kV,1.4721328
Cut,2.79068834e+05,331,332,charge,Al-Al-4kV,2.796778
Cut,1.45841142e+05,332,332,charge,Al-Al-4kV,1.4615939
Cut,1.65254081e+05,335,332,charge,Al-Al-4kV,1.6561469
Cut,1.76053261e+05,340,332,charge,Al-Al-4kV,1.7643743
