rmsLongitudinal,run
1.0564053,335
1.0375355,335
1.450541,335
1.1204487,335
1.0024046,335
0.71689135,335
1.401672,335
1.0143127,335
1.0944414,335
1.3033247,335
1.1251468,335
1.2619068,335
1.2280165,335
1.0092196,335
1.0144606,335
1.3167994,335
0.82043822,335
0.99090603,335
1.855523,335
0.98959986,335
0.88770122,335
1.0128043,335
1.1493823,335
1.0351347,335
0.80112155,335
1.2113964,335
1.0485846,335
1.010905,335
1.1973232,335
1.3644988,335
0.89112608,335
1.0701081,335
0.98648275,335
0.96290018,335
1.1484784,335
1.8382963,335
1.3894432,335
0.82217263,335
0.99676128,335
1.3034761,335
1.3431527,335
1.3832348,335
0.90063927,335
1.1098938,335
1.052497,335
1.2009775,335
1.0587482,335
1.2806477,335
1.0108164,335
1.1648911,335
1.0589938,335
2.0157529,335
1.1010676,335
0.9864656,335
1.089735,335
0.92587989,335
1.1561067,335
0.8257468,335
1.3771814,335
1.1516512,335
1.2029561,335
1.0831691,335
0.90536312,335
0.87960762,335
0.96505283,335
1.1659012,335
1.0589394,335
1.1412518,335
1.1097319,335
1.359601,335
0.95242675,335
1.1939724,335
1.9652939,335
1.0715701,335
1.226673,335
1.1032156,335
0.98114998,335
1.1194602,335
1.0242302,335
1.2705629,335
1.08525,335
1.0156152,335
1.0169227,335
1.2205659,335
1.2871918,335
1.2036997,335
0.92390643,335
1.0888274,335
1.0877926,335
1.1447604,335
1.1089279,335
1.1026091,335
0.91457328,335
1.2851393,335
1.0606033,335
0.81544538,335
1.3264591,335
1.0343595,335
1.0714833,335
1.2075464,335
1.0513325,335
1.1038135,335
2.0966465,335
1.365338,335
1.0748706,335
0.99885458,335
1.0849957,335
1.3118734,335
1.2836839,335
1.1712958,335
1.1026825,335
1.3746045,335
1.086466,335
1.9214623,335
0.88141358,335
1.3037027,335
1.1614175,335
1.0819572,335
1.2957055,335
1.2843023,335
1.1172343,335
1.0172762,335
1.0538829,335
0.94656204,335
1.0788686,335
1.0440339,335
1.4740343,335
0.82968434,335
0.8348792,335
1.1382409,335
0.91525242,335
1.1131865,335
1.5533892,335
1.1332643,335
0.9835131,335
1.014291,335
1.1597831,335
1.0496301,335
1.0481713,335
1.0069729,335
0.86276643,335
1.1826209,335
0.97269666,335
0.96764288,335
1.0442515,335
0.99855267,335
1.1511584,335
1.7280149,335
1.0159815,335
1.1614944,335
1.0802943,335
1.0367955,335
1.0051407,335
1.2019007,335
0.84585041,335
1.4787824,335
1.3116726,335
0.99408823,335
0.78555424,335
0.96075774,335
1.2752342,335
1.0889261,335
0.9823814,335
1.1702814,335
1.2938618,335
1.10051,335
1.2972968,335
1.0104837,335
1.0470992,335
1.0034303,335
1.041442,335
1.0305081,335
0.99953607,335
1.2857503,335
0.94563434,335
1.0837366,335
1.3001969,335
1.1690623,335
1.0386833,335
0.93841616,335
1.169749,335
1.5525141,335
0.97785051,335
1.068199,335
0.89223588,335
1.2873642,335
0.88300873,335
1.2678882,335
1.1788214,335
1.008052,335
1.0819008,335
1.0139909,335
1.0755056,335
0.92263888,335
1.2523479,335
1.0736297,335
1.1251685,335
1.5364253,335
0.98014915,335
1.0024373,335
1.1759611,335
1.8091765,335
1.0232508,335
0.97736643,335
1.2160429,335
1.273888,335
1.0168403,335
0.91843734,335
1.2600859,335
0.84005408,335
1.1564522,335
1.0348894,335
1.2002096,335
1.0767686,335
0.76139912,335
1.0601327,335
1.0044655,335
1.1087834,335
1.3496494,335
1.8505607,335
1.0750258,335
1.0056223,335
1.0763073,335
1.367357,335
0.93769604,335
1.2975236,335
1.228843,335
1.1135785,335
1.1459503,335
1.1549516,335
1.0904128,335
1.0561317,335
0.99878264,335
1.0156818,335
0.93698918,335
1.2102262,335
1.1378225,335
0.93859682,335
1.2316408,335
1.2049791,335
1.1756963,335
1.0569876,335
1.0143244,335
0.96412092,335
1.0871817,335
0.99521524,335
1.0230927,335
1.2239383,335
1.0219585,335
1.1881171,335
1.3396541,335
1.0351039,335
1.2270699,335
1.0669456,335
1.1902919,335
1.1548207,335
0.98261684,335
1.7652503,335
1.3952801,335
0.85655501,335
1.2501273,335
1.0666224,335
1.1231539,335
1.0995009,335
1.5797209,335
1.0555446,335
1.034503,335
1.8080755,335
1.079461,335
2.4154948,335
1.2032247,335
2.3504913,335
1.0095781,335
0.89009563,335
1.1138116,335
1.4486112,335
1.3998359,335
1.1170947,335
1.2951739,335
1.1702928,335
1.0944566,335
1.9816929,335
1.1199144,335
1.2046152,335
1.0194836,335
1.0030044,335
1.1782709,335
0.99427729,335
1.0707088,335
1.3362483,335
1.1324552,335
1.286927,335
1.0152162,335
0.99230648,335
1.2937145,335
1.129952,335
1.2677519,335
1.3852913,335
1.1534395,335
1.9196846,335
0.90084557,335
1.1048063,335
1.0706472,335
1.2747271,335
1.0665808,335
0.97632362,335
0.81562439,335
1.3787984,335
1.2762584,335
1.8018273,335
1.9393651,335
1.1486007,335
1.1315535,335
1.2291915,335
0.87134311,335
1.0997194,335
1.7010796,335
1.158323,335
