centerX,run
9.2769828,339
8.3817105,339
5.3223077,339
9.4141667,339
9.0921875,339
5.6861538,339
6.9975,339
5.6078846,339
6.4218478,339
6.405,339
5.0098529,339
6.3125,339
8.2534375,339
7.9066935,339
8.903125,339
7.4393,339
8.5399286,339
7.6493421,339
4.9509483,339
5.0765,339
4.1135976,339
8.6991667,339
7.8320902,339
6.1141667,339
7.940625,339
4.62,339
5.3021774,339
6.1176923,339
10.865,339
9.1322917,339
4.0257609,339
5.45875,339
4.104375,339
6.4248684,339
10.278654,339
8.5014286,339
8.6373571,339
4.1410417,339
8.3773684,339
3.966875,339
10.490969,339
5.1568478,339
6.8160714,339
5.9365625,339
8.3504348,339
8.1823077,339
11.493382,339
9.6390556,339
4.1053571,339
6.0775,339
5.7096875,339
9.4290625,339
5.6463,339
8.8825,339
4.954125,339
3.9494231,339
11.25025,339
7.9508333,339
9.7766429,339
3.4108871,339
7.5904825,339
9.4202778,339
9.174,339
8.932,339
3.3366667,339
7.2697581,339
7.0846875,339
9.6289286,339
5.4725,339
4.5748214,339
8.6825,339
9.0876923,339
6.7728571,339
7.8558333,339
8.217,339
8.2970161,339
5.94,339
4.7116667,339
4.0798214,339
3.9381897,339
8.7672619,339
7.5888043,339
5.2488333,339
3.1044444,339
10.676111,339
4.3767308,339
8.4298077,339
6.3188889,339
9.8126471,339
6.4182843,339
11.258077,339
3.0651923,339
2.8210417,339
2.728,339
9.78175,339
6.565625,339
10.315867,339
8.9183696,339
6.4625,339
7.3413298,339
5.9321429,339
4.1206579,339
6.5175,339
7.1958333,339
3.7325,339
6.4608824,339
6.0875,339
8.0615741,339
3.7496622,339
6.7008333,339
5.415463,339
8.7819828,339
4.8643571,339
6.0756667,339
7.9570652,339
4.52925,339
7.8948913,339
3.7216667,339
5.0141667,339
7.602375,339
8.6336905,339
8.8739444,339
10.412679,339
8.6686111,339
5.25,339
10.910326,339
4.1855,339
3.9240385,339
8.3031667,339
8.7423387,339
9.910431,339
9.5997917,339
8.3457,339
11.062035,339
8.7725,339
7.076371,339
9.8153846,339
4.3989815,339
6.5725,339
6.2486111,339
4.8491667,339
7.1668548,339
3.2915385,339
7.0779762,339
3.3420283,339
3.4116176,339
8.305,339
6.386875,339
7.0871429,339
7.5971296,339
3.9475,339
3.2301923,339
6.0598214,339
2.8775,339
6.8025,339
6.7733696,339
8.5080319,339
8.2225,339
6.4001667,339
4.796,339
4.2869444,339
10.897174,339
10.27125,339
3.6564,339
4.7139151,339
7.7361842,339
7.9050714,339
4.1236905,339
3.7525,339
4.22675,339
5.5305556,339
8.46,339
6.7490789,339
3.0459,339
3.5963889,339
5.4775,339
9.57,339
3.8036842,339
4.9247,339
6.3955435,339
7.4418548,339
8.9470652,339
7.0819737,339
6.4483571,339
11.1775,339
7.2541071,339
4.6233,339
7.2803261,339
7.9847059,339
7.2894643,339
5.5444231,339
8.9191667,339
7.7705435,339
10.804605,339
5.3122826,339
8.0072826,339
10.7569,339
7.9892241,339
7.046875,339
4.4375,339
9.8211667,339
6.2465741,339
4.5040217,339
6.6504167,339
4.97,339
7.8910526,339
9.7999468,339
6.926413,339
11.530357,339
5.8615741,339
4.5804687,339
5.2297414,339
4.7171667,339
7.8757609,339
4.8483696,339
3.50625,339
6.1075,339
2.8325,339
11.056528,339
6.49,339
3.85,339
9.3530556,339
4.1092857,339
3.30275,339
9.3988889,339
3.9228509,339
9.2651087,339
10.219786,339
3.9976852,339
4.2416892,339
7.1833929,339
7.1135,339
5.7409746,339
6.3538924,339
10.1695,339
6.0225,339
7.4608333,339
4.4055,339
7.6659,339
5.9583333,339
6.6806667,339
5.235431,339
10.4665,339
2.7471552,339
9.7749194,339
9.9488889,339
5.5375,339
5.5495,339
7.6423039,339
3.3825,339
7.5482407,339
10.856029,339
6.8918548,339
8.7197,339
9.2753571,339
5.5530357,339
6.7375,339
10.430648,339
7.0611047,339
9.625,339
4.8964474,339
4.0684722,339
5.1189286,339
6.648125,339
3.5178846,339
6.4025,339
10.492672,339
10.691607,339
7.4066667,339
5.4323077,339
7.0545588,339
11.145357,339
3.7705556,339
10.104167,339
5.2135417,339
7.0284677,339
3.1568103,339
7.0027941,339
3.3664583,339
4.1322368,339
7.2469737,339
3.5618478,339
3.4130556,339
4.8314062,339
4.6669118,339
7.4608696,339
4.59,339
7.8717222,339
4.5035294,339
4.7208333,339
5.2363235,339
4.6399138,339
6.1362931,339
5.1913889,339
7.6725,339
6.5427083,339
4.5862143,339
9.6076852,339
3.4472059,339
6.7060714,339
9.0684524,339
6.7459615,339
6.7585294,339
10.5347,339
3.0930263,339
2.9486111,339
3.6819444,339
11.5075,339
4.0333333,339
3.4730882,339
6.5259615,339
8.8678333,339
6.0115,339
5.0875,339
7.6548214,339
7.3791667,339
9.9155435,339
9.7125,339
6.551875,339
4.2244231,339
9.4560714,339
3.1551667,339
5.8064286,339
7.5683929,339
7.9789286,339
10.406324,339
4.3835,339
6.2550714,339
11.243269,339
3.7570238,339
7.0572674,339
2.6314062,339
7.1275,339
9.0119118,339
3.2076786,339
5.6086905,339
7.6725,339
8.04925,339
6.9468056,339
9.71575,339
8.4503571,339
8.9335714,339
5.4814189,339
9.4541667,339
5.3973333,339
3.6344355,339
10.935833,339
9.6349,339
3.7576786,339
8.6672826,339
9.6915323,339
3.8105435,339
4.905431,339
6.2677083,339
8.8519444,339
4.9870652,339
10.7795,339
6.9391667,339
9.9189063,339
4.4190385,339
3.6679762,339
7.0675,339
7.7825,339
5.9497581,339
6.831,339
7.2545,339
4.6710714,339
5.2322368,339
6.66875,339
7.1833929,339
6.2944444,339
7.1005,339
7.3689,339
6.4922917,339
9.1498846,339
8.1345,339
3.09375,339
8.1644444,339
7.2285714,339
6.5308784,339
8.9763235,339
7.38375,339
4.7925,339
10.065,339
7.4696875,339
8.72575,339
6.76225,339
4.253629,339
5.2851562,339
6.1122368,339
9.2365625,339
8.7438043,339
7.3621429,339
4.645463,339
5.6051471,339
6.9980263,339
10.380192,339
10.128684,339
7.3425,339
10.528476,339
8.4463372,339
5.2833,339
2.8575,339
8.199125,339
9.5226389,339
9.3607609,339
3.7313158,339
6.3093919,339
9.2231452,339
3.13,339
3.8053125,339
6.4122826,339
4.975463,339
8.8339706,339
9.7647917,339
7.9923148,339
6.11875,339
4.2369643,339
9.3979286,339
4.6929348,339
8.1640625,339
9.6669737,339
9.2437162,339
6.0521154,339
7.5258333,339
6.5886765,339
10.974397,339
10.910625,339
6.3760714,339
2.783,339
10.261167,339
9.4093421,339
6.91625,339
7.5721491,339
4.55125,339
7.2717857,339
8.1844231,339
9.7131897,339
8.1832143,339
5.4835,339
6.1557222,339
8.8,339
5.59625,339
3.7541216,339
9.3518333,339
5.121875,339
10.6425,339
8.6771667,339
3.1991667,339
5.9394608,339
6.0927778,339
4.4445423,339
8.9925,339
7.7641667,339
11.478958,339
6.3186538,339
6.7712097,339
8.2182692,339
6.1875,339
7.0174254,339
3.5434259,339
7.34,339
10.401875,339
4.0657692,339
7.0776852,339
10.03,339
5.1568478,339
5.7377941,339
5.3441667,339
7.4331481,339
10.896548,339
3.8338235,339
9.3179167,339
6.7075,339
3.9019444,339
6.4563889,339
4.3090385,339
10.933214,339
10.271759,339
3.7583333,339
5.5749138,339
6.0875,339
7.1746053,339
3.2217308,339
8.6035714,339
4.0842593,339
3.9361667,339
10.5125,339
10.220338,339
10.263446,339
9.8122619,339
4.0660714,339
7.3573077,339
5.2238043,339
7.3247059,339
8.3857258,339
4.8961957,339
4.5283333,339
9.7716667,339
6.3329839,339
5.1381,339
6.685,339
3.9033434,339
5.1025,339
8.2818137,339
4.8188462,339
3.0142391,339
4.1814474,339
9.9760294,339
5.6720714,339
8.6075,339
6.4096154,339
5.726875,339
9.9326887,339
4.5604167,339
6.3210714,339
5.6501923,339
6.2575,339
5.1870238,339
4.8989286,339
9.2198333,339
9.9572917,339
9.9958333,339
4.70525,339
7.4553448,339
5.9257759,339
7.6335417,339
5.0325,339
9.2502143,339
7.4070652,339
8.2047581,339
10.437778,339
5.3934375,339
9.3,339
9.9825,339
6.2212097,339
7.7743519,339
7.3682812,339
8.426,339
4.3480556,339
5.3555,339
2.8989583,339
5.2719118,339
8.4730556,339
8.479625,339
3.852037,339
4.0671552,339
9.1455435,339
6.325,339
6.08,339
8.4513,339
8.0465,339
9.7495588,339
3.7697917,339
6.4189583,339
6.7535417,339
3.9284259,339
4.13875,339
10.076786,339
9.0127632,339
10.122661,339
3.2528571,339
7.8689286,339
10.253375,339
2.63,339
8.1756481,339
8.3194048,339
10.250625,339
5.5385,339
6.53125,339
11.269022,339
8.1971154,339
9.79,339
9.6375,339
6.4319444,339
3.6025,339
10.772929,339
7.806413,339
3.461413,339
3.2142647,339
7.5553261,339
6.9845,339
5.6448333,339
6.17375,339
8.8385,339
10.674342,339
9.2958333,339
9.245,339
10.2575,339
4.6189423,339
8.3061,339
4.4077,339
9.1135,339
5.2329444,339
4.71625,339
4.7915476,339
3.9148214,339
6.2425,339
4.87875,339
9.0456034,339
9.10875,339
5.8090476,339
10.0925,339
10.3275,339
7.5025893,339
10.109569,339
4.2295,339
11.241711,339
3.7675,339
7.8250595,339
6.6077,339
7.816875,339
10.800625,339
10.963333,339
8.0398214,339
3.0433333,339
8.5289286,339
5.6071053,339
4.1623214,339
7.968125,339
3.8848333,339
11.226638,339
3.8958333,339
9.5227,339
7.4810185,339
4.741,339
5.8465,339
4.2948529,339
7.7421094,339
8.2938514,339
4.7619,339
10.10625,339
5.5489407,339
4.6671429,339
10.683357,339
5.5842187,339
5.7437069,339
9.7808333,339
5.589375,339
9.0841667,339
7.9760185,339
9.8336765,339
4.8105357,339
5.3284524,339
8.3745588,339
6.2025,339
9.4975,339
4.3799324,339
6.9260714,339
5.3471,339
8.5428968,339
7.37,339
9.1111842,339
6.2330172,339
9.9435417,339
10.280769,339
3.3366667,339
5.7051923,339
8.4927174,339
3.0261,339
11.186389,339
3.78125,339
5.9544737,339
10.82125,339
4.9709,339
8.3793519,339
4.1079762,339
7.097619,339
8.4189286,339
8.2703261,339
8.4608333,339
3.1966379,339
6.18,339
7.9634677,339
8.5539474,339
9.6482692,339
10.0725,339
3.39625,339
9.3670238,339
7.9119118,339
5.4706667,339
7.2925,339
8.0673214,339
4.2185,339
4.7744231,339
6.7313889,339
4.8675,339
8.5726667,339
10.634167,339
4.3703846,339
8.0289,339
4.7348529,339
5.4175,339
3.9875,339
3.241413,339
6.0306481,339
7.502,339
8.6127381,339
4.4275,339
4.5890625,339
6.633,339
4.66125,339
6.1325,339
7.0728226,339
10.345978,339
7.0242857,339
9.5608333,339
6.9685,339
11.044786,339
4.7343421,339
4.0350676,339
5.8380882,339
7.2630556,339
5.72,339
6.765,339
7.3623,339
