skewnessTransverse,run
-0.52672879,335
0.58686651,335
0.38255292,335
0.48788332,335
0.10942519,335
0.19498008,335
-0.13166064,335
0.098336139,335
-0.30774411,335
-0.17974833,335
-0.27309548,335
0.088146223,335
-0.3102316,335
1.282763,335
0.27795528,335
-0.1277907,335
0.78401831,335
-0.064417267,335
0.108571,335
-0.030006011,335
0.10689199,335
-0.27598911,335
-0.38799151,335
-0.045276125,335
0.1479352,335
-0.16002019,335
0.082351039,335
-0.44798579,335
0.21989941,335
-0.36161161,335
-0.37543378,335
0.071969502,335
-0.22785937,335
-0.0057755341,335
0.21388065,335
-0.26090009,335
0.42660969,335
-0.42158935,335
0.76193473,335
-0.41718875,335
-0.047380525,335
-0.31187158,335
0.14833533,335
-0.34718918,335
-0.25865692,335
-0.047883201,335
0.43135307,335
0.18958115,335
0.95824111,335
0.63912805,335
-0.59411805,335
0.10288206,335
-0.28207909,335
-0.68047712,335
-0.27380916,335
0.22255743,335
-0.062479908,335
0.5716914,335
-0.33542935,335
-0.44928468,335
0.70223487,335
-0.28302194,335
-0.67047115,335
-0.020739596,335
0.59390732,335
0.50140356,335
0.0041698148,335
-0.19111287,335
-0.37827273,335
0.1288507,335
0.15741242,335
0.14815601,335
0.11906439,335
0.76595783,335
-0.93989848,335
0.093346736,335
0.14509556,335
0.209219,335
0.43235927,335
-0.32319939,335
0.13916206,335
0.83022585,335
-0.20424373,335
-0.40381079,335
-0.052006002,335
-0.29967756,335
0.10377591,335
0.78356948,335
0.1041604,335
0.090427126,335
-0.13678516,335
-0.14809671,335
-0.14731885,335
0.11235395,335
-0.18521633,335
0.3526075,335
-0.006279115,335
-0.65183713,335
-0.35701295,335
0.04368501,335
1.3966035,335
0.14376434,335
0.15989966,335
-0.58889266,335
-0.28014727,335
0.29604691,335
0.14448157,335
0.62244632,335
0.24614669,335
-0.58471881,335
-0.11419133,335
0.42136183,335
1.0431002,335
-0.12858375,335
-0.14091224,335
-0.33947509,335
-0.29720949,335
0.70963031,335
-0.86102858,335
0.7601952,335
0.33564237,335
-0.071295478,335
-0.29252298,335
0.17895551,335
-0.33468943,335
-0.043275346,335
0.0144669,335
-0.15625078,335
-0.079848327,335
-0.018466462,335
0.35039861,335
0.34199063,335
-0.068966916,335
-0.23046627,335
-0.16119416,335
0.62495395,335
0.11734765,335
0.33049442,335
-0.68752028,335
-0.28716455,335
