centerY,run
11.092976,342
9.46,342
8.4739286,342
4.36425,342
5.6497222,342
8.69,342
11.2255,342
7.4305,342
4.0425,342
4.503125,342
3.7071774,342
3.6769118,342
10.820441,342
4.2463235,342
9.0475,342
4.1048333,342
8.1778125,342
9.4225,342
9.5748529,342
3.9875,342
10.723167,342
8.3275,342
3.4892647,342
7.9322222,342
9.4752778,342
9.545,342
5.4419444,342
9.7515,342
5.9503125,342
6.1616176,342
10.245278,342
8.3508333,342
11.003929,342
9.3225,342
10.154375,342
5.1621429,342
8.4817857,342
6.6767105,342
7.87875,342
3.3055,342
9.4917308,342
9.6654412,342
10.75525,342
7.1481667,342
5.7435714,342
10.1875,342
7.172,342
7.0963095,342
4.525,342
3.1075,342
6.14075,342
8.3089286,342
6.8410294,342
3.3353571,342
10.329,342
5.3955,342
6.3090789,342
3.760625,342
9.8214286,342
7.385,342
9.851875,342
9.1125,342
5.4332143,342
8.7498529,342
9.2037,342
8.8103125,342
3.168,342
7.9044565,342
8.95125,342
9.8557609,342
5.5275,342
6.6385,342
4.76025,342
6.5871667,342
4.8888889,342
7.5075,342
9.7851471,342
4.6553571,342
6.6107609,342
10.6425,342
6.3085,342
8.0648333,342
6.74575,342
6.3668478,342
5.0680882,342
4.0135526,342
8.6441667,342
4.3433824,342
10.849559,342
8.1675,342
3.2021,342
7.5860714,342
9.0933333,342
8.0086111,342
7.60375,342
5.4985526,342
8.5845833,342
8.0819444,342
9.5745833,342
8.5351316,342
8.6422368,342
7.6129167,342
3.3091667,342
6.4393421,342
9.9458333,342
10.1825,342
4.1767,342
5.2786905,342
5.5641667,342
4.9889583,342
8.8170238,342
9.1603947,342
8.2744444,342
3.75,342
10.124342,342
4.5375,342
10.9175,342
9.9792647,342
11.325417,342
3.69875,342
6.7419,342
5.2525,342
4.8778125,342
7.14725,342
11.29425,342
6.4441667,342
4.455,342
6.4885526,342
7.2004167,342
6.4441667,342
5.115,342
7.7760294,342
5.0396739,342
5.3422368,342
9.8615,342
3.9128571,342
5.48625,342
9.7740789,342
6.919569,342
8.6881667,342
7.07,342
6.4117308,342
7.7303947,342
3.361875,342
10.536731,342
7.5166667,342
8.8951923,342
6.82275,342
9.2852419,342
10.183088,342
4.0455556,342
8.2377778,342
7.0596429,342
7.75225,342
8.5839286,342
9.3041667,342
3.4694767,342
9.581,342
10.437969,342
3.1950926,342
8.0240217,342
10.419605,342
3.5880263,342
3.9565625,342
5.5305556,342
6.6039286,342
3.6575,342
5.8678125,342
6.8895588,342
6.457,342
5.0691667,342
5.8378571,342
3.6575,342
8.0245,342
3.1315625,342
9.0505556,342
8.7480556,342
7.8489583,342
10.540357,342
10.489286,342
4.004,342
6.37175,342
5.885,342
3.2261842,342
9.4825,342
5.7413889,342
5.4828125,342
3.0525,342
7.3475,342
5.4065,342
8.875625,342
6.5786111,342
10.648971,342
3.6064286,342
5.2467105,342
7.3506481,342
6.1810294,342
10.318393,342
3.330119,342
10.049079,342
10.9285,342
9.0893,342
10.406786,342
5.9819737,342
3.6089706,342
10.329,342
8.2377778,342
5.07375,342
8.3985,342
9.9188158,342
6.3072059,342
8.69825,342
3.1384375,342
8.9595,342
10.123056,342
7.4696875,342
9.5025,342
8.1229762,342
5.19,342
3.0959211,342
9.6651923,342
8.5258871,342
6.0665,342
8.085,342
5.885,342
8.573125,342
3.5863235,342
7.5441667,342
3.966875,342
5.1503571,342
10.317083,342
10.770833,342
10.80475,342
4.53475,342
5.0875,342
7.3046875,342
10.82663,342
6.1225,342
7.9365,342
10.500147,342
5.0634375,342
6.5005769,342
7.5389286,342
7.8546875,342
6.1105,342
3.5016667,342
10.51325,342
8.7292857,342
10,342
5.2415,342
