kurtosisLongitudinal,run
-0.53884233,328
0.087766556,328
0.080761542,328
-0.5894358,328
-0.60873589,328
-0.65582247,328
-0.28990237,328
0.11039732,328
1.0414913,328
0.37736363,328
-0.11263321,328
-0.28283725,328
-0.28434752,328
0.22246464,328
-0.49672533,328
-0.16353707,328
-0.078101612,328
-0.53634789,328
0.35056633,328
-0.16909178,328
0.34408092,328
-0.19053223,328
0.41544751,328
0.20167895,328
-0.64360577,328
-0.064956167,328
-0.071513486,328
0.15894648,328
0.029820669,328
-0.60883905,328
-0.034654194,328
0.96633538,328
-0.38837266,328
0.25921614,328
-0.37562464,328
0.25512566,328
0.059196986,328
-0.51813392,328
-0.024376272,328
0.12092705,328
0.24305534,328
-0.27583015,328
-0.34902675,328
0.19623652,328
-0.074536234,328
-0.10919436,328
-0.075855004,328
-0.13006468,328
-0.058207577,328
-0.24698331,328
-0.7538348,328
0.28554482,328
-0.77642364,328
0.2591343,328
-0.29531395,328
0.27958174,328
0.2246369,328
-0.028276013,328
-0.48687501,328
-0.18747188,328
0.14109948,328
-0.70635475,328
-0.43137534,328
-0.41892203,328
-0.91760303,328
0.12948927,328
0.43724061,328
-0.3906333,328
0.23698874,328
-0.15272125,328
-1.043332,328
-0.36183543,328
0.11983673,328
-0.64396088,328
-0.23986671,328
0.75229146,328
-0.23713296,328
0.71964361,328
0.24445714,328
-0.01506821,328
-0.02401433,328
-0.16413562,328
-0.51287374,328
0.48819778,328
-0.20067193,328
-0.54240923,328
-0.25284457,328
-0.43053866,328
-0.093107821,328
-0.7024357,328
0.27503709,328
-0.060099777,328
-0.34327171,328
-0.086279218,328
0.76100291,328
-0.67673867,328
0.94440096,328
-0.58992817,328
-0.25837308,328
0.75610015,328
-0.2625852,328
0.01292537,328
0.10757345,328
0.46341152,328
0.49918023,328
1.6735985,328
-0.34690817,328
-0.20120455,328
0.071334577,328
-0.17126831,328
0.13485136,328
0.27578779,328
0.0064824819,328
0.83370252,328
-0.13878901,328
0.31455263,328
-0.55071788,328
-0.29909788,328
-0.76828249,328
-0.13888821,328
-0.54106027,328
-0.55883203,328
0.20475113,328
-0.31103119,328
-0.35543818,328
0.10109101,328
-0.16828753,328
-0.5054427,328
-0.057587322,328
0.43876672,328
-0.4093353,328
0.098313024,328
0.070749717,328
-0.28438506,328
-0.27619416,328
0.23685387,328
0.65799165,328
-0.26930544,328
-0.18647398,328
0.0046661448,328
-0.45830315,328
1.6290208,328
0.012483381,328
-0.45471759,328
-0.53575898,328
-0.70178275,328
0.18963861,328
0.00085859319,328
0.096494408,328
0.50321833,328
-0.46661434,328
-0.25348125,328
-0.60043188,328
-0.11278494,328
-0.25581886,328
0.49923096,328
0.60525128,328
-0.17961198,328
-0.23546937,328
0.28297857,328
0.24643535,328
-0.069087899,328
0.074876879,328
-0.57132749,328
-0.70242094,328
0.1909823,328
-0.19931664,328
-0.22127038,328
-0.38366266,328
-0.10677836,328
-0.24636427,328
-0.023688074,328
-0.56463381,328
-0.50175009,328
0.10735372,328
-0.22339025,328
-0.45066028,328
-0.68811865,328
0.43243599,328
0.31525543,328
-0.034140912,328
-0.74751045,328
-0.22426053,328
-0.35144591,328
0.24578081,328
-0.25751782,328
-0.34906715,328
-0.4133707,328
0.35031859,328
0.38402191,328
-0.45350566,328
-0.21776386,328
0.44204367,328
-0.41234616,328
-0.2901147,328
-0.34238539,328
-0.71862211,328
-0.42082626,328
-0.13596949,328
0.057804315,328
-0.13780624,328
-0.18517444,328
-0.32446257,328
0.79617847,328
-0.33010619,328
-0.20876387,328
-0.55349272,328
-0.42792748,328
-0.37061773,328
-0.65734422,328
-0.52747486,328
0.52594886,328
-0.46101782,328
0.042469959,328
0.4069411,328
-0.24761625,328
-0.16083769,328
-0.32499668,328
0.54637606,328
-0.31157139,328
-0.81921447,328
-0.52561091,328
-0.33625307,328
0.3524076,328
-0.21826705,328
-0.42213845,328
-0.23798965,328
0.15992336,328
-0.052761703,328
-0.26044278,328
-0.22910915,328
-0.5783782,328
-0.19027797,328
-0.85653707,328
-0.63989959,328
-0.33757849,328
-0.94600236,328
-0.57613276,328
-0.17003818,328
-0.34975269,328
-0.64850846,328
-0.29212484,328
0.48820747,328
0.81118506,328
-0.45114167,328
-0.31365634,328
-0.75156814,328
-0.14180744,328
-0.12107787,328
-0.64136222,328
-0.37488603,328
-0.62751212,328
-0.73151309,328
-0.71032047,328
-0.43077166,328
