rmsLongitudinal,run
0.83840713,325
1.0690069,325
1.0301797,325
1.0332525,325
0.63302995,325
1.0723256,325
1.0430901,325
0.97148332,325
0.71513819,325
0.68925166,325
1.0609466,325
0.85369958,325
1.0258635,325
1.1241458,325
0.94695784,325
0.33358675,325
0.51133946,325
0.82781046,325
0.35874124,325
0.27552225,325
0.89448264,325
0.90481415,325
1.1379254,325
1.1016856,325
1.1008,325
1.1670609,325
1.0963191,325
1.0892418,325
0.43045998,325
0.79378102,325
1.0225982,325
1.0082333,325
1.0302121,325
1.0389237,325
1.0108102,325
1.0204493,325
1.1259939,325
1.1339183,325
0.95753487,325
0.6945619,325
1.1642943,325
1.0627526,325
0.60900367,325
0.35668382,325
0.70387021,325
0.7476248,325
0.91995318,325
0.62476559,325
0.72311317,325
0.85220996,325
1.0117348,325
0.54729939,325
1.1265296,325
1.0102757,325
0.76219818,325
0.96101165,325
0.98898483,325
1.0541402,325
0.79289763,325
0.89880802,325
1.0991987,325
1.0513702,325
0.80560429,325
0.870921,325
1.0031881,325
0.9048142,325
0.98434185,325
0.34229596,325
1.1299496,325
0.84636351,325
0.80879164,325
1.0138409,325
1.0649303,325
0.88011382,325
0.16137227,325
1.1083193,325
1.0992307,325
0.87959605,325
0.58224333,325
0.88565636,325
0.95323343,325
0.68771917,325
0.71364183,325
1.0195775,325
1.0098993,325
0.98865882,325
1.0267488,325
1.1441443,325
0.91178282,325
0.98010942,325
1.0236314,325
1.0247352,325
0.55559981,325
1.1028785,325
1.0857312,325
0.75915245,325
0.91565681,325
0.72012366,325
0.91132509,325
0.96340639,325
0.28308837,325
1.0679905,325
0.89731078,325
1.0615986,325
1.021591,325
0.92364617,325
0.92099399,325
1.0403204,325
1.127433,325
1.0133785,325
1.0222227,325
1.0623731,325
0.87803009,325
1.0350208,325
0.70458758,325
0.90348012,325
0.97708827,325
1.0787031,325
1.1080106,325
0.97152537,325
1.0040019,325
1.0901819,325
1.0769866,325
0.81430599,325
0.94948269,325
1.0243729,325
0.691867,325
0.15737335,325
0.49621318,325
0.82680657,325
1.079705,325
0.79657666,325
0.84244011,325
1.2857557,325
1.0622731,325
0.93294017,325
0.80695734,325
0.97731342,325
1.0133607,325
0.92527194,325
0.93844082,325
0.99728573,325
1.0285351,325
0.98526208,325
0.98372809,325
0.82244428,325
1.1145254,325
0.80249777,325
0.2363681,325
0.91732626,325
0.98648866,325
0.90831157,325
1.0013027,325
0.68498869,325
0.72675955,325
0.90377676,325
0.8644197,325
1.0243918,325
0.90282714,325
0.99184791,325
0.93840907,325
1.1236297,325
1.0189708,325
1.0747255,325
0.89462696,325
1.1456587,325
0.92493109,325
1.073095,325
0.56872613,325
0.93214578,325
0.26185641,325
0.97066413,325
1.0293605,325
0.94367374,325
1.1038399,325
0.86399336,325
0.96908313,325
1.0412293,325
0.98924387,325
0.81983853,325
0.8524204,325
0.98293045,325
0.57076896,325
0.9386547,325
0.85088968,325
0.91396264,325
1.0109718,325
0.96880941,325
0.84185647,325
0.99480779,325
0.95707543,325
0.98902694,325
0.7979447,325
0.87382367,325
0.94396346,325
0.91976687,325
0.38183559,325
0.95038858,325
0.5438681,325
1.1517672,325
0.83959383,325
0.99432913,325
1.1398337,325
1.0356829,325
0.98464387,325
0.94788933,325
0.9791268,325
1.140375,325
0.96987251,325
0.96053609,325
1.0821816,325
0.79004701,325
1.0198863,325
0.98740063,325
0.96656463,325
0.69753342,325
0.90125836,325
0.9573372,325
1.135982,325
0.79634193,325
1.0671957,325
0.60009545,325
0.78558448,325
0.88098526,325
0.57427063,325
1.0156077,325
0.48162337,325
1.0728267,325
0.49096581,325
1.0620224,325
1.1916098,325
1.0291445,325
0.87617212,325
0.527594,325
0.9678604,325
1.1626609,325
1.0990875,325
1.0077633,325
0.78299052,325
1.0623042,325
0.32136486,325
0.99431084,325
1.1879837,325
1.0306067,325
1.0282664,325
0.823677,325
0.96337198,325
0.99643118,325
0.97855072,325
0.94562633,325
0.81783259,325
0.6184302,325
0.98133196,325
1.0611933,325
0.55681373,325
0.33089041,325
0.73682131,325
1.0948641,325
1.0841614,325
1.0808432,325
0.93122651,325
1.0955794,325
1.0936865,325
0.87956623,325
0.97139794,325
0.98849403,325
1.0938847,325
0.87128517,325
1.0432648,325
1.1086294,325
0.92419365,325
1.0291912,325
0.91613624,325
1.1645659,325
0.46450497,325
1.1482944,325
0.99357547,325
0.81479417,325
1.0512726,325
0.89342957,325
0.87978534,325
1.0144775,325
1.028621,325
0.92508968,325
0.6648581,325
0.56854092,325
1.1267227,325
0.98538173,325
0.57477209,325
0.96812309,325
0.68240056,325
1.0968042,325
0.81551167,325
0.70753697,325
0.9445329,325
0.80823423,325
1.1179152,325
1.0172145,325
1.0008275,325
0.73974397,325
1.0514439,325
0.94583111,325
0.43481185,325
1.0149349,325
0.99825713,325
0.68976136,325
0.6833257,325
0.71800751,325
0.95194863,325
0.90458739,325
0.35016752,325
0.99692768,325
1.1632471,325
0.82147916,325
0.89604809,325
0.60378077,325
0.64223128,325
0.86944708,325
0.86230447,325
1.1766957,325
0.92476555,325
0.97933568,325
0.85480611,325
0.82783199,325
0.98673108,325
0.788317,325
1.1001574,325
0.57973779,325
0.96452017,325
1.1205522,325
0.60490884,325
0.67777716,325
0.9689873,325
0.48562233,325
0.90626255,325
0.90309927,325
0.79210108,325
1.0932911,325
0.95777365,325
0.82178369,325
0.8088534,325
0.87660503,325
1.1523851,325
0.68897228,325
1.0233421,325
0.70571099,325
0.64096594,325
0.4783815,325
0.98356884,325
0.76935861,325
0.69589261,325
1.0359816,325
0.5066365,325
1.0864971,325
1.0730335,325
1.0113827,325
0.87986319,325
1.137248,325
0.88040865,325
1.0738449,325
1.1129841,325
0.87620273,325
1.0339293,325
1.0909993,325
1.0652616,325
1.037686,325
1.1533229,325
1.0571332,325
0.73364256,325
0.98352585,325
1.0724447,325
0.86926051,325
0.85792102,325
1.1377497,325
1.0930903,325
0.92949723,325
0.75843738,325
0.53521551,325
1.1351276,325
1.0554927,325
0.55614485,325
0.95824415,325
0.9670524,325
1.1717236,325
1.0472038,325
0.2180397,325
0.4465677,325
0.91122103,325
1.0883949,325
1.13999,325
0.92682892,325
0.87872527,325
0.83093201,325
0.90000712,325
0.84185629,325
0.6793618,325
1.0421433,325
1.04968,325
0.87274202,325
1.1756921,325
0.76928561,325
0.79452926,325
0.98870319,325
0.92868747,325
0.88506439,325
0.99087775,325
0.60692301,325
0.62480549,325
0.82260966,325
0.91960273,325
0.96478194,325
0.95864335,325
0.47015242,325
1.0132853,325
0.85614367,325
1.057926,325
1.0754619,325
0.69155873,325
0.89205981,325
0.93921535,325
1.0033201,325
0.93357333,325
0.77849931,325
0.87400892,325
1.0891547,325
0.69833057,325
1.0923565,325
0.87842397,325
1.128862,325
0.84318744,325
1.1722365,325
1.074512,325
1.0395306,325
0.86384167,325
1.0049496,325
0.38059984,325
0.75468737,325
1.0428799,325
1.0927339,325
1.0950774,325
1.0137423,325
0.45248488,325
0.98656055,325
0.93172704,325
0.32685378,325
1.1349161,325
1.1919616,325
0.49188765,325
1.0890422,325
0.99042302,325
0.70993058,325
1.1741113,325
0.91450172,325
0.8092659,325
1.0274655,325
0.36105968,325
0.58429164,325
1.0407321,325
1.0433881,325
0.98424639,325
0.95358102,325
1.1064104,325
0.96229839,325
0.92084648,325
0.77879321,325
0.82487343,325
1.0275582,325
0.85057109,325
1.0082546,325
1.1981781,325
1.0075284,325
0.96446805,325
1.0412947,325
0.65728611,325
0.60673972,325
0.51437645,325
0.84779121,325
0.9463928,325
0.79027156,325
0.39442182,325
1.0575303,325
0.9669563,325
1.0292845,325
1.0703806,325
1.0072883,325
1.0184755,325
0.93372572,325
1.0059967,325
0.87786797,325
0.51518968,325
0.94265236,325
0.98322328,325
0.57963248,325
0.72857948,325
0.61420924,325
0.56741925,325
1.0897718,325
1.0825392,325
1.0435048,325
0.94092104,325
0.90710816,325
0.96028961,325
0.89108003,325
1.0799822,325
1.1202246,325
1.2184624,325
0.69944486,325
1.0447746,325
0.96386674,325
1.024899,325
0.70696388,325
0.79342398,325
1.0603496,325
0.89425042,325
1.0853989,325
1.0649725,325
0.87532555,325
1.1371183,325
0.79784218,325
0.84426669,325
1.0135375,325
0.79913688,325
1.0300032,325
1.109361,325
1.1297189,325
0.96647061,325
0.91203616,325
0.9614418,325
0.9134497,325
0.9901571,325
1.1283395,325
0.97128627,325
0.83925643,325
1.0593817,325
1.1522104,325
0.41278255,325
0.91823399,325
1.0547582,325
0.62017314,325
0.53990369,325
0.80783487,325
0.81962016,325
0.99606075,325
0.48075116,325
0.90820608,325
0.70456691,325
0.84000232,325
0.6399267,325
0.86915196,325
0.83484897,325
1.1007563,325
0.9470194,325
0.91760756,325
0.52814126,325
1.1088092,325
1.1423608,325
0.98332761,325
1.2814714,325
1.0999518,325
1.0691329,325
0.6241185,325
1.0590344,325
1.024877,325
0.9334811,325
0.98168025,325
1.0375284,325
0.99128871,325
0.75825813,325
1.1114341,325
0.47319519,325
1.0325684,325
1.1109136,325
0.46376229,325
0.58003619,325
1.046899,325
0.99874763,325
0.65220818,325
1.0435475,325
1.1137273,325
0.87964325,325
0.95133281,325
0.93765083,325
0.85306806,325
0.76515611,325
1.0674601,325
0.98355281,325
1.0581005,325
0.42001495,325
1.0072939,325
0.71274787,325
0.91242032,325
1.1852888,325
1.0425136,325
0.95332814,325
1.0147528,325
0.55321795,325
0.78780724,325
1.0760678,325
0.65920112,325
0.93944895,325
1.097441,325
0.86060086,325
0.55493217,325
0.84549674,325
1.0982669,325
1.1007807,325
0.99693207,325
0.8509837,325
0.82359556,325
1.0680549,325
0.77722101,325
1.1059345,325
0.90201576,325
0.92106178,325
1.1225494,325
0.76771278,325
1.0850368,325
0.9584659,325
1.0199049,325
1.1041713,325
1.0289613,325
0.97933476,325
0.88512598,325
1.0109344,325
0.2259685,325
1.1151015,325
1.0165014,325
0.37489141,325
1.0963398,325
1.0522279,325
0.8831932,325
0.88875591,325
0.97370169,325
0.96607953,325
1.0448304,325
1.004793,325
1.0194868,325
1.1392351,325
1.1639738,325
0.71043341,325
1.1087545,325
1.0650517,325
1.0302319,325
0.97928708,325
1.1377083,325
0.8719535,325
1.1713413,325
1.0982567,325
1.0720863,325
0.81432749,325
0.8686778,325
1.1604148,325
0.99363126,325
1.136223,325
1.0656853,325
0.73283775,325
0.37841744,325
1.0691902,325
0.76197635,325
1.0524177,325
0.94393655,325
0.99306131,325
1.0192448,325
0.82943753,325
