rmsTransverse,run
0.63918117,339
0.88619388,339
0.83296127,339
0.98858582,339
0.95311306,339
0.73569419,339
0.84298033,339
0.47980024,339
1.0106198,339
0.82308711,339
0.80929554,339
0.62333103,339
0.52569511,339
1.1440228,339
0.81197785,339
1.0217729,339
0.90743655,339
0.84888221,339
0.73328296,339
0.678646,339
0.8499254,339
1.0474368,339
1.2532562,339
0.77277928,339
0.94586919,339
0.63550641,339
0.80130197,339
1.0146791,339
0.93988461,339
0.75416888,339
0.96582625,339
0.6731691,339
0.82130502,339
0.87648689,339
1.1920678,339
0.68848861,339
1.0161233,339
0.85803933,339
1.1380926,339
0.7796054,339
0.85109809,339
0.64154225,339
0.82489269,339
0.74320056,339
0.83259756,339
0.84902602,339
0.99713003,339
0.81828842,339
1.1728315,339
0.9622105,339
0.97839231,339
0.87008348,339
0.67114822,339
0.66523585,339
1.1368718,339
0.73633667,339
0.73181395,339
0.92103063,339
1.1862859,339
0.90727445,339
0.95369538,339
1.0916814,339
1.1055098,339
0.98267437,339
0.80792744,339
0.60838469,339
0.90239523,339
0.82762673,339
0.9239467,339
0.86947607,339
0.7850047,339
0.65656993,339
1.0127318,339
1.1674879,339
0.70842241,339
0.70159033,339
0.8791946,339
1.0520329,339
1.0957976,339
1.0430472,339
0.99203284,339
0.92812708,339
0.91840012,339
0.70597064,339
0.94045175,339
0.7294866,339
0.78024236,339
0.84244308,339
0.95594576,339
0.9841034,339
0.87263474,339
0.91511194,339
0.65052834,339
0.45018801,339
0.97329523,339
0.70199073,339
0.89395476,339
0.63272263,339
0.84180156,339
0.78272516,339
0.75787314,339
0.91749064,339
0.83280902,339
0.69007838,339
0.75506425,339
0.81403799,339
0.80727532,339
0.69237088,339
0.87601157,339
0.97379614,339
0.83933405,339
0.87023287,339
0.88457117,339
0.60123147,339
0.9371628,339
0.73513138,339
0.73297943,339
0.7087987,339
0.84271353,339
1.1612487,339
0.88174989,339
0.83513971,339
0.7481487,339
0.72111487,339
0.90083046,339
0.70420652,339
0.98168973,339
0.71812632,339
0.78292613,339
0.84696435,339
0.92814806,339
0.65587438,339
0.65548996,339
0.98224906,339
0.8139976,339
0.84934595,339
1.011315,339
0.69561996,339
0.80190773,339
0.71397498,339
0.69046504,339
0.8832022,339
0.70769026,339
0.58260783,339
0.92106927,339
0.87559477,339
0.66906486,339
0.57188035,339
1.0703188,339
0.79996914,339
0.99473079,339
0.80036819,339
0.77300815,339
1.2245571,339
0.8909756,339
0.86542376,339
0.85512962,339
0.83019813,339
0.98486298,339
0.87800675,339
0.74103833,339
0.82403044,339
0.76607589,339
1.1552702,339
0.98436267,339
0.52829976,339
0.82117008,339
0.66363032,339
0.77191789,339
0.77795668,339
0.66294709,339
0.59102621,339
0.73619171,339
0.80092681,339
0.77968944,339
0.69152453,339
0.883183,339
0.7519253,339
0.64584268,339
0.97413907,339
0.82350435,339
1.0232329,339
0.9642177,339
0.86681225,339
0.74707969,339
0.94922232,339
1.0359624,339
0.81995006,339
1.1083076,339
0.99601352,339
1.008706,339
1.0802917,339
0.75428274,339
1.2497442,339
0.85436479,339
0.93128932,339
0.92643876,339
0.64896338,339
0.7274697,339
0.5807089,339
0.67626352,339
0.85448426,339
0.78745618,339
0.7234056,339
0.71138625,339
0.87496725,339
1.1075431,339
0.68410745,339
0.75717431,339
0.7284472,339
0.89032703,339
0.85694917,339
1.1826369,339
0.86559513,339
0.86392838,339
0.92355463,339
0.85826765,339
1.2405137,339
0.90235413,339
0.92648285,339
1.2391414,339
1.0033709,339
0.86170544,339
0.68355966,339
0.69575612,339
0.98410665,339
0.79725658,339
0.8837973,339
0.57074468,339
0.8220727,339
0.6305333,339
1.0811985,339
1.0481456,339
1.2141424,339
1.0748179,339
0.88617784,339
0.92121755,339
0.87815642,339
0.92247603,339
0.87976832,339
0.85889492,339
0.80374013,339
0.91629526,339
0.7036456,339
0.97000332,339
0.72581591,339
1.0229324,339
0.7705534,339
0.99824136,339
0.86809599,339
0.84044676,339
0.69785018,339
0.96305137,339
0.92235204,339
1.2534065,339
0.92419121,339
0.98554648,339
0.95483692,339
0.95380958,339
0.5337347,339
0.70655402,339
0.8789417,339
1.2946033,339
0.69593733,339
0.82928435,339
0.89370937,339
0.94211022,339
0.95887904,339
0.68121591,339
0.92322514,339
0.91957196,339
0.98880683,339
0.83366927,339
1.0459848,339
0.84025115,339
0.928455,339
0.89533887,339
0.87597353,339
0.85214664,339
0.42503523,339
0.92572895,339
1.1545198,339
0.76780431,339
1.1820497,339
0.66790447,339
0.95403508,339
0.66713728,339
1.0148313,339
1.0413009,339
0.85888011,339
0.70999935,339
0.98939724,339
0.94653261,339
0.82083622,339
0.95588738,339
1.034247,339
0.99829927,339
0.87866925,339
0.72530789,339
0.90854121,339
1.0998205,339
0.72321716,339
0.87088164,339
0.67689783,339
0.76004899,339
0.86164846,339
0.8683625,339
0.84023446,339
0.73693655,339
0.76131297,339
0.83918896,339
0.89604725,339
0.61067069,339
0.72966435,339
0.65382316,339
1.0197395,339
0.72891691,339
0.94663525,339
0.83081096,339
0.86583342,339
0.92156053,339
0.92860217,339
0.80957052,339
0.77425539,339
0.90418,339
0.56290273,339
0.75643155,339
0.64309959,339
0.93517571,339
0.62367387,339
0.97924864,339
1.0289308,339
0.8089019,339
0.74965049,339
0.80050779,339
0.91748111,339
0.74852477,339
0.82236771,339
0.89265051,339
0.90189521,339
0.76797951,339
0.87163469,339
1.2706432,339
0.82024817,339
0.94362914,339
0.83701753,339
0.82583673,339
0.87663497,339
0.94092021,339
0.74496437,339
0.65516751,339
0.82543963,339
0.86787956,339
0.8936044,339
0.81503503,339
0.8544141,339
1.1283605,339
0.88021156,339
0.83020759,339
0.61746673,339
0.82060419,339
0.70037341,339
1.0363289,339
0.95668502,339
0.91628996,339
0.70448831,339
0.96654707,339
0.9248843,339
0.78890277,339
0.9004929,339
0.86637592,339
0.87656634,339
1.2759356,339
0.70301839,339
0.90187773,339
0.76735952,339
1.011069,339
0.97233204,339
0.71297759,339
0.77364486,339
0.84979794,339
0.96242138,339
0.6429525,339
0.68267475,339
0.75358587,339
0.97946793,339
0.77222736,339
0.86636616,339
0.81217501,339
0.75325855,339
0.79631985,339
0.66683651,339
1.2222489,339
0.70182785,339
0.85650254,339
0.87719188,339
0.80373062,339
1.0450205,339
0.9118325,339
0.96229498,339
1.1474955,339
1.063581,339
1.1162355,339
1.2177593,339
0.97481589,339
1.0591043,339
1.0487355,339
1.1398068,339
0.90518075,339
0.69686215,339
1.0849148,339
0.73138565,339
1.0510394,339
0.55497553,339
0.57304726,339
0.76810681,339
1.2948641,339
0.80479223,339
0.75905503,339
0.79568285,339
0.53731045,339
0.75333831,339
0.90430275,339
0.8957151,339
0.88132901,339
0.93073427,339
0.84251048,339
0.88331641,339
1.0318778,339
0.67489745,339
0.69048639,339
0.7534995,339
0.76166028,339
1.269249,339
0.70189881,339
0.86588961,339
0.97986331,339
1.1269735,339
0.5983696,339
0.85447433,339
1.0034523,339
0.96204273,339
0.94427004,339
0.57968912,339
0.6764831,339
0.75021058,339
0.84012258,339
0.82957089,339
1.1620652,339
0.9577422,339
0.75822387,339
1.241053,339
0.97470142,339
0.86121529,339
0.65691952,339
0.85627392,339
0.77923336,339
0.81516573,339
0.69346154,339
0.99547619,339
0.71915202,339
0.89941899,339
0.92545519,339
0.84902738,339
1.2503148,339
1.0445968,339
0.77772758,339
0.89271496,339
0.8216354,339
1.2613351,339
0.97418108,339
0.77405877,339
0.96986264,339
0.77826814,339
0.42884528,339
1.0166964,339
0.93081606,339
0.84767224,339
0.85826363,339
0.97242223,339
0.76141244,339
0.85593799,339
0.97814089,339
0.82167275,339
0.83129045,339
0.95834327,339
0.96894961,339
0.7944949,339
0.91115931,339
1.1939257,339
0.93444694,339
0.76593374,339
1.056222,339
1.0310306,339
0.87446014,339
0.83152239,339
0.93279357,339
0.7298197,339
0.9944287,339
0.89178071,339
0.91355958,339
0.89396055,339
1.1991644,339
0.84363107,339
1.082257,339
0.83880378,339
0.85901004,339
0.69988538,339
0.91181517,339
0.99671412,339
0.85762941,339
0.974548,339
0.73775595,339
1.2668907,339
0.8975274,339
0.62415889,339
1.00747,339
0.68622718,339
0.78188096,339
0.75698988,339
0.89360372,339
0.69858861,339
0.81767884,339
0.95739658,339
1.2250504,339
0.96739918,339
0.97972305,339
0.80754154,339
0.75885432,339
0.8805451,339
1.1150267,339
1.0669794,339
0.74507094,339
0.99967055,339
0.77584065,339
1.1767129,339
0.92259201,339
0.68021407,339
1.2674144,339
0.70641728,339
0.95274927,339
0.8897253,339
0.85031483,339
0.90162446,339
1.0913759,339
1.2337111,339
0.79771355,339
0.90078028,339
0.97630807,339
0.80019093,339
0.68066209,339
0.72907679,339
0.78161186,339
1.0361726,339
0.95090909,339
1.0442002,339
0.76498264,339
0.78216775,339
0.86267669,339
1.0011016,339
1.019238,339
0.98562769,339
0.89792893,339
1.0889079,339
0.76741007,339
0.82778463,339
0.83261805,339
1.0154361,339
0.89776657,339
0.68661747,339
0.63909615,339
1.0195998,339
0.98942955,339
0.59411401,339
0.78114352,339
1.1118198,339
0.84380676,339
0.81911621,339
0.81080392,339
0.78816436,339
0.97215499,339
1.0029688,339
0.92191516,339
0.93885577,339
0.64946961,339
0.67872895,339
0.87471461,339
0.87169084,339
0.75372189,339
1.2540679,339
0.73534332,339
0.64754194,339
0.79642418,339
1.0128572,339
0.78484772,339
0.66133687,339
0.95741172,339
0.81593609,339
0.98178639,339
1.0726744,339
0.93720328,339
0.98888451,339
0.93506521,339
0.98394945,339
1.1697881,339
0.87185447,339
0.71589084,339
0.66961564,339
0.77847266,339
1.2421717,339
0.8475391,339
0.93852594,339
1.0228365,339
0.76406422,339
0.6470105,339
0.59173578,339
1.0242255,339
0.59357124,339
1.0004001,339
0.63237853,339
1.0457468,339
0.92231778,339
0.98287305,339
1.1069178,339
0.83277784,339
0.79443268,339
0.84500338,339
0.69086547,339
0.80629907,339
0.65799582,339
0.98402932,339
0.72393397,339
1.1903261,339
0.93088291,339
1.0068696,339
1.0213625,339
1.0454307,339
0.64241758,339
0.73327458,339
0.73731531,339
0.74043629,339
1.0203576,339
1.0030759,339
0.65099633,339
0.90865857,339
0.9710768,339
0.72513776,339
1.2468881,339
0.71064828,339
0.80923007,339
1.0915256,339
0.72029997,339
0.57625911,339
1.0939687,339
0.7568234,339
0.91909282,339
0.83349455,339
0.98187863,339
0.84241204,339
1.0139603,339
0.7989835,339
0.70872928,339
1.0449099,339
0.94251398,339
0.85640584,339
0.87939431,339
0.79347356,339
1.077959,339
0.9465363,339
0.90366742,339
0.95438299,339
0.85748008,339
0.90647879,339
1.0279367,339
1.0513574,339
0.65418005,339
0.55105154,339
0.86687197,339
0.75260243,339
0.88374344,339
0.9842642,339
0.84485386,339
0.74080812,339
0.96935109,339
1.1008357,339
1.0065468,339
1.0168453,339
0.84485396,339
0.8579811,339
0.76560556,339
0.79703367,339
0.7574089,339
0.70991894,339
1.0446299,339
0.70838831,339
0.83858368,339
0.95154924,339
0.81380301,339
0.93040918,339
0.6953905,339
0.88338129,339
0.63967378,339
1.174416,339
0.817478,339
0.8833985,339
1.0437799,339
0.92563148,339
0.57385337,339
1.0459429,339
0.72689238,339
0.58374619,339
