rmsTransverse,run
0.66648336,315
0.90489225,315
0.7606734,315
0.54783087,315
0.89868202,315
0.90385595,315
0.8787614,315
0.86087338,315
0.87075973,315
1.070701,315
0.84750543,315
0.62301047,315
0.88051891,315
0.80340782,315
0.88856907,315
0.91682542,315
0.89182778,315
0.86931358,315
0.4746481,315
0.44413213,315
0.82145989,315
0.9534454,315
0.93166883,315
0.6860352,315
0.95557396,315
0.77285586,315
0.59325852,315
0.92785418,315
0.26460353,315
0.23213926,315
0.53394759,315
0.86693884,315
0.68048052,315
0.93646346,315
0.800089,315
0.75985975,315
0.84004767,315
0.81140715,315
0.46654201,315
0.81365181,315
0.63777484,315
0.61936119,315
0.69980528,315
1.014392,315
0.2715546,315
0.58704006,315
0.93044972,315
0.59675994,315
0.68725501,315
0.68132188,315
0.40648917,315
0.96232593,315
0.74027353,315
0.41765746,315
0.70898764,315
0.8212551,315
0.39875584,315
0.65977378,315
0.95378672,315
0.72050195,315
0.65338508,315
0.87963845,315
0.6544985,315
0.55754484,315
0.46579386,315
0.91154441,315
0.90665253,315
1.0290872,315
0.8995439,315
0.74169268,315
0.79194952,315
0.85611582,315
0.5595949,315
0.56420713,315
0.90741924,315
1.0491886,315
0.89501016,315
0.79297943,315
0.87436062,315
0.94951149,315
0.88540132,315
1.0019599,315
0.92099976,315
0.83554582,315
0.69347632,315
0.71827836,315
0.68390389,315
0.90326293,315
0.79864571,315
0.32253983,315
0.44443472,315
0.71962126,315
0.68321381,315
0.97458545,315
0.65271687,315
0.94163667,315
0.7058463,315
0.99890655,315
0.95870011,315
0.97366363,315
0.90797769,315
0.80256828,315
0.87201516,315
0.64564993,315
0.89734946,315
0.89844812,315
0.9222967,315
0.87723894,315
0.90845929,315
0.95508942,315
0.78772466,315
0.78674666,315
0.89311144,315
0.88955059,315
0.76556757,315
0.94906947,315
0.44853679,315
0.86501925,315
0.81368961,315
0.86936398,315
0.94104417,315
0.94111074,315
0.88925792,315
0.90046154,315
0.84251347,315
0.88244677,315
0.85677186,315
0.95316647,315
0.87917824,315
1.0105327,315
0.72760408,315
0.84614907,315
0.83864442,315
0.9675805,315
0.55663838,315
0.96741649,315
0.56481995,315
0.84418157,315
0.88047533,315
0.75685302,315
0.86485731,315
0.94109806,315
0.74022944,315
0.78105801,315
0.92164442,315
0.70197966,315
0.78646972,315
0.89329878,315
0.74723582,315
0.88859433,315
0.84413447,315
0.81128864,315
1.0737677,315
0.76364184,315
0.49993014,315
0.98233763,315
0.62266168,315
0.9697262,315
0.90857299,315
0.34568058,315
0.48907642,315
0.447861,315
0.65229304,315
0.97471574,315
0.71358865,315
0.33885459,315
0.84811829,315
0.75628958,315
0.79383497,315
0.9425573,315
1.043902,315
0.95489138,315
0.96905677,315
0.90309874,315
0.65877748,315
0.86207782,315
0.87679431,315
0.82654818,315
0.75521505,315
0.68802749,315
1.0127322,315
0.60591926,315
0.68245882,315
0.96850982,315
0.74006256,315
0.72100622,315
0.95272549,315
0.92273423,315
0.99481055,315
0.90816322,315
0.87094284,315
0.69018077,315
0.60124394,315
0.70349008,315
0.77617573,315
0.62621032,315
0.76549092,315
0.76150879,315
0.81229524,315
0.82870115,315
0.47952739,315
0.81547611,315
0.97401088,315
0.7816566,315
0.99245961,315
0.8040473,315
0.54612297,315
0.96645347,315
0.84487135,315
0.91520741,315
0.85438297,315
0.71618243,315
0.87869566,315
0.7217408,315
0.97956183,315
0.57968241,315
0.86107132,315
0.90125169,315
0.77531408,315
0.84938305,315
0.89541292,315
0.92596263,315
1.0123993,315
0.76067102,315
0.79479061,315
0.83160276,315
0.44866205,315
0.1995345,315
0.95539033,315
0.53593863,315
0.65040651,315
0.89001247,315
0.85184661,315
1.017127,315
0.84706554,315
0.87965862,315
0.20253667,315
1.0004385,315
0.9911419,315
0.92839173,315
0.88657304,315
0.90573981,315
1.0072977,315
0.84446678,315
0.55955032,315
0.66280089,315
0.44588592,315
0.83739246,315
0.97047795,315
0.92195663,315
0.99970845,315
1.0646509,315
0.93738304,315
0.40381937,315
0.81873266,315
0.96298512,315
0.83937665,315
0.83964324,315
0.74724702,315
0.98177138,315
0.97991713,315
0.61190598,315
0.9572496,315
0.87398561,315
0.89206764,315
0.82700741,315
0.98899826,315
0.79376997,315
0.90972803,315
0.25655154,315
0.6241742,315
0.87654881,315
0.49226153,315
0.57387903,315
0.96760761,315
0.81510813,315
0.94569427,315
0.55468316,315
0.74289251,315
0.96762854,315
0.99990118,315
0.61085916,315
0.4093608,315
0.83321955,315
0.91964937,315
0.8382972,315
0.57818833,315
0.89483033,315
0.56866442,315
0.87376687,315
0.87076431,315
0.90430717,315
0.69982581,315
0.83108977,315
0.59170275,315
0.88350324,315
0.84839089,315
0.97353042,315
0.31836342,315
0.84219592,315
0.9539763,315
0.85828773,315
0.82100014,315
0.97752978,315
0.84139197,315
0.76478771,315
0.91536472,315
0.91221934,315
0.69344928,315
0.83093933,315
0.84736328,315
0.93580264,315
0.82447724,315
0.61578875,315
0.85433379,315
0.8553769,315
0.95313673,315
0.85251383,315
0.69264252,315
0.95951846,315
0.52546918,315
0.97757464,315
0.67040274,315
0.97032954,315
0.85668871,315
0.77451377,315
0.71834247,315
0.68010685,315
0.69927765,315
1.0603677,315
0.85976038,315
0.88529121,315
0.59199006,315
0.9375765,315
0.85323416,315
0.76031657,315
0.9707728,315
0.9048429,315
0.74346856,315
0.62877791,315
0.61017219,315
0.83646027,315
1.0154934,315
0.95668462,315
0.85780063,315
0.51497471,315
1.0177709,315
0.41596792,315
0.64630585,315
0.98625712,315
0.82322623,315
0.62093463,315
0.55071014,315
0.78475706,315
0.69594227,315
0.90387763,315
0.79006906,315
0.89149607,315
1.0004128,315
0.90526043,315
0.93248901,315
0.87537819,315
1.1016666,315
0.55522874,315
0.87613293,315
0.77769224,315
0.81447582,315
0.96375458,315
0.39232429,315
0.41730179,315
0.90864293,315
0.8622171,315
0.82712392,315
0.84627135,315
1.0046861,315
0.94996254,315
0.88037124,315
0.47633439,315
0.89242867,315
0.90399061,315
0.78541106,315
0.39682197,315
0.70451316,315
0.93798425,315
0.3931664,315
0.89464988,315
0.86904497,315
0.79293788,315
0.85388774,315
0.89675233,315
0.68080977,315
0.80773644,315
0.95367505,315
0.79260379,315
0.86003999,315
0.93513118,315
0.43347875,315
0.99041163,315
0.36685983,315
0.91393678,315
0.89082983,315
0.73145778,315
0.65694107,315
0.80159563,315
0.95027311,315
0.93432124,315
0.92531189,315
0.77562531,315
0.91154648,315
0.89636827,315
0.89715295,315
0.64060943,315
0.91560531,315
0.71157587,315
0.71569581,315
0.66307009,315
0.92863448,315
0.95728886,315
0.7209065,315
0.84854211,315
0.75849093,315
0.60451473,315
0.86805691,315
0.77743033,315
0.77994288,315
0.77191438,315
0.90373948,315
0.93625936,315
0.39325893,315
1.0049046,315
0.60708279,315
0.6808184,315
0.88051731,315
0.77022819,315
0.97528594,315
0.83894409,315
0.52776411,315
0.71375754,315
0.46065747,315
0.75169101,315
0.99762892,315
0.62223875,315
0.7616804,315
0.87516545,315
0.63622251,315
0.4630653,315
0.79265975,315
0.62902526,315
0.84519913,315
0.75205003,315
0.79848909,315
1.044637,315
0.91729016,315
0.23366483,315
0.26685801,315
0.59671539,315
0.81805866,315
0.83938589,315
0.94836376,315
0.90984601,315
0.98624268,315
0.89160089,315
0.84047228,315
0.91532694,315
0.52301691,315
0.52829193,315
0.7492115,315
0.60779945,315
0.78498389,315
0.59107475,315
0.86423454,315
0.78171811,315
0.68930604,315
0.89240086,315
0.28159984,315
0.95097573,315
0.72362967,315
0.98819902,315
0.674756,315
0.76406444,315
0.71582617,315
0.80857282,315
0.96510128,315
0.56932258,315
0.98758826,315
0.73388525,315
0.91869493,315
0.78900952,315
0.98216816,315
0.30450831,315
0.92883559,315
0.65111625,315
0.84746031,315
0.41008464,315
0.28867605,315
0.89238527,315
0.80744271,315
1.0420014,315
0.89104152,315
0.75756522,315
0.80097308,315
0.74624135,315
0.91807102,315
0.96117479,315
0.56814741,315
0.802424,315
0.45045129,315
0.55012304,315
0.88979586,315
0.44390125,315
0.44994305,315
1.0036987,315
0.86095011,315
0.89047756,315
0.69108359,315
0.37834588,315
0.52562409,315
0.80157618,315
0.93898351,315
0.70118782,315
0.51452242,315
0.72075906,315
0.60827017,315
0.96772374,315
1.0137856,315
0.70440279,315
0.85909247,315
0.85580951,315
0.60093629,315
0.68437833,315
0.86850846,315
0.44393869,315
0.66018147,315
0.91608625,315
0.88391049,315
0.91178223,315
0.88443515,315
0.85779445,315
0.92641845,315
0.93361495,315
0.79714171,315
0.33168499,315
0.40901031,315
0.89169668,315
0.86765425,315
0.99429342,315
0.90499417,315
0.89364422,315
0.53596998,315
0.8963336,315
0.65246754,315
0.75765025,315
0.78642873,315
0.72984597,315
0.5799326,315
0.84238901,315
0.75397565,315
0.3605693,315
0.21342357,315
0.72105843,315
0.56936169,315
0.93776665,315
0.80567759,315
0.64677203,315
0.54135981,315
0.42154448,315
0.36381152,315
0.97572479,315
0.6307952,315
0.7004917,315
0.96851907,315
0.431321,315
0.86889042,315
0.94460076,315
0.67019384,315
0.8090342,315
0.63744004,315
0.94474763,315
0.53749571,315
0.32072267,315
0.72706821,315
0.63260542,315
0.80904832,315
1.0071397,315
0.73198187,315
0.91787333,315
0.74993164,315
0.67838975,315
0.83681818,315
0.91620342,315
0.36906316,315
0.92127541,315
0.98722198,315
0.84296747,315
0.73467811,315
0.70371429,315
0.60720504,315
0.68219604,315
0.48003384,315
0.85955431,315
1.0372253,315
0.90181509,315
0.94094868,315
0.8253758,315
0.87682971,315
0.81395997,315
0.88264737,315
0.95668141,315
0.92904683,315
1.0106673,315
0.85609274,315
0.77328108,315
0.35762443,315
0.89920581,315
0.86272987,315
0.95198225,315
0.70595899,315
0.54411643,315
0.88173336,315
0.74982899,315
0.24211227,315
0.98940326,315
0.71124141,315
0.8167128,315
0.9477866,315
1.020567,315
0.9648242,315
0.70239084,315
0.87771097,315
0.94164195,315
0.52094188,315
0.88440959,315
0.55363749,315
0.9592061,315
0.93680591,315
0.95340159,315
0.27611505,315
0.75997108,315
0.43703398,315
0.39522307,315
0.93197303,315
0.4987897,315
0.96636003,315
0.87913906,315
0.84818255,315
0.45067155,315
0.92324802,315
0.75242291,315
0.84482703,315
0.78278114,315
0.7691982,315
0.78336287,315
0.82808392,315
0.82357129,315
0.65583113,315
1.0487087,315
0.85676444,315
0.87689132,315
0.81851713,315
0.79380051,315
0.8708744,315
0.93116477,315
0.76119163,315
0.90707616,315
0.50088018,315
0.90296928,315
0.91494303,315
0.98893494,315
0.70715633,315
0.23950298,315
0.63319624,315
1.0419156,315
0.98656078,315
0.87374383,315
0.12472093,315
0.84359071,315
0.95031003,315
0.76346498,315
0.46860264,315
0.97799951,315
0.78682735,315
0.9728074,315
0.92508146,315
0.77333294,315
0.93412442,315
0.41841114,315
0.6306381,315
0.99359391,315
1.0038479,315
0.88165966,315
0.81329998,315
0.79345306,315
0.86134917,315
0.76339983,315
0.80266847,315
0.99782883,315
0.99656553,315
0.91515317,315
0.87887966,315
0.24614685,315
0.84971838,315
0.99424341,315
0.89115771,315
0.91334955,315
0.45791327,315
0.65862461,315
0.80257655,315
0.84235315,315
0.85788543,315
0.91322113,315
0.85375062,315
0.88483353,315
0.85050904,315
0.83098151,315
0.67304705,315
0.73083433,315
0.85684587,315
0.8603362,315
0.7735009,315
0.82909896,315
0.89444968,315
0.83902597,315
0.94431695,315
0.86013373,315
0.95466799,315
0.93702205,315
1.0217534,315
0.54673259,315
0.82499579,315
0.86640971,315
0.98461343,315
1.0283365,315
0.76044029,315
0.73290031,315
0.98329893,315
0.13363367,315
0.94224319,315
0.87580115,315
0.50626777,315
0.86963304,315
0.36346899,315
0.28187484,315
0.58303867,315
0.84036417,315
0.95735519,315
0.43144025,315
0.67941771,315
0.88253093,315
0.81564783,315
0.95607642,315
0.66654027,315
0.4735466,315
0.94493489,315
0.80489328,315
0.97960489,315
0.83432527,315
0.49792413,315
0.7803248,315
0.88952732,315
0.95586914,315
0.97052272,315
0.90508266,315
0.88821146,315
0.81694464,315
0.44099648,315
0.74551618,315
0.91321546,315
0.78823715,315
0.56495085,315
0.9205857,315
0.89656129,315
0.89385692,315
1.025856,315
0.8065984,315
0.65666443,315
0.84975028,315
0.98614895,315
0.91318199,315
0.58813745,315
0.70357816,315
0.87492724,315
0.53214,315
0.76189793,315
0.93585413,315
0.83301288,315
0.37242567,315
0.96189244,315
0.8962349,315
0.70734812,315
0.93039239,315
0.53191756,315
0.77836577,315
0.8750008,315
0.95192377,315
0.48979634,315
0.7824828,315
0.77531725,315
1.0040687,315
0.86621025,315
0.46671496,315
0.81986121,315
0.70705791,315
0.85449125,315
0.7905663,315
0.96003304,315
0.88532616,315
1.0165275,315
0.91703306,315
0.8073185,315
0.94700012,315
0.89000657,315
0.88649712,315
0.99740488,315
0.88531016,315
0.95468441,315
0.3599991,315
0.88414068,315
0.91842528,315
0.61375614,315
0.76811981,315
0.84895284,315
0.39847473,315
0.63442738,315
0.59337851,315
0.88401864,315
0.65075662,315
0.4967886,315
0.82827173,315
0.835879,315
0.85467873,315
0.65032213,315
0.91914227,315
0.56109617,315
0.79433751,315
0.74730824,315
0.45690057,315
0.83319556,315
0.94367427,315
0.72009107,315
0.94122535,315
0.86914276,315
0.82122505,315
0.97585177,315
0.94123622,315
0.97377004,315
0.64063457,315
0.77450376,315
0.96271009,315
0.94294726,315
0.91544862,315
0.40729851,315
0.94858161,315
0.90045805,315
0.91637251,315
0.53141067,315
0.97639271,315
0.74891006,315
0.84942313,315
0.75725665,315
0.64835311,315
0.90626389,315
0.72116079,315
0.90315471,315
0.57490411,315
0.53010853,315
0.98847087,315
0.95397078,315
0.88536689,315
0.70126359,315
0.37122136,315
0.91384538,315
0.77650083,315
0.66165735,315
0.1651174,315
0.57547754,315
0.39100478,315
0.94685292,315
0.93122023,315
0.8342136,315
0.86304748,315
0.90427829,315
0.85312691,315
0.92755887,315
0.57670375,315
0.93767347,315
0.92601117,315
0.59554779,315
0.66707179,315
0.94732549,315
0.9037086,315
0.68125335,315
0.96030204,315
0.64603778,315
1.0236628,315
0.9211532,315
0.68097945,315
0.89993139,315
0.8513945,315
0.22046099,315
0.93536396,315
0.88655636,315
0.42061988,315
0.74401161,315
0.91972363,315
0.86731692,315
0.49991112,315
1.0073133,315
0.90679674,315
1.0598386,315
0.78261823,315
0.8292812,315
0.70242879,315
0.48629914,315
0.39328085,315
0.90712534,315
0.89196871,315
1.1296844,315
0.92679538,315
0.82431477,315
0.7716531,315
0.91264018,315
0.89775427,315
0.86597641,315
