rmsTransverse,run
0.54556474,332
0.88097184,332
0.85627846,332
0.81885942,332
0.8979901,332
0.9468529,332
0.81386985,332
0.6752446,332
0.90997314,332
0.7773411,332
0.92213735,332
0.70762045,332
0.99426822,332
0.8612259,332
0.9897922,332
0.81260764,332
1.0243712,332
1.2818172,332
0.7547619,332
0.95882703,332
0.85126855,332
0.774029,332
0.96921744,332
0.88677846,332
0.71561086,332
0.64580468,332
0.81473425,332
0.71245168,332
0.82003781,332
0.37698423,332
0.8607481,332
0.8563048,332
0.62531605,332
0.97420719,332
0.86206049,332
0.84707217,332
0.69485766,332
0.82793716,332
0.39114511,332
0.80482051,332
0.69660536,332
0.92600337,332
0.79681264,332
0.89784182,332
0.71375328,332
0.89875253,332
0.84670281,332
0.8177048,332
0.82383641,332
0.93528353,332
1.0202165,332
0.91954698,332
0.95873011,332
0.66728315,332
1.1216798,332
0.6832794,332
0.87528602,332
0.85655716,332
0.63860823,332
0.97603875,332
0.68436108,332
0.76964328,332
0.85196411,332
0.92393024,332
0.75359647,332
0.89174202,332
0.7880287,332
0.98774498,332
0.94529713,332
0.81638033,332
0.5468831,332
0.98415272,332
1.1083482,332
0.71908181,332
0.80167149,332
0.81248229,332
0.82686115,332
0.9752466,332
0.85477251,332
0.84765606,332
0.81920994,332
0.84340658,332
0.72672533,332
0.66596681,332
0.6014713,332
0.96992991,332
0.84686408,332
0.98215165,332
0.7987661,332
0.94779359,332
0.99307084,332
0.69974213,332
0.80992494,332
0.76105088,332
0.91779121,332
1.0772113,332
0.87491794,332
1.0180661,332
0.83609046,332
1.0091831,332
0.72198923,332
0.90484782,332
0.74528418,332
1.1366008,332
0.59002555,332
0.93428403,332
0.80643927,332
0.7959352,332
0.74515153,332
0.89315293,332
0.80646394,332
0.73484661,332
0.69479746,332
0.45728083,332
0.89613824,332
0.77925644,332
0.61533786,332
0.88866759,332
0.5975769,332
0.80834899,332
0.79356291,332
0.91368508,332
0.80123416,332
0.80377752,332
0.81522464,332
0.71489605,332
0.71492167,332
0.85861002,332
0.77691831,332
0.88669622,332
1.0408045,332
0.96368561,332
0.88015752,332
1.256485,332
0.72379543,332
0.67962363,332
0.76602206,332
0.86181609,332
0.59236281,332
0.75774855,332
0.69281512,332
0.96346183,332
0.73003271,332
0.98446759,332
0.77567819,332
0.78114732,332
0.75825399,332
0.4122616,332
1.1001026,332
0.88334157,332
0.77461657,332
1.0748357,332
0.82100803,332
1.0573727,332
0.83895119,332
0.86249146,332
0.92308907,332
0.84137661,332
0.64645393,332
0.84594007,332
0.80565253,332
0.89560388,332
0.73917229,332
0.70645185,332
0.75919315,332
0.86821003,332
0.80225566,332
0.4002938,332
0.61652149,332
0.93863565,332
0.91877704,332
0.82244305,332
0.80417451,332
0.6005736,332
0.76326557,332
0.90498143,332
0.69146686,332
0.89614924,332
0.87608242,332
0.67788543,332
0.92770747,332
0.89029487,332
0.86334474,332
0.94690897,332
0.85666638,332
1.0257436,332
1.0049382,332
0.66069682,332
0.64545818,332
0.83514814,332
1.0080584,332
0.90898924,332
0.93303723,332
0.88381141,332
0.97131047,332
0.73954697,332
0.93181275,332
0.85515904,332
0.91420698,332
0.63198303,332
0.79908931,332
0.8728852,332
0.98947086,332
0.58804587,332
1.1360786,332
0.91328534,332
0.85694762,332
0.82259077,332
0.88529933,332
0.6041617,332
0.90350183,332
0.74149816,332
0.87932843,332
0.6789202,332
0.80611407,332
0.85984041,332
0.88252225,332
0.70531493,332
0.92138529,332
0.45788484,332
0.9251304,332
1.0268472,332
0.75449542,332
0.85143091,332
0.77854458,332
0.79877912,332
0.85497544,332
1.0207899,332
0.84613487,332
0.79307231,332
0.93028783,332
0.457766,332
0.83817297,332
1.1156918,332
0.83834956,332
0.9623883,332
0.85147483,332
0.78820184,332
0.81706079,332
0.86341586,332
0.8254192,332
0.91282311,332
1.0509051,332
0.82062652,332
0.9761481,332
0.99828805,332
0.94247177,332
1.0606936,332
0.80545727,332
0.63115032,332
0.73657087,332
0.78154945,332
0.85936742,332
0.94094086,332
0.85034377,332
0.79649619,332
0.78187206,332
0.75235089,332
1.023106,332
0.80032462,332
0.7260034,332
0.77880051,332
0.84337156,332
0.92912204,332
0.68900841,332
0.97250362,332
0.83299032,332
0.69117123,332
0.92198758,332
1.0641487,332
0.69160308,332
0.79203207,332
0.76306274,332
0.96717221,332
0.67713828,332
0.6997469,332
0.81947506,332
0.88854619,332
0.80384533,332
0.71649535,332
0.9504194,332
0.95828242,332
0.68036123,332
0.60838809,332
0.92732754,332
0.67534595,332
0.77306892,332
0.84167934,332
0.87364695,332
0.83663136,332
0.75267711,332
0.75124487,332
0.88982935,332
0.93189531,332
0.859243,332
0.75097701,332
0.80091855,332
0.71334097,332
1.002263,332
0.83206268,332
0.91168921,332
0.96014213,332
0.894424,332
0.77065728,332
0.74468453,332
0.94337839,332
0.72903201,332
0.81202435,332
0.75675494,332
0.69741882,332
1.0117833,332
0.83815538,332
0.9584899,332
0.76444835,332
0.74798156,332
0.86456039,332
0.91062295,332
1.1368055,332
0.85904716,332
0.66248124,332
0.8539479,332
0.82880086,332
0.70365515,332
0.8239798,332
0.96841074,332
0.78425507,332
0.8359478,332
0.88602667,332
0.943753,332
0.80083058,332
0.3933851,332
0.55595702,332
0.87398979,332
0.80774929,332
0.8005188,332
0.68540766,332
0.56717526,332
0.94803736,332
0.95693614,332
0.52623361,332
0.84382729,332
0.77356708,332
0.86333743,332
1.2006345,332
0.90107502,332
0.80710059,332
0.87191356,332
0.74619519,332
0.84090611,332
1.0126963,332
0.76247061,332
0.84221697,332
0.80972632,332
0.67847629,332
0.81782412,332
0.87791042,332
0.77895952,332
0.79049999,332
1.1148326,332
0.76161037,332
0.93594442,332
0.91095863,332
0.88075661,332
0.83691287,332
0.90871027,332
0.82054822,332
0.75274563,332
1.1925848,332
0.84800847,332
0.95827778,332
0.85312887,332
