centerY,run
6.6170366,328
9.7598171,328
3.4037281,328
11.131173,328
5.2949409,328
10.024637,328
6.7095417,328
10.4775,328
6.151,328
2.6697177,328
4.8043182,328
2.8641949,328
5.6427695,328
8.6725,328
5.3959783,328
2.7580603,328
7.4712,328
6.0944919,328
7.7073165,328
7.95586,328
9.897271,328
11.068864,328
6.9533276,328
4.5581838,328
4.9432456,328
9.8759138,328
5.3379464,328
10.824492,328
5.0564313,328
8.3027703,328
9.4523198,328
4.1915323,328
5.17825,328
8.8811017,328
8.7555769,328
7.6452132,328
5.2238445,328
5.7074246,328
7.0186111,328
5.1139815,328
8.8783095,328
11.357974,328
4.3950641,328
9.2482018,328
5.1967086,328
9.9825,328
6.7602064,328
6.417602,328
4.8890417,328
6.6547523,328
7.3695417,328
11.247049,328
4.8935268,328
6.3888846,328
3.8031845,328
6.2027184,328
9.9889167,328
3.8731579,328
8.4494328,328
8.7603319,328
10.37822,328
5.0637288,328
8.19775,328
8.8441964,328
4.5848984,328
7.037323,328
6.6450362,328
7.0420939,328
10.148366,328
7.6284052,328
8.9524515,328
5.3460821,328
5.62122,328
4.0467308,328
5.7285177,328
3.6799583,328
2.89806,328
4.572378,328
6.1717857,328
5.3266518,328
8.551509,328
9.4817609,328
7.8345796,328
4.0142699,328
7.0966453,328
6.7695435,328
10.22177,328
3.2813321,328
10.57623,328
10.9747,328
6.2289754,328
6.0872881,328
6.0757258,328
6.3240772,328
7.3824528,328
4.7517339,328
4.0864076,328
4.5584091,328
3.2798711,328
5.4387605,328
10.845,328
6.5175,328
5.8020339,328
8.1181299,328
7.7729348,328
7.59,328
6.0770378,328
7.5863679,328
2.9326415,328
7.0447143,328
4.1379274,328
3.4893182,328
3.7408333,328
3.6172685,328
6.0802305,328
4.9363785,328
7.1543182,328
7.5523148,328
3.1075,328
7.3337698,328
9.3161885,328
5.2877193,328
10.884797,328
9.429881,328
8.1568697,328
3.9788913,328
3.6923165,328
5.61125,328
9.7383,328
7.8569118,328
9.0588793,328
8.4970417,328
7.2264844,328
6.828891,328
5.0312008,328
5.0363194,328
10.21056,328
5.8726145,328
10.722848,328
3.3766901,328
6.5957883,328
5.86125,328
3.7666057,328
7.0321429,328
3.0509286,328
9.6350194,328
8.7239414,328
4.4395312,328
10.060548,328
11.348185,328
11.004065,328
11.024538,328
7.1549803,328
10.087581,328
6.9741514,328
10.241289,328
8.7466739,328
8.9930093,328
11.390315,328
8.9051471,328
7.3858945,328
2.6847984,328
5.351792,328
9.5830825,328
9.9316509,328
6.7476316,328
7.7676176,328
9.7057812,328
2.6277128,328
10.487976,328
10.766132,328
6.2801772,328
6.1003782,328
9.5145896,328
9.4981452,328
7.3264583,328
9.8926835,328
10.929764,328
7.0289035,328
5.2351772,328
8.1339844,328
3.5755612,328
5.9994084,328
5.417,328
9.0806122,328
5.0353947,328
5.3247628,328
3.5342411,328
5.1095,328
9.9877381,328
9.6408475,328
9.9105081,328
3.3067623,328
3.8567754,328
6.3440385,328
8.6059615,328
9.3120455,328
4.874375,328
5.8682203,328
6.1124206,328
8.1323611,328
7.95355,328
5.2116284,328
9.3421789,328
8.3538063,328
3.8385619,328
6.6588672,328
4.1294767,328
5.94682,328
4.6011194,328
7.4639286,328
6.3502642,328
6.1780328,328
4.1926128,328
9.269413,328
5.7023062,328
4.0417466,328
10.60026,328
5.8428333,328
4.8854213,328
7.2497174,328
7.1516739,328
7.2007328,328
3.4816964,328
3.5168511,328
5.8365476,328
7.0222059,328
8.3649359,328
6.090413,328
10.382736,328
10.1662,328
8.706688,328
4.4296654,328
2.6828814,328
9.7492593,328
10.975321,328
5.6689286,328
10.551824,328
4.214375,328
8.9633333,328
6.2852232,328
6.4102049,328
8.0104327,328
5.4742188,328
5.2883696,328
8.166432,328
9.903463,328
10.999471,328
5.573537,328
7.6175,328
4.86838,328
6.7279724,328
3.36842,328
6.9686719,328
9.4267537,328
5.9000153,328
8.377875,328
3.2860317,328
8.4834906,328
5.893,328
4.3276681,328
9.0999419,328
7.0183929,328
11.118864,328
5.8511047,328
3.4063333,328
4.2575893,328
6.6293333,328
9.1949227,328
8.0025,328
8.4750417,328
4.6597222,328
6.3319348,328
3.4878462,328
8.4178205,328
10.978555,328
6.801371,328
8.1616393,328
4.4338636,328
9.644119,328
7.15375,328
5.8034735,328
3.9998874,328
10.299769,328
2.8006349,328
3.2709507,328
9.9682407,328
7.9724219,328
9.9606457,328
8.3028846,328
8.6004286,328
5.9297549,328
8.8110887,328
6.2157174,328
5.9143033,328
4.1918496,328
7.3636538,328
5.2653017,328
3.5255,328
8.9670522,328
6.7892647,328
3.3469397,328
6.1193584,328
5.4260052,328
7.097729,328
4.9808083,328
8.1652273,328
5.6262054,328
3.1010039,328
7.5329878,328
5.900094,328
5.6604167,328
6.325,328
9.9948596,328
6.9707,328
9.6507114,328
10.966332,328
11.435175,328
6.377185,328
8.2840185,328
8.3031356,328
10.203359,328
9.3559314,328
5.7314583,328
6.7925,328
5.5588139,328
8.921,328
9.1517609,328
7.5915,328
6.7261508,328
5.261587,328
6.2368796,328
11.350773,328
8.9872845,328
9.2354528,328
3.6025,328
5.1987595,328
5.9233962,328
6.2095866,328
9.2410496,328
3.9444758,328
5.350021,328
6.5322899,328
6.3208628,328
3.7897519,328
8.41125,328
7.4859962,328
7.5978571,328
8.3027823,328
6.4125,328
7.0969186,328
10.0375,328
4.63958,328
7.84718,328
5.01931,328
7.4875,328
5.1736066,328
7.2962195,328
9.473645,328
7.4383571,328
4.4415698,328
6.4075,328
7.20875,328
8.5337766,328
6.3538525,328
6.375339,328
9.6127232,328
7.4890267,328
8.5254911,328
8.5781967,328
9.2421484,328
6.4642054,328
7.1052863,328
4.746584,328
7.8875813,328
6.3668277,328
2.9683547,328
7.9915991,328
6.3236905,328
10.425119,328
4.6708858,328
10.205704,328
4.9684055,328
11.161284,328
10.591772,328
5.1316038,328
7.8412607,328
4.4745161,328
7.0629545,328
6.1607534,328
9.735,328
7.6631985,328
11.072368,328
5.8057627,328
6.71,328
5.5669248,328
4.5611296,328
3.1647727,328
3.3238679,328
8.6998043,328
5.8668824,328
9.7876869,328
4.861531,328
5.6886111,328
4.3336765,328
3.0909191,328
8.2701119,328
5.4546032,328
5.6822032,328
8.7461555,328
5.058254,328
9.1183333,328
8.99822,328
5.330875,328
6.0833929,328
4.5989706,328
3.3980128,328
3.9054365,328
10.505,328
10.1925,328
4.8740596,328
9.0421528,328
5.5752869,328
9.2280833,328
7.4607243,328
6.8800926,328
3.0768197,328
9.2718421,328
7.156,328
5.5673095,328
3.9398661,328
8.3226626,328
6.5963603,328
4.4416753,328
4.1161607,328
7.7398095,328
6.1684333,328
8.2267308,328
5.4281545,328
3.7276575,328
9.2705315,328
11.123225,328
6.2579854,328
8.0272748,328
2.9905526,328
5.1962209,328
5.9332547,328
7.0725417,328
3.2268077,328
8.6165086,328
3.2892391,328
4.71,328
6.1375,328
8.8023765,328
7.9045732,328
6.4659109,328
9.2745968,328
7.2119348,328
6.1204386,328
7.3187745,328
4.0078879,328
7.2161486,328
5.8860377,328
9.4957018,328
3.8240566,328
9.5646134,328
5.7597692,328
3.750151,328
8.20875,328
7.7691797,328
9.5378782,328
10.606434,328
8.1688983,328
7.2923529,328
7.5826953,328
4.8384843,328
11.395019,328
5.8630505,328
6.5976429,328
4.3958333,328
8.4729255,328
4.1783077,328
4.862545,328
6.4662607,328
8.2185714,328
10.261842,328
5.902875,328
10.275375,328
3.4414286,328
3.4759586,328
4.8880755,328
3.0666797,328
8.7515254,328
7.8998333,328
3.00982,328
7.1625935,328
5.2256496,328
7.8019118,328
3.103,328
4.8029128,328
4.8762815,328
9.0793841,328
5.3053175,328
6.7556855,328
4.5261508,328
8.1202917,328
6.4491505,328
9.4330046,328
10.78,328
6.80625,328
2.9469355,328
8.6625,328
7.5167366,328
5.7738776,328
8.2917411,328
6.1894298,328
7.0242476,328
9.7725435,328
6.5905328,328
9.2056818,328
9.6984174,328
4.43102,328
5.9278043,328
2.9485593,328
4.8409167,328
10.998578,328
4.9909252,328
9.2173016,328
3.0245259,328
9.7593699,328
9.9847917,328
10.6475,328
6.3820755,328
5.3380556,328
9.6264474,328
9.0442961,328
7.65314,328
6.9559286,328
3.8102273,328
8.7652072,328
5.5355488,328
6.5954167,328
8.7812815,328
7.2875,328
10.851305,328
4.7725391,328
6.5958491,328
8.0723649,328
3.0089151,328
6.651376,328
8.3525794,328
3.1654204,328
5.4014024,328
8.0892778,328
6.304375,328
6.3957143,328
9.8562984,328
7.6582917,328
7.38125,328
6.93,328
6.3294485,328
5.3459247,328
6.0860271,328
6.20334,328
7.9352778,328
5.9045833,328
6.6813542,328
6.1784278,328
8.7459322,328
7.9747277,328
3.1079622,328
4.3703846,328
7.8573256,328
5.1214362,328
6.4008621,328
10.730698,328
5.6246171,328
11.140297,328
4.2767241,328
5.2172573,328
10.041429,328
2.7987205,328
7.9130085,328
10.46705,328
9.6406466,328
8.2445,328
8.1246756,328
8.8173919,328
6.9513028,328
4.7509746,328
4.4702778,328
9.533,328
11.173864,328
6.1553761,328
6.8388636,328
10.330833,328
5.9057377,328
8.2696429,328
7.7373718,328
10.383943,328
