rotationAngle,run
0.25468125,339
1.9739395,339
2.9404593,339
0.16787396,339
1.5140427,339
0.88891482,339
2.5054179,339
2.9364493,339
2.161367,339
2.2499901,339
0.45203156,339
2.8423392,339
1.3666369,339
2.4473435,339
0.029235631,339
0.39635448,339
1.7118923,339
1.8595246,339
0.16343451,339
0.36473698,339
2.4634389,339
1.8613533,339
1.4010418,339
0.92357874,339
2.5116649,339
0.16533649,339
1.0015031,339
0.36582333,339
1.4378046,339
1.9778501,339
1.9186896,339
2.5057658,339
1.2066124,339
0.35670615,339
0.66561361,339
2.8637693,339
0.37224069,339
1.156126,339
1.3502848,339
1.7681739,339
2.6697838,339
1.7927168,339
0.56465086,339
0.15966447,339
2.2132662,339
0.75235801,339
2.677644,339
0.70101916,339
0.61316825,339
1.2993074,339
2.1500767,339
2.7656612,339
0.91195948,339
0.783346,339
1.4430644,339
2.9791898,339
1.0456062,339
2.6709207,339
1.5867159,339
1.3335594,339
3.0444468,339
2.1995776,339
3.1394625,339
0.29684795,339
1.2262723,339
1.9915581,339
0.60480595,339
0.12960951,339
2.2065444,339
2.4352384,339
0.029036557,339
0.78052203,339
2.7373981,339
2.129949,339
1.461776,339
2.1659002,339
1.2952444,339
2.1941234,339
1.7374588,339
1.7398935,339
0.18476544,339
1.4834868,339
0.39590667,339
2.7393169,339
2.7721611,339
1.2880507,339
2.0799011,339
0.087989001,339
0.11278505,339
0.07940921,339
2.0832796,339
2.0514357,339
2.6137939,339
1.8094153,339
2.965672,339
2.2942449,339
3.0192693,339
0.7946706,339
2.3617462,339
0.16333267,339
1.172092,339
0.23012408,339
1.520339,339
0.39163036,339
1.891226,339
1.3020685,339
0.30204875,339
0.83099618,339
2.428538,339
1.2628619,339
0.17288987,339
2.9704826,339
2.7944913,339
1.3606198,339
2.6574997,339
1.7762539,339
2.6991242,339
1.8547492,339
0.21619569,339
0.76254866,339
2.7113534,339
1.5541111,339
2.8567025,339
0.067116859,339
2.8788467,339
0.26493967,339
0.36662782,339
2.3230264,339
0.55939566,339
1.2202157,339
1.2752519,339
2.4223143,339
0.99846362,339
3.0000132,339
1.5285634,339
1.1992616,339
0.6016168,339
1.9894174,339
1.1816463,339
2.97251,339
1.8847148,339
2.2246331,339
1.2890373,339
0.57333539,339
0.34003683,339
2.2335834,339
2.7504211,339
0.43276352,339
1.8542834,339
0.84805693,339
1.6714394,339
2.0668924,339
1.1780138,339
1.5915907,339
0.022109705,339
1.8319585,339
0.32771142,339
2.9029947,339
1.0878026,339
0.033733423,339
1.1716312,339
1.0165466,339
1.9533045,339
2.0273355,339
2.9647521,339
0.79967438,339
1.8685077,339
0.41154602,339
2.8613032,339
1.9602445,339
0.17389343,339
0.28969809,339
0.3508688,339
1.8628044,339
0.99988648,339
2.5830176,339
1.1548671,339
2.1938203,339
2.62711,339
2.4461904,339
0.17253835,339
2.2833029,339
1.0839797,339
1.2067978,339
1.0829678,339
2.0195837,339
0.3177387,339
0.53653492,339
0.8520705,339
1.2927998,339
1.7341895,339
2.696503,339
2.4078653,339
2.3539513,339
0.87801104,339
1.5186478,339
2.8049255,339
1.7669668,339
1.4250846,339
2.2720368,339
0.42730515,339
0.41365485,339
0.67582327,339
2.8279336,339
0.49516453,339
1.0194504,339
2.7843708,339
1.247774,339
0.77334216,339
0.11112956,339
2.2963559,339
2.2104404,339
2.8367657,339
3.0555709,339
0.82620437,339
0.010163859,339
1.1140782,339
0.96505792,339
0.03311185,339
2.5220354,339
1.3018886,339
0.96057621,339
2.8058029,339
0.56777602,339
0.35251777,339
1.4845932,339
2.9691763,339
0.59236316,339
0.32616722,339
0.17045509,339
2.0584377,339
2.5222929,339
0.24811244,339
1.9135088,339
1.7232126,339
1.61172,339
1.4265871,339
1.776282,339
0.21382427,339
2.0377729,339
0.87472494,339
0.88423952,339
2.4569493,339
0.78182252,339
0.53461164,339
3.0332089,339
2.8994925,339
2.1631258,339
3.1040193,339
0.064468501,339
2.3115326,339
0.79217001,339
2.2298805,339
1.4714163,339
2.9486749,339
2.9776218,339
2.849657,339
0.22516581,339
3.0658092,339
2.0106958,339
3.0621353,339
2.8469224,339
3.0051242,339
1.7584108,339
0.02405904,339
0.60295492,339
1.3139547,339
0.71897901,339
0.84813062,339
2.0520194,339
0.57688074,339
