kurtosisLongitudinal,run
1.1186835,339
1.859724,339
0.19932967,339
-0.23718222,339
-0.16517007,339
0.21235542,339
-0.81774464,339
-0.83349979,339
-0.84221448,339
0.31638832,339
0.91868666,339
-0.88973629,339
-1.0537783,339
-0.45825399,339
-0.49697636,339
-0.20718579,339
0.64395642,339
-1.1760095,339
-0.11340184,339
-0.59441252,339
1.2225974,339
-0.37457481,339
-1.1539137,339
0.53021416,339
-0.90808475,339
0.98406874,339
-0.62564113,339
-1.3749742,339
-0.87170539,339
-0.40910119,339
0.68924301,339
-0.1966733,339
0.79351348,339
-0.64216309,339
-0.26455964,339
-1.2818069,339
-0.34383071,339
1.8788085,339
-0.71225747,339
-0.97324184,339
0.35516952,339
-0.57327522,339
-0.56950466,339
-0.3578946,339
-0.35392138,339
-0.89615689,339
0.0061352396,339
-0.48295264,339
-0.49174371,339
-1.6988184,339
-0.76974748,339
-0.23087382,339
-0.57852058,339
-0.63611663,339
-1.0503376,339
-0.59765601,339
-0.6829769,339
0.51517263,339
-0.78551773,339
-0.85922131,339
-1.1537723,339
-0.21793277,339
-1.0399647,339
1.0147735,339
-0.58422539,339
-0.34805848,339
-0.42508942,339
-1.2402331,339
0.037955391,339
-0.66730504,339
1.0636362,339
-0.88382334,339
0.053615286,339
-0.45967133,339
-0.73903626,339
-0.48080424,339
-0.87234682,339
-1.4119636,339
-0.37400824,339
0.19369958,339
-0.48030153,339
-0.72098484,339
0.6276272,339
-0.92768817,339
-1.5930472,339
-1.237082,339
-0.31742553,339
-0.70304104,339
-1.082545,339
-0.65521724,339
-0.37270256,339
-1.107791,339
-0.99226295,339
0.46515152,339
-0.86165802,339
-0.1697677,339
-0.75812449,339
-1.2280588,339
-0.4504534,339
-0.98451938,339
-0.55397032,339
-0.59416424,339
-0.82128562,339
-0.71970445,339
-0.93550979,339
-0.84547686,339
-0.2132489,339
-0.92149347,339
-0.65184139,339
-0.86315561,339
-0.85733631,339
-1.0531532,339
0.053436467,339
0.00091054636,339
-0.04701492,339
-0.72693954,339
-1.0266843,339
-0.82284527,339
-0.64193015,339
-0.61918208,339
-0.33891438,339
-1.230866,339
-1.1429337,339
-0.26159726,339
-0.58277011,339
-0.98489721,339
-0.35765804,339
-0.68007519,339
-0.37862756,339
1.2999801,339
0.69472722,339
-0.66651709,339
-0.18343135,339
-1.0315774,339
-0.2114421,339
-1.1473156,339
-0.2618087,339
0.035094384,339
-0.68619358,339
-0.35723305,339
0.4942978,339
-0.53909686,339
2.0958777,339
-0.69087807,339
-1.4141395,339
-0.33240615,339
-0.0097529164,339
0.28964341,339
-0.53048847,339
0.52801878,339
-0.94231628,339
-0.59881331,339
1.1145628,339
-0.93415352,339
-0.41799673,339
1.2116063,339
-0.86561933,339
0.280476,339
-0.41533753,339
-0.43604683,339
-1.1654765,339
-0.68154116,339
0.77535228,339
0.040398654,339
-1.0290268,339
1.0612009,339
-0.33259838,339
-0.12908415,339
-1.1648975,339
3.5438496,339
-0.41711788,339
-0.30061585,339
-0.63168665,339
-0.46228163,339
-0.69064804,339
-1.5475323,339
-0.99970361,339
-0.99056278,339
0.4221003,339
-1.1537783,339
2.4354589,339
-1.0474988,339
-1.1449183,339
-1.1222239,339
-0.13997262,339
-0.052514181,339
-0.47691077,339
-0.129887,339
-0.24321858,339
-0.76615276,339
-0.72887383,339
-0.94741522,339
-0.59478694,339
-0.58413586,339
-1.0429948,339
-0.13183218,339
0.81322597,339
-0.062797734,339
-1.0828538,339
0.58364247,339
-1.1463163,339
-0.02332815,339
-1.1106025,339
-1.3704484,339
0.016661883,339
-1.0312965,339
-0.78515126,339
-1.0303232,339
-0.61962219,339
-0.92551624,339
-0.64658428,339
2.0752174,339
-0.7490453,339
-0.63332629,339
-0.52767605,339
-0.94168252,339
-1.3367065,339
-1.205309,339
-0.28564657,339
-1.5409867,339
-0.9101256,339
0.70846245,339
-1.4233131,339
-0.19870501,339
-0.40604473,339
-0.42884138,339
-0.74990047,339
-0.40159892,339
0.07464621,339
1.1890506,339
0.012157734,339
-0.32618628,339
1.2848385,339
-1.1634609,339
1.7752118,339
-0.2212753,339
1.0688754,339
-0.71120093,339
-0.74092974,339
-1.0220754,339
-0.91705319,339
-0.037697191,339
-0.64174055,339
-1.168419,339
0.3053671,339
0.70124043,339
-0.048836176,339
-0.22883591,339
-1.1299764,339
-0.88473651,339
5.5031333,339
-0.65913323,339
-0.67705812,339
-0.3747102,339
-1.0056073,339
-0.90424481,339
-0.70481879,339
2.0676458,339
-0.47217162,339
0.55374414,339
0.43384009,339
-0.49742522,339
-0.76142532,339
-0.25272255,339
0.77430524,339
0.56115343,339
-1.0872207,339
-0.35773171,339
-0.92502333,339
0.65928779,339
-0.95794853,339
