Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,53,325,332,hits,Al-Al-4kV,1.3688494
Cut,58,327,332,hits,Al-Al-4kV,1.4979862
Cut,49,327,332,hits,Al-Al-4kV,1.2655401
Cut,58,329,332,hits,Al-Al-4kV,1.4979862
Cut,106,331,332,hits,Al-Al-4kV,2.7376989
Cut,58,332,332,hits,Al-Al-4kV,1.4979862
Cut,66,335,332,hits,Al-Al-4kV,1.704605
Cut,65,340,332,hits,Al-Al-4kV,1.6787776
Cut,111,342,332,hits,Al-Al-4kV,2.8668356
Cut,104,343,332,hits,Al-Al-4kV,2.6860442
Cut,52,344,332,hits,Al-Al-4kV,1.3430221
Cut,106,345,332,hits,Al-Al-4kV,2.7376989
Cut,46,350,332,hits,Al-Al-4kV,1.188058
Cut,64,353,332,hits,Al-Al-4kV,1.6529503
Cut,52,357,332,hits,Al-Al-4kV,1.3430221
Cut,58,358,332,hits,Al-Al-4kV,1.4979862
Cut,54,363,332,hits,Al-Al-4kV,1.3946768
Cut,58,364,332,hits,Al-Al-4kV,1.4979862
Cut,60,369,332,hits,Al-Al-4kV,1.5496409
Cut,145,370,332,hits,Al-Al-4kV,3.7449655
Cut,60,371,332,hits,Al-Al-4kV,1.5496409
Cut,62,373,332,hits,Al-Al-4kV,1.6012956
Cut,168,375,332,hits,Al-Al-4kV,4.3389945
Cut,59,378,332,hits,Al-Al-4kV,1.5238135
Cut,51,381,332,hits,Al-Al-4kV,1.3171947
Cut,45,386,332,hits,Al-Al-4kV,1.1622307
Cut,62,391,332,hits,Al-Al-4kV,1.6012956
Cut,62,395,332,hits,Al-Al-4kV,1.6012956
Cut,49,397,332,hits,Al-Al-4kV,1.2655401
Cut,57,398,332,hits,Al-Al-4kV,1.4721588
Cut,64,399,332,hits,Al-Al-4kV,1.6529503
Cut,51,401,332,hits,Al-Al-4kV,1.3171947
Cut,54,402,332,hits,Al-Al-4kV,1.3946768
Cut,55,405,332,hits,Al-Al-4kV,1.4205041
Cut,58,407,332,hits,Al-Al-4kV,1.4979862
Cut,102,408,332,hits,Al-Al-4kV,2.6343895
Cut,53,411,332,hits,Al-Al-4kV,1.3688494
Cut,117,412,332,hits,Al-Al-4kV,3.0217997
Cut,97,413,332,hits,Al-Al-4kV,2.5052528
Cut,58,414,332,hits,Al-Al-4kV,1.4979862
Cut,142,416,332,hits,Al-Al-4kV,3.6674834
Cut,44,417,332,hits,Al-Al-4kV,1.1364033
Cut,56,418,332,hits,Al-Al-4kV,1.4463315
Cut,61,419,332,hits,Al-Al-4kV,1.5754682
Cut,62,421,332,hits,Al-Al-4kV,1.6012956
Cut,56,422,332,hits,Al-Al-4kV,1.4463315
Cut,107,442,332,hits,Al-Al-4kV,2.7635262
Cut,58,443,332,hits,Al-Al-4kV,1.4979862
Cut,55,445,332,hits,Al-Al-4kV,1.4205041
Cut,54,446,332,hits,Al-Al-4kV,1.3946768
Cut,87,447,332,hits,Al-Al-4kV,2.2469793
Cut,58,452,332,hits,Al-Al-4kV,1.4979862
Cut,53,453,332,hits,Al-Al-4kV,1.3688494
Cut,48,454,332,hits,Al-Al-4kV,1.2397127
Cut,68,455,332,hits,Al-Al-4kV,1.7562597
Cut,50,456,332,hits,Al-Al-4kV,1.2913674
Cut,60,457,332,hits,Al-Al-4kV,1.5496409
Cut,65,461,332,hits,Al-Al-4kV,1.6787776
Cut,115,463,332,hits,Al-Al-4kV,2.970145
Cut,101,464,332,hits,Al-Al-4kV,2.6085622
Cut,60,465,332,hits,Al-Al-4kV,1.5496409
Cut,55,466,332,hits,Al-Al-4kV,1.4205041
Cut,80,467,332,hits,Al-Al-4kV,2.0661878
Cut,55,469,332,hits,Al-Al-4kV,1.4205041
Cut,59,470,332,hits,Al-Al-4kV,1.5238135
Cut,55,471,332,hits,Al-Al-4kV,1.4205041
Cut,65,473,332,hits,Al-Al-4kV,1.6787776
Cut,54,476,332,hits,Al-Al-4kV,1.3946768
Cut,49,479,332,hits,Al-Al-4kV,1.2655401
Cut,61,480,332,hits,Al-Al-4kV,1.5754682
Cut,56,481,332,hits,Al-Al-4kV,1.4463315
Cut,57,483,332,hits,Al-Al-4kV,1.4721588
Cut,62,485,332,hits,Al-Al-4kV,1.6012956
Cut,114,489,332,hits,Al-Al-4kV,2.9443177
Cut,128,492,332,hits,Al-Al-4kV,3.3059005
Cut,44,495,332,hits,Al-Al-4kV,1.1364033
Cut,64,497,332,hits,Al-Al-4kV,1.6529503
Cut,50,511,332,hits,Al-Al-4kV,1.2913674
Cut,90,512,332,hits,Al-Al-4kV,2.3244613
Cut,147,514,332,hits,Al-Al-4kV,3.7966202
Cut,92,517,332,hits,Al-Al-4kV,2.376116
Cut,59,521,332,hits,Al-Al-4kV,1.5238135
Cut,49,522,332,hits,Al-Al-4kV,1.2655401
Cut,111,524,332,hits,Al-Al-4kV,2.8668356
Cut,50,525,332,hits,Al-Al-4kV,1.2913674
Cut,54,526,332,hits,Al-Al-4kV,1.3946768
Cut,58,527,332,hits,Al-Al-4kV,1.4979862
Cut,101,530,332,hits,Al-Al-4kV,2.6085622
Cut,63,531,332,hits,Al-Al-4kV,1.6271229
Cut,50,532,332,hits,Al-Al-4kV,1.2913674
Cut,123,535,332,hits,Al-Al-4kV,3.1767638
Cut,108,536,332,hits,Al-Al-4kV,2.7893536
Cut,53,537,332,hits,Al-Al-4kV,1.3688494
Cut,145,538,332,hits,Al-Al-4kV,3.7449655
Cut,61,541,332,hits,Al-Al-4kV,1.5754682
Cut,58,544,332,hits,Al-Al-4kV,1.4979862
Cut,57,557,332,hits,Al-Al-4kV,1.4721588
Cut,52,560,332,hits,Al-Al-4kV,1.3430221
Cut,69,564,332,hits,Al-Al-4kV,1.782087
Cut,54,570,332,hits,Al-Al-4kV,1.3946768
Cut,54,571,332,hits,Al-Al-4kV,1.3946768
Cut,125,573,332,hits,Al-Al-4kV,3.2284185
Cut,56,575,332,hits,Al-Al-4kV,1.4463315
Cut,31,575,332,hits,Al-Al-4kV,0.80064779
Cut,57,578,332,hits,Al-Al-4kV,1.4721588
Cut,49,588,332,hits,Al-Al-4kV,1.2655401
Cut,61,591,332,hits,Al-Al-4kV,1.5754682
Cut,164,597,332,hits,Al-Al-4kV,4.2356851
Cut,60,598,332,hits,Al-Al-4kV,1.5496409
Cut,68,599,332,hits,Al-Al-4kV,1.7562597
Cut,60,601,332,hits,Al-Al-4kV,1.5496409
Cut,58,602,332,hits,Al-Al-4kV,1.4979862
Cut,64,603,332,hits,Al-Al-4kV,1.6529503
Cut,62,609,332,hits,Al-Al-4kV,1.6012956
Cut,64,611,332,hits,Al-Al-4kV,1.6529503
Cut,63,613,332,hits,Al-Al-4kV,1.6271229
Cut,62,622,332,hits,Al-Al-4kV,1.6012956
Cut,53,627,332,hits,Al-Al-4kV,1.3688494
Cut,62,631,332,hits,Al-Al-4kV,1.6012956
Cut,140,632,332,hits,Al-Al-4kV,3.6158287
Cut,62,633,332,hits,Al-Al-4kV,1.6012956
Cut,84,635,332,hits,Al-Al-4kV,2.1694972
Cut,98,637,332,hits,Al-Al-4kV,2.5310801
Cut,63,644,332,hits,Al-Al-4kV,1.6271229
Cut,111,650,332,hits,Al-Al-4kV,2.8668356
Cut,65,655,332,hits,Al-Al-4kV,1.6787776
Cut,62,657,332,hits,Al-Al-4kV,1.6012956
Cut,50,662,332,hits,Al-Al-4kV,1.2913674
Cut,64,663,332,hits,Al-Al-4kV,1.6529503
Cut,59,664,332,hits,Al-Al-4kV,1.5238135
Cut,63,666,332,hits,Al-Al-4kV,1.6271229
Cut,53,667,332,hits,Al-Al-4kV,1.3688494
Cut,67,668,332,hits,Al-Al-4kV,1.7304323
Cut,60,672,332,hits,Al-Al-4kV,1.5496409
Cut,101,673,332,hits,Al-Al-4kV,2.6085622
Cut,57,676,332,hits,Al-Al-4kV,1.4721588
Cut,65,679,332,hits,Al-Al-4kV,1.6787776
