centerY,run
5.1652586,339
6.8185526,339
6.4730769,339
3.5699074,339
4.9648958,339
7.6598077,339
3.2675,339
10.794808,339
4.3079348,339
9.1425,339
3.9535294,339
11.4075,339
11.33,339
8.8443548,339
4.1066667,339
9.2741,339
5.4662143,339
10.115658,339
3.2971552,339
5.12325,339
6.8877439,339
3.6529167,339
3.8973361,339
10.84213,339
3.45125,339
8.645,339
3.8792742,339
11.315192,339
7.81,339
6.6,339
9.1431522,339
5.7028125,339
7.90625,339
9.9303947,339
5.2482692,339
10.237857,339
8.2696429,339
6.14625,339
10.567237,339
5.6271875,339
5.4635204,339
8.9733696,339
4.9879762,339
11.022344,339
4.0341304,339
9.3076923,339
6.9332353,339
8.3202778,339
9.6886429,339
3.4802778,339
10.343438,339
6.579375,339
3.4837,339
4.1696875,339
4.0205,339
7.0844231,339
6.93275,339
4.8691667,339
4.9727857,339
5.8876613,339
11.417325,339
4.8430556,339
3.8958333,339
8.4498333,339
7.0445833,339
9.8565323,339
3.0078125,339
4.1839286,339
10.879569,339
5.6728571,339
3.2925,339
9.6651923,339
5.0108929,339
4.3175,339
7.15,339
2.9549194,339
10.4995,339
9.2858333,339
3.9403571,339
4.3023276,339
4.3209921,339
7.5505435,339
8.0697222,339
5.3013889,339
7.6938889,339
6.0055769,339
3.8055769,339
3.7461111,339
6.4398529,339
7.4837745,339
7.4271154,339
9.0390385,339
5.9514583,339
7.183,339
3.9215,339
10.044375,339
5.8339286,339
8.3540217,339
11.3179,339
3.4082447,339
3.8696429,339
5.2640789,339
5.0591129,339
9.5131667,339
4.1725,339
3.9066176,339
10.8625,339
6.2037963,339
8.4380405,339
3.3621296,339
10.67713,339
2.9064655,339
10.034357,339
6.105,339
6.5031522,339
8.92375,339
9.3272826,339
7.0675,339
10.873958,339
4.6035,339
4.3829762,339
4.4385,339
8.51125,339
10.129167,339
7.25,339
8.3779348,339
8.9705,339
6.6719231,339
4.0865,339
3.5137903,339
7.5606034,339
5.17,339
6.2491,339
7.8899419,339
4.269375,339
11.275887,339
5.3646154,339
4.7065741,339
8.5178704,339
3.6513889,339
9.1925,339
7.2892742,339
7.6936538,339
7.8244048,339
5.181934,339
8.3875,339
10.618438,339
4.558125,339
6.09125,339
6.4075,339
6.1125,339
9.0545513,339
9.9648214,339
7.035,339
8.5725,339
11.058587,339
5.5579255,339
3.0423148,339
4.1983333,339
3.179,339
9.1534259,339
6.7602174,339
5.6054167,339
9.6162,339
8.3221226,339
2.8701316,339
2.9377857,339
6.4258333,339
9.87,339
9.49025,339
3.7201389,339
5.795,339
4.1814474,339
6.6979,339
8.4593056,339
4.9875,339
5.315,339
9.4339474,339
4.9951,339
6.9551087,339
10.05879,339
5.9125,339
10.4225,339
4.8329286,339
8.3575,339
3.9619643,339
7.2468,339
10.424891,339
5.9982353,339
9.5091071,339
3.1476923,339
3.6666667,339
3.2007609,339
8.5930263,339
4.9559783,339
7.6725,339
7.9057,339
2.8856034,339
10.867083,339
5.0025,339
7.4561667,339
2.695,339
8.5525,339
7.8352083,339
5.69,339
5.5955263,339
5.1600532,339
3.2079348,339
7.1578571,339
10.964352,339
9.4565625,339
10.213879,339
5.09575,339
8.6672826,339
9.6668478,339
5.4965625,339
5.36,339
8.5143367,339
8.3309722,339
5.5240625,339
5.7016667,339
6.8841667,339
9.0239286,339
5.20025,339
9.4294444,339
7.7709211,339
4.6881522,339
8.2507857,339
6.2180556,339
5.640473,339
3.3569643,339
2.8375,339
10.101822,339
4.5618671,339
