skewnessLongitudinal,run
0.21939436,342
0.36559419,342
-0.3386359,342
-0.031633003,342
0.074893073,342
-0.10816259,342
0.78394791,342
0.4568084,342
1.5453041,342
-0.11307701,342
0.17329678,342
1.0619506,342
-0.18633864,342
-0.70618955,342
0.22812963,342
0.092793791,342
-0.10357343,342
0.1355297,342
-0.25097496,342
0.25128691,342
0.9053258,342
0.39273896,342
0.20979062,342
-0.13942885,342
0.23092667,342
-0.36713486,342
-0.18982915,342
-0.56708859,342
0.51577581,342
0.13097853,342
0.97696176,342
-0.78547117,342
-0.018183295,342
0.53607409,342
-0.25616483,342
0.15895362,342
0.11532717,342
0.62087439,342
-0.22236315,342
-1.3878984,342
-0.40282891,342
0.51070154,342
-0.19977229,342
-0.10954504,342
-0.41222373,342
0.30167093,342
0.67101261,342
-0.27919566,342
-0.2619437,342
-0.7210497,342
0.22880158,342
-0.086584242,342
-0.34279665,342
-0.034618102,342
-0.1219904,342
0.53694825,342
-0.58370552,342
-0.11638385,342
0.7884852,342
0.0035818202,342
-0.68962222,342
0.70091164,342
-0.67057942,342
-0.1164996,342
0.43125454,342
-0.48958236,342
-1.3721485,342
1.3327977,342
-0.15091229,342
0.34326224,342
-0.047335307,342
0.29620816,342
-0.95377876,342
-0.38749451,342
0.42699593,342
1.0921369,342
0.79978869,342
0.52966054,342
0.09383456,342
-0.44190588,342
-0.011859896,342
0.26409876,342
0.51759089,342
0.35822109,342
-0.56686436,342
1.6294367,342
0.70478643,342
-0.10382352,342
0.19388626,342
0.66101826,342
0.01767953,342
0.28356698,342
-0.39209147,342
-0.7151888,342
-0.93977335,342
0.70590817,342
-0.66386759,342
0.062355554,342
-0.33288206,342
0.30438888,342
-0.20096931,342
-0.6764066,342
-0.32359391,342
0.40790504,342
0.10442425,342
0.54723558,342
-0.45365443,342
-0.14462585,342
-0.096464531,342
0.6549295,342
-0.67825554,342
-0.8911113,342
-0.49425824,342
0.037529991,342
-0.030798525,342
-0.21692608,342
-0.14267589,342
0.63588136,342
0.57802793,342
0.35730923,342
0.24878816,342
-0.62108237,342
0.50188239,342
0.66925792,342
-0.60837159,342
-0.63244122,342
-0.18057617,342
-0.29911485,342
-0.33220489,342
-1.2130559,342
-0.45614448,342
-0.17154079,342
0.32934877,342
0.34472467,342
-0.6499992,342
-0.45262846,342
-0.49372829,342
0.19245155,342
-0.39928091,342
-0.13894578,342
-0.49639962,342
-0.36299259,342
-0.21706365,342
0.32586442,342
0.73061341,342
-0.93504682,342
-0.11780726,342
0.40498809,342
0.35301082,342
-0.3950786,342
-0.62068092,342
0.52873732,342
0.022129627,342
-0.32084328,342
-0.46814619,342
0.42042526,342
-0.080796733,342
1.2298794,342
0.39916204,342
-0.038405888,342
0.27261292,342
-0.47081135,342
0.19341675,342
0.54051595,342
-0.50104367,342
-0.032164301,342
-0.21526436,342
0.72180445,342
-0.49672441,342
-0.39023709,342
-0.23102952,342
-0.42046465,342
1.104591,342
-0.36519122,342
0.13698935,342
-0.098408718,342
-0.93110964,342
-0.34560521,342
-0.72245198,342
-0.24776757,342
0.15242745,342
-0.26904075,342
-0.24927162,342
-0.0059564154,342
0.29593155,342
-0.0023743231,342
0.41787237,342
-0.36337527,342
0.83421115,342
0.54060553,342
-0.022235676,342
-0.098317057,342
0.28043038,342
0.29029937,342
0.73969875,342
-0.28865056,342
0.33470332,342
-0.6503809,342
0.63234152,342
0.53180646,342
0.21342838,342
-0.15133434,342
-0.32756028,342
-0.13578354,342
-0.22874953,342
0.65565395,342
0.16295188,342
-0.012857308,342
-0.66230567,342
-0.14891824,342
-0.23377441,342
0.25048977,342
-0.24994456,342
-0.8310644,342
-0.98326181,342
-0.02585632,342
0.51184708,342
-0.24338046,342
-0.13092554,342
0.25008947,342
-0.72534617,342
-0.37192164,342
0.17967281,342
-1.0776287,342
0.84980139,342
-0.1686911,342
-0.06316181,342
-0.11971389,342
-0.1619143,342
-0.46765819,342
0.0096607401,342
0.2620243,342
-0.2421028,342
0.43696211,342
-0.006888187,342
0.20090094,342
-0.61125624,342
-0.075247823,342
-0.33814769,342
0.48996952,342
0.22275441,342
-0.044064988,342
-0.29701925,342
-0.37407808,342
-0.41792888,342
-0.60728962,342
-0.6396792,342
0.27069769,342
0.078492407,342
-0.61129677,342
0.39427939,342
0.58459439,342
0.055005144,342
0.62649569,342
-0.22742384,342
0.53325228,342
1.2487397,342
0.25135835,342
-0.44917963,342
1.4302384,342
-0.0094690034,342
0.10439179,342
0.052942615,342
-0.5951263,342
0.23978194,342
-0.01558481,342
-0.37224635,342
0.37959888,342
-1.2067378,342
-0.4211414,342
0.84088295,342
-0.20083775,342
0.6052194,342
0.38813532,342
0.36513675,342
0.42557343,342
0.077409398,342
-0.55834178,342
0.80267083,342
-0.13897303,342
0.15387105,342
0.42728021,342
