skewnessTransverse,run
0.2767726,325
0.14773771,325
-0.35567366,325
0.064944808,325
0.084467563,325
-0.17545077,325
-0.13993093,325
0.04395184,325
-0.20149424,325
-0.0068326047,325
-0.18138585,325
0.1007082,325
0.055674304,325
0.13040554,325
-0.20728204,325
0.33275146,325
0.037937462,325
0.22411613,325
0.038057445,325
-0.34216459,325
-0.027253383,325
0.16452398,325
0.032873952,325
0.37598929,325
-0.31449962,325
0.0024723216,325
0.036656157,325
-0.039706294,325
-0.21549536,325
0.44455485,325
-0.029043935,325
0.16592075,325
0.17615411,325
-0.13219071,325
-0.25870123,325
-0.35138034,325
0.024461098,325
0.20448618,325
-0.24499363,325
-0.64323218,325
0.15688228,325
0.099887193,325
0.13036938,325
0.041898587,325
0.12270603,325
-0.42568128,325
0.2239251,325
-0.10926278,325
-0.51512776,325
0.20079401,325
-0.048222218,325
0.37038596,325
0.15831262,325
-0.11527514,325
-0.13757953,325
0.12650005,325
0.19921739,325
-0.030578497,325
0.0079212281,325
-0.047136229,325
0.13309985,325
0.23766654,325
0.27304792,325
0.036744777,325
0.20737301,325
0.056349596,325
0.19397289,325
-0.37618824,325
-0.076516834,325
-0.13078127,325
0.03237248,325
0.21038544,325
-0.07385828,325
0.54078903,325
0.099081896,325
-0.03514002,325
-0.25036491,325
-0.18372518,325
-0.34492664,325
0.10504696,325
0.11274618,325
-0.21586059,325
-0.1481377,325
0.048839693,325
0.24659013,325
-0.14303194,325
0.093192252,325
0.024149148,325
0.2173995,325
0.072218842,325
-0.03990841,325
0.053813964,325
0.14746921,325
0.16586814,325
-0.22046736,325
-0.096459084,325
0.058699063,325
0.1671336,325
-0.056041361,325
0.15127383,325
-0.26987388,325
0.35192642,325
-0.10372116,325
0.094001196,325
0.170904,325
0.59068069,325
0.033688223,325
0.086267699,325
0.22352667,325
-0.28195622,325
0.074691094,325
-0.2570449,325
0.44776486,325
-0.025191075,325
-0.041510668,325
0.18230671,325
0.048585912,325
-0.26793744,325
0.15523036,325
-0.098984468,325
0.08665394,325
-0.30175599,325
0.1767268,325
-0.22218096,325
0.11966411,325
-0.25220832,325
0.043613261,325
-0.11619872,325
0.1591349,325
-0.12954298,325
0.20581148,325
-0.077680237,325
0.26624251,325
0.14278893,325
-0.20192296,325
0.19067661,325
0.016209676,325
0.054345008,325
-0.033160071,325
-0.16604043,325
0.11387542,325
-0.14557407,325
0.0756996,325
-0.2843054,325
0.082836758,325
-0.13252525,325
-0.11626996,325
0.26835361,325
-0.20115639,325
-0.020772509,325
-0.34856873,325
0.13948264,325
-0.20394314,325
-0.039238689,325
0.11860001,325
-0.059968091,325
-0.083972891,325
-0.23490014,325
-0.083581846,325
0.078109164,325
-0.037666087,325
-0.050183719,325
-0.010615051,325
0.17492217,325
0.1219017,325
-0.11583152,325
0.15751224,325
0.019596264,325
-0.1834523,325
0.5007116,325
0.048029068,325
0.050620269,325
0.24018506,325
0.25246233,325
-0.42753701,325
-0.18441675,325
0.22600498,325
0.23931401,325
-0.080838954,325
-0.42104972,325
-0.0078980128,325
-0.14073337,325
-0.16032295,325
-0.30031333,325
-0.095973272,325
0.17703997,325
0.38028506,325
-0.042998273,325
-0.39189293,325
0.35309403,325
-0.093801445,325
