hits,run
44,335
18,335
17,335
28,335
47,335
66,335
37,335
34,335
42,335
42,335
59,335
30,335
29,335
34,335
40,335
50,335
39,335
51,335
58,335
39,335
58,335
58,335
19,335
34,335
34,335
47,335
71,335
54,335
46,335
25,335
26,335
57,335
46,335
38,335
53,335
56,335
28,335
58,335
34,335
66,335
54,335
36,335
45,335
48,335
39,335
26,335
35,335
39,335
34,335
27,335
27,335
51,335
33,335
43,335
34,335
72,335
36,335
23,335
33,335
37,335
38,335
33,335
54,335
59,335
43,335
32,335
23,335
33,335
42,335
32,335
41,335
41,335
60,335
30,335
43,335
41,335
33,335
62,335
33,335
72,335
72,335
25,335
38,335
25,335
31,335
35,335
63,335
30,335
37,335
46,335
38,335
40,335
35,335
33,335
26,335
54,335
41,335
28,335
38,335
30,335
42,335
29,335
71,335
24,335
60,335
14,335
44,335
47,335
34,335
37,335
42,335
31,335
34,335
53,335
26,335
38,335
22,335
30,335
19,335
25,335
38,335
56,335
41,335
33,335
48,335
32,335
73,335
51,335
33,335
28,335
21,335
34,335
63,335
29,335
33,335
32,335
31,335
37,335
59,335
37,335
49,335
35,335
55,335
40,335
40,335
46,335
13,335
63,335
40,335
44,335
36,335
51,335
35,335
27,335
32,335
88,335
49,335
31,335
24,335
40,335
41,335
49,335
41,335
73,335
34,335
39,335
45,335
29,335
34,335
55,335
30,335
56,335
52,335
49,335
44,335
27,335
28,335
56,335
53,335
28,335
30,335
69,335
22,335
65,335
34,335
48,335
26,335
34,335
41,335
62,335
25,335
20,335
33,335
49,335
35,335
32,335
41,335
115,335
34,335
38,335
34,335
113,335
22,335
71,335
49,335
34,335
17,335
38,335
35,335
14,335
42,335
45,335
57,335
37,335
21,335
76,335
31,335
24,335
44,335
59,335
37,335
34,335
42,335
24,335
34,335
51,335
35,335
45,335
32,335
59,335
41,335
27,335
23,335
29,335
42,335
36,335
37,335
33,335
61,335
39,335
38,335
34,335
47,335
21,335
34,335
52,335
31,335
37,335
29,335
43,335
37,335
42,335
32,335
29,335
43,335
24,335
26,335
67,335
39,335
33,335
70,335
65,335
31,335
34,335
43,335
42,335
60,335
41,335
33,335
84,335
32,335
50,335
38,335
30,335
25,335
27,335
29,335
33,335
33,335
39,335
56,335
37,335
36,335
36,335
31,335
31,335
33,335
38,335
29,335
35,335
41,335
30,335
24,335
41,335
47,335
32,335
50,335
58,335
48,335
54,335
32,335
43,335
37,335
35,335
30,335
27,335
40,335
52,335
80,335
68,335
43,335
30,335
63,335
35,335
46,335
39,335
78,335
49,335
35,335
40,335
33,335
40,335
43,335
35,335
50,335
32,335
39,335
42,335
33,335
40,335
54,335
36,335
33,335
44,335
54,335
35,335
56,335
42,335
68,335
25,335
40,335
33,335
37,335
50,335
60,335
37,335
20,335
42,335
44,335
28,335
33,335
31,335
35,335
54,335
40,335
76,335
42,335
60,335
26,335
33,335
53,335
39,335
23,335
22,335
15,335
39,335
24,335
54,335
47,335
49,335
47,335
28,335
40,335
25,335
36,335
45,335
44,335
45,335
37,335
27,335
37,335
56,335
62,335
30,335
26,335
27,335
39,335
76,335
55,335
39,335
39,335
38,335
49,335
43,335
41,335
35,335
54,335
31,335
30,335
32,335
26,335
30,335
56,335
41,335
33,335
32,335
39,335
40,335
19,335
25,335
80,335
64,335
39,335
40,335
33,335
56,335
34,335
37,335
49,335
43,335
54,335
40,335
52,335
63,335
39,335
51,335
47,335
39,335
31,335
46,335
39,335
42,335
40,335
25,335
30,335
33,335
40,335
33,335
27,335
27,335
27,335
63,335
31,335
5,335
59,335
55,335
37,335
36,335
31,335
29,335
45,335
31,335
28,335
42,335
37,335
28,335
29,335
35,335
46,335
59,335
25,335
64,335
53,335
25,335
70,335
31,335
49,335
37,335
15,335
41,335
91,335
19,335
44,335
62,335
41,335
27,335
22,335
36,335
33,335
50,335
59,335
31,335
36,335
57,335
56,335
35,335
49,335
40,335
29,335
43,335
16,335
43,335
62,335
28,335
27,335
29,335
53,335
32,335
34,335
36,335
69,335
30,335
28,335
33,335
36,335
90,335
42,335
44,335
23,335
19,335
42,335
34,335
27,335
46,335
38,335
37,335
41,335
39,335
42,335
26,335
31,335
37,335
32,335
49,335
65,335
47,335
33,335
44,335
66,335
30,335
40,335
26,335
41,335
24,335
26,335
76,335
28,335
36,335
47,335
27,335
58,335
31,335
39,335
32,335
64,335
44,335
27,335
52,335
43,335
37,335
22,335
39,335
30,335
25,335
49,335
25,335
43,335
83,335
37,335
32,335
64,335
25,335
23,335
30,335
46,335
39,335
28,335
25,335
41,335
31,335
17,335
38,335
43,335
42,335
18,335
61,335
64,335
26,335
42,335
36,335
18,335
56,335
39,335
37,335
42,335
38,335
61,335
31,335
39,335
15,335
35,335
29,335
33,335
39,335
48,335
35,335
56,335
65,335
58,335
9,335
19,335
41,335
33,335
44,335
24,335
32,335
40,335
34,335
26,335
34,335
37,335
29,335
22,335
34,335
33,335
30,335
31,335
51,335
78,335
41,335
31,335
38,335
31,335
42,335
25,335
56,335
35,335
33,335
29,335
45,335
28,335
39,335
41,335
50,335
36,335
24,335
42,335
34,335
43,335
36,335
30,335
41,335
30,335
53,335
30,335
40,335
31,335
43,335
37,335
25,335
28,335
44,335
48,335
23,335
32,335
39,335
36,335
47,335
29,335
31,335
37,335
64,335
48,335
45,335
67,335
51,335
34,335
44,335
33,335
50,335
55,335
29,335
59,335
62,335
40,335
49,335
27,335
31,335
41,335
35,335
34,335
24,335
28,335
33,335
38,335
34,335
46,335
49,335
55,335
20,335
50,335
10,335
34,335
62,335
53,335
40,335
20,335
50,335
56,335
32,335
71,335
32,335
61,335
32,335
32,335
30,335
29,335
49,335
38,335
29,335
36,335
30,335
54,335
21,335
34,335
37,335
23,335
50,335
28,335
38,335
35,335
54,335
45,335
39,335
31,335
49,335
33,335
46,335
53,335
60,335
31,335
27,335
36,335
51,335
52,335
38,335
42,335
39,335
75,335
96,335
45,335
27,335
42,335
24,335
20,335
91,335
80,335
64,335
31,335
52,335
38,335
45,335
31,335
33,335
32,335
39,335
37,335
26,335
73,335
39,335
17,335
24,335
56,335
24,335
26,335
41,335
25,335
50,335
31,335
22,335
80,335
33,335
37,335
66,335
38,335
24,335
62,335
52,335
37,335
39,335
34,335
13,335
43,335
57,335
27,335
46,335
70,335
48,335
57,335
38,335
24,335
32,335
52,335
29,335
35,335
25,335
31,335
32,335
44,335
33,335
38,335
32,335
37,335
34,335
42,335
33,335
76,335
48,335
44,335
50,335
62,335
32,335
25,335
41,335
36,335
48,335
60,335
39,335
30,335
77,335
28,335
28,335
35,335
24,335
35,335
38,335
34,335
38,335
61,335
72,335
43,335
42,335
45,335
23,335
31,335
20,335
24,335
35,335
34,335
33,335
35,335
26,335
51,335
29,335
45,335
57,335
62,335
37,335
25,335
36,335
33,335
40,335
28,335
29,335
37,335
27,335
30,335
32,335
42,335
67,335
24,335
28,335
49,335
37,335
33,335
56,335
38,335
37,335
59,335
34,335
40,335
28,335
37,335
24,335
33,335
32,335
37,335
44,335
70,335
42,335
24,335
26,335
10,335
26,335
22,335
26,335
33,335
69,335
28,335
30,335
52,335
45,335
38,335
49,335
25,335
29,335
32,335
40,335
42,335
47,335
28,335
28,335
37,335
49,335
36,335
64,335
32,335
33,335
30,335
57,335
58,335
46,335
66,335
29,335
41,335
48,335
45,335
29,335
41,335
31,335
46,335
39,335
37,335
25,335
46,335
21,335
59,335
34,335
37,335
39,335
52,335
49,335
13,335
32,335
28,335
41,335
63,335
60,335
37,335
30,335
41,335
67,335
29,335
81,335
28,335
24,335
30,335
53,335
36,335
39,335
50,335
41,335
46,335
38,335
42,335
43,335
39,335
39,335
53,335
40,335
31,335
48,335
40,335
65,335
44,335
26,335
32,335
31,335
39,335
14,335
40,335
30,335
39,335
30,335
33,335
56,335
47,335
44,335
97,335
28,335
34,335
33,335
30,335
29,335
31,335
45,335
37,335
37,335
61,335
46,335
19,335
29,335
42,335
34,335
33,335
41,335
32,335
47,335
37,335
22,335
39,335
59,335
40,335
28,335
35,335
43,335
53,335
61,335
47,335
38,335
40,335
36,335
48,335
38,335
58,335
67,335
26,335
32,335
35,335
30,335
45,335
34,335
38,335
41,335
37,335
85,335
57,335
23,335
43,335
33,335
43,335
54,335
42,335
33,335
20,335
79,335
60,335
59,335
59,335
59,335
33,335
35,335
52,335
41,335
33,335
29,335
66,335
28,335
43,335
65,335
43,335
19,335
35,335
52,335
30,335
91,335
35,335
19,335
42,335
51,335
23,335
35,335
33,335
13,335
36,335
32,335
35,335
33,335
63,335
31,335
23,335
36,335
47,335
33,335
16,335
45,335
28,335
40,335
44,335
28,335
30,335
32,335
38,335
24,335
27,335
51,335
37,335
39,335
23,335
25,335
38,335
