skewnessLongitudinal,run
-0.048955036,328
0.053042571,328
-0.1183882,328
0.085178222,328
0.24082205,328
-0.054821459,328
0.4470767,328
-0.15735696,328
0.054294068,328
0.68998992,328
0.51044705,328
0.25494104,328
-0.32143899,328
-0.26583707,328
-0.15250169,328
-0.36947688,328
-0.17490312,328
-0.079477298,328
0.092396717,328
0.15588439,328
-0.24133238,328
0.014900416,328
0.060571545,328
0.016004301,328
-0.13761906,328
0.28840043,328
-0.27447863,328
-0.070158002,328
-0.57174975,328
-0.080706693,328
0.011708334,328
0.17154069,328
0.105547,328
-0.34694569,328
0.19972933,328
-0.36378938,328
-0.51734328,328
0.24563066,328
0.22273962,328
0.44798142,328
0.54660896,328
-0.20589029,328
0.088971869,328
0.032746965,328
-0.37668139,328
0.10075482,328
0.19637515,328
0.073426229,328
0.37000687,328
-0.10586019,328
0.069634605,328
0.15767949,328
0.042471011,328
-0.22035127,328
-0.13299428,328
0.19069,328
-0.31859254,328
0.44414677,328
0.024190359,328
0.0069857105,328
-0.24345614,328
-0.27335716,328
-0.085853108,328
0.085727762,328
0.16584792,328
-0.17086481,328
0.13609062,328
-0.041478894,328
0.062457837,328
-0.072237916,328
-0.22398128,328
-0.080120898,328
0.45508728,328
0.12145972,328
0.28827477,328
-0.54294979,328
0.10188992,328
-0.24373751,328
-0.096534303,328
-0.42484073,328
0.12331109,328
0.16528346,328
0.024647907,328
0.08787538,328
0.17129521,328
0.184753,328
-0.36748625,328
0.048573878,328
-0.14871394,328
0.48481956,328
-0.31420262,328
-0.35763008,328
-0.42237679,328
0.25293422,328
-0.22893407,328
0.124728,328
0.40185667,328
-0.29077262,328
0.12786981,328
-0.15774207,328
0.41801226,328
0.095582956,328
0.1112698,328
-0.016277637,328
-0.78950986,328
0.96144008,328
0.45815598,328
-0.018760793,328
0.1705968,328
-0.045414471,328
-0.10759433,328
-0.18471515,328
0.0040140884,328
0.54267955,328
-0.033527867,328
-0.16573684,328
0.066439191,328
-0.25577934,328
0.17336473,328
0.07215512,328
0.047561936,328
-0.32341168,328
0.16511528,328
-0.22363217,328
-0.24716372,328
-0.13411936,328
-0.17466155,328
0.21486344,328
-0.20124352,328
-0.51281069,328
0.061328115,328
0.046009965,328
0.26817923,328
0.27899589,328
-0.084397428,328
0.10245787,328
-0.63682198,328
0.19446748,328
0.021131659,328
0.22835563,328
-0.023710044,328
-0.095609645,328
-0.35391017,328
0.28922203,328
-0.1506728,328
0.066592481,328
-0.071087464,328
-0.0088744623,328
-0.10792027,328
-0.078022441,328
0.10468293,328
-0.085722782,328
0.17603304,328
0.22875711,328
0.25975794,328
0.051738227,328
0.18186148,328
0.022964752,328
0.048265744,328
0.4892166,328
-0.53943661,328
-0.083919792,328
-0.12047745,328
-0.25095483,328
0.21216413,328
0.39800864,328
0.20020853,328
-0.25955554,328
-0.061966689,328
-0.51064427,328
-0.12108743,328
-0.13692741,328
0.084305661,328
0.079897874,328
0.24043477,328
-0.088694225,328
0.17768714,328
-0.01963018,328
0.098138617,328
-0.15177032,328
-0.027672366,328
0.076404683,328
-0.42705102,328
-0.18524186,328
-0.16359228,328
0.21632147,328
-0.34364966,328
-0.14701361,328
0.4301985,328
0.31453208,328
-0.16398413,328
0.27831842,328
0.55102604,328
-0.26734238,328
-0.23307123,328
-0.018888708,328
-0.12186281,328
0.043781059,328
0.13317353,328
-0.5094015,328
-0.41233721,328
0.22745934,328
-0.010615715,328
-0.45250505,328
-0.04783223,328
0.0044466081,328
0.22193306,328
-0.24249034,328
-0.23267014,328
-0.059131178,328
-0.019920948,328
0.43430055,328
0.047310267,328
-0.050261055,328
0.015804497,328
0.34238625,328
0.19375075,328
0.052134335,328
0.17233312,328
-0.19558147,328
-0.27706256,328
0.082048945,328
0.11043573,328
-0.30170104,328
-0.10445719,328
0.117364,328
-0.26110291,328
0.23470162,328
-0.45611159,328
0.34520328,328
0.17518794,328
0.0061332583,328
-0.022571377,328
-0.12092739,328
-0.14825647,328
-0.018692046,328
-0.19018156,328
0.13775854,328
0.176475,328
-0.13050577,328
0.025725703,328
0.031661455,328
-0.19142525,328
-0.056969713,328
0.20880579,328
-0.065916677,328
0.16512111,328
-0.014490904,328
0.023292731,328
-0.11327755,328
-0.28038497,328
-0.058458032,328
0.0089357056,328
0.18607898,328
-0.20918734,328
-0.096443628,328
-0.1203374,328
0.24916134,328
-0.52247926,328
0.0056122063,328
-0.3050469,328
-0.028637304,328
-0.033925204,328
0.76288251,328
-0.097403288,328
0.05971248,328
-0.60550952,328
-1.3903264,328
-0.31761363,328
-0.56342162,328
-0.45804858,328
0.27601703,328
0.021495543,328
-0.43784176,328
-0.0017188471,328
0.4218547,328
-0.1065682,328
0.033796135,328
0.060492977,328
-0.16042751,328
0.092819082,328
0.46506697,328
-0.047888035,328
-0.36937733,328
-0.56324427,328
-0.018165379,328
-0.016912386,328
0.32238432,328
-0.055393015,328
0.18309846,328
-0.1818723,328
-0.018298027,328
0.099498084,328
-0.14139061,328
0.0068668971,328
-0.13241229,328
0.25843858,328
-0.31402474,328
0.59380388,328
-0.0095037407,328
0.33665811,328
-0.2112204,328
-0.29018416,328
0.034358305,328
-0.035062071,328
0.10700056,328
-0.21113699,328
0.18115895,328
0.28536989,328
0.19593742,328
-0.24039499,328
0.030566545,328
-0.067872961,328
-0.17436066,328
0.0093517668,328
-0.16956178,328
-0.31940368,328
-0.60466835,328
-0.3823562,328
-0.0061643537,328
-0.13421317,328
-0.22944553,328
0.00049526681,328
0.093171233,328
0.10410304,328
-0.31774163,328
-0.29070409,328
0.18135594,328
-0.050738391,328
0.20077959,328
-0.31320086,328
-0.047447718,328
-0.10241243,328
-0.11729224,328
-0.29739427,328
0.63332592,328
0.28481557,328
-0.3239562,328
0.19480351,328
