hits,run
55,332
59,332
64,332
53,332
56,332
58,332
63,332
57,332
182,332
53,332
53,332
67,332
97,332
49,332
103,332
58,332
166,332
128,332
118,332
152,332
51,332
56,332
57,332
92,332
59,332
54,332
58,332
57,332
54,332
56,332
53,332
60,332
70,332
81,332
52,332
56,332
68,332
52,332
3,332
60,332
52,332
101,332
57,332
56,332
55,332
46,332
63,332
120,332
52,332
59,332
58,332
63,332
52,332
66,332
49,332
61,332
51,332
59,332
49,332
60,332
56,332
70,332
62,332
47,332
111,332
64,332
58,332
55,332
70,332
66,332
52,332
62,332
142,332
52,332
56,332
56,332
64,332
110,332
54,332
55,332
50,332
74,332
123,332
56,332
59,332
50,332
59,332
55,332
67,332
169,332
68,332
55,332
58,332
60,332
47,332
101,332
57,332
57,332
49,332
189,332
61,332
53,332
55,332
103,332
117,332
58,332
60,332
53,332
67,332
73,332
121,332
53,332
58,332
49,332
58,332
106,332
58,332
66,332
65,332
111,332
104,332
52,332
106,332
46,332
64,332
52,332
58,332
54,332
58,332
60,332
145,332
60,332
62,332
168,332
59,332
51,332
45,332
62,332
62,332
49,332
57,332
64,332
51,332
54,332
55,332
58,332
102,332
53,332
117,332
97,332
58,332
142,332
44,332
56,332
61,332
62,332
56,332
107,332
58,332
55,332
54,332
87,332
58,332
53,332
48,332
68,332
50,332
60,332
65,332
115,332
101,332
60,332
55,332
80,332
55,332
59,332
55,332
65,332
54,332
49,332
61,332
56,332
57,332
62,332
114,332
128,332
44,332
64,332
50,332
90,332
147,332
92,332
59,332
49,332
111,332
50,332
54,332
58,332
101,332
63,332
50,332
123,332
108,332
53,332
145,332
61,332
58,332
57,332
52,332
69,332
54,332
54,332
125,332
56,332
31,332
57,332
49,332
61,332
164,332
60,332
68,332
60,332
58,332
64,332
62,332
64,332
63,332
62,332
53,332
62,332
140,332
62,332
84,332
98,332
63,332
111,332
65,332
62,332
50,332
64,332
59,332
63,332
53,332
67,332
60,332
101,332
57,332
65,332
116,332
54,332
46,332
59,332
58,332
117,332
61,332
65,332
60,332
57,332
161,332
66,332
57,332
63,332
63,332
62,332
60,332
97,332
72,332
60,332
59,332
53,332
53,332
95,332
55,332
56,332
49,332
58,332
58,332
58,332
67,332
51,332
64,332
62,332
57,332
63,332
56,332
54,332
62,332
59,332
59,332
59,332
56,332
120,332
56,332
52,332
59,332
59,332
58,332
55,332
58,332
60,332
64,332
56,332
69,332
45,332
52,332
51,332
66,332
52,332
56,332
54,332
63,332
62,332
65,332
59,332
55,332
92,332
64,332
53,332
70,332
60,332
98,332
62,332
52,332
55,332
81,332
55,332
54,332
106,332
171,332
57,332
105,332
109,332
50,332
57,332
118,332
62,332
54,332
155,332
58,332
56,332
67,332
56,332
57,332
191,332
58,332
66,332
58,332
66,332
57,332
177,332
62,332
61,332
57,332
54,332
56,332
137,332
55,332
45,332
101,332
53,332
58,332
59,332
53,332
63,332
54,332
53,332
57,332
141,332
66,332
53,332
60,332
72,332
107,332
54,332
64,332
101,332
55,332
65,332
108,332
52,332
53,332
53,332
54,332
62,332
116,332
53,332
60,332
41,332
56,332
60,332
53,332
56,332
96,332
60,332
54,332
66,332
59,332
53,332
63,332
57,332
42,332
52,332
55,332
51,332
54,332
108,332
51,332
63,332
61,332
61,332
53,332
58,332
111,332
61,332
59,332
57,332
67,332
50,332
51,332
53,332
56,332
62,332
104,332
39,332
56,332
53,332
68,332
183,332
55,332
49,332
100,332
51,332
56,332
50,332
50,332
56,332
67,332
52,332
57,332
55,332
58,332
61,332
60,332
46,332
53,332
54,332
59,332
48,332
54,332
58,332
204,332
108,332
59,332
57,332
57,332
67,332
57,332
155,332
59,332
54,332
58,332
126,332
61,332
57,332
58,332
47,332
62,332
61,332
55,332
52,332
63,332
100,332
109,332
117,332
59,332
57,332
52,332
60,332
59,332
55,332
56,332
60,332
71,332
67,332
56,332
54,332
60,332
54,332
109,332
48,332
54,332
62,332
58,332
156,332
57,332
62,332
118,332
59,332
67,332
55,332
144,332
53,332
94,332
57,332
62,332
98,332
60,332
56,332
58,332
113,332
57,332
54,332
55,332
54,332
54,332
58,332
216,332
143,332
55,332
155,332
61,332
61,332
62,332
63,332
109,332
49,332
166,332
55,332
59,332
64,332
65,332
73,332
52,332
67,332
54,332
35,332
59,332
67,332
58,332
62,332
62,332
57,332
71,332
117,332
60,332
55,332
53,332
53,332
54,332
119,332
66,332
144,332
59,332
59,332
61,332
56,332
58,332
63,332
72,332
61,332
191,332
55,332
64,332
48,332
119,332
62,332
64,332
59,332
57,332
52,332
92,332
58,332
64,332
162,332
56,332
57,332
64,332
60,332
62,332
71,332
58,332
60,332
46,332
73,332
62,332
59,332
59,332
62,332
60,332
65,332
49,332
54,332
63,332
58,332
51,332
129,332
124,332
59,332
63,332
62,332
59,332
50,332
56,332
64,332
57,332
37,332
61,332
58,332
97,332
61,332
57,332
61,332
64,332
55,332
96,332
52,332
60,332
113,332
62,332
60,332
111,332
55,332
98,332
116,332
55,332
54,332
62,332
61,332
57,332
51,332
35,332
61,332
62,332
50,332
54,332
61,332
53,332
51,332
58,332
49,332
63,332
65,332
56,332
54,332
53,332
61,332
47,332
112,332
47,332
50,332
47,332
51,332
50,332
46,332
40,332
61,332
53,332
57,332
61,332
72,332
62,332
54,332
55,332
62,332
73,332
55,332
40,332
65,332
59,332
50,332
51,332
58,332
53,332
50,332
46,332
63,332
112,332
56,332
59,332
52,332
46,332
54,332
49,332
80,332
54,332
49,332
148,332
51,332
57,332
44,332
49,332
57,332
62,332
53,332
56,332
91,332
47,332
55,332
52,332
63,332
117,332
100,332
55,332
60,332
50,332
49,332
67,332
58,332
102,332
68,332
72,332
47,332
47,332
67,332
56,332
57,332
53,332
63,332
57,332
53,332
65,332
61,332
56,332
54,332
59,332
56,332
62,332
55,332
53,332
55,332
63,332
42,332
62,332
55,332
55,332
67,332
48,332
45,332
60,332
68,332
58,332
65,332
46,332
63,332
68,332
65,332
61,332
59,332
39,332
165,332
56,332
57,332
54,332
80,332
56,332
62,332
54,332
62,332
55,332
69,332
61,332
60,332
112,332
56,332
53,332
52,332
58,332
68,332
63,332
62,332
48,332
57,332
50,332
63,332
58,332
61,332
52,332
56,332
46,332
53,332
54,332
50,332
57,332
46,332
54,332
55,332
58,332
63,332
50,332
84,332
50,332
63,332
49,332
58,332
61,332
65,332
55,332
49,332
66,332
46,332
107,332
60,332
45,332
51,332
55,332
51,332
60,332
104,332
54,332
53,332
51,332
78,332
45,332
61,332
51,332
137,332
133,332
56,332
52,332
52,332
55,332
46,332
57,332
58,332
53,332
50,332
53,332
82,332
53,332
55,332
56,332
50,332
51,332
50,332
53,332
53,332
53,332
59,332
52,332
51,332
48,332
57,332
59,332
50,332
54,332
61,332
52,332
66,332
63,332
51,332
37,332
112,332
50,332
60,332
63,332
55,332
54,332
68,332
128,332
59,332
81,332
73,332
141,332
50,332
47,332
44,332
60,332
64,332
55,332
56,332
57,332
46,332
51,332
47,332
54,332
55,332
145,332
50,332
84,332
51,332
166,332
55,332
63,332
63,332
48,332
62,332
40,332
45,332
52,332
57,332
52,332
44,332
94,332
51,332
63,332
115,332
52,332
54,332
58,332
49,332
59,332
56,332
52,332
47,332
49,332
63,332
37,332
60,332
54,332
48,332
104,332
54,332
45,332
55,332
44,332
80,332
46,332
50,332
52,332
63,332
50,332
65,332
59,332
53,332
61,332
106,332
119,332
126,332
48,332
77,332
98,332
51,332
54,332
60,332
59,332
73,332
64,332
58,332
43,332
59,332
62,332
53,332
148,332
65,332
55,332
57,332
36,332
62,332
56,332
63,332
51,332
59,332
70,332
43,332
50,332
41,332
60,332
55,332
54,332
48,332
58,332
50,332
59,332
61,332
56,332
52,332
58,332
46,332
66,332
53,332
63,332
57,332
56,332
104,332
65,332
57,332
49,332
53,332
60,332
61,332
58,332
57,332
51,332
56,332
52,332
60,332
64,332
94,332
60,332
57,332
60,332
59,332
50,332
49,332
64,332
50,332
57,332
105,332
57,332
47,332
52,332
58,332
70,332
57,332
55,332
51,332
47,332
56,332
66,332
103,332
62,332
127,332
109,332
57,332
50,332
36,332
51,332
56,332
46,332
62,332
53,332
56,332
54,332
36,332
71,332
51,332
56,332
68,332
26,332
60,332
62,332
62,332
57,332
81,332
58,332
52,332
52,332
64,332
54,332
57,332
55,332
61,332
55,332
56,332
55,332
63,332
52,332
45,332
58,332
55,332
56,332
61,332
59,332
51,332
62,332
56,332
58,332
58,332
57,332
53,332
51,332
64,332
53,332
48,332
52,332
49,332
48,332
70,332
61,332
59,332
58,332
63,332
62,332
61,332
44,332
49,332
109,332
47,332
55,332
71,332
59,332
59,332
52,332
55,332
52,332
101,332
93,332
65,332
110,332
47,332
57,332
52,332
58,332
56,332
59,332
56,332
58,332
52,332
67,332
56,332
51,332
50,332
54,332
91,332
57,332
63,332
62,332
57,332
56,332
58,332
39,332
61,332
52,332
49,332
60,332
59,332
55,332
58,332
60,332
60,332
51,332
52,332
59,332
42,332
51,332
59,332
57,332
66,332
56,332
51,332
131,332
106,332
51,332
136,332
56,332
52,332
134,332
52,332
53,332
57,332
58,332
85,332
63,332
57,332
45,332
50,332
57,332
56,332
55,332
61,332
59,332
55,332
47,332
57,332
52,332
61,332
47,332
56,332
58,332
220,332
54,332
53,332
56,332
61,332
86,332
64,332
57,332
64,332
57,332
58,332
58,332
64,332
59,332
52,332
114,332
52,332
53,332
45,332
54,332
58,332
107,332
58,332
56,332
54,332
60,332
55,332
52,332
86,332
110,332
55,332
47,332
49,332
66,332
63,332
123,332
100,332
45,332
56,332
59,332
57,332
46,332
57,332
69,332
144,332
55,332
64,332
51,332
52,332
71,332
54,332
60,332
66,332
53,332
55,332
54,332
56,332
53,332
60,332
66,332
62,332
47,332
68,332
57,332
81,332
54,332
56,332
60,332
51,332
99,332
55,332
67,332
129,332
121,332
48,332
56,332
57,332
65,332
56,332
96,332
68,332
48,332
61,332
107,332
102,332
50,332
59,332
53,332
51,332
55,332
167,332
56,332
67,332
52,332
57,332
55,332
65,332
51,332
53,332
100,332
62,332
175,332
62,332
58,332
65,332
60,332
68,332
61,332
52,332
59,332
55,332
47,332
80,332
49,332
58,332
95,332
97,332
54,332
61,332
64,332
51,332
55,332
62,332
56,332
66,332
56,332
63,332
57,332
70,332
61,332
68,332
53,332
56,332
53,332
62,332
97,332
63,332
59,332
56,332
55,332
57,332
98,332
47,332
62,332
51,332
51,332
54,332
149,332
110,332
48,332
62,332
52,332
77,332
65,332
57,332
54,332
60,332
60,332
60,332
58,332
67,332
108,332
96,332
58,332
48,332
46,332
55,332
70,332
66,332
99,332
50,332
61,332
62,332
54,332
65,332
43,332
46,332
53,332
62,332
57,332
67,332
70,332
71,332
49,332
59,332
53,332
55,332
47,332
52,332
52,332
54,332
69,332
52,332
49,332
62,332
61,332
56,332
57,332
61,332
52,332
58,332
48,332
51,332
100,332
54,332
45,332
55,332
57,332
94,332
96,332
55,332
54,332
65,332
135,332
57,332
