rmsLongitudinal,run
0.69244326,315
0.96382566,315
0.77399584,315
0.59837036,315
0.96955535,315
0.94373692,315
0.95758908,315
1.0054055,315
0.92294166,315
1.0946527,315
0.90192932,315
0.68220815,315
1.1195226,315
0.97504151,315
0.94857253,315
1.0225583,315
0.94839574,315
0.9134326,315
0.51764166,315
0.50851391,315
0.90228373,315
0.98270952,315
0.99988476,315
0.74695891,315
1.1781992,315
0.85465742,315
0.69926939,315
0.96372131,315
0.29186847,315
0.26941569,315
0.62721768,315
0.98856597,315
0.75430399,315
0.99440838,315
0.8655038,315
0.88333457,315
0.98504725,315
0.93773046,315
0.49023294,315
0.97875818,315
0.66837922,315
0.75068538,315
0.75830526,315
1.0739645,315
0.28289291,315
0.65072247,315
0.95486779,315
0.63631242,315
0.88298895,315
0.8455557,315
0.44843942,315
1.0126571,315
0.80692083,315
0.47985338,315
0.90632234,315
0.91771309,315
0.45539631,315
0.73365778,315
0.98860421,315
0.80780652,315
0.75811486,315
0.94095642,315
0.71595591,315
0.58687455,315
0.52001589,315
1.0501694,315
1.0306886,315
1.181272,315
1.0172312,315
0.79872625,315
0.99039654,315
0.98624947,315
0.63663605,315
0.59477779,315
0.94532307,315
1.0943134,315
0.99300446,315
1.0136127,315
1.0683533,315
1.0420677,315
0.92224759,315
1.0865386,315
1.0438166,315
0.96775079,315
0.83143933,315
0.78873987,315
0.78935717,315
0.96313265,315
0.81661477,315
0.34279518,315
0.50722393,315
0.86342702,315
0.77012126,315
1.0805062,315
0.77043357,315
1.0442526,315
0.74022852,315
1.2380954,315
1.0004658,315
1.0488799,315
0.99680677,315
0.82096939,315
0.96141921,315
0.70155826,315
1.0522483,315
1.0553814,315
0.97655352,315
1.0024328,315
0.96094483,315
1.0212966,315
0.84677923,315
0.91905563,315
1.0907171,315
1.0620986,315
0.85758848,315
1.1566775,315
0.47602373,315
1.0442601,315
0.87439204,315
0.98903113,315
1.0209933,315
1.0471978,315
0.93351857,315
0.98980545,315
0.93554427,315
0.93347931,315
0.88028384,315
0.98059879,315
1.0544358,315
1.0260763,315
0.80724368,315
0.87573307,315
0.96501176,315
0.9989571,315
0.5828937,315
1.0139531,315
0.63651513,315
0.92071015,315
0.96817681,315
0.77544627,315
0.91216374,315
1.0591609,315
0.79391511,315
0.88050129,315
0.98656565,315
0.80805971,315
0.80398029,315
1.0183951,315
0.78302305,315
1.0074193,315
1.0900388,315
0.91696773,315
1.1230308,315
0.94187144,315
0.55283957,315
1.0000437,315
0.70059909,315
1.1104577,315
1.0578859,315
0.4440603,315
0.51511625,315
0.55448716,315
0.70434002,315
1.0916379,315
0.87667178,315
0.40662004,315
1.0672899,315
0.79788469,315
0.90926576,315
1.0191512,315
1.1069603,315
0.98151818,315
1.1288021,315
0.96449317,315
0.73349719,315
1.0045898,315
1.0555191,315
0.87928604,315
0.77852181,315
0.87311945,315
1.0215779,315
0.6257536,315
0.72406398,315
1.0626444,315
0.89662598,315
0.84221376,315
0.97451824,315
1.0016499,315
1.0369209,315
1.0306301,315
0.924111,315
0.80842118,315
0.7133667,315
0.76043415,315
0.84355253,315
0.72352686,315
0.82128841,315
0.80825544,315
0.90570926,315
0.91057032,315
0.51941549,315
0.87230392,315
1.0049416,315
0.88150594,315
1.0415055,315
0.90644308,315
0.65655738,315
0.99940003,315
0.93849969,315
0.94920229,315
0.94863324,315
0.78743225,315
1.0411992,315
0.92665278,315
1.0462598,315
0.67039564,315
1.088553,315
1.018508,315
0.92966538,315
0.88506207,315
0.970643,315
1.0501367,315
1.0962064,315
0.81291113,315
0.88829849,315
0.93911335,315
0.46367698,315
0.20205119,315
1.0064148,315
0.55479287,315
0.70165678,315
1.1123312,315
0.90103738,315
1.0631068,315
0.88026017,315
0.93557304,315
0.21209799,315
1.0434673,315
1.1237554,315
0.97509605,315
0.96045478,315
0.98415774,315
1.0664657,315
0.92449277,315
0.60056094,315
0.78997394,315
0.5671912,315
0.90124164,315
1.0774287,315
1.0474425,315
1.0659645,315
1.2246061,315
1.1218044,315
0.45842281,315
0.96443004,315
1.0606058,315
1.0839073,315
0.90299644,315
0.84964744,315
1.0264687,315
1.0359813,315
0.75225593,315
1.0213159,315
1.0416811,315
0.98409886,315
0.9026476,315
1.03908,315
0.99385263,315
0.99239277,315
0.30199618,315
0.71471735,315
0.98846383,315
0.58100564,315
0.60596705,315
1.0149245,315
0.88730787,315
1.0913691,315
0.59548406,315
0.86013555,315
0.9989146,315
1.0341326,315
0.70567099,315
0.45268866,315
1.0300951,315
1.0391332,315
1.0223914,315
0.61379519,315
0.95845961,315
0.59021884,315
0.92589704,315
0.93573988,315
0.99629012,315
0.84767552,315
0.90459456,315
0.64150657,315
0.96322678,315
0.89937977,315
1.0299089,315
0.32743621,315
0.97640406,315
1.1443893,315
0.96891117,315
0.985251,315
1.0001677,315
0.94293079,315
0.81181073,315
1.0904078,315
1.0019021,315
0.82535868,315
0.88565316,315
0.94369913,315
1.0350155,315
0.9051028,315
0.64592178,315
0.94613923,315
0.98864791,315
1.0835125,315
0.89006059,315
0.77298067,315
1.071979,315
0.59066565,315
1.0143174,315
0.72308803,315
0.99915697,315
0.97754476,315
0.95574743,315
0.84510634,315
0.8346221,315
0.81410035,315
1.2025091,315
1.0315669,315
1.0197718,315
0.65842517,315
0.9939295,315
0.91101024,315
0.94034265,315
1.1187607,315
0.95834889,315
0.74751191,315
0.65837607,315
0.62689171,315
1.0470639,315
1.0887283,315
1.0966171,315
0.90523261,315
0.5957391,315
1.091831,315
0.4648464,315
0.74943408,315
1.1510359,315
0.97234653,315
0.69734274,315
0.60404038,315
0.88308039,315
0.70858992,315
0.96371198,315
0.96900768,315
0.98058759,315
1.195753,315
1.0018664,315
1.0424522,315
0.9484531,315
1.1994673,315
0.6270379,315
1.0272137,315
0.89083924,315
0.92140346,315
1.0796477,315
0.40300647,315
0.46706365,315
0.99916034,315
0.91947881,315
1.0035206,315
0.96974363,315
1.0930564,315
1.0728274,315
1.0840703,315
0.49439734,315
0.95434127,315
0.91283045,315
0.91054371,315
0.43557115,315
0.79272462,315
1.0693684,315
0.40294405,315
0.96986042,315
0.98922512,315
0.91974318,315
0.99535094,315
1.0289728,315
0.76253509,315
0.88060061,315
1.0629207,315
0.88822256,315
0.91768012,315
0.98865183,315
0.54555319,315
1.1327277,315
0.375464,315
1.0350484,315
1.0126187,315
0.89271902,315
0.79289139,315
1.0114179,315
1.0300967,315
0.98744487,315
0.99997552,315
0.87302706,315
1.1269887,315
1.0196493,315
1.0370433,315
0.69432282,315
0.97971675,315
0.77975757,315
0.82734116,315
0.83885076,315
1.0410334,315
1.0534079,315
0.73859599,315
1.0226931,315
0.86671926,315
0.64435884,315
0.99888454,315
0.89224784,315
0.98304606,315
0.89933686,315
1.0915295,315
1.0533185,315
0.46271769,315
1.1105094,315
0.72912811,315
0.7050631,315
1.0151371,315
0.90911335,315
1.0270012,315
0.96946896,315
0.56693207,315
0.81459625,315
0.577278,315
0.82539896,315
1.0269255,315
0.69760966,315
0.84672274,315
0.97608003,315
0.65423071,315
0.48611359,315
0.84894587,315
0.69857814,315
0.96318016,315
0.83607689,315
0.93335415,315
1.1728616,315
1.0570265,315
0.25409924,315
0.31069667,315
0.68117097,315
0.87104636,315
1.0527204,315
1.1034114,315
0.99031131,315
1.0775309,315
1.0304784,315
0.92743746,315
1.0079669,315
0.53684968,315
0.61862936,315
0.79720529,315
0.65422117,315
0.86613783,315
0.62831455,315
0.98862044,315
0.78994808,315
0.84136786,315
0.93501623,315
0.33689139,315
0.97388693,315
0.8223448,315
1.0261029,315
0.79517558,315
0.91001683,315
0.80441123,315
1.0371071,315
0.9925253,315
0.62296203,315
1.0556942,315
0.86900981,315
1.0836365,315
0.94194068,315
1.0453509,315
0.33748957,315
0.97022097,315
0.74322989,315
0.95828939,315
0.42254807,315
0.33417581,315
1.0258302,315
0.90256348,315
1.0510905,315
1.006153,315
0.87998385,315
0.88041716,315
0.85120774,315
1.0230411,315
1.016046,315
0.64234434,315
0.98027507,315
0.53817669,315
0.64092861,315
1.0255665,315
