centerX,run
10.449676,325
8.1643653,325
9.1248869,325
7.175463,325
6.021918,325
3.7331647,325
8.318348,325
5.9407353,325
6.1782337,325
6.2263235,325
6.4441667,325
8.0451404,325
5.4550743,325
7.2186022,325
5.5160976,325
8.3927885,325
10.590073,325
5.7541763,325
7.5314744,325
4.1391118,325
8.7671571,325
8.4140407,325
2.9316803,325
8.5216898,325
5.2309314,325
8.9560625,325
7.3138743,325
6.2013205,325
5.182316,325
6.3396845,325
5.0838554,325
7.4933247,325
4.6346345,325
7.8608908,325
8.8114583,325
9.5581704,325
8.0171224,325
6.0353723,325
9.8779678,325
2.8147059,325
4.3409043,325
8.5091954,325
8.8745058,325
6.3517086,325
7.2583287,325
3.5661792,325
10.171324,325
7.5107164,325
10.146654,325
7.1516351,325
8.525,325
5.8466803,325
9.7396287,325
3.8427162,325
7.1801613,325
9.4606455,325
7.204691,325
10.640244,325
4.238288,325
8.9061592,325
11.18011,325
8.9159211,325
8.5549214,325
5.8675743,325
8.9138824,325
9.3550138,325
8.9524487,325
7.4686765,325
7.7307195,325
5.8370628,325
8.5887944,325
7.4539103,325
8.2294182,325
8.2053125,325
7.0038725,325
7.2100698,325
4.7338372,325
5.8500604,325
4.8236919,325
6.3729487,325
5.5504639,325
4.892367,325
8.745679,325
4.7776571,325
5.1710061,325
3.2901786,325
5.2564286,325
5.0541563,325
3.5318264,325
4.4729348,325
9.8226944,325
6.6684045,325
2.8613235,325
7.8874673,325
8.5283,325
11.173183,325
5.7108333,325
3.9897917,325
5.3642553,325
9.0697785,325
7.4708333,325
5.9920223,325
10.912599,325
7.3696944,325
4.4846389,325
7.0136765,325
7.998685,325
3.500814,325
9.3198098,325
7.220672,325
10.1885,325
7.756851,325
9.1575,325
4.8882849,325
7.9130866,325
6.4413701,325
7.034564,325
8.9558333,325
8.7193539,325
3.3875254,325
8.1647346,325
3.3349576,325
6.4827473,325
7.7906714,325
10.308788,325
6.2947951,325
4.6120619,325
5.6028077,325
8.0996958,325
6.2239155,325
6.1309463,325
7.918642,325
7.5679098,325
8.8455117,325
7.5536878,325
9.256383,325
7.4183621,325
9.3908784,325
7.4340607,325
4.4352805,325
7.8543548,325
8.3379187,325
5.7492187,325
9.466495,325
5.1122222,325
7.6731286,325
10.065,325
7.1360802,325
8.4755,325
9.7955,325
11.037529,325
8.4403,325
6.2195552,325
9.781155,325
3.6238714,325
9.8080278,325
9.9873889,325
9.1666667,325
10.233884,325
7.0174749,325
9.1685615,325
7.2361321,325
10.502696,325
8.8616615,325
8.7619611,325
8.4788889,325
9.9927287,325
10.838667,325
6.681573,325
4.3920706,325
9.1621538,325
9.5998913,325
4.6926124,325
4.3189628,325
6.6252703,325
4.8022409,325
5.8668617,325
8.1076754,325
4.9590764,325
3.5514286,325
8.3246429,325
5.4054268,325
8.839216,325
8.4888981,325
6.660436,325
10.011545,325
8.8028125,325
5.1437941,325
8.8002865,325
8.005,325
3.5322692,325
11.351586,325
10.051652,325
6.9116667,325
7.4949365,325
9.1867965,325
5.8622826,325
4.8931477,325
4.8533743,325
4.5508333,325
10.480774,325
7.1851943,325
7.5217353,325
9.2159375,325
11.341429,325
3.0522264,325
4.9140667,325
7.9840569,325
6.6331701,325
5.5372778,325
3.3021569,325
3.4948656,325
9.6053571,325
6.4525259,325
6.3740084,325
5.1681211,325
5.3809412,325
6.3183108,325
7.6331345,325
8.2482812,325
8.4838861,325
8.5619722,325
9.1130769,325
4.8425,325
6.7482471,325
7.3351257,325
8.9639687,325
10.050962,325
4.5007303,325
10.527891,325
7.4836667,325
9.4016758,325
8.4290161,325
9.4520058,325
6.9575,325
3.2150956,325
8.5590672,325
5.5799857,325
8.7376075,325
4.7528892,325
10.794628,325
3.4090625,325
7.4069624,325
10.949719,325
9.6459239,325
8.5084392,325
6.3011111,325
6.8017179,325
5.4594048,325
5.4807961,325
9.2025,325
7.1020714,325
8.0142662,325
6.6845924,325
9.2296257,325
5.1855128,325
5.4503226,325
6.5126554,325
6.0185278,325
5.5329098,325
9.0146264,325
5.9034887,325
9.8177957,325
5.2192582,325
8.301306,325
6.566,325
4.5488143,325
7.7608251,325
4.0855556,325
5.9173087,325
9.815,325
7.3235452,325
8.891371,325
5.8703333,325
7.6057143,325
8.1997021,325
10.481802,325
