kurtosisLongitudinal,run
0.17935833,319
-0.037807619,319
-0.19650477,319
-0.1768252,319
-0.12526893,319
0.16014766,319
0.42001045,319
-0.11764258,319
-0.34937268,319
-0.20019126,319
-0.3501334,319
-0.23073748,319
-0.15957827,319
-0.4805085,319
-0.51146821,319
-0.1414986,319
-0.66586886,319
-0.29121309,319
-0.2688749,319
0.019840066,319
-0.32065724,319
0.44280939,319
-0.33244553,319
-0.12811154,319
0.40440125,319
-0.22712133,319
0.61116735,319
-0.14007489,319
-0.20318943,319
0.40719578,319
-0.36030822,319
-0.22053452,319
-0.33795464,319
0.30311923,319
-0.18513958,319
-0.02476575,319
-0.34400447,319
-0.31120868,319
0.2134589,319
-0.12114128,319
-0.0061952165,319
-0.23863542,319
-0.69693202,319
0.21431656,319
0.0030670766,319
-0.4871427,319
-0.35260819,319
-0.25443555,319
-0.14659525,319
0.177229,319
-0.22955623,319
-0.192601,319
-0.34667605,319
-0.2891624,319
-0.14011867,319
0.17098658,319
-0.23478894,319
0.66106425,319
-0.15358318,319
-0.28191494,319
0.075565854,319
-0.59187065,319
-0.10954376,319
0.74039567,319
0.20642768,319
-0.073780937,319
-0.065903303,319
-0.099579567,319
-0.20887591,319
-0.65021742,319
0.28120065,319
-0.43198619,319
-0.1079748,319
-0.32265921,319
-0.12120615,319
0.68802538,319
-0.13779053,319
-0.43522472,319
-0.061901353,319
0.63067446,319
-0.59351151,319
-0.069862709,319
-0.27405631,319
-0.029142569,319
-0.037443675,319
-0.388122,319
-0.06567283,319
0.45786939,319
-0.39290897,319
0.18269504,319
-0.14829122,319
-0.40018457,319
-0.35107224,319
-0.34305559,319
-0.079840933,319
0.1557693,319
-0.68523061,319
0.24491757,319
0.075896149,319
-0.15396585,319
-0.54035515,319
0.023350026,319
0.59680121,319
-0.20990151,319
0.25029188,319
-0.47532937,319
0.0090267753,319
0.26546693,319
-0.36276875,319
-0.3718865,319
-0.23146466,319
-0.035135938,319
0.14636293,319
-0.2742943,319
0.049311875,319
0.2736038,319
0.014745651,319
0.81483328,319
0.046946589,319
-0.21555162,319
-0.41734034,319
-0.39658997,319
-0.004030579,319
-0.31599751,319
-0.082059445,319
-0.070034057,319
-0.22617817,319
0.17468783,319
-0.49527724,319
-0.07697427,319
-0.43888255,319
-0.1605829,319
-0.50782692,319
-0.22830497,319
-0.14649257,319
0.4087416,319
-0.17321045,319
-0.63926053,319
-0.094195144,319
-0.28294152,319
-0.1412962,319
-0.017335057,319
1.322818,319
-0.14840207,319
-0.12705351,319
0.46603593,319
0.51896853,319
1.002656,319
