Cut?,Counts,eventNumber,runNumber
Raw,13,1252,340
Raw,15,1256,340
Raw,15,1256,340
Raw,13,1257,340
Raw,17,1259,340
Raw,11,1260,340
Raw,14,1262,340
Raw,15,1262,340
Raw,10,1266,340
Raw,13,1266,340
Raw,20,1287,340
Raw,15,1287,340
Raw,17,1296,340
Raw,43,1300,340
Raw,36,1305,340
Raw,21,1308,340
Raw,12,1308,340
Raw,13,1341,340
Raw,17,1341,340
Raw,18,1346,340
Raw,16,1368,340
Raw,23,1373,340
Raw,18,1375,340
Raw,18,1378,340
Raw,20,1378,340
Raw,21,1386,340
Raw,62,1387,340
Raw,62,1390,340
Raw,16,1396,340
Raw,18,1399,340
Raw,27,1400,340
Raw,13,1405,340
Raw,46,1408,340
Raw,45,1414,340
Raw,22,1416,340
Raw,23,1418,340
Raw,23,1419,340
Raw,15,1431,340
Raw,34,1431,340
Raw,17,1448,340
Raw,57,1454,340
Raw,36,1457,340
Raw,52,1464,340
Raw,41,1477,340
Raw,24,1482,340
Raw,32,1486,340
Raw,15,1489,340
Raw,18,1492,340
Raw,9,1493,340
Raw,14,1494,340
Raw,44,1497,340
Raw,22,1502,340
Raw,21,1505,340
Raw,51,1521,340
Raw,24,1524,340
Raw,24,1529,340
Raw,52,1536,340
Raw,24,1537,340
Raw,22,1553,340
Raw,20,1555,340
Raw,18,1556,340
Raw,15,1559,340
Raw,19,1568,340
Raw,27,1571,340
Raw,6,1571,340
Raw,31,1572,340
Raw,30,1576,340
Raw,15,1577,340
Raw,27,1582,340
Raw,25,1585,340
Raw,21,1585,340
Raw,27,1589,340
Raw,19,1589,340
Raw,22,1591,340
Raw,27,1593,340
Raw,21,1599,340
Raw,10,1599,340
Raw,18,1605,340
Raw,36,1609,340
Raw,20,1610,340
Raw,33,1623,340
Raw,42,1628,340
Raw,14,1629,340
Raw,18,1629,340
Raw,9,1629,340
Raw,20,1634,340
Raw,11,1636,340
Raw,50,1636,340
Raw,22,1639,340
Raw,18,1639,340
Raw,23,1641,340
Raw,26,1650,340
Raw,17,1665,340
Raw,45,1683,340
Raw,28,1689,340
Raw,22,1691,340
Raw,21,1691,340
Raw,29,1694,340
Raw,31,1705,340
Raw,16,1707,340
Raw,18,1708,340
Raw,24,1714,340
Raw,19,1717,340
Raw,16,1719,340
Raw,18,1727,340
Raw,16,1742,340
Raw,30,1749,340
Raw,7,1760,340
Raw,18,1761,340
Raw,22,1761,340
Raw,24,1768,340
Raw,27,1770,340
Raw,55,1780,340
Raw,13,1785,340
Raw,13,1787,340
Raw,8,1797,340
Raw,18,1798,340
Raw,17,1798,340
Raw,11,1800,340
Raw,44,1807,340
