centerX,run
5.0625,335
9.7136111,335
3.6769118,335
9.5130357,335
5.9522872,335
4.8383333,335
10.208446,335
6.0338235,335
9.407619,335
3.517381,335
2.933178,335
6.952,335
8.1826724,335
4.4630882,335
7.74675,335
6.6726,335
5.2539103,335
4.7812255,335
4.5280172,335
2.5955769,335
4.0339655,335
9.5557759,335
3.6980263,335
6.4010294,335
7.1855882,335
5.4093085,335
6.2564437,335
8.5158333,335
3.028587,335
6.3041,335
6.0119231,335
6.4933772,335
9.4803261,335
9.3051316,335
7.6413679,335
4.7683036,335
10.652321,335
8.6558621,335
7.1823529,335
9.6458333,335
5.7505556,335
4.8736111,335
5.8660556,335
4.2877083,335
6.4921154,335
11.107885,335
6.5599286,335
7.6725,335
10.836618,335
5.9002778,335
8.0330556,335
9.9889706,335
9.8491667,335
6.114593,335
10.160441,335
4.7406944,335
10.776944,335
5.1209783,335
4.2941667,335
9.3864189,335
11.198289,335
11.1825,335
6.6040741,335
3.4785169,335
9.8111047,335
11.276719,335
4.9177174,335
10.529167,335
10.047976,335
5.9021875,335
7.5195732,335
4.8768902,335
6.2718333,335
3.7803333,335
5.930407,335
7.8670122,335
4.5191667,335
3.2822581,335
9.1841667,335
5.2395139,335
9.3171528,335
4.2867,335
7.3482895,335
6.5989,335
8.2100806,335
8.6986429,335
6.1464683,335
5.8006667,335
8.8914189,335
6.7076087,335
10.227105,335
9.439375,335
4.9162143,335
10.115833,335
10.287115,335
2.862037,335
4.6327439,335
3.9639286,335
7.1065789,335
11.199833,335
5.7828571,335
5.8916379,335
7.2355986,335
7.4891667,335
4.8500833,335
3.0564286,335
9.23,335
3.3579255,335
5.6585294,335
3.9488514,335
10.50369,335
7.9865323,335
9.3710294,335
3.2486321,335
4.8801923,335
9.3905263,335
7.885,335
9.3591667,335
4.6996053,335
8.4865,335
5.2278947,335
6.3397321,335
8.1661585,335
4.6941667,335
9.5321875,335
8.119375,335
6.2296918,335
8.7412255,335
9.6275,335
9.5071429,335
4.4641667,335
4.5601471,335
6.3690873,335
7.469569,335
4.2258333,335
5.0135938,335
4.0265323,335
4.7931757,335
7.5112288,335
7.8761486,335
3.4083163,335
10.4775,335
10.0565,335
4.302375,335
8.828875,335
6.5031522,335
8.3113462,335
9.0012302,335
6.150375,335
6.80125,335
6.5281944,335
7.8871078,335
5.9203571,335
2.9221296,335
4.2590625,335
10.2675,335
4.4869898,335
7.1083065,335
6.1875,335
10.913375,335
6.5577439,335
6.2020918,335
5.0351829,335
7.5218151,335
7.6045588,335
7.6725,335
5.3942778,335
5.3852586,335
9.4147059,335
7.6955,335
8.503,335
6.5705357,335
6.3768269,335
7.485051,335
9.02,335
7.4423148,335
8.9041071,335
5.6728571,335
6.2642925,335
3.465,335
9.4636667,335
5.2692391,335
6.2725,335
8.5262692,335
7.5625,335
9.1288542,335
7.1436538,335
5.3479412,335
10.959085,335
3.8597581,335
7.2325,335
5.049,335
4.1691667,335
6.0213776,335
3.4532143,335
8.37375,335
9.5411585,335
7.7418478,335
8.2597059,335
6.6477632,335
5.7604412,335
9.5006416,335
5.58,335
4.3314437,335
7.3570918,335
8.0769118,335
9.5619118,335
10.030263,335
10.947357,335
4.7810714,335
6.6497619,335
10.443278,335
5.8169737,335
4.5226351,335
7.9239286,335
5.5890132,335
7.0710484,335
4.99125,335
6.04625,335
8.066822,335
5.5156081,335
3.1883824,335
3.4741667,335
6.0385417,335
7.9507353,335
11.038284,335
8.6939286,335
4.8687222,335
7.1757812,335
8.2150424,335
5.1907927,335
6.2465741,335
4.128587,335
4.5128448,335
3.1716667,335
7.9398611,335
9.3061486,335
9.6325,335
6.6825,335
3.2908333,335
7.2310526,335
5.3010294,335
7.8573936,335
7.0779762,335
7.0141176,335
9.2050962,335
9.3207258,335
8.1764189,335
5.0419828,335
10.981453,335
9.765473,335
4.6016667,335
3.5389063,335
11.285431,335
3.9977326,335
6.703125,335
6.6105769,335
6.6677239,335
6.5978846,335
6.5541667,335
2.5912857,335
9.8344231,335
6.3028226,335
8.1917647,335
7.7006395,335
5.2852381,335
10.9285,335
8.257378,335
10.050833,335
8.0784524,335
10.637344,335
3.6927,335
7.5755263,335
7.2178333,335
9.3511,335
3.050463,335
4.8200862,335
6.3775,335
10.835833,335
8.6201923,335
7.3375893,335
9.3076351,335
7.7381944,335
11.417083,335
6.8031452,335
5.6570161,335
5.2108333,335
6.5696053,335
8.2092241,335
7.4493571,335
9.0716463,335
8.8751667,335
9.08875,335
8.8690854,335
9.355266,335
7.6914062,335
10.1288,335
10.743966,335
7.4685417,335
8.7623148,335
5.83,335
4.7498256,335
6.3212838,335
9.3366429,335
10.351,335
5.8900926,335
7.3205,335
6.6232692,335
7.3720625,335
9.6759559,335
5.014593,335
4.114,335
10.107341,335
3.4610714,335
3.8858696,335
10.36891,335
5.753141,335
4.8585204,335
3.5805,335
4.32025,335
7.5275,335
5.75025,335
5.234593,335
3.6653571,335
4.5342,335
9.9103125,335
3.5136538,335
5.0338095,335
7.6691667,335
5.267625,335
6.542963,335
8.18125,335
8.3325,335
3.4,335
7.0063889,335
9.0412143,335
9.6328571,335
10.731548,335
8.2572794,335
10.9791,335
10.374375,335
7.5291667,335
6.6111486,335
9.4182,335
10.42525,335
8.2269595,335
6.60275,335
9.3696429,335
4.45375,335
3.7282143,335
8.7341667,335
9.4733065,335
2.6847857,335
2.9384259,335
6.373125,335
8.5163158,335
8.5053571,335
5.01325,335
10.265962,335
10.2125,335
8.2494811,335
10.713013,335
7.8446739,335
6.48,335
9.4251667,335
2.6872436,335
10.291875,335
4.484537,335
7.7122872,335
5.2558673,335
9.1177128,335
7.6882143,335
5.01325,335
8.7307,335
7.4097222,335
8.8886111,335
11.035,335
9.2516111,335
8.4127703,335
4.0241667,335
8.6892568,335
3.01125,335
5.1158871,335
9.4691667,335
4.5544231,335
7.6725,335
5.2482692,335
10.696776,335
11.1095,335
2.5927564,335
11.409679,335
7.5711842,335
8.3336224,335
10.583663,335
6.6114024,335
8.2115,335
8.6278704,335
6.8794355,335
6.1398333,335
9.604375,335
4.8167308,335
4.9738333,335
9.838125,335
7.3062805,335
9.8675,335
7.9767187,335
4.0805769,335
9.44075,335
10.124342,335
4.2163,335
5.9984375,335
3.2157813,335
3.1272436,335
5.834125,335
6.9258333,335
7.79625,335
11.4675,335
5.4472297,335
6.6836224,335
9.3493605,335
9.1758333,335
3.416875,335
6.2615385,335
9.3548016,335
4.6192949,335
4.419951,335
10.620266,335
7.788141,335
4.7166935,335
10.530109,335
2.7464744,335
3.9547619,335
6.023875,335
11.1683,335
10.627833,335
4.2508333,335
2.919125,335
8.2725,335
6.3606481,335
5.305463,335
7.6969444,335
5.0403571,335
4.6208871,335
9.3665,335
8.4620763,335
7.0265,335
3.9666892,335
6.3555556,335
3.868629,335
5.0931897,335
9.3591667,335
9.0741129,335
7.3444643,335
3.6994048,335
8.7397973,335
10.886071,335
10.824569,335
4.7983571,335
5.4390217,335
7.3434322,335
7.2105,335
9.9979688,335
6.1906132,335
7.2809,335
8.0897143,335
3.5829839,335
7.4962755,335
3.9756081,335
10.451833,335
7.5115244,335
9.9559066,335
7.4611842,335
9.97,335
9.0058065,335
8.0185976,335
6.3382407,335
10.245,335
6.2547222,335
4.7441667,335
6.4449,335
4.0098729,335
3.6308871,335
4.0425,335
9.5820614,335
9.4246429,335
5.2430714,335
6.857602,335
9.598875,335
4.7480172,335
4.9161047,335
8.1984375,335
6.5891279,335
9.0519355,335
7.96125,335
4.7615741,335
6.4700862,335
5.1196698,335
6.7821875,335
7.8229412,335
9.2094444,335
5.7841667,335
8.2628333,335
9.6721429,335
9.6675,335
4.8690278,335
7.6896111,335
5.0927381,335
5.49875,335
3.4638043,335
5.8053947,335
8.2552381,335
5.0082353,335
7.3160185,335
4.926087,335
10.622237,335
4.0662838,335
10.233354,335
5.4372436,335
2.7853571,335
7.8882692,335
6.8545968,335
3.0643919,335
9.7092187,335
5.8720918,335
4.9614231,335
4.6287766,335
8.5708333,335
6.09125,335
10.4925,335
10.098,335
10.344125,335
7.2430769,335
6.0546951,335
4.503125,335
3.4861538,335
7.6435526,335
7.0989286,335
10.865556,335
10.616755,335
7.9699074,335
8.597069,335
9.0723387,335
3.6462179,335
10.525625,335
5.45875,335
3.3275,335
9.5852778,335
6.3313462,335
5.1821512,335
4.4260135,335
4.525,335
4.5501923,335
8.877,335
11.1045,335
3.4846429,335
4.4737,335
3.2047093,335
6.9661145,335
5.8470946,335
9.4135938,335
9.4608594,335
11.3465,335
5.6709783,335
7.788,335
4.1154348,335
4.3626282,335
10.253571,335
3.2615,335
11.475549,335
4.1329839,335
9.6201471,335
7.1659211,335
9.9211047,335
8.3403571,335
8.2438889,335
4.8656967,335
9.7917187,335
3.1434615,335
2.939881,335
6.2088889,335
10.535556,335
8.7410714,335
9.3309615,335
4.9685811,335
5.9504762,335
5.5955263,335
5.019877,335
10.143952,335
6.9983974,335
10.055833,335
9.6556429,335
9.4457759,335
7.5808333,335
4.4980128,335
6.1783333,335
7.1900714,335
5.2210714,335
6.3981923,335
4.2264655,335
11.510278,335
3.1509211,335
8.2721341,335
2.7558333,335
5.95875,335
10.3675,335
6.180625,335
