width,run
4.1897213,319
5.1873427,319
1.9431936,319
4.956789,319
3.4244596,319
5.180706,319
4.9435976,319
3.9388946,319
4.5566332,319
2.932731,319
2.9548529,319
2.2885149,319
3.8106585,319
2.2898919,319
3.9961003,319
2.7969025,319
3.7072401,319
4.8378985,319
5.8858466,319
3.4558609,319
4.9325269,319
4.5930939,319
4.6520609,319
5.1623601,319
4.6849779,319
4.6283615,319
4.9527609,319
4.5486845,319
4.8781939,319
4.6978903,319
4.702869,319
1.4369793,319
2.5993113,319
4.0590061,319
3.7809536,319
3.8476487,319
6.6236688,319
5.329174,319
2.3425644,319
3.6287679,319
6.2385973,319
5.4247782,319
5.8344676,319
4.2943409,319
3.2345487,319
5.2257281,319
5.0991931,319
3.7982822,319
6.2719234,319
4.9537252,319
2.7533552,319
4.6669387,319
4.6988334,319
5.4000319,319
4.8622448,319
2.5213909,319
3.6259257,319
2.7538803,319
3.9994145,319
5.4498883,319
5.6840792,319
4.2684558,319
4.6859144,319
3.4744612,319
5.4708199,319
4.7899509,319
4.5391435,319
5.3117623,319
3.3052204,319
5.5908601,319
4.1056842,319
5.1617211,319
5.7944374,319
4.2263222,319
5.5010933,319
3.5988391,319
4.6587445,319
4.1315861,319
4.7224436,319
4.4730957,319
6.2264275,319
3.4230869,319
3.8638406,319
4.1487743,319
4.0923629,319
5.3817878,319
2.2059719,319
4.9372842,319
4.6441904,319
4.8563789,319
1.3197575,319
5.9395581,319
3.9888614,319
4.9345056,319
5.3342708,319
4.3088214,319
5.5944053,319
4.9069921,319
4.5898768,319
3.0921482,319
5.008556,319
3.0755295,319
5.1520614,319
3.4748311,319
5.9663584,319
4.6035936,319
5.4231361,319
4.7786136,319
1.1572428,319
4.5292725,319
2.7688734,319
4.7747836,319
4.0553335,319
3.8064739,319
4.5286622,319
1.9694923,319
3.8019268,319
4.4439199,319
4.7950029,319
2.4837522,319
3.4316339,319
2.6828156,319
5.2421367,319
2.9710664,319
3.6365235,319
6.5564345,319
4.6624303,319
2.991302,319
4.9095985,319
5.184111,319
3.3572499,319
5.6505862,319
3.5330872,319
4.6277981,319
3.7142107,319
5.3134536,319
6.625797,319
1.0305602,319
3.8644862,319
4.4078848,319
4.5447807,319
5.0891588,319
1.866746,319
2.3733454,319
2.9268052,319
3.9611977,319
4.3418286,319
4.386343,319
4.7020484,319
1.8794658,319
3.3437383,319
3.817643,319
5.2717908,319
3.2571555,319
4.312252,319
5.0543351,319
5.3429334,319
5.1562177,319
5.0441545,319
4.7588568,319
4.9252531,319
3.3079042,319
3.3265952,319
5.1480392,319
4.7176021,319
4.6682905,319
4.06947,319
2.2639165,319
4.6867241,319
4.3842799,319
4.9742429,319
3.6939805,319
1.8206419,319
3.2013348,319
6.5969251,319
4.2633892,319
4.6664091,319
4.6741417,319
3.5949363,319
3.4265117,319
5.1443185,319
3.7203794,319
2.3139259,319
3.3438161,319
4.5669035,319
4.4854554,319
2.3213598,319
4.468588,319
4.8101334,319
5.745494,319
5.5487197,319
4.6521561,319
1.8053666,319
5.9628752,319
3.5398126,319
5.151759,319
1.7652773,319
2.3457604,319
3.2853366,319
5.311873,319
4.7191167,319
5.7680907,319
5.5404263,319
4.8096965,319
1.7020062,319
4.4328331,319
5.5223439,319
2.802508,319
6.0087789,319
4.3194361,319
4.8466048,319
4.7554237,319
5.1553695,319
4.8279351,319
2.1327351,319
4.371273,319
6.4782878,319
3.0017831,319
5.0620705,319
4.1998715,319
4.3381967,319
2.9855522,319
6.4831121,319
3.484925,319
4.7516667,319
4.6956583,319
3.0681214,319
3.4595135,319
4.3800442,319
5.3394344,319
3.1430964,319
3.5575647,319
2.2330173,319
4.3525368,319
4.9950267,319
4.1570343,319
5.5071691,319
