rotationAngle,run
0.69609447,335
2.1501924,335
1.3196375,335
0.20660566,335
1.0089243,335
1.5473606,335
1.0331377,335
2.4908994,335
2.4406453,335
2.4774366,335
2.6208097,335
1.3342196,335
1.1983685,335
1.1545204,335
2.8319336,335
1.3826037,335
0.40818079,335
1.6135814,335
0.10428567,335
0.88176117,335
2.7034345,335
2.1339396,335
1.5736766,335
0.86395257,335
0.99396136,335
0.55625058,335
2.3743852,335
0.85159587,335
1.4899112,335
2.6699372,335
2.8680273,335
2.114473,335
2.8197117,335
0.70855064,335
1.2788885,335
1.9913596,335
0.9096813,335
2.1903999,335
0.019912391,335
3.0098172,335
0.86797527,335
2.2355011,335
2.2946956,335
1.3264872,335
0.6932734,335
0.69103793,335
3.0192203,335
0.61101067,335
1.7766018,335
2.3139332,335
2.3850504,335
2.4285484,335
0.53485115,335
1.392073,335
0.45791678,335
0.76094153,335
0.55742572,335
2.5812819,335
0.7149208,335
0.38583938,335
0.43774976,335
1.6485928,335
2.874423,335
0.044452939,335
1.7352617,335
0.67751082,335
2.4404752,335
0.20851814,335
0.55013662,335
1.9158261,335
1.2016142,335
1.1558722,335
2.0146313,335
1.7201973,335
0.46244142,335
1.5085798,335
0.36319366,335
1.7755841,335
1.4275272,335
2.7471433,335
2.8449425,335
1.4334716,335
0.31545974,335
0.30802279,335
0.17033449,335
2.0254479,335
2.1588765,335
1.5274573,335
2.148596,335
1.1544732,335
1.1570717,335
0.46851556,335
2.3310988,335
2.9836893,335
2.9665833,335
0.02003716,335
2.0075166,335
0.59058844,335
0.59360884,335
1.9971978,335
2.51997,335
2.8164999,335
2.830636,335
3.070718,335
3.114348,335
1.2522528,335
2.5762609,335
0.43711742,335
1.7908013,335
1.9309476,335
1.0506198,335
0.27832269,335
3.0036373,335
1.7409287,335
2.878676,335
2.3984013,335
0.98341062,335
1.2021345,335
0.47284596,335
1.1920628,335
1.8550918,335
2.2870415,335
2.1721294,335
2.7329555,335
3.1189133,335
1.1304841,335
0.76499979,335
2.3294032,335
2.0984547,335
2.0803544,335
2.8151656,335
1.4820751,335
0.66351662,335
0.27497876,335
2.3897405,335
2.7948389,335
2.7177773,335
0.082521011,335
1.6297228,335
3.0608402,335
3.1182326,335
2.0815106,335
2.7971547,335
1.5056076,335
2.9104681,335
2.9993032,335
1.1676973,335
2.7696378,335
3.1333601,335
0.40494588,335
2.5218052,335
2.4815708,335
1.4322293,335
1.5948374,335
1.1769366,335
2.735952,335
0.43482102,335
2.7297368,335
0.29839765,335
1.9142159,335
0.44711767,335
2.3407762,335
1.4820305,335
2.3139518,335
0.64142391,335
0.95234531,335
2.1130755,335
1.2020877,335
2.0544424,335
0.84952858,335
0.67371593,335
2.5326864,335
2.0227614,335
1.887954,335
0.54152207,335
0.59259276,335
1.4689787,335
1.9746011,335
2.1064155,335
0.75889795,335
2.1375463,335
0.90882948,335
0.40435325,335
2.2713264,335
2.0259191,335
0.3012603,335
1.7682694,335
2.8900928,335
0.50291884,335
0.69725969,335
0.6376524,335
1.3621723,335
1.7223349,335
1.9241439,335
1.3139156,335
2.9224567,335
1.5738664,335
0.070896288,335
0.22670387,335
1.5276666,335
0.99055163,335
2.3006125,335
3.0879126,335
1.9760283,335
2.3459092,335
2.7112064,335
1.2470446,335
0.0029067009,335
1.1097836,335
2.3115262,335
1.7369365,335
2.1318106,335
1.2842326,335
0.68749833,335
1.675681,335
2.7203763,335
0.50321513,335
0.78674391,335
2.0010621,335
2.3221047,335
2.7534303,335
2.207441,335
1.8726414,335
2.3200655,335
2.2818025,335
3.0709279,335
1.4301644,335
0.48390349,335
2.4381127,335
2.2913216,335
2.85786,335
2.0680119,335
0.70201368,335
1.4626498,335
1.1616023,335
1.9262228,335
0.16320941,335
0.24673476,335
