Type,Temp,Timestamp,runNumber,Time since run start
Septem,42.4957,1550247718,320,930
Septem,42.5034,1550247724,320,936
Septem,42.5065,1550247730,320,942
Septem,42.5081,1550247736,320,948
Septem,42.5065,1550247742,320,954
Septem,42.5081,1550247748,320,960
Septem,42.505,1550247754,320,966
Septem,42.5081,1550247760,320,972
Septem,42.5127,1550247766,320,978
Septem,42.5034,1550247772,320,984
Septem,42.5034,1550247778,320,990
Septem,42.505,1550247784,320,996
Septem,42.5003,1550247790,320,1002
Septem,42.4972,1550247796,320,1008
Septem,42.5019,1550247802,320,1014
Septem,42.4973,1550247808,320,1020
Septem,42.4957,1550247814,320,1026
Septem,42.5003,1550247820,320,1032
Septem,42.4911,1550247826,320,1038
Septem,42.4864,1550247832,320,1044
Septem,42.4803,1550247838,320,1050
Septem,42.4772,1550247844,320,1056
Septem,42.4756,1550247850,320,1062
Septem,42.4725,1550247856,320,1068
Septem,42.4664,1550247862,320,1074
Septem,42.4664,1550247868,320,1080
Septem,42.4617,1550247874,320,1086
Septem,42.4494,1550247880,320,1092
Septem,42.4448,1550247886,320,1098
Septem,42.4448,1550247892,320,1104
Septem,42.4371,1550247898,320,1110
Septem,42.4371,1550247904,320,1116
Septem,42.434,1550247910,320,1122
Septem,42.4248,1550247916,320,1128
Septem,42.4155,1550247922,320,1134
Septem,42.4124,1550247928,320,1140
Septem,42.4124,1550247934,320,1146
Septem,42.4063,1550247940,320,1152
Septem,42.4094,1550247946,320,1158
Septem,42.4063,1550247952,320,1164
Septem,42.4047,1550247958,320,1170
Septem,42.4016,1550247964,320,1176
Septem,42.3985,1550247970,320,1182
Septem,42.3893,1550247976,320,1188
Septem,42.3893,1550247982,320,1194
Septem,42.3831,1550247988,320,1200
Septem,42.3846,1550247994,320,1206
Septem,42.3862,1550248000,320,1212
Septem,42.3846,1550248006,320,1218
Septem,42.3785,1550248012,320,1224
Septem,42.3831,1550248018,320,1230
Septem,42.38,1550248024,320,1236
Septem,42.38,1550248030,320,1242
Septem,42.3785,1550248036,320,1248
Septem,42.3831,1550248042,320,1254
Septem,42.3785,1550248048,320,1260
Septem,42.3738,1550248054,320,1266
Septem,42.3692,1550248060,320,1272
Septem,42.3646,1550248066,320,1278
Septem,42.3584,1550248072,320,1284
Septem,42.3584,1550248078,320,1290
Septem,42.3523,1550248084,320,1296
Septem,42.3523,1550248090,320,1302
Septem,42.3507,1550248096,320,1308
Septem,42.3492,1550248102,320,1314
Septem,42.3476,1550248108,320,1320
Septem,42.3476,1550248114,320,1326
Septem,42.3369,1550248120,320,1332
Septem,42.3338,1550248126,320,1338
Septem,42.3369,1550248132,320,1344
Septem,42.3369,1550248138,320,1350
Septem,42.3292,1550248144,320,1356
Septem,42.3292,1550248150,320,1362
Septem,42.3215,1550248156,320,1368
Septem,42.3245,1550248162,320,1374
Septem,42.3215,1550248168,320,1380
Septem,42.3138,1550248174,320,1386
Septem,42.303,1550248180,320,1392
Septem,42.2999,1550248186,320,1398
Septem,42.2922,1550248192,320,1404
Septem,42.2922,1550248198,320,1410
Septem,42.2922,1550248204,320,1416
Septem,42.2845,1550248210,320,1422
Septem,42.2799,1550248216,320,1428
Septem,42.2814,1550248222,320,1434
Septem,42.269,1550248228,320,1440
Septem,42.2675,1550248234,320,1446
Septem,42.252,1550248240,320,1452
Septem,42.2382,1550248246,320,1458
Septem,42.2274,1550248252,320,1464
Septem,42.212,1550248258,320,1470
Septem,42.1966,1550248264,320,1476
Septem,42.1904,1550248270,320,1482
Septem,42.1734,1550248276,320,1488
Septem,42.1657,1550248282,320,1494
Septem,42.1549,1550248288,320,1500
Septem,42.1379,1550248294,320,1506
Septem,42.1287,1550248300,320,1512
Septem,42.1195,1550248306,320,1518
Septem,42.101,1550248312,320,1524
Septem,42.0902,1550248318,320,1530
Septem,42.0794,1550248324,320,1536
Septem,42.0686,1550248330,320,1542
Septem,42.0609,1550248336,320,1548
Septem,42.0593,1550248342,320,1554
Septem,42.0485,1550248348,320,1560
Septem,42.0501,1550248354,320,1566
Septem,42.0454,1550248360,320,1572
Septem,42.0439,1550248366,320,1578
Septem,42.0393,1550248372,320,1584
Septem,42.0346,1550248378,320,1590
Septem,42.0316,1550248384,320,1596
Septem,42.0239,1550248390,320,1602
Septem,42.0208,1550248396,320,1608
Septem,42.0239,1550248402,320,1614
Septem,42.0192,1550248408,320,1620
Septem,42.0223,1550248414,320,1626
Septem,42.0254,1550248420,320,1632
Septem,42.0269,1550248426,320,1638
Septem,42.0316,1550248432,320,1644
Septem,42.0331,1550248438,320,1650
Septem,42.0316,1550248444,320,1656
Septem,42.0316,1550248450,320,1662
Septem,42.0346,1550248456,320,1668
Septem,42.0362,1550248462,320,1674
Septem,42.0439,1550248468,320,1680
Septem,42.0408,1550248474,320,1686
Septem,42.0423,1550248480,320,1692
Septem,42.0439,1550248486,320,1698
Septem,42.0454,1550248492,320,1704
Septem,42.0439,1550248498,320,1710
Septem,42.0439,1550248504,320,1716
Septem,42.047,1550248510,320,1722
Septem,42.0439,1550248516,320,1728
Septem,42.0439,1550248522,320,1734
Septem,42.0377,1550248528,320,1740
Septem,42.0362,1550248534,320,1746
Septem,42.0346,1550248540,320,1752
Septem,42.0377,1550248546,320,1758
Septem,42.0285,1550248552,320,1764
Septem,42.0177,1550248558,320,1770
Septem,42.01,1550248564,320,1776
Septem,42.0069,1550248570,320,1782
Septem,42.0023,1550248576,320,1788
Septem,41.9977,1550248582,320,1794
Septem,41.99,1550248588,320,1800
Septem,41.9807,1550248594,320,1806
Septem,41.9776,1550248600,320,1812
Septem,41.9746,1550248606,320,1818
Septem,41.9715,1550248612,320,1824
Septem,41.9715,1550248618,320,1830
Septem,41.9745,1550248624,320,1836
Septem,41.9746,1550248630,320,1842
Septem,41.9776,1550248636,320,1848
Septem,41.973,1550248642,320,1854
Septem,41.9699,1550248648,320,1860
Septem,41.9745,1550248654,320,1866
Septem,41.9607,1550248660,320,1872
Septem,41.9637,1550248666,320,1878
Septem,41.9668,1550248672,320,1884
Septem,41.9653,1550248678,320,1890
Septem,41.9622,1550248684,320,1896
Septem,41.9545,1550248690,320,1902
Septem,41.9545,1550248696,320,1908
Septem,41.9529,1550248702,320,1914
Septem,41.9483,1550248708,320,1920
Septem,41.9437,1550248714,320,1926
Septem,41.9406,1550248720,320,1932
Septem,41.939,1550248726,320,1938
Septem,41.936,1550248732,320,1944
Septem,41.9267,1550248738,320,1950
Septem,41.9175,1550248744,320,1956
Septem,41.9206,1550248750,320,1962
Septem,41.9236,1550248756,320,1968
Septem,41.9175,1550248762,320,1974
Septem,41.9144,1550248768,320,1980
Septem,41.9175,1550248774,320,1986
Septem,41.9144,1550248780,320,1992
Septem,41.9098,1550248786,320,1998
Septem,41.9005,1550248792,320,2004
Septem,41.8974,1550248798,320,2010
Septem,41.8897,1550248804,320,2016
Septem,41.8867,1550248810,320,2022
Septem,41.8774,1550248816,320,2028
Septem,41.8667,1550248822,320,2034
Septem,41.8713,1550248828,320,2040
Septem,41.8682,1550248834,320,2046
Septem,41.8651,1550248840,320,2052
Septem,41.859,1550248846,320,2058
Septem,41.8528,1550248852,320,2064
Septem,41.8528,1550248858,320,2070
Septem,41.8435,1550248864,320,2076
Septem,41.8451,1550248870,320,2082
Septem,41.8451,1550248876,320,2088
Septem,41.8497,1550248882,320,2094
Septem,41.8435,1550248888,320,2100
Septem,41.8451,1550248894,320,2106
Septem,41.8389,1550248900,320,2112
Septem,41.8311,1550248906,320,2118
Septem,41.8311,1550248912,320,2124
Septem,41.8234,1550248918,320,2130
Septem,41.8219,1550248924,320,2136
Septem,41.8157,1550248930,320,2142
Septem,41.8126,1550248936,320,2148
Septem,41.8126,1550248942,320,2154
Septem,41.8142,1550248948,320,2160
Septem,41.8188,1550248954,320,2166
Septem,41.8203,1550248960,320,2172
Septem,41.8296,1550248966,320,2178
Septem,41.8358,1550248972,320,2184
Septem,41.8512,1550248978,320,2190
Septem,41.8682,1550248984,320,2196
Septem,41.882,1550248990,320,2202
Septem,41.9021,1550248996,320,2208
Septem,41.9313,1550249002,320,2214
Septem,41.9437,1550249008,320,2220
Septem,41.9776,1550249014,320,2226
Septem,42.0038,1550249020,320,2232
Septem,42.0331,1550249026,320,2238
Septem,42.0563,1550249032,320,2244
Septem,42.0902,1550249038,320,2250
Septem,42.1179,1550249044,320,2256
Septem,42.1564,1550249050,320,2262
Septem,42.1966,1550249056,320,2268
Septem,42.2305,1550249062,320,2274
Septem,42.2737,1550249068,320,2280
Septem,42.3061,1550249074,320,2286
Septem,42.3369,1550249080,320,2292
Septem,42.3754,1550249086,320,2298
Septem,42.4078,1550249092,320,2304
Septem,42.4371,1550249098,320,2310
Septem,42.4787,1550249104,320,2316
Septem,42.5096,1550249110,320,2322
Septem,42.5389,1550249116,320,2328
Septem,42.5743,1550249122,320,2334
Septem,42.6129,1550249128,320,2340
Septem,42.6484,1550249134,320,2346
Septem,42.6776,1550249140,320,2352
Septem,42.707,1550249146,320,2358
Septem,42.7394,1550249152,320,2364
Septem,42.7671,1550249158,320,2370
Septem,42.8165,1550249164,320,2376
Septem,42.8458,1550249170,320,2382
Septem,42.8735,1550249176,320,2388
Septem,42.8966,1550249182,320,2394
Septem,42.926,1550249188,320,2400
Septem,42.9568,1550249194,320,2406
Septem,42.9814,1550249200,320,2412
Septem,43.0154,1550249206,320,2418
Septem,43.0339,1550249212,320,2424
Septem,43.0678,1550249218,320,2430
Septem,43.0925,1550249224,320,2436
Septem,43.1187,1550249230,320,2442
Septem,43.148,1550249236,320,2448
Septem,43.1696,1550249242,320,2454
Septem,43.1897,1550249248,320,2460
Septem,43.219,1550249254,320,2466
Septem,43.2422,1550249260,320,2472
Septem,43.2699,1550249266,320,2478
Septem,43.2884,1550249272,320,2484
Septem,43.3146,1550249278,320,2490
Septem,43.3439,1550249284,320,2496
Septem,43.3671,1550249290,320,2502
Septem,43.3917,1550249296,320,2508
Septem,43.4102,1550249302,320,2514
Septem,43.4256,1550249308,320,2520
Septem,43.4426,1550249314,320,2526
Septem,43.4612,1550249320,320,2532
Septem,43.4797,1550249326,320,2538
Septem,43.4982,1550249332,320,2544
Septem,43.5136,1550249338,320,2550
Septem,43.5321,1550249344,320,2556
Septem,43.5459,1550249350,320,2562
Septem,43.5645,1550249356,320,2568
Septem,43.5815,1550249362,320,2574
Septem,43.5984,1550249368,320,2580
Septem,43.6138,1550249374,320,2586
Septem,43.6215,1550249380,320,2592
Septem,43.6447,1550249386,320,2598
Septem,43.6555,1550249392,320,2604
Septem,43.6663,1550249398,320,2610
Septem,43.6802,1550249404,320,2616
Septem,43.7033,1550249410,320,2622
Septem,43.7187,1550249416,320,2628
Septem,43.7341,1550249422,320,2634
Septem,43.7511,1550249428,320,2640
Septem,43.7588,1550249434,320,2646
Septem,43.7711,1550249440,320,2652
Septem,43.7789,1550249446,320,2658
Septem,43.7928,1550249452,320,2664
Septem,43.8067,1550249458,320,2670
Septem,43.8205,1550249464,320,2676
Septem,43.8298,1550249470,320,2682
Septem,43.8421,1550249476,320,2688
Septem,43.8514,1550249482,320,2694
Septem,43.8653,1550249488,320,2700
Septem,43.8761,1550249494,320,2706
Septem,43.8931,1550249500,320,2712
Septem,43.8977,1550249506,320,2718
Septem,43.9147,1550249512,320,2724
Septem,43.9193,1550249518,320,2730
Septem,43.9439,1550249524,320,2736
Septem,43.9547,1550249530,320,2742
Septem,43.9594,1550249536,320,2748
Septem,43.9732,1550249542,320,2754
Septem,43.9887,1550249548,320,2760
Septem,43.9979,1550249554,320,2766
Septem,44.0149,1550249560,320,2772
Septem,44.0211,1550249566,320,2778
Septem,44.0365,1550249572,320,2784
Septem,44.0489,1550249578,320,2790
Septem,44.0566,1550249584,320,2796
Septem,44.0689,1550249590,320,2802
Septem,44.0797,1550249596,320,2808
Septem,44.089,1550249602,320,2814
Septem,44.0967,1550249608,320,2820
Septem,44.0998,1550249614,320,2826
Septem,44.1106,1550249620,320,2832
Septem,44.1152,1550249626,320,2838
Septem,44.1199,1550249632,320,2844
Septem,44.1322,1550249638,320,2850
Septem,44.1368,1550249644,320,2856
Septem,44.143,1550249650,320,2862
Septem,44.1461,1550249656,320,2868
Septem,44.1599,1550249662,320,2874
Septem,44.1646,1550249668,320,2880
Septem,44.1692,1550249674,320,2886
Septem,44.1676,1550249680,320,2892
Septem,44.1738,1550249686,320,2898
Septem,44.1831,1550249692,320,2904
Septem,44.1955,1550249698,320,2910
Septem,44.2001,1550249704,320,2916
Septem,44.2032,1550249710,320,2922
Septem,44.2078,1550249716,320,2928
Septem,44.2124,1550249722,320,2934
Septem,44.2232,1550249728,320,2940
Septem,44.2217,1550249734,320,2946
Septem,44.2309,1550249740,320,2952
Septem,44.2356,1550249746,320,2958
Septem,44.2371,1550249752,320,2964
Septem,44.2386,1550249758,320,2970
Septem,44.2463,1550249764,320,2976
Septem,44.2571,1550249770,320,2982
Septem,44.2617,1550249776,320,2988
Septem,44.2633,1550249782,320,2994
Septem,44.2679,1550249788,320,3000
Septem,44.2725,1550249794,320,3006
Septem,44.2833,1550249800,320,3012
Septem,44.2849,1550249806,320,3018
Septem,44.288,1550249812,320,3024
Septem,44.2864,1550249818,320,3030
Septem,44.2926,1550249824,320,3036
Septem,44.3034,1550249830,320,3042
Septem,44.3111,1550249836,320,3048
Septem,44.3142,1550249842,320,3054
Septem,44.3266,1550249848,320,3060
Septem,44.3281,1550249854,320,3066
Septem,44.3281,1550249860,320,3072
Septem,44.3358,1550249866,320,3078
