kurtosisLongitudinal,run
0.43507316,325
-0.69888286,325
-0.27697788,325
1.8450356,325
0.020369594,325
-0.43682211,325
0.20521297,325
-0.32765916,325
-0.055775256,325
0.01638635,325
-0.37544404,325
-0.23171859,325
-0.0081742909,325
-0.50102153,325
-0.16398487,325
-0.23652478,325
-0.46842057,325
-0.43662507,325
1.2816433,325
-0.62545954,325
-0.2907549,325
0.62529036,325
-0.57368537,325
-0.087507355,325
0.23942145,325
0.26401899,325
-0.11474485,325
0.17451267,325
0.0016799901,325
-0.093668819,325
-0.33916418,325
-0.54607657,325
0.1681994,325
-0.10632449,325
-0.4800728,325
-0.11349122,325
-0.055135896,325
-0.15700369,325
1.3184676,325
-0.36299206,325
-0.38938715,325
-0.32716724,325
1.3323252,325
0.036562973,325
-0.04573676,325
-0.72963364,325
-0.48595384,325
-0.45839818,325
0.013582227,325
-0.90401545,325
-0.10551109,325
0.24187052,325
-0.19461109,325
0.19821995,325
0.3895114,325
-0.42629803,325
0.016466434,325
-0.047871645,325
-0.37526648,325
-0.25126179,325
-0.18634295,325
-0.36838222,325
-0.041355783,325
0.16814065,325
-0.46891399,325
-0.27256593,325
0.795248,325
0.20099283,325
-0.43575371,325
-0.14636454,325
-0.22869574,325
-0.18069125,325
-0.16065219,325
0.64719567,325
3.2593707,325
0.23662122,325
0.18507039,325
0.74835511,325
-0.19925059,325
1.0315895,325
-0.28338602,325
-0.43765783,325
-0.16063003,325
-0.11161583,325
0.017997449,325
0.073700381,325
-0.15618927,325
1.5625985,325
-0.32728553,325
-0.22929247,325
-0.42147962,325
-0.062135655,325
-0.37086911,325
-0.14535243,325
-0.61168724,325
0.23281734,325
-0.331727,325
0.09847264,325
-0.44830479,325
-0.60308027,325
0.64895086,325
0.26361589,325
-0.063482811,325
-0.14637604,325
0.068835707,325
-0.30423459,325
-0.56695726,325
0.026204642,325
0.52097302,325
-0.22258383,325
-0.48383856,325
-0.16078429,325
0.11417633,325
-0.26028861,325
-0.10453162,325
-0.21967837,325
-0.05675513,325
0.011505896,325
-0.66254808,325
-0.25395042,325
0.34790919,325
-0.80404139,325
0.46490939,325
0.11133241,325
0.15421464,325
-0.47704918,325
-0.29387004,325
0.48897545,325
0.33941242,325
-0.64635454,325
-0.1946024,325
0.23995058,325
-0.76690049,325
-0.11887986,325
-0.38635445,325
-0.10461697,325
-0.13782406,325
-0.088951033,325
0.34124957,325
-0.23648546,325
0.19969497,325
0.52792925,325
-0.50285597,325
0.19924657,325
0.7738937,325
0.26890111,325
0.17149934,325
-0.20626784,325
-0.25534788,325
-0.15623184,325
0.29282551,325
-0.33222357,325
-0.065597571,325
0.10968864,325
-0.067538972,325
-0.44951057,325
-0.32922951,325
-0.014820528,325
0.26984528,325
-0.4624463,325
-0.04414806,325
-0.38887029,325
-0.33035329,325
-0.27141148,325
-0.33768161,325
-0.2062398,325
-0.17855912,325
0.18637211,325
-0.36466025,325
-0.86013744,325
3.9294588,325
0.37879677,325
0.055992281,325
-0.66039037,325
-0.39858656,325
0.076372357,325
