kurtosisTransverse,run
-0.065430072,332
0.47644912,332
0.12376487,332
-0.60078593,332
-0.22620188,332
-0.55604852,332
0.44852712,332
0.88907146,332
-0.42996912,332
0.60590766,332
0.2788513,332
0.36313062,332
-0.044341811,332
-0.40440027,332
0.14663602,332
-0.13626477,332
-0.52883061,332
-0.75680229,332
-0.6552535,332
0.69722591,332
-0.86624631,332
-0.00060779367,332
-0.29523809,332
-0.045396717,332
0.77764631,332
-0.40337665,332
-0.23843175,332
-0.53485484,332
0.97265301,332
-0.47645092,332
-0.37288233,332
-0.38070467,332
0.27866534,332
-0.0027107868,332
-0.35548297,332
0.33379571,332
-0.71598986,332
-0.80961046,332
-1.5,332
0.11174297,332
-0.27976589,332
-0.3002051,332
1.0060178,332
-0.46039796,332
0.59712347,332
-0.21121344,332
0.27121453,332
-0.11054187,332
-0.14792673,332
-0.65291369,332
-0.25463265,332
0.12662846,332
-0.0088010543,332
1.1380086,332
0.090467302,332
-0.23753892,332
-0.49641855,332
0.50643792,332
-0.90214918,332
0.25333766,332
1.2912233,332
0.28524931,332
0.3799911,332
0.3351309,332
1.8227997,332
-0.43951801,332
-0.51291141,332
-0.54850445,332
-0.28720072,332
-0.38890244,332
0.048654825,332
0.24672332,332
-0.088924461,332
0.46530982,332
1.6628532,332
-0.85876583,332
-0.55244515,332
0.26690064,332
-0.43266107,332
-0.9504748,332
0.92163802,332
-0.17873836,332
2.4757921,332
-0.5367263,332
0.014500534,332
-0.29390507,332
0.43116336,332
-0.69829379,332
0.57569029,332
0.01115443,332
0.31045391,332
-0.3977561,332
-0.95109565,332
-0.70577882,332
-0.41616395,332
0.67624916,332
-0.75125152,332
0.01885828,332
-0.38340451,332
0.20953723,332
-0.82382823,332
-0.16823693,332
-0.31569699,332
0.82812979,332
-0.0050380168,332
0.3766001,332
-0.23596117,332
1.6587347,332
-0.500469,332
-0.46219231,332
-0.38470397,332
-0.38197192,332
0.089819292,332
-0.87285777,332
0.14725488,332
1.5625103,332
-0.33017255,332
0.49935029,332
0.42732936,332
0.27009837,332
1.4835716,332
-0.49839624,332
0.40412345,332
0.71856243,332
-0.66204182,332
-0.83108832,332
-0.23641727,332
-0.59665189,332
0.23198072,332
-0.17341311,332
0.00079304178,332
-0.76698498,332
-1.0828509,332
-0.71004835,332
-0.38892791,332
0.36592818,332
-0.25504071,332
0.74921951,332
-0.15726055,332
0.29019422,332
-0.42541426,332
-0.42211136,332
-0.069930607,332
-0.57950622,332
-0.066257542,332
-0.65836769,332
1.5330809,332
-0.78994195,332
-0.34770568,332
-0.74920689,332
0.3029341,332
0.33933137,332
-0.21388844,332
-0.83431373,332
-0.63620075,332
0.23236987,332
-0.43184245,332
0.27107227,332
0.19495687,332
-0.067387937,332
0.041081973,332
-0.19318483,332
0.24822819,332
-0.94683452,332
1.6891568,332
-0.82485284,332
-0.55919964,332
-0.055959109,332
-0.23995646,332
-0.41668595,332
-0.28496553,332
0.91256623,332
0.15529607,332
-0.46829091,332
-0.1579515,332
1.0982401,332
0.73506629,332
-0.59857007,332
0.5498004,332
0.45137055,332
0.23193476,332
-0.037173953,332
0.89174533,332
1.218293,332
0.22289398,332
0.20749576,332
-1.0118171,332
0.73035435,332
-0.227941,332
1.0208152,332
