rmsLongitudinal,run
0.59181003,332
1.2939825,332
1.0793988,332
0.98061177,332
1.0970017,332
1.0256312,332
0.9442498,332
0.71446359,332
1.0303747,332
0.93946102,332
0.96974791,332
1.0085042,332
1.6450603,332
1.1797022,332
1.7624654,332
1.0496999,332
1.5129426,332
1.6953845,332
0.80092883,332
1.4316783,332
1.1430761,332
0.87373729,332
1.1681676,332
1.7597898,332
0.98584436,332
0.85550062,332
0.99330868,332
1.1741916,332
0.97333387,332
0.54363095,332
1.0397584,332
0.96708355,332
0.72186491,332
1.5253566,332
1.1115231,332
1.1143585,332
0.84761456,332
1.0851692,332
0.75608271,332
1.0765646,332
0.79758597,332
1.1700266,332
1.124728,332
1.0167812,332
0.87549771,332
1.0697688,332
1.0382726,332
0.92896808,332
1.0693065,332
0.95766229,332
1.0568832,332
0.98710289,332
1.2432854,332
0.7555594,332
1.3272199,332
0.96927799,332
0.96039422,332
1.0383225,332
0.85128645,332
1.0367564,332
0.87658887,332
0.88113668,332
1.1985977,332
1.0472051,332
1.268396,332
1.0561263,332
1.0973826,332
1.0235438,332
1.1663815,332
0.95184555,332
0.69282647,332
1.0749321,332
2.1696455,332
1.0543943,332
1.023146,332
0.99138634,332
1.2242267,332
1.8505992,332
1.1157297,332
0.99121602,332
0.90744655,332
1.0758704,332
0.81504487,332
0.74076356,332
0.85654226,332
1.085248,332
0.9528099,332
1.1250058,332
1.2634776,332
1.3160785,332
1.1067695,332
0.97147257,332
0.95800722,332
0.90451545,332
1.1931835,332
1.4228325,332
0.98423371,332
1.1533548,332
1.0493817,332
1.8387644,332
0.83519974,332
1.0727926,332
0.80508353,332
1.4664856,332
0.71689011,332
1.0790185,332
0.98215114,332
1.0232776,332
0.90721032,332
1.0727514,332
0.93576161,332
0.83151275,332
1.078229,332
0.48532231,332
1.0452074,332
0.8155116,332
0.88428264,332
1.2325794,332
0.8784035,332
0.99495564,332
1.4356381,332
1.0671618,332
1.3558189,332
1.0721124,332
1.0107903,332
0.92467891,332
0.94731314,332
0.94928647,332
0.9110753,332
1.0478282,332
1.900108,332
1.2034483,332
1.0151801,332
1.9527152,332
0.94248508,332
1.0083711,332
0.89945783,332
0.93130008,332
0.83373506,332
1.1109683,332
0.72977991,332
1.0173903,332
0.80472013,332
1.0748097,332
0.89118985,332
0.85291714,332
0.88934652,332
0.56598415,332
1.8652449,332
1.5533722,332
0.92397211,332
1.9078593,332
0.97589728,332
1.2457399,332
1.1629651,332
1.216457,332
0.96497156,332
1.043425,332
0.99647036,332
1.0191788,332
0.9732637,332
1.0513651,332
0.96795285,332
0.89444171,332
0.94356706,332
1.0379779,332
0.85194093,332
0.51051253,332
0.71708944,332
1.1314993,332
1.6629815,332
0.91713228,332
