rmsTransverse,run
0.77913425,342
0.64605389,342
1.2957383,342
1.0077332,342
0.61738406,342
0.77545917,342
0.98678566,342
0.81878806,342
0.61282216,342
0.8496514,342
0.99778628,342
0.88686149,342
0.73950486,342
0.65637945,342
0.79875757,342
0.5802486,342
0.8338748,342
0.89583533,342
0.91185204,342
0.71119255,342
0.825608,342
0.95819114,342
0.91263236,342
0.72244897,342
1.0841088,342
0.70768439,342
1.0299038,342
0.318612,342
0.51850795,342
0.85587902,342
0.88338225,342
1.020854,342
0.89245457,342
0.57916236,342
0.98640242,342
0.9250938,342
0.70126343,342
1.1014092,342
0.72564191,342
0.60491782,342
0.65391864,342
0.67760363,342
0.9025382,342
0.55348705,342
1.1257348,342
0.784665,342
0.76277723,342
0.88150432,342
0.67722654,342
0.69206994,342
0.61898031,342
0.57071607,342
0.90976612,342
0.77040673,342
0.72677419,342
0.66012995,342
0.55944156,342
0.53924721,342
0.86308146,342
0.53374723,342
0.84611846,342
0.85963054,342
0.78807115,342
0.49866734,342
0.96936815,342
0.78198404,342
0.76459179,342
0.57274738,342
0.63614033,342
0.88835302,342
0.73280145,342
0.62649042,342
0.80336381,342
0.77414637,342
0.8038704,342
0.68189022,342
0.74289384,342
0.58116851,342
0.85673316,342
0.81013438,342
0.71965797,342
0.77156222,342
0.72157957,342
0.81347909,342
0.7548258,342
0.9882529,342
0.25499533,342
0.81874516,342
0.60492517,342
0.83104609,342
0.90557148,342
0.83157479,342
0.5804446,342
0.98429436,342
0.86955308,342
0.83064463,342
0.48189664,342
0.88204974,342
0.78105979,342
0.94132188,342
0.69572976,342
0.64392801,342
0.70033932,342
0.93151449,342
0.75448798,342
0.70052621,342
0.58161374,342
1.0263493,342
0.75959158,342
0.9167785,342
0.91244895,342
0.68881209,342
0.92624089,342
0.78882775,342
0.82698875,342
0.51193721,342
0.71526099,342
0.66894465,342
0.5625448,342
0.92555965,342
0.88573686,342
0.57425105,342
0.78643795,342
0.86507562,342
0.80873202,342
0.83457934,342
1.057591,342
0.96353459,342
0.7007867,342
0.5024893,342
0.95545568,342
0.64783662,342
0.92715323,342
0.81502565,342
0.76731244,342
0.87441751,342
0.6121271,342
0.48529751,342
1.0277699,342
0.68803591,342
0.81672147,342
0.77464326,342
0.75128614,342
0.55371275,342
0.60526166,342
0.69381459,342
0.40813825,342
0.86508755,342
0.79780404,342
0.704141,342
0.89758491,342
0.65817791,342
0.75482907,342
0.77337399,342
0.68590346,342
0.70139986,342
0.64714261,342
0.5552185,342
0.82938765,342
0.77228098,342
0.63415548,342
0.88161407,342
0.65865505,342
0.67981245,342
0.84805877,342
0.95814481,342
0.70654085,342
0.74958037,342
0.77338366,342
0.5651376,342
0.95175499,342
0.74549792,342
0.2212705,342
0.82244597,342
0.75665218,342
0.57061894,342
0.97167009,342
0.61457658,342
0.86480948,342
0.94415334,342
0.73637113,342
0.69955112,342
1.0488877,342
0.72406005,342
0.59035068,342
0.50728204,342
0.94390572,342
0.89573346,342
0.71274156,342
0.94834233,342
0.90474804,342
0.71924427,342
0.89095906,342
0.98112367,342
0.91295541,342
1.0044598,342
0.92325469,342
0.66093326,342
0.66413868,342
0.92657304,342
0.7758442,342
0.89949548,342
0.98507061,342
0.74504712,342
0.84834846,342
0.81029902,342
0.93992592,342
0.60501397,342
0.88948711,342
0.69865415,342
0.79456684,342
0.52779519,342
0.52630871,342
0.53733766,342
0.98462375,342
0.78157813,342
0.78315369,342
0.61556319,342
0.65475748,342
0.56878285,342
1.0394738,342
1.0723978,342
0.83974311,342
0.77875986,342
0.75690142,342
0.61754046,342
0.79689766,342
0.88496302,342
0.65772327,342
1.0865778,342
0.84861096,342
0.56024382,342
0.93317144,342
1.0038123,342
1.2602377,342
0.33343811,342
0.86550762,342
0.42804703,342
0.45879258,342
0.92406574,342
0.99370364,342
1.1096898,342
0.67885237,342
1.2657219,342
0.53573072,342
0.76382742,342
0.85502599,342
0.91914866,342
0.74719727,342
0.76901548,342
0.49653655,342
0.63373797,342
0.98006299,342
0.99656754,342
0.91827626,342
0.98803382,342
0.64189754,342
0.807547,342
0.79317138,342
0.61157976,342
0.93618096,342
0.76390954,342
0.80319525,342
0.91933008,342
0.89800122,342
0.50709107,342
0.8367767,342
0.61878237,342
0.56370456,342
1.0204349,342
0.92116608,342
0.93093659,342
0.60293994,342
0.8104109,342
0.88876077,342
0.74837798,342
0.72086183,342
0.49262677,342
0.6868232,342
0.90098303,342
0.9441839,342
0.78112916,342
0.8764526,342
0.83999368,342
0.74835398,342
0.86519331,342
1.1481898,342
1.0830979,342
0.73112594,342
0.78173949,342
0.89056208,342
0.76380692,342
0.74466076,342
0.69811862,342
0.88463992,342
0.533987,342
0.460247,342
0.83338381,342
0.63126648,342
0.64035902,342
0.87355319,342
0.7143322,342
0.84817692,342
0.67471291,342
0.85489104,342
0.77299403,342
0.79884971,342
0.73160178,342
0.94497258,342
1.0174481,342
0.73959957,342
0.63864738,342
0.64209737,342
0.7280295,342
0.2648855,342
0.93477129,342
