kurtosisTransverse,run
0.056298016,319
-0.34651662,319
-0.52288232,319
-0.030346877,319
-0.26471915,319
0.11753926,319
-0.14801791,319
0.11133906,319
-0.46151739,319
0.13532197,319
-0.25082597,319
0.32113808,319
-0.17605275,319
-0.41312751,319
-0.17667854,319
-0.36095374,319
0.058044497,319
0.10065818,319
0.14362082,319
1.3011728,319
-0.20177069,319
-0.11082131,319
-0.096127345,319
-0.35092715,319
-0.32547309,319
-0.4053152,319
-0.1959392,319
0.20804974,319
-0.58602697,319
-0.29783448,319
-0.39811288,319
-0.10015351,319
-0.36656354,319
-0.064310604,319
-0.1818074,319
0.0553261,319
0.30480032,319
-0.13677683,319
-0.41595868,319
-0.092087608,319
0.57595625,319
0.026926789,319
0.052709632,319
-0.16380383,319
-0.67315811,319
-0.20465801,319
-0.23319908,319
-0.057518484,319
0.19201355,319
-0.36877532,319
-0.47976998,319
-0.15711984,319
0.011126819,319
0.075844228,319
-0.21153987,319
-0.3226229,319
-0.099672301,319
-0.09844062,319
-0.41329115,319
0.087963927,319
0.16831081,319
-0.40212645,319
0.24178979,319
-0.34086943,319
-0.10893167,319
0.033166652,319
-0.14803089,319
-0.22818274,319
0.32104153,319
0.32985719,319
-0.24449828,319
-0.31658741,319
0.20854461,319
-0.53747226,319
-0.082681429,319
0.013863444,319
0.26622677,319
0.17230447,319
-0.0601287,319
0.078932032,319
1.3562978,319
-0.17018939,319
-0.078981921,319
-0.41343481,319
0.35762093,319
-0.40193239,319
-0.10233994,319
-0.20812714,319
-0.31177977,319
-0.10487627,319
-0.43100956,319
0.14389225,319
-0.074927586,319
0.25334215,319
0.18487583,319
-0.42553839,319
0.11702287,319
-0.14453404,319
0.12752303,319
-0.063747209,319
-0.5245328,319
-0.49768429,319
0.11329683,319
-0.1049798,319
-0.30768739,319
2.4749243,319
-0.012390043,319
-0.21070353,319
-0.203787,319
0.5782017,319
0.094188327,319
-0.42229737,319
-0.51273392,319
0.067753434,319
-0.19100021,319
-0.48250947,319
-0.45579385,319
-0.12618454,319
-0.19094817,319
-0.40725013,319
0.15338317,319
-0.17335752,319
0.75642839,319
0.030916114,319
-0.067865301,319
0.72233366,319
-0.16418124,319
-0.049366247,319
-0.089255333,319
0.41151948,319
-0.34285424,319
-0.20818484,319
0.018565027,319
-0.37982441,319
0.25960671,319
-0.09561467,319
0.8002399,319
-0.52863484,319
-0.36137142,319
-0.1872084,319
0.060367363,319
-0.014155657,319
-0.27383514,319
-0.32081558,319
-0.31959571,319
-0.303887,319
-0.076231081,319
-0.50048495,319
-0.145665,319
-0.38279484,319
0.062361888,319
-0.24933209,319
-0.1106198,319
-0.13991689,319
-0.19900726,319
0.15228866,319
-0.098012457,319
0.25170347,319
-0.267695,319
0.012202438,319
-0.25054098,319
0.28192345,319
-0.30359727,319
-0.16414909,319
-0.29577461,319
0.19033704,319
-0.22129947,319
-0.36404786,319
-0.18348647,319
-0.18568304,319
-0.25768607,319
0.01148014,319
-0.16500239,319
-0.011630877,319
0.82038323,319
-0.20379783,319
-0.22856696,319
-0.13939441,319
-0.1626833,319
-0.15996484,319
-0.44465145,319
-0.67269315,319
-0.11763231,319
0.15018446,319
0.55468919,319
-0.029123083,319
-0.11678504,319
-0.38471203,319
-0.52431227,319
0.30484393,319
0.14729374,319
-0.38977137,319
-0.2531183,319
0.081728424,319
-0.09565486,319
-0.057818697,319
-0.058586282,319
-0.1809455,319
0.64591938,319
0.62407394,319
-0.21102338,319
-0.38067438,319
-0.13437693,319
-0.47576002,319
-0.43751446,319
0.185873,319
-0.0022014663,319
-0.35837353,319
0.12679313,319
-0.40062511,319
-0.011589234,319
-0.42786483,319
-0.02081282,319
-0.34772321,319
-0.31976275,319
-0.44357442,319
0.5227695,319
-0.41742548,319
-0.45566589,319
-0.54149399,319
-0.4849101,319
-0.17691385,319
0.66471854,319
-0.36836324,319
-0.40318696,319
0.20736119,319
-0.25638438,319
0.18625588,319
-0.34294064,319
0.059118942,319
-0.55700276,319
-0.26838752,319
-0.21844121,319
-0.12759716,319
-0.24569628,319
-0.55267227,319
0.087359353,319
-0.017704386,319
0.22643039,319
0.00015683866,319
-0.29837401,319
0.11296783,319
0.038116435,319
-0.47741344,319
-0.14993977,319
-0.063885782,319
-0.47807568,319
-0.14324121,319
-0.27283405,319
-0.81495623,319
-0.15269307,319
-0.19540906,319
0.20256114,319
0.11256994,319
-0.27434798,319
-0.651379,319
0.63042492,319
-0.18860065,319
0.06570531,319
0.046114088,319
0.78748808,319
-0.017351886,319
-0.76402418,319
-0.18757108,319
-0.13959162,319
-0.11002755,319
-0.36620243,319
-0.53765971,319
-0.40237251,319
-0.14477311,319
-0.17033464,319
-0.25499457,319
-0.040085806,319
-0.17285432,319
-0.49984886,319
-0.16181107,319
-0.2059687,319
-0.12335106,319
-0.36014799,319
-0.16270784,319
-0.032843029,319
-0.085778539,319
-0.1375612,319
0.22247973,319
-0.24705859,319
-0.13627434,319
-0.10345081,319
-0.16646549,319
1.9342988,319
0.36571657,319
-0.14663207,319
0.31362667,319
-0.35781722,319
1.440586,319
-0.37068949,319
-0.22027752,319
-0.035115129,319
-0.034932274,319
-0.22742081,319
-0.69977905,319
-0.27507127,319
0.26116078,319
-0.06235603,319
-0.012819726,319
0.40789782,319
0.074099756,319
0.18476493,319
-0.18401174,319
0.15303405,319
-0.43127599,319
0.40162182,319
1.2695954,319
0.0078957832,319
-0.46795363,319
-0.2589582,319
0.21584399,319
-0.01217522,319
-0.26737944,319
-0.58590768,319
0.055343721,319
-0.46904416,319
0.58293986,319
-0.099120771,319
-0.21348419,319
-0.15116852,319
0.24923114,319
1.2013435,319
-0.27723738,319
-0.44696323,319
0.39743266,319
0.25585672,319
-0.105002,319
-0.10180946,319
-0.023812595,319
-0.17621706,319
-0.14808672,319
-0.46289001,319
0.54705085,319
0.37117616,319
-0.5097701,319
0.4184377,319
-0.33303356,319
0.31723062,319
-0.25541678,319
0.38868373,319
-0.16032099,319
-0.15330327,319
0.14936214,319
-0.17502928,319
-0.30694112,319
0.15450167,319
0.038611904,319
-0.32911423,319
-0.22979006,319
-0.24508732,319
-0.27683514,319
-0.38972237,319
-0.36480744,319
-0.082540286,319
-0.45012029,319
0.011158693,319
0.59913168,319
0.29064578,319
0.092228622,319
-0.052061735,319
0.09044926,319
0.33674874,319
0.182849,319
-0.15989484,319
0.18262279,319
-0.23018299,319
-0.31234611,319
-0.040610304,319
-0.70236343,319
-0.086015005,319
-0.14460871,319
-0.26211355,319
-0.20471745,319
-0.31410181,319
-0.32857818,319
-0.17375705,319
-0.40801285,319
-0.28598192,319
-0.013342523,319
-0.014053287,319
-0.069780865,319
-0.06428915,319
-0.19647784,319
-0.089677826,319
-0.07479226,319
0.20396842,319
0.81453994,319
0.030779529,319
-0.16602082,319
1.2287101,319
-0.33042508,319
0.065771749,319
-0.19343652,319
-0.1896724,319
-0.55787079,319
-0.57863318,319
-0.42405075,319
-0.70762011,319
0.21743704,319
-0.37598338,319
0.73122807,319
-0.51516755,319
0.084392942,319
0.61880079,319
0.35980129,319
0.32515044,319
-0.51017292,319
0.31214342,319
0.34168218,319
-0.53729443,319
-0.029280701,319
0.073783446,319
-0.053420141,319
-0.34085128,319
0.021538744,319
0.029605958,319
0.78153046,319
-0.018389554,319
-0.39178727,319
0.46235324,319
-0.38391391,319
-0.35158346,319
0.36686985,319
-0.31168445,319
-0.30265027,319
-0.29787248,319
0.60463576,319
-0.0014136147,319
-0.44236175,319
0.24567977,319
-0.18220757,319
-0.43343179,319
-0.28993015,319
0.10068012,319
-0.32718925,319
-0.19192929,319
-0.078034139,319
-0.025496082,319
-0.19513592,319
-0.59441168,319
-0.26924219,319
-0.32286313,319
0.073901252,319
0.29432873,319
0.050705992,319
0.32793324,319
0.30075928,319
0.33813643,319
-0.16356059,319
-0.29534534,319
-0.3029201,319
-0.032782179,319
-0.16694703,319
-0.29435541,319
-0.057967927,319
-0.20906104,319
-0.34240265,319
-0.033348269,319
-0.37141848,319
-0.15675076,319
-0.056101602,319
-0.18077301,319
0.17572217,319
-0.078233706,319
-0.41322139,319
-0.0043446897,319
-0.075577272,319
1.1552713,319
-0.2088313,319
0.55136041,319
-0.21370999,319
-0.043869814,319
-0.23659146,319
-0.29535842,319
0.4714507,319
-0.21638532,319
-0.069195389,319
-0.2517535,319
-0.12142468,319
-0.14317898,319
-0.42515297,319
0.17142916,319
-0.19164807,319
-0.12432087,319
0.13538555,319
0.27864802,319
-0.07711708,319
0.36239642,319
-0.3546066,319
0.75500543,319
-0.055833964,319
-0.26594881,319
-0.016475081,319
-0.51180639,319
-0.17068885,319
-0.5432227,319
-0.1153062,319
-0.16898861,319
-0.40501199,319
-0.44499163,319
0.35338862,319
-0.44708834,319
0.7444534,319
0.14214331,319
-0.40833623,319
0.17516956,319
0.38479896,319
0.021923995,319
-0.50204601,319
-0.18926349,319
0.70219665,319
-0.15823504,319
0.79579672,319
-0.17120891,319
0.1317633,319
-0.091647385,319
-0.24688561,319
-0.31199123,319
0.43715655,319
0.14276192,319
0.12762823,319
0.093025131,319
-0.34375262,319
-0.27758433,319
0.23483721,319
0.08641752,319
-0.072483057,319
-0.087518503,319
0.13681867,319
-0.065893102,319
1.2043765,319
0.27200569,319
-0.25196552,319
0.50432639,319
0.11448596,319
0.079537748,319
-0.14595845,319
-0.25962264,319
-0.34800176,319
0.090855916,319
0.42714277,319
-0.07779879,319
-0.44657569,319
-0.28819348,319
0.21034991,319
-0.12695636,319
-0.020622664,319
-0.44867735,319
0.21330961,319
-0.0031882765,319
-0.23240989,319
-0.44139799,319
0.1187017,319
-0.022695892,319
-0.55334495,319
-0.047653441,319
-0.34337443,319
0.24072407,319
