rotationAngle,run
0.46534211,315
1.1366323,315
1.7071622,315
1.7627679,315
0.10308503,315
0.58018076,315
1.6916418,315
1.4135077,315
1.098697,315
1.0468138,315
3.0527372,315
1.5791018,315
0.56371528,315
2.9196365,315
0.33389735,315
0.98713698,315
2.1512292,315
2.2969876,315
1.8528046,315
0.79395125,315
2.936894,315
1.6225901,315
2.6632437,315
1.6712254,315
2.1869616,315
2.8661367,315
2.6278633,315
1.0116812,315
2.9830984,315
0.69298912,315
1.6582984,315
2.6323266,315
1.6584343,315
1.151914,315
2.3758906,315
2.4528396,315
1.7995667,315
1.4596033,315
0.88813359,315
2.3867898,315
1.3923487,315
0.82032961,315
3.0206833,315
1.4406128,315
2.9843808,315
1.1878431,315
2.5780911,315
0.88380301,315
0.67180405,315
0.53321058,315
0.67776072,315
0.55476224,315
1.0342875,315
2.801885,315
0.86167646,315
1.0589722,315
2.0340163,315
2.0554987,315
2.3616713,315
0.72417101,315
2.5996749,315
0.58868585,315
1.8511488,315
0.47976304,315
0.82091843,315
2.3206314,315
2.953098,315
0.8173404,315
1.2746084,315
2.6561815,315
0.43144781,315
2.0888315,315
0.26275159,315
1.2096382,315
2.1447817,315
3.1288343,315
2.6289241,315
1.7330937,315
1.2601022,315
0.10575767,315
0.4248997,315
0.97705638,315
3.0898592,315
1.1369642,315
2.580404,315
0.86384353,315
2.9483429,315
2.6623306,315
2.7687016,315
2.447841,315
2.6296333,315
2.1070643,315
1.4348193,315
2.9340607,315
1.9353701,315
0.066836526,315
2.2898525,315
0.59315455,315
2.7369546,315
0.88224584,315
0.25585304,315
0.15225885,315
2.5322796,315
1.7486255,315
0.80326611,315
3.1350335,315
1.8103598,315
0.33312389,315
2.359371,315
0.98821364,315
1.360219,315
0.93433506,315
2.4958511,315
0.66160787,315
1.5530379,315
0.85361806,315
1.2928739,315
0.66667463,315
2.568137,315
2.3138558,315
1.8603302,315
2.2957592,315
0.81657631,315
0.57871905,315
1.2855072,315
2.539948,315
0.096491449,315
2.3976117,315
1.9904735,315
1.702645,315
1.2312377,315
0.14063151,315
0.26101233,315
2.1793109,315
3.0595208,315
0.51256145,315
2.2406904,315
2.3222525,315
2.1086524,315
1.0783358,315
2.5195003,315
0.24234148,315
0.26891305,315
3.0301886,315
2.9835817,315
1.5196259,315
1.3911603,315
1.0290463,315
1.9037961,315
1.9131118,315
1.8665451,315
0.87197416,315
0.1283936,315
2.6527108,315
1.2319888,315
2.068379,315
0.79065238,315
1.6135902,315
0.7325564,315
1.0576781,315
2.5062759,315
1.2949638,315
1.9163794,315
0.48029576,315
0.29789564,315
1.0036104,315
0.10256,315
2.8615399,315
1.9509599,315
1.3418249,315
2.2726629,315
2.6082114,315
2.0639986,315
1.1299391,315
0.66575231,315
1.6786848,315
2.0524926,315
2.6234145,315
0.75615789,315
2.3362776,315
1.3811801,315
2.020643,315
0.12897816,315
2.9650368,315
3.0091579,315
2.583823,315
0.41949027,315
0.26249396,315
0.65578288,315
3.036799,315
2.4628737,315
2.3378872,315
1.2326935,315
3.0351408,315
1.9512315,315
2.9125072,315
2.307429,315
0.25717972,315
0.36408331,315
0.53382695,315
0.066894908,315
1.7309184,315
0.52764259,315
2.6509664,315
0.14260967,315
2.1390735,315
1.3532432,315
0.37442765,315
1.97232,315
0.99096906,315
2.3064659,315
1.0462738,315
1.6048248,315
1.9403399,315
2.0071723,315
2.2401313,315
0.64911839,315
2.4908012,315
2.5063902,315
2.9785908,315
1.6919554,315
3.0770555,315
1.5801762,315
1.8032055,315
1.0467258,315
0.28901752,315
3.0086219,315
2.1710795,315
0.25050055,315
1.2217897,315
2.5321002,315
0.037128159,315
1.2185878,315
3.0865554,315
1.6742417,315
0.61228447,315
2.1784685,315
1.121612,315
2.4353973,315
1.1403033,315
0.30374941,315
1.9637263,315
3.0461891,315
1.1155374,315
0.53357091,315
3.0924279,315
2.7687383,315
2.3462672,315
2.5289829,315
2.3580153,315
0.037467769,315
1.142923,315
2.4815639,315
0.18421572,315
0.79974182,315
0.091370462,315
2.8264259,315
1.2284853,315
1.1367056,315
2.8116945,315
2.6574982,315
2.9181351,315
2.0759425,315
0.3279897,315
1.4689853,315
1.6480443,315
1.734197,315
0.03759681,315
2.2150069,315
2.9537562,315
0.39020823,315
1.6342035,315
0.34040667,315
0.47821889,315
2.1721322,315
2.0071389,315
1.6679911,315
2.8251668,315
0.64368329,315
2.6763109,315
0.64108249,315
2.380985,315
1.1260679,315
3.1227153,315
2.1087131,315
0.62528809,315
1.9612697,315
2.1717879,315
2.9073351,315
0.27306018,315
1.5742607,315
0.18676329,315
1.5096101,315
1.534573,315
1.5833976,315
0.98731586,315
3.0323964,315
2.8349252,315
2.9347839,315
2.5017778,315
1.032458,315
1.0168951,315
1.9337304,315
1.5691496,315
0.40090516,315
1.2495137,315
2.5352955,315
0.93267192,315
2.8036408,315
0.24126998,315
0.056053783,315
0.053576808,315
2.9884121,315
0.75407575,315
3.0153503,315
0.32835726,315
1.5668638,315
1.3656419,315
0.2956443,315
0.01637483,315
2.5387719,315
0.25998036,315
2.9937084,315
1.2022481,315
2.6852761,315
1.2096847,315
1.6809295,315
3.1365891,315
1.2564019,315
1.695953,315
0.97425915,315
0.18336495,315
1.8866634,315
0.16401379,315
1.7978996,315
2.3761056,315
0.35203787,315
1.5475057,315
0.037730831,315
2.162233,315
2.9636553,315
1.7581616,315
2.9686185,315
1.0027916,315
1.6229981,315
0.62918373,315
1.2343618,315
2.5497324,315
2.2105873,315
2.82957,315
3.0427593,315
1.3346825,315
1.3363231,315
1.7824763,315
1.9831564,315
1.5086422,315
0.68617566,315
0.60674904,315
1.6036508,315
0.70886967,315
1.0231799,315
3.0590197,315
1.5832074,315
0.25561235,315
2.592652,315
0.28333857,315
2.8838318,315
0.32417266,315
1.1786816,315
0.16828222,315
1.7957786,315
0.44834623,315
0.53353225,315
2.1614531,315
1.3837288,315
0.78789724,315
2.5583411,315
0.97395116,315
2.4164594,315
1.6957044,315
2.6959941,315
1.1887111,315
1.7658439,315
0.89598034,315
0.94876521,315
1.3310373,315
0.32394042,315
0.26183331,315
0.94147434,315
1.3942994,315
2.0385074,315
0.32022743,315
2.9809768,315
0.35959117,315
2.0233029,315
0.13401415,315
1.176691,315
0.1626239,315
2.5318991,315
2.7856886,315
3.0520238,315
3.0365365,315
3.0358769,315
2.3207143,315
1.0201375,315
2.8948717,315
2.2712142,315
2.6742913,315
1.432396,315
2.3229795,315
1.8676426,315
0.72270558,315
0.67106816,315
0.63297074,315
2.776869,315
1.6173955,315
0.84637457,315
0.33814311,315
0.81234716,315
2.859692,315
1.3026377,315
2.8719743,315
0.26717344,315
1.481887,315
0.26886291,315
1.2806799,315
1.7024892,315
0.87777519,315
0.93977027,315
0.21235249,315
0.51498739,315
1.1586288,315
1.0723274,315
2.3910976,315
1.5349519,315
0.59828116,315
1.0148479,315
2.4706418,315
0.79535457,315
2.9854719,315
1.7407154,315
2.3244254,315
1.2467419,315
3.1039159,315
2.0198285,315
1.410286,315
0.0040697401,315
0.61187841,315
2.5438118,315
0.98692079,315
0.97675511,315
0.26325798,315
2.3316649,315
1.4931854,315
0.43927348,315
1.8926565,315
1.3807992,315
1.9263121,315
1.5041084,315
1.9140138,315
2.2831623,315
1.1649916,315
0.31882039,315
1.1973404,315
1.3533798,315
0.58199793,315
3.125509,315
2.3443152,315
2.3972645,315
3.0636952,315
1.6414486,315
0.5729792,315
1.4031352,315
1.2962828,315
0.67233811,315
2.9214142,315
2.8081753,315
0.79340316,315
2.2308523,315
0.12443445,315
0.57011174,315
0.36815928,315
0.38098138,315
1.0405737,315
2.5873388,315
2.403947,315
0.34882706,315
0.51155016,315
2.6551036,315
0.3406652,315
0.42183649,315
2.7222667,315
2.4862604,315
1.6181047,315
0.49639847,315
1.3179247,315
2.2680286,315
2.4346331,315
2.4704847,315
3.0552433,315
2.0437946,315
2.6342189,315
2.5199705,315
2.6454514,315
2.1197864,315
2.843437,315
0.36251872,315
0.033129804,315
1.786578,315
3.1170992,315
0.58901844,315
1.7182317,315
2.2518891,315
3.0479831,315
2.9736331,315
0.62057342,315
0.41006132,315
1.4012234,315
0.48966148,315
2.4824971,315
0.22129898,315
2.4032828,315
2.9800077,315
3.0703738,315
2.5368816,315
2.8162653,315
0.51834013,315
1.691972,315
2.6684485,315
2.0298113,315
2.2375089,315
0.46471066,315
1.1337196,315
1.9783092,315
1.4813538,315
2.6057773,315
1.8058752,315
1.6194232,315
1.3906939,315
1.7354509,315
2.5591634,315
1.9580328,315
0.3237137,315
1.1673475,315
0.37439703,315
2.514009,315
0.25000706,315
0.12074703,315
2.6438577,315
1.2909391,315
2.8617612,315
2.6529515,315
0.86188918,315
1.741374,315
1.4535424,315
0.91064615,315
2.4948634,315
2.5500839,315
2.794293,315
1.7991802,315
0.84895799,315
2.0870486,315
0.92386935,315
0.39181387,315
2.7802745,315
3.0207376,315
2.9218256,315
0.21237995,315
2.4750987,315
1.4494421,315
0.88782835,315
1.2145253,315
1.3933049,315
0.18402524,315
2.641394,315
0.38499515,315
0.63901819,315
0.16044601,315
1.1808742,315
1.9163185,315
1.0258248,315
2.4447238,315
2.1887378,315
1.4056199,315
1.6776755,315
1.8891226,315
2.7403572,315
2.0874734,315
2.2182395,315
0.078931171,315
2.4318372,315
2.7317871,315
0.55896541,315
1.6584362,315
1.3512452,315
0.051818683,315
1.948067,315
1.3501522,315
0.81721706,315
1.6241477,315
0.90458251,315
2.1604904,315
0.94294716,315
1.137588,315
1.1812053,315
0.099012878,315
1.3029075,315
2.8355319,315
3.0816942,315
1.6271434,315
0.94835549,315
3.0867684,315
2.122442,315
1.2443238,315
0.66420521,315
2.5754991,315
2.5024849,315
1.3794886,315
0.6381206,315
2.4864356,315
1.3256759,315
2.729169,315
2.6622186,315
0.044915742,315
2.7910791,315
2.9958953,315
0.49219111,315
2.805956,315
2.0267026,315
0.40624748,315
1.1218923,315
2.6730466,315
2.1823726,315
2.1900971,315
0.49084742,315
2.8466061,315
1.509287,315
1.4369974,315
2.3896043,315
0.80380625,315
0.094341769,315
1.8997147,315
0.87690153,315
0.09072028,315
1.6658281,315
0.67189764,315
1.2652469,315
1.3814863,315
2.8860369,315
1.8318162,315
3.1129065,315
2.1005074,315
1.9396224,315
2.3421701,315
1.5812217,315
2.3248057,315
2.6611473,315
0.081014033,315
1.9178937,315
2.2041094,315
0.53983389,315
2.7490137,315
1.9716285,315
0.18886239,315
2.4978531,315
1.682607,315
1.9769577,315
0.3339704,315
1.4019501,315
2.3479149,315
1.6064024,315
1.4089955,315
2.7918313,315
2.2202537,315
1.8724314,315
2.3623333,315
1.1804029,315
2.8478211,315
2.526281,315
1.210427,315
1.1778398,315
2.1845286,315
1.9071196,315
0.57431166,315
2.342206,315
2.8229589,315
3.1333034,315
2.3836302,315
1.5352005,315
2.6044717,315
2.5175455,315
2.7923705,315
0.31517143,315
2.0303827,315
1.7906525,315
2.002368,315
0.067004399,315
0.10422476,315
1.3997225,315
2.0267924,315
3.12123,315
2.479461,315
1.5386374,315
0.32748719,315
1.0527614,315
2.1556521,315
2.2873995,315
2.4849194,315
1.3064306,315
0.67200897,315
1.6541634,315
2.1560043,315
2.8684632,315
1.5976973,315
2.560968,315
2.5412054,315
2.1736763,315
0.16751264,315
0.13677273,315
2.5879852,315
0.81064482,315
0.42541217,315
0.083782939,315
0.85691197,315
1.1589779,315
2.892854,315
1.300208,315
2.689652,315
0.23962842,315
0.017703277,315
2.1835989,315
0.0037574699,315
1.9070934,315
2.7745332,315
1.7691764,315
0.65216181,315
0.93378191,315
2.8630089,315
2.3978596,315
2.0199115,315
2.2470701,315
0.34831128,315
2.1908392,315
2.5763314,315
0.076652498,315
1.004941,315
0.15778874,315
2.9940227,315
2.0320769,315
1.4029764,315
2.3712927,315
0.28329622,315
2.1107011,315
1.2229557,315
2.1920225,315
0.36526099,315
2.7260412,315
1.3523841,315
0.02346118,315
0.32146011,315
2.1282189,315
1.1158616,315
0.28365445,315
2.9601789,315
1.0871161,315
2.9673692,315
0.1859228,315
1.3520255,315
0.43936862,315
1.8022207,315
2.4480508,315
3.0195475,315
1.8700039,315
2.029358,315
2.732611,315
1.9209692,315
0.066163156,315
2.8100552,315
1.1385484,315
0.23805097,315
0.2826561,315
1.8258228,315
3.0773354,315
0.73715976,315
1.7717919,315
1.3019718,315
1.7425153,315
1.1942778,315
1.0191461,315
3.0618629,315
3.0596727,315
2.3228188,315
1.3701642,315
1.1516712,315
1.753689,315
1.2150165,315
1.8309565,315
1.297076,315
2.8961051,315
2.4909029,315
1.561504,315
1.7808667,315
2.3870739,315
2.354914,315
2.5160557,315
2.9613485,315
1.4536661,315
1.2272166,315
2.9529595,315
2.1317832,315
1.0973597,315
3.0039748,315
2.6087181,315
2.915284,315
0.30815581,315
0.75762877,315
0.41715998,315
2.4613289,315
2.664189,315
0.29334678,315
1.1304293,315
2.7628988,315
0.80901899,315
0.07970818,315
0.63103107,315
3.038979,315
1.7043473,315
2.6552601,315
2.4204523,315
0.57155765,315
1.8867306,315
1.4352228,315
3.0901309,315
2.9540549,315
1.6579566,315
2.0223186,315
0.9277225,315
2.2727572,315
3.0616206,315
3.0297079,315
2.1309744,315
2.5408435,315
1.9093819,315
1.7487458,315
2.0387684,315
0.29843369,315
1.8000767,315
2.3473242,315
0.64379074,315
1.1307554,315
1.6733246,315
2.5254852,315
2.7276022,315
0.78600833,315
0.87225427,315
2.2817711,315
1.2862855,315
2.1719809,315
2.5048297,315
0.10409335,315
0.14881156,315
1.7488183,315
0.46955589,315
0.31908159,315
2.2630319,315
0.47355205,315
3.0893907,315
1.8275659,315
0.65208061,315
2.9027507,315
2.7631107,315
2.7548542,315
0.69464416,315
0.34535462,315
3.0538253,315
0.18638157,315
0.33127192,315
3.0562714,315
1.358445,315
2.0024111,315
1.8219018,315
0.46021584,315
1.7345862,315
2.0738482,315
1.1409869,315
1.0848658,315
0.17536282,315
2.8546003,315
1.2253772,315
2.0670702,315
1.2308876,315
2.9110149,315
2.4485429,315
1.1550217,315
0.062437122,315
3.0267278,315
2.7240929,315
2.8011771,315
2.577167,315
0.79131799,315
1.7059384,315
0.93948951,315
2.1097102,315
2.8509592,315
1.8508263,315
1.5440615,315
2.2409471,315
2.3917638,315
2.3659864,315
0.31192332,315
0.18954538,315
3.1273453,315
0.94729427,315
0.31738474,315
2.543619,315
3.0919594,315
0.61797988,315
0.091238169,315
0.99389363,315
0.32956111,315
0.38229247,315
0.16474227,315
0.4513441,315
0.49238333,315
0.68203724,315
2.4972163,315
0.43684112,315
2.4660954,315
1.3905386,315
2.8079089,315
0.8641851,315
3.0550111,315
0.1699513,315
0.71141009,315
2.8731212,315
2.7362846,315
0.10946376,315
2.6918548,315
1.7383388,315
0.18731916,315
1.0434866,315
1.3186386,315
2.5879857,315
0.21766042,315
2.9207491,315
2.7656325,315
1.5816216,315
2.9656122,315
3.0754562,315
